date,open,high,low,close,volume
2004-01-30,6.88,7.84,6.86,7.59,503093273
2004-02-02,8.3,8.35,7.8,8.35,206425804
2004-02-03,8.5,8.73,8.28,8.5,175007549
2004-02-04,8.5,8.8,8.38,8.69,95638354
2004-02-05,8.7,9.2,8.6,9.2,108354295
2004-02-06,9.19,9.46,8.94,9.02,110275114
2004-02-09,9.02,9.18,8.88,9.14,67955350
2004-02-10,9.1,9.15,8.8,8.86,86228695
2004-02-11,8.86,9.08,8.75,9.03,60410573
2004-02-12,9.03,9.08,8.66,8.71,71404503
2004-02-13,8.7,8.74,8.48,8.59,48775310
2004-02-16,8.57,8.79,8.56,8.74,40751538
2004-02-17,8.75,8.88,8.62,8.69,65790278
2004-02-19,8.94,8.96,8.72,8.76,60714645
2004-02-20,8.76,8.79,8.4,8.55,66125987
2004-02-23,8.55,8.57,8.2,8.23,62410939
2004-02-24,8.23,8.48,8.23,8.47,74553731
2004-02-25,8.49,8.52,8.08,8.13,36502369
2004-02-26,8.1,8.19,7.95,8.15,30780114
2004-02-27,8.15,8.26,8.1,8.16,20363661
2004-03-01,8.16,8.24,7.95,8.19,27078092
2004-03-02,8.2,8.34,8.05,8.28,34145378
2004-03-03,8.28,8.43,8.05,8.11,33882528
2004-03-04,8.07,8.13,8.01,8.09,20883783
2004-03-05,8.09,8.15,7.93,7.94,20943896
2004-03-08,7.9,7.93,7.66,7.68,28742120
2004-03-09,7.65,7.82,7.63,7.65,17557495
2004-03-10,7.66,7.9,7.66,7.9,19030034
2004-03-11,7.92,7.96,7.83,7.86,18933514
2004-03-12,7.87,7.9,7.73,7.79,14711784
2004-03-15,7.79,8.09,7.76,8.04,32354076
2004-03-16,8.06,8.1,8.01,8.04,20407782
2004-03-17,8.04,8.05,7.85,8.01,24351564
2004-03-18,8.1,8.29,8.05,8.09,41678727
2004-03-19,8.09,8.24,8.06,8.18,21122626
2004-03-22,8.17,8.22,8.04,8.1,16313880
2004-03-23,8.1,8.1,7.95,8.01,19224318
2004-03-24,7.98,8.15,7.95,8.12,18827520
2004-03-25,8.12,8.28,8.06,8.15,22249303
2004-03-26,8.18,8.21,8.07,8.15,11467242
2004-03-29,8.13,8.22,7.91,7.94,20807105
2004-03-30,7.93,7.93,7.55,7.65,40258019
2004-03-31,7.62,7.63,7.24,7.41,56260561
2004-04-01,7.4,7.56,7.33,7.55,31854045
2004-04-02,7.55,7.59,7.4,7.45,29173244
2004-04-05,7.4,7.42,7.24,7.3,36522922
2004-04-06,7.3,7.54,7.26,7.53,26188961
2004-04-07,7.53,7.67,7.48,7.55,43023152
2004-04-08,7.55,7.55,7.33,7.36,21447088
2004-04-09,7.36,7.45,7.26,7.29,20383635
2004-04-12,7.26,7.39,7.25,7.36,13179036
2004-04-13,7.36,7.39,7.24,7.25,15927395
2004-04-14,7.25,7.26,6.9,6.97,26247817
2004-04-15,6.96,6.97,6.68,6.68,23725979
2004-04-16,6.6,6.72,6.36,6.68,24334176
2004-04-19,6.66,6.66,6.42,6.5,18638156
2004-04-20,6.6,6.89,6.59,6.81,35861317
2004-04-21,6.84,7.14,6.83,7.09,40391483
2004-04-22,7.12,7.22,7.0,7.13,15625468
2004-04-23,7.05,7.1,6.89,6.92,15122642
2004-04-27,6.99,7.15,6.9,6.93,13517952
2004-04-28,6.93,7.07,6.87,7.02,10523716
2004-04-29,7.09,7.11,6.85,6.86,9727182
2004-04-30,6.86,6.95,6.62,6.76,9344369
2004-05-10,6.75,6.76,6.51,6.58,5736751
2004-05-11,6.57,6.77,6.53,6.74,6239026
2004-05-12,6.74,6.91,6.71,6.87,8850264
2004-05-13,6.88,6.9,6.75,6.79,5247216
2004-05-14,6.79,6.8,6.61,6.61,5610490
2004-05-18,6.55,6.6,6.32,6.6,12336825
2004-05-19,6.6,6.75,6.49,6.66,12484250
2004-05-20,6.71,6.83,6.71,6.75,16937114
2004-05-21,6.73,6.76,6.68,6.75,5117637
2004-05-24,6.75,6.77,6.56,6.57,5883009
2004-05-25,6.54,6.75,6.52,6.6,7504733
2004-05-26,6.61,6.69,6.56,6.68,6539815
2004-05-27,6.74,6.91,6.66,6.87,18998982
2004-05-28,6.87,7.04,6.81,6.92,17726542
2004-05-31,6.92,7.04,6.91,6.97,7861143
2004-06-01,6.97,7.01,6.91,6.98,11638925
2004-06-02,6.98,7.02,6.78,6.8,15587321
2004-06-03,6.77,6.81,6.65,6.72,7342404
2004-06-04,6.7,6.95,6.66,6.81,10479010
2004-06-07,6.78,6.79,6.68,6.76,5637953
2004-06-08,6.75,6.77,6.61,6.65,6081901
2004-06-09,6.6,6.7,6.5,6.51,6708479
2004-06-10,6.5,6.67,6.45,6.62,7500758
2004-06-11,6.63,6.84,6.63,6.71,16492173
2004-06-14,6.72,6.77,6.56,6.66,10776272
2004-06-15,6.65,6.81,6.59,6.77,12582321
2004-06-16,6.8,6.9,6.75,6.85,18982377
2004-06-17,6.86,6.88,6.67,6.67,8201594
2004-06-18,6.65,6.75,6.55,6.64,9555028
2004-06-21,6.66,6.71,6.53,6.66,4337492
2004-06-22,6.66,6.77,6.55,6.72,7460428
2004-06-23,6.7,6.71,6.63,6.7,6221892
2004-06-24,6.72,6.84,6.68,6.7,7531899
2004-06-25,6.7,6.93,6.63,6.8,23740411
2004-06-28,6.8,7.1,6.76,7.03,39506961
2004-06-29,7.0,7.06,6.81,7.01,21729445
2004-06-30,6.99,7.08,6.87,6.89,15676662
2004-07-01,6.89,7.25,6.89,7.16,43120700
2004-07-05,7.15,7.23,7.1,7.21,13116513
2004-07-06,7.21,7.26,7.05,7.08,25291704
2004-07-07,7.09,7.12,7.0,7.06,10720260
2004-07-08,7.07,7.11,6.97,7.08,9533623
2004-07-09,7.08,7.21,7.03,7.04,10529875
2004-07-12,7.03,7.03,6.86,6.89,10754858
2004-07-13,6.9,7.02,6.88,6.97,5641997
2004-07-14,7.0,7.09,6.92,7.07,7486033
2004-07-15,7.08,7.2,7.03,7.16,11901223
2004-07-16,7.16,7.31,7.12,7.23,30701467
2004-07-19,7.24,7.28,7.17,7.22,11134197
2004-07-20,7.22,7.23,7.08,7.11,11305778
2004-07-21,7.12,7.16,7.05,7.09,7295863
2004-07-23,6.91,6.91,6.64,6.72,24513301
2004-07-26,6.7,6.7,6.05,6.05,47655917
