date,open,high,low,close,volume
2010-04-27,50.6,55.51,50.01,55.51,16754607
2010-04-28,53.77,55.12,49.96,52.4,9303979
2010-04-29,53.4,56.29,53.4,54.15,9312555
2010-04-30,54.1,54.13,49.0,53.0,5223622
2010-05-04,53.71,57.99,53.71,56.5,6824715
2010-05-05,55.25,59.29,55.0,58.19,5285174
2010-05-06,58.2,60.98,57.71,58.06,3992939
2010-05-07,56.65,58.58,52.6,53.0,4786377
2010-05-10,52.4,53.0,47.7,47.7,4323013
2010-05-11,49.7,50.49,47.52,48.01,3024636
2010-05-12,45.6,49.14,45.3,46.71,2161033
2010-05-13,47.0,48.24,45.5,47.79,1844944
2010-05-14,47.6,47.6,45.82,47.21,1896455
2010-05-17,46.23,47.99,45.9,46.1,2157559
2010-05-18,45.66,46.71,41.65,44.4,2370030
2010-05-19,43.78,47.65,43.21,46.01,2066384
2010-05-20,45.04,45.96,44.0,44.15,1458729
2010-05-21,42.33,47.48,42.32,47.03,1947665
2010-05-24,46.79,49.48,46.71,48.05,2219169
2010-05-25,47.3,48.52,46.7,47.12,1481810
2010-05-26,47.0,48.0,46.6,46.71,1194209
2010-05-27,46.4,50.4,46.35,49.8,2249868
2010-05-28,50.1,51.99,48.5,49.39,1869968
2010-05-31,49.04,51.0,48.3,48.3,1517049
2010-06-01,47.47,48.5,44.5,46.41,1317205
2010-06-03,47.5,48.18,45.9,45.9,1260442
2010-06-04,44.75,46.5,44.75,46.4,842114
2010-06-07,45.54,48.29,45.34,47.89,1356619
2010-06-08,47.89,51.2,47.5,49.7,2362053
2010-06-09,49.55,52.48,49.55,50.4,1672318
2010-06-10,50.39,52.19,50.11,51.21,1366341
2010-06-11,51.21,51.93,50.71,51.03,714169
2010-06-17,51.33,51.97,48.01,48.01,1069973
2010-06-18,48.12,48.74,46.02,46.77,792263
2010-06-21,46.77,49.32,46.11,48.83,546507
2010-06-22,48.8,50.66,48.36,50.0,596253
2010-06-23,49.9,50.46,48.6,49.58,544708
2010-06-24,49.67,51.2,49.3,49.9,783895
2010-06-25,49.65,49.99,46.61,47.3,997016
2010-06-28,46.85,47.3,45.0,45.99,662686
