date,open,high,low,close,volume
2016-09-09,26.48,31.78,26.48,31.78,101688
2016-09-12,34.96,34.96,34.96,34.96,120354
2016-09-13,38.46,38.46,38.46,38.46,108791
2016-09-14,42.31,42.31,42.31,42.31,248714
2016-09-19,46.54,46.54,46.54,46.54,692825
2016-09-20,47.0,50.99,42.86,48.7,97537477
2016-09-21,46.5,47.7,45.05,45.37,54128379
2016-09-22,45.7,46.35,44.2,44.44,40938245
2016-09-23,44.47,45.09,43.71,43.93,31327205
2016-09-26,43.5,43.93,40.0,40.43,37226920
2016-09-27,40.1,40.34,38.95,39.92,25961054
2016-09-28,39.94,39.94,39.01,39.26,16284872
2016-09-29,39.22,39.97,39.21,39.23,17805540
2016-09-30,39.12,39.43,38.23,38.33,19189690
2016-10-10,38.7,39.56,38.3,39.38,17957891
2016-10-11,39.41,39.72,38.62,39.66,24252557
2016-10-12,39.2,40.28,39.07,39.69,22183925
2016-10-13,39.51,39.63,38.7,38.82,17851624
2016-10-14,38.67,39.2,38.65,38.84,11063006
2016-10-17,39.0,39.08,37.65,37.72,16388327
2016-10-18,37.69,37.97,37.2,37.9,15896655
2016-10-19,37.8,39.39,37.71,38.81,23242420
2016-10-20,38.65,38.79,38.22,38.32,12770353
2016-10-21,38.36,38.76,37.6,37.94,12469812
2016-10-24,37.73,39.18,37.62,38.94,18981971
2016-10-25,38.87,39.55,38.62,38.99,20715519
2016-10-26,38.83,38.92,38.12,38.24,13162522
2016-10-27,38.12,39.49,38.01,39.04,22134931
2016-10-28,39.1,41.0,39.0,40.51,42202927
2016-10-31,40.35,40.35,39.31,39.67,18502292
2016-11-01,39.61,41.49,39.48,40.51,28733632
2016-11-02,40.1,41.65,39.81,41.23,34828655
2016-11-03,41.0,41.98,40.6,40.87,31497362
2016-11-04,40.6,41.79,40.5,41.25,26325483
2016-11-07,41.25,41.47,40.05,40.32,20411231
2016-11-08,40.46,41.24,40.22,40.91,18421545
2016-11-09,40.71,40.92,39.04,39.79,22589549
2016-11-10,40.22,43.77,39.87,43.07,56549865
2016-11-11,43.0,45.78,42.47,43.63,59601461
2016-11-14,43.61,43.63,42.21,43.15,27123399
2016-11-15,43.13,44.98,42.65,44.06,33394106
2016-11-16,43.9,43.9,42.72,42.82,21343791
2016-11-17,42.55,43.26,42.25,42.52,13011184
2016-11-18,42.68,43.5,42.39,42.45,16221171
2016-11-21,42.15,42.89,41.51,42.55,18848019
2016-11-22,42.39,43.18,42.11,42.43,15599778
