date,open,high,low,close,volume
1993-11-08,5.2,5.97,5.2,5.76,7625900
1993-11-09,5.8,5.87,5.63,5.68,1836700
1993-11-10,5.65,5.68,5.2,5.45,1643300
1993-11-11,5.5,5.65,5.43,5.44,1202600
1993-11-12,5.54,5.55,5.48,5.52,1086700
1993-11-15,5.57,5.68,5.5,5.62,1404200
1993-11-16,5.65,5.7,5.51,5.54,830000
1993-11-17,5.54,5.6,5.46,5.47,754200
1993-11-18,5.5,5.55,5.46,5.47,724400
1993-11-19,5.5,5.5,5.4,5.46,765600
1993-11-22,5.49,5.85,5.48,5.48,1444000
1993-11-23,5.54,5.6,5.3,5.4,904200
1993-11-24,5.4,5.48,5.25,5.25,789800
1993-11-25,5.28,5.45,5.28,5.35,887000
1993-11-26,5.35,5.49,5.3,5.32,901400
1993-11-29,5.5,5.5,5.08,5.25,652700
1993-11-30,5.3,5.75,5.25,5.41,1242100
1993-12-01,5.49,5.5,5.26,5.3,612400
1993-12-02,5.3,5.38,5.26,5.28,543400
1993-12-03,5.28,5.3,5.25,5.27,360300
1993-12-06,5.25,5.42,5.2,5.26,687100
1993-12-07,5.32,5.32,5.15,5.17,624700
1993-12-08,5.24,5.25,5.1,5.1,567000
1993-12-09,5.15,5.2,5.02,5.06,525200
1993-12-10,5.06,5.12,5.0,5.02,560500
1993-12-13,5.08,5.14,5.01,5.02,527900
1993-12-14,5.02,5.05,4.62,4.91,417100
1993-12-15,4.9,4.91,4.75,4.86,371000
1993-12-16,4.8,4.94,4.8,4.8,432100
1993-12-17,4.79,4.8,4.7,4.7,380800
1993-12-20,4.4,4.5,3.99,4.1,543800
1993-12-21,4.1,4.35,4.1,4.28,402800
1993-12-22,4.5,4.83,4.35,4.53,785100
1993-12-24,4.75,4.76,4.6,4.65,510800
1993-12-27,4.65,4.7,4.6,4.68,423800
1993-12-28,4.7,4.7,4.22,4.59,254400
1993-12-29,4.59,4.59,4.38,4.47,213600
1993-12-30,4.43,4.45,4.37,4.42,268500
1993-12-31,4.5,4.52,4.45,4.49,227600
1994-01-03,4.47,4.47,4.23,4.42,164000
1994-01-04,4.4,4.42,4.34,4.35,182000
1994-01-05,4.33,4.38,4.2,4.38,253600
1994-01-06,4.1,4.2,4.02,4.17,3082600
1994-01-07,4.2,4.25,4.11,4.13,1338900
1994-01-10,4.13,4.21,4.1,4.13,1474700
1994-01-11,4.14,4.17,4.05,4.06,886200
1994-01-12,4.06,4.1,4.02,4.04,819700
1994-01-13,4.04,4.22,4.02,4.08,1471100
1994-01-14,4.17,4.17,3.9,4.0,1291900
1994-01-17,4.08,4.1,4.03,4.04,893900
1994-01-18,4.04,4.08,3.97,3.99,609200
1994-01-19,3.99,4.0,3.85,3.91,584300
1994-01-20,3.88,3.99,3.7,3.99,638200
1994-01-21,3.99,4.08,3.95,4.05,1000600
1994-01-24,4.11,4.6,4.09,4.6,5576700
1994-01-25,4.6,4.98,4.5,4.65,14259600
1994-01-26,4.64,4.8,4.5,4.55,3693500
1994-01-27,4.56,4.73,4.55,4.66,4434100
1994-01-28,4.51,4.6,4.39,4.42,9454300
1994-01-31,4.39,4.39,4.11,4.2,5075200
1994-02-01,4.15,4.26,4.06,4.11,2843700
1994-02-02,4.06,4.2,4.06,4.18,2668500
1994-02-03,4.2,4.28,4.15,4.17,4132400
1994-02-04,4.2,4.25,4.18,4.22,3604300
1994-02-14,4.28,4.28,4.09,4.1,2455400
1994-02-15,4.08,4.1,4.0,4.08,1686400
1994-02-16,4.08,4.1,4.06,4.09,1044500
1994-02-17,4.03,4.08,4.01,4.03,1156800
1994-02-18,4.02,4.08,4.01,4.04,1157000
1994-02-21,4.14,4.14,3.98,3.98,1799000
1994-02-22,3.98,4.05,3.95,4.0,1582300
1994-02-23,4.01,4.02,3.96,3.98,876900
1994-02-24,3.97,3.97,3.85,3.95,1227300
1994-02-25,3.99,4.09,3.95,3.98,1751000
1994-02-28,3.98,4.08,3.84,3.88,2913400
1994-03-01,3.88,3.95,3.84,3.84,1481300
1994-03-02,3.85,3.9,3.76,3.8,1363700
1994-03-03,3.79,3.8,3.7,3.71,1559300
1994-03-04,3.65,3.8,3.62,3.72,1342600
1994-03-07,3.69,3.7,3.65,3.66,145600
1994-03-08,3.66,3.7,3.53,3.54,1483600
1994-03-09,3.55,3.58,3.46,3.49,1811100
1994-03-10,3.51,3.56,3.36,3.39,2304800
1994-03-11,3.35,3.48,3.3,3.4,1558700
1994-03-14,3.8,3.8,3.51,3.75,3002800
1994-03-15,3.85,3.97,3.7,3.73,4467100
1994-03-16,3.7,3.7,3.63,3.64,1707200
1994-03-17,3.65,3.8,3.6,3.63,2043000
1994-03-18,3.6,3.63,3.5,3.54,1338700
1994-03-21,3.5,3.51,3.4,3.41,1213500
1994-03-22,3.4,3.4,3.31,3.36,796200
1994-03-23,3.38,3.57,3.36,3.37,1385700
1994-03-24,3.35,3.4,3.33,3.35,913700
1994-03-25,3.38,3.43,3.29,3.32,1436700
1994-03-28,2.99,2.99,2.82,2.91,7589200
1994-03-29,2.9,2.9,2.62,2.67,6329500
1994-03-30,2.66,2.97,2.65,2.8,8573800
1994-03-31,2.8,2.85,2.7,2.72,4050400
1994-04-01,2.7,2.74,2.58,2.68,5963400
1994-04-04,2.53,2.6,2.48,2.53,2620900
1994-04-05,2.54,2.57,2.5,2.54,1526800
1994-04-06,2.53,2.55,2.5,2.55,1485500
1994-04-07,2.52,2.55,2.51,2.55,1637400
1994-04-08,2.55,2.55,2.51,2.53,1631200
1994-04-11,2.52,2.53,2.5,2.53,2974800
1994-04-12,2.51,2.53,2.51,2.53,2806200
1994-04-13,2.51,2.55,2.5,2.54,6339400
1994-04-14,2.52,2.62,2.52,2.55,11803200
1994-04-15,2.56,2.59,2.56,2.58,17663700
1994-04-18,2.55,2.55,2.5,2.51,1558400
1994-04-19,2.5,2.51,2.41,2.5,2711200
1994-04-20,2.48,2.49,2.33,2.45,3395700
1994-04-21,2.4,2.45,2.4,2.44,1567600
1994-04-22,2.46,2.48,2.4,2.43,1490100
1994-04-25,2.4,2.42,2.23,2.42,1378800
1994-04-27,2.5,2.5,2.38,2.42,1383400
1994-04-28,2.42,2.68,2.4,2.45,4262500
1994-04-29,2.47,2.74,2.41,2.5,10524300
1994-05-03,2.52,2.55,2.45,2.5,1114400
1994-05-04,2.52,2.55,2.52,2.53,1929100
1994-05-05,2.5,2.5,2.41,2.41,919300
1994-05-06,2.41,2.51,2.41,2.44,1266700
1994-05-09,2.42,2.45,2.4,2.42,564100
1994-05-10,2.41,2.43,2.4,2.4,548400
1994-05-11,2.43,2.45,2.35,2.39,764000
1994-05-12,2.37,2.4,2.37,2.4,668900
1994-05-13,2.43,2.43,2.34,2.4,884500
1994-05-16,2.37,2.42,2.37,2.4,772800
1994-05-17,2.4,2.41,2.33,2.4,594400
