date,open,high,low,close,volume
2016-11-16,21.32,25.59,21.32,25.59,508759
2016-11-17,28.15,28.15,28.15,28.15,1099737
2016-11-18,30.97,30.97,29.51,30.24,246810995
2016-11-21,29.48,29.48,28.31,28.49,159712942
2016-11-22,28.25,28.77,28.13,28.43,91567886
2016-11-23,28.45,28.99,28.17,28.28,101282831
2016-11-24,28.1,28.12,27.23,27.28,99105019
2016-11-25,27.21,27.68,27.01,27.39,49581467
2016-11-28,27.45,27.69,27.25,27.31,48896608
2016-11-29,27.22,27.22,26.45,26.53,70872035
2016-11-30,26.49,26.49,26.04,26.2,39478466
2016-12-01,26.17,26.46,26.13,26.3,29738100
2016-12-02,26.27,26.27,25.72,25.74,39102765
2016-12-05,25.58,25.9,25.47,25.8,23213946
2016-12-06,25.76,26.09,25.7,25.87,24851316
2016-12-07,25.79,26.01,25.63,25.99,21562393
2016-12-08,25.98,26.48,25.93,26.25,46898778
2016-12-09,26.15,26.45,25.99,26.2,44288049
2016-12-12,26.08,26.34,24.95,24.98,50174872
2016-12-13,24.97,24.98,24.31,24.55,31777792
2016-12-14,24.5,24.85,24.45,24.53,21921676
2016-12-15,24.46,24.63,24.32,24.44,24357169
2016-12-16,24.36,24.48,24.21,24.31,23744991
2016-12-19,24.28,24.29,23.75,23.8,27815401
2016-12-20,23.74,23.93,23.65,23.8,18909435
2016-12-21,23.85,24.43,23.77,24.23,30951982
2016-12-22,24.03,24.15,23.89,24.01,17537927
2016-12-23,23.99,23.99,23.53,23.54,20528949
2016-12-26,23.39,23.65,23.09,23.6,19761336
2016-12-27,23.5,23.57,23.35,23.38,12879870
2016-12-28,23.41,23.45,23.15,23.19,12545470
2016-12-29,23.21,23.48,23.2,23.24,14914778
2016-12-30,23.25,23.38,23.23,23.28,10993894
2017-01-03,23.33,23.78,23.31,23.59,20644985
2017-01-04,23.59,23.8,23.55,23.72,17730203
2017-01-05,23.74,23.76,23.47,23.5,17999621
2017-01-06,23.45,23.56,23.12,23.16,20938854
2017-01-09,23.12,23.3,23.08,23.24,12181330
2017-01-10,23.23,23.23,22.96,22.98,17279654
2017-01-11,22.91,22.94,22.45,22.54,25752050
2017-01-12,22.48,22.61,22.28,22.29,15848049
2017-01-13,22.25,22.3,21.9,22.04,23061966
2017-01-16,22.05,22.64,21.88,22.42,40341635
2017-01-17,22.24,22.55,22.08,22.45,22655072
2017-01-18,22.39,22.46,22.26,22.29,16158086
2017-01-19,22.23,22.73,22.12,22.55,25788922
2017-01-20,22.48,23.04,22.45,22.94,34557897
2017-01-23,22.91,23.27,22.9,23.03,27194865
2017-01-24,23.04,23.05,22.88,22.95,11467673
2017-01-25,22.88,23.1,22.81,23.02,10965625
2017-01-26,23.06,23.29,23.06,23.28,17483967
2017-02-03,23.28,23.32,22.9,22.93,11711785
2017-02-06,22.97,23.12,22.89,23.04,11601200
2017-02-07,23.03,23.04,22.71,22.8,14345570
2017-02-08,22.8,23.03,22.6,23.01,16727735
2017-02-09,22.98,23.22,22.92,23.12,21611436
2017-02-10,23.14,23.69,23.1,23.45,41010267
2017-02-13,23.46,24.59,23.46,24.12,64067244
2017-02-14,24.16,24.24,23.66,23.88,29441049
2017-02-15,23.85,24.56,23.76,24.12,55659934
2017-02-16,24.06,24.35,23.83,24.19,39384956
2017-02-17,24.0,24.35,23.69,23.71,35575002
2017-02-20,23.65,25.25,23.61,24.92,83268861
2017-02-21,24.8,24.97,24.46,24.56,44536471
2017-02-22,24.5,24.54,24.1,24.28,37529788
2017-02-23,24.2,24.47,24.11,24.27,24552943
2017-02-24,24.28,24.42,24.06,24.29,21864194
2017-02-27,24.19,24.22,23.92,23.95,19457180
2017-02-28,23.91,24.68,23.88,24.48,47372415
2017-03-01,24.4,24.63,24.13,24.23,32510598
2017-03-02,24.25,24.55,24.18,24.35,35796363
2017-03-03,24.26,24.26,23.97,24.04,23847825
2017-03-06,24.05,24.2,23.89,24.12,19772842
2017-03-07,24.08,24.22,23.96,24.15,21176818
2017-03-08,24.13,24.19,23.92,23.97,22774958
2017-03-09,23.89,23.99,23.65,23.66,22679857
2017-03-10,23.62,23.76,23.62,23.64,11853692
2017-03-13,23.59,23.63,23.36,23.6,17704089
2017-03-14,23.66,24.0,23.62,23.84,23093152
2017-03-15,23.72,23.94,23.7,23.85,12988607
2017-03-16,23.89,24.43,23.89,24.32,45026096
2017-03-17,24.33,24.33,24.01,24.05,29893418
2017-03-20,24.06,24.46,24.05,24.29,23653561
2017-03-21,24.3,24.38,24.05,24.15,16158349
2017-03-22,24.02,24.04,23.69,23.73,22572872
2017-03-23,23.71,23.94,23.61,23.77,15017876
2017-03-24,23.8,23.88,23.65,23.87,14627321
2017-03-27,23.86,24.3,23.82,24.14,26496396
2017-03-28,24.13,24.15,23.89,23.93,15850158
2017-03-29,23.98,24.05,23.52,23.6,18957905
2017-03-30,23.61,23.68,23.06,23.08,23027728
2017-03-31,23.1,24.28,23.1,23.98,53838040
