date,open,high,low,close,volume
2006-10-26,3.67,3.94,3.62,3.79,323617530
2006-10-27,3.74,3.74,3.52,3.58,127034520
2006-10-30,3.54,3.63,3.52,3.62,61241692
2006-10-31,3.64,3.78,3.58,3.76,83335616
2006-11-01,3.77,4.14,3.77,4.14,235843642
2006-11-02,4.3,4.55,4.19,4.39,391478302
2006-11-03,4.34,4.44,4.21,4.33,165203838
2006-11-06,4.28,4.44,4.24,4.43,114817058
2006-11-07,4.43,4.46,4.29,4.37,98172727
2006-11-08,4.35,4.36,4.22,4.24,84429198
2006-11-09,4.21,4.31,4.18,4.28,59931088
2006-11-10,4.28,4.34,4.13,4.19,99386985
2006-11-13,4.17,4.2,3.9,3.94,89732230
2006-11-14,3.92,4.2,3.9,4.15,92815189
2006-11-15,4.15,4.22,4.1,4.2,59417418
2006-11-16,4.2,4.27,4.13,4.16,73066810
2006-11-17,4.13,4.23,4.11,4.19,51621791
2006-11-20,4.21,4.39,4.19,4.35,116182822
2006-11-21,4.36,4.54,4.27,4.53,151935284
2006-11-22,4.53,4.95,4.47,4.85,231470363
2006-11-23,4.83,4.9,4.72,4.82,123441961
2006-11-24,4.8,4.9,4.7,4.83,94242915
2006-11-27,4.81,4.86,4.74,4.84,73568659
2006-11-28,4.85,4.86,4.74,4.75,62802831
2006-11-29,4.72,4.82,4.6,4.77,75213516
2006-11-30,4.78,5.19,4.74,5.09,178781782
2006-12-01,5.08,5.3,5.05,5.19,148923385
2006-12-04,5.19,5.71,5.15,5.71,164623625
2006-12-05,5.87,6.28,5.87,6.28,261084922
2006-12-06,6.4,6.91,6.29,6.91,326216804
2006-12-07,7.02,7.6,6.55,6.66,285422958
2006-12-08,6.37,6.6,5.99,5.99,299605981
2006-12-11,5.75,6.59,5.64,6.59,226431871
2006-12-12,6.59,7.14,6.41,6.74,269053340
2006-12-13,6.7,6.76,6.25,6.5,133852776
2006-12-14,6.5,6.64,6.38,6.55,86146851
2006-12-15,6.57,6.86,6.55,6.7,119321607
2006-12-18,6.71,6.99,6.65,6.94,170776628
2006-12-19,7.03,7.14,6.8,6.95,135062215
2006-12-21,7.0,7.19,6.81,6.89,119776643
2006-12-22,6.79,6.87,6.53,6.6,105632440
2006-12-25,6.6,6.85,6.6,6.67,76424184
2006-12-26,6.7,6.74,6.38,6.47,79446419
2006-12-27,6.47,6.69,6.36,6.61,58880363
2006-12-28,6.65,6.71,6.4,6.47,73586826
2006-12-29,6.48,7.1,6.48,6.99,204107390
2007-01-04,7.09,7.28,6.9,6.97,228177314
2007-01-05,6.88,7.2,6.8,7.19,174413310
2007-01-08,7.39,7.91,7.16,7.91,292730427
2007-01-09,8.01,8.32,7.88,8.06,263426408
2007-01-10,8.07,8.16,7.9,8.02,165068927
2007-01-11,8.02,8.24,7.85,7.95,179604945
2007-01-12,7.86,8.04,7.35,7.38,161062338
2007-01-15,7.37,7.85,7.32,7.84,113444317
2007-01-16,7.9,7.95,7.61,7.75,118137767
2007-01-17,7.76,7.91,7.5,7.6,125179790
2007-01-18,7.58,7.62,7.22,7.41,140244817
2007-01-19,7.41,7.86,7.41,7.82,144854116
2007-01-22,7.98,8.22,7.84,7.96,169877091
2007-01-23,7.97,8.01,7.51,7.72,146553111
2007-01-24,7.72,8.15,7.58,8.07,194076314
2007-01-25,8.09,8.82,7.9,8.41,324235954
2007-01-26,8.2,8.4,7.76,8.24,161375278
2007-01-29,8.24,8.5,8.16,8.37,124423710
2007-01-30,8.39,8.47,8.06,8.13,112193628
2007-01-31,8.08,8.17,7.5,7.61,120579300
2007-02-01,7.54,7.7,7.4,7.64,95238578
2007-02-02,7.65,7.69,7.25,7.46,88142849
2007-02-05,7.53,7.64,7.43,7.46,89021897
2007-02-06,7.49,7.8,7.49,7.77,64839017
2007-02-07,7.82,7.91,7.66,7.79,71842181
2007-02-08,7.79,7.99,7.62,7.94,87712716
2007-02-09,7.99,8.32,7.83,8.27,153389214
2007-02-12,8.27,8.37,8.16,8.33,153556732
2007-02-13,8.35,8.4,8.2,8.29,83354014
2007-02-14,8.28,8.37,8.21,8.3,92033492
2007-02-15,8.33,8.59,8.31,8.47,116801449
2007-02-16,8.52,8.64,8.37,8.47,127334100
2007-02-26,8.5,8.65,8.33,8.61,128116317
2007-02-27,8.62,8.64,7.75,7.75,153480608
2007-02-28,7.58,8.11,7.5,8.01,109770118
2007-03-01,8.01,8.01,7.61,7.73,88891281
2007-03-02,7.7,8.0,7.63,7.92,78554937
2007-03-05,8.06,8.38,8.0,8.26,164593826
2007-03-06,8.27,8.27,8.03,8.17,53610419
2007-03-07,8.18,8.25,8.15,8.19,65973567
2007-03-08,8.2,8.25,8.06,8.19,72292815
2007-03-09,8.17,8.17,8.0,8.06,74164868
2007-03-12,8.05,8.05,7.86,7.98,66448200
2007-03-13,7.98,8.35,7.96,8.28,113379828
2007-03-14,8.24,8.25,8.01,8.12,80461647
2007-03-15,8.12,8.22,8.1,8.13,60670821
2007-03-16,8.15,8.18,7.98,8.02,75776359
2007-03-19,7.79,8.13,7.71,8.04,61615417
2007-03-20,8.06,8.11,8.0,8.08,56703654
2007-03-21,8.1,8.34,8.0,8.32,143430514
2007-03-22,8.38,8.42,8.2,8.22,138230470
2007-03-23,8.22,8.3,8.06,8.2,73163767
2007-03-26,8.2,8.65,8.15,8.57,172243252
2007-03-27,8.57,9.43,8.48,9.41,305958272
2007-03-28,9.5,10.29,9.4,10.23,355426040
2007-03-29,10.3,10.8,9.86,9.92,276980307
2007-03-30,9.85,10.23,9.61,10.03,119586381
2007-04-02,10.03,10.25,9.98,10.13,97671144
2007-04-03,10.17,10.23,10.0,10.05,89946559
2007-04-04,10.05,10.23,9.81,10.09,113149557
2007-04-05,10.04,10.18,9.91,10.07,70686950
2007-04-06,9.94,10.18,9.91,10.06,87614524
2007-04-09,10.08,11.07,10.02,11.06,218619826
2007-04-10,10.97,11.04,10.01,10.51,171122185
2007-04-11,10.45,10.78,10.2,10.41,156878459
2007-04-12,10.4,10.52,10.3,10.44,111395280
2007-04-13,10.44,10.45,10.2,10.33,150425604
2007-04-16,10.44,10.76,10.44,10.62,153851928
2007-04-17,10.64,10.73,10.27,10.52,123033050
2007-04-18,10.52,11.04,10.3,10.96,216713252
2007-04-19,11.1,11.16,9.87,10.38,224670179
2007-04-20,10.38,10.77,10.38,10.61,111968286
2007-04-23,10.62,11.35,10.54,11.28,235222345
2007-04-24,11.5,11.99,11.32,11.94,309535504
2007-04-25,11.95,11.95,11.31,11.54,166214992
2007-04-26,11.55,11.66,11.34,11.5,82826891
2007-04-27,11.5,11.5,11.21,11.24,86725062
2007-04-30,11.18,11.42,10.93,11.2,110204362
2007-05-08,11.26,11.63,11.2,11.36,112972441
2007-05-09,11.3,11.55,11.08,11.39,141725260
2007-05-10,11.4,11.96,11.39,11.87,196586914
2007-05-11,11.95,12.1,11.7,11.86,216514301
2007-05-14,11.69,11.85,11.38,11.57,112187804
2007-05-16,11.1,11.38,10.82,11.36,118964750
2007-05-17,11.36,11.49,11.22,11.39,103415488
2007-05-18,11.37,11.37,11.08,11.29,101368770
2007-05-21,11.1,11.58,11.0,11.4,126684531
2007-05-22,11.41,11.87,11.33,11.56,145153463
2007-05-23,11.45,11.65,11.35,11.58,122055108
2007-05-24,11.6,11.7,11.16,11.28,116653436
2007-05-25,11.26,11.4,11.16,11.3,97858826
2007-05-28,11.3,11.69,11.3,11.5,148646723
2007-05-29,11.56,11.77,11.47,11.7,176291028
2007-05-30,11.09,11.55,10.53,10.53,155880528
2007-05-31,10.3,10.52,9.48,10.06,153210648
2007-06-01,10.12,10.5,9.55,9.77,119290590
2007-06-04,9.77,9.96,8.79,8.79,91371320
2007-06-05,8.2,8.94,7.91,8.92,137296043
2007-06-06,8.95,9.04,8.5,8.75,96072093
2007-06-07,8.87,9.2,8.87,9.11,104035311
2007-06-08,9.22,9.43,9.1,9.12,89778351
2007-06-11,9.12,9.16,9.01,9.14,87431985
2007-06-12,9.14,9.29,8.55,9.26,118838696
