date,open,high,low,close,volume
2012-07-06,4.69,4.89,4.63,4.79,359463936
2012-07-09,4.78,4.82,4.32,4.4,187024992
2012-07-10,4.27,4.33,4.17,4.19,94666568
2012-07-11,4.17,4.61,4.15,4.44,165242880
2012-07-12,4.37,4.5,4.29,4.47,97483216
2012-07-13,4.43,4.48,4.35,4.39,63238304
2012-07-16,4.4,4.41,4.18,4.2,58150872
2012-07-17,4.18,4.34,4.15,4.27,52549664
2012-07-18,4.22,4.55,4.17,4.49,83153056
2012-07-19,4.42,4.59,4.41,4.44,85041784
2012-07-20,4.41,4.52,4.36,4.44,51215600
2012-07-23,4.4,4.65,4.38,4.54,63731480
2012-07-24,4.49,4.57,4.41,4.56,67465496
2012-07-25,4.51,4.65,4.45,4.48,55601276
2012-07-26,4.45,4.88,4.43,4.66,154261696
2012-07-27,4.64,4.77,4.57,4.63,85968464
2012-07-30,4.64,4.84,4.59,4.73,88511920
2012-07-31,4.7,4.71,4.26,4.26,125863928
2012-08-01,4.19,4.33,4.12,4.27,70185184
2012-08-02,4.22,4.3,4.16,4.24,43199552
2012-08-03,4.24,4.33,4.22,4.31,51362392
2012-08-06,4.27,4.35,4.24,4.33,58663096
2012-08-07,4.33,4.37,4.3,4.33,46170804
2012-08-08,4.32,4.46,4.29,4.38,64807368
2012-08-09,4.35,4.45,4.32,4.43,61071100
2012-08-10,4.4,4.55,4.4,4.42,59267812
2012-08-13,4.39,4.41,4.22,4.25,45074716
2012-08-14,4.22,4.27,4.16,4.26,36390468
2012-08-15,4.23,4.26,4.15,4.15,32833580
2012-08-16,4.17,4.19,4.15,4.17,17393112
2012-08-17,4.17,4.18,4.09,4.13,28332128
2012-08-20,4.1,4.12,4.04,4.09,22184544
2012-08-21,4.07,4.14,4.06,4.11,26421540
2012-08-22,4.1,4.11,4.03,4.06,21205872
2012-08-23,4.05,4.15,4.05,4.1,28072028
2012-08-24,4.07,4.09,4.01,4.02,24404106
2012-08-27,3.99,3.99,3.88,3.91,25260292
2012-08-28,3.9,3.98,3.87,3.93,22106064
2012-08-29,3.91,3.92,3.8,3.81,26096480
2012-08-30,3.8,3.85,3.71,3.75,23136024
2012-08-31,3.74,3.81,3.73,3.77,12783245
2012-09-03,3.76,3.84,3.74,3.8,15829024
2012-09-04,3.81,3.82,3.72,3.73,13988997
2012-09-05,3.73,3.75,3.69,3.73,14177309
2012-09-06,3.73,3.92,3.73,3.88,34368680
2012-09-07,3.89,4.1,3.86,4.06,67937728
2012-09-10,4.04,4.07,3.99,4.02,38772652
2012-09-11,3.99,4.0,3.9,3.94,27539338
2012-09-12,3.97,4.01,3.9,4.01,23643776
2012-09-13,4.0,4.0,3.9,3.91,20735800
2012-09-14,3.95,3.97,3.89,3.91,14503632
2012-09-17,3.91,3.93,3.75,3.76,23302002
2012-09-18,3.75,3.79,3.73,3.76,10550133
2012-09-19,3.76,3.81,3.74,3.81,8705500
2012-09-20,3.78,3.85,3.7,3.72,17019900
2012-09-21,3.7,3.8,3.7,3.74,8529860
2012-09-24,3.72,3.84,3.7,3.81,12274889
2012-09-25,3.78,3.8,3.67,3.72,9857995
2012-09-26,3.72,3.74,3.63,3.65,12464361
2012-09-27,3.65,3.76,3.65,3.7,17164648
2012-09-28,3.7,3.78,3.68,3.76,14358561
2012-10-08,3.76,3.79,3.72,3.74,8419271
2012-10-09,3.74,4.1,3.74,3.93,46113480
2012-10-10,3.94,4.07,3.91,4.03,58155572
2012-10-11,4.0,4.0,3.91,3.92,33974684
2012-10-12,3.94,3.97,3.85,3.89,22161386
2012-10-15,3.88,3.92,3.85,3.91,12470286
2012-10-16,3.9,3.92,3.84,3.85,16417529
2012-10-17,3.88,3.88,3.81,3.85,10432501
2012-10-18,3.87,3.98,3.85,3.95,27987876
2012-10-19,3.91,3.95,3.86,3.89,27134540
2012-10-22,3.85,3.9,3.82,3.9,14017885
2012-10-23,3.89,3.93,3.85,3.86,15661196
2012-10-24,3.83,3.92,3.82,3.88,16068352
2012-10-25,3.87,3.97,3.86,3.87,26491508
2012-10-26,3.84,3.86,3.71,3.75,25307954
2012-10-29,3.73,3.77,3.71,3.74,10161914
2012-10-30,3.74,3.79,3.72,3.74,11486168
2012-10-31,3.73,3.77,3.71,3.76,9812560
2012-11-01,3.75,3.84,3.74,3.82,20977206
2012-11-02,3.81,3.85,3.79,3.83,13621809
2012-11-05,3.82,3.85,3.81,3.84,10221181
2012-11-06,3.84,3.84,3.76,3.79,12762946
2012-11-07,3.78,3.8,3.75,3.77,7870081
2012-11-08,3.75,3.75,3.65,3.66,16727113
2012-11-09,3.66,3.68,3.64,3.64,8599405
2012-11-12,3.67,3.68,3.65,3.68,7372210
2012-11-13,3.67,3.68,3.59,3.6,11295768
2012-11-14,3.6,3.65,3.58,3.63,10491036
2012-11-15,3.62,3.63,3.49,3.51,12524185
2012-11-16,3.51,3.53,3.44,3.47,13283515
2012-11-19,3.48,3.5,3.44,3.49,7980799
2012-11-20,3.51,3.52,3.46,3.47,6383740
2012-11-21,3.48,3.54,3.45,3.54,10560599
2012-11-22,3.52,3.52,3.48,3.49,5033979
2012-11-23,3.5,3.52,3.48,3.51,6440746
2012-11-26,3.51,3.51,3.46,3.47,5471280
2012-11-27,3.45,3.47,3.35,3.35,9909092
2012-11-28,3.34,3.34,3.25,3.28,8740128
2012-11-29,3.27,3.33,3.27,3.29,9481217
2012-11-30,3.29,3.34,3.26,3.33,8566558
2012-12-03,3.34,3.39,3.28,3.3,10780585
2012-12-04,3.28,3.37,3.26,3.36,10884955
2012-12-05,3.33,3.55,3.32,3.5,24235132
2012-12-06,3.48,3.85,3.46,3.8,84394256
2012-12-07,3.72,3.8,3.71,3.76,56480860
2012-12-10,3.77,3.84,3.72,3.78,50687240
2012-12-11,3.75,3.76,3.65,3.65,28904092
2012-12-12,3.65,3.72,3.6,3.69,20389764
2012-12-13,3.68,3.68,3.61,3.62,11565559
2012-12-14,3.63,3.84,3.61,3.81,43754504
2012-12-17,3.83,3.87,3.76,3.78,30698656
2012-12-18,3.76,3.81,3.71,3.76,25468034
2012-12-19,3.75,3.88,3.73,3.83,35607288
2012-12-20,3.8,3.8,3.71,3.77,23509312
2012-12-21,3.76,3.81,3.71,3.74,20637818
2012-12-24,3.72,3.78,3.72,3.75,11693853
2012-12-25,3.74,3.98,3.71,3.88,51703192
2012-12-26,3.85,3.9,3.83,3.89,27174306
2012-12-27,3.9,4.04,3.86,3.87,53737392
2012-12-28,3.85,3.91,3.82,3.9,25002540
2012-12-31,3.92,3.93,3.86,3.91,25630724
2013-01-04,3.94,3.96,3.86,3.92,25520496
2013-01-07,3.93,3.93,3.87,3.91,18149408
2013-01-08,3.91,3.91,3.86,3.88,21127732
2013-01-09,3.86,3.89,3.78,3.83,26671264
2013-01-10,3.83,3.9,3.81,3.87,21150876
2013-01-11,3.85,3.87,3.73,3.74,25744246
2013-01-14,3.72,3.87,3.72,3.85,27985444
2013-01-15,3.85,3.93,3.85,3.91,31421918
2013-01-16,3.91,3.95,3.85,3.94,31479904
2013-01-17,3.93,3.95,3.85,3.85,18624286
2013-01-18,3.85,3.92,3.83,3.91,20920278
2013-01-21,3.91,3.95,3.88,3.93,20794696
2013-01-22,3.92,3.93,3.82,3.85,17776716
2013-01-23,3.85,3.9,3.8,3.87,15951301
2013-01-24,3.87,3.94,3.76,3.78,28375540
2013-01-25,3.78,3.8,3.73,3.74,11967259
2013-01-28,3.74,3.89,3.74,3.88,17672704
