date,open,high,low,close,volume
2010-01-07,5.76,5.86,5.65,5.75,570082048
2010-01-08,5.6,5.61,5.5,5.58,244080304
2010-01-11,5.66,5.66,5.46,5.51,150425312
2010-01-12,5.5,5.57,5.47,5.56,98200758
2010-01-13,5.48,5.51,5.43,5.44,104567792
2010-01-14,5.46,5.54,5.43,5.5,76407672
2010-01-15,5.48,5.49,5.44,5.48,48826296
2010-01-18,5.47,5.47,5.44,5.46,50870944
2010-01-19,5.45,5.49,5.44,5.49,57925864
2010-01-20,5.48,5.48,5.33,5.34,81217280
2010-01-21,5.35,5.38,5.32,5.35,55066296
2010-01-22,5.32,5.32,5.16,5.24,57443880
2010-01-25,5.19,5.25,5.16,5.2,22097948
2010-01-26,5.2,5.24,5.05,5.09,33153412
2010-01-27,5.09,5.24,5.05,5.19,47593580
2010-01-28,5.21,5.26,5.17,5.21,65444016
2010-01-29,5.21,5.23,5.13,5.16,51512736
2010-02-01,5.16,5.18,5.1,5.17,33732156
2010-02-02,5.16,5.21,5.13,5.14,52005400
2010-02-03,5.14,5.16,4.99,5.12,55013428
2010-02-04,5.11,5.23,5.05,5.12,74801808
2010-02-05,5.09,5.09,5.01,5.04,39210500
2010-02-08,5.05,5.07,5.03,5.05,13584895
2010-02-09,5.04,5.13,5.02,5.08,27577752
2010-02-10,5.11,5.12,5.06,5.1,36784056
2010-02-11,5.1,5.12,5.09,5.1,36283668
2010-02-12,5.1,5.12,5.08,5.11,31211844
2010-02-22,5.1,5.11,5.05,5.06,17686848
2010-02-23,5.05,5.07,5.0,5.03,19698856
2010-02-24,5.01,5.1,5.0,5.1,22346580
2010-02-25,5.1,5.17,5.08,5.13,46032760
2010-02-26,5.11,5.12,5.07,5.08,22182158
2010-03-01,5.08,5.12,5.07,5.11,20022312
2010-03-02,5.11,5.12,5.05,5.07,20411764
2010-03-03,5.07,5.12,5.05,5.12,28085332
2010-03-04,5.11,5.12,5.01,5.02,33196410
2010-03-05,5.02,5.05,5.01,5.04,16203536
2010-03-08,5.05,5.05,5.02,5.04,13473899
2010-03-09,5.03,5.06,4.99,5.04,17461826
2010-03-10,5.05,5.05,5.0,5.02,14480517
2010-03-11,5.01,5.03,4.99,5.01,14462261
2010-03-12,5.01,5.02,4.94,4.95,22827484
2010-03-15,4.95,4.97,4.89,4.91,17439386
2010-03-16,4.9,4.92,4.85,4.89,13257282
2010-03-17,4.89,4.95,4.87,4.95,16875602
2010-03-18,4.95,4.95,4.9,4.91,12027745
2010-03-19,4.91,4.95,4.88,4.93,13134288
2010-03-22,4.95,4.99,4.93,4.97,16609995
2010-03-23,4.97,4.97,4.92,4.93,10797587
2010-03-24,4.93,5.02,4.93,4.98,23520002
2010-03-25,4.97,4.97,4.89,4.9,16621949
2010-03-26,4.9,4.96,4.89,4.94,11708177
2010-03-29,4.96,5.19,4.93,5.1,78826320
2010-03-30,5.05,5.08,5.03,5.06,29386968
