date,open,high,low,close,volume
2006-08-18,2.78,2.81,2.74,2.8,285071491
2006-08-21,2.8,2.8,2.75,2.8,51638053
2006-08-23,2.78,2.79,2.77,2.78,25127471
2006-08-24,2.77,2.79,2.75,2.78,28878612
2006-08-25,2.77,2.78,2.75,2.76,16315346
2006-08-28,2.77,2.78,2.76,2.77,20916909
2006-08-29,2.77,2.78,2.75,2.76,15043482
2006-08-30,2.75,2.78,2.74,2.77,23182202
2006-08-31,2.77,2.78,2.75,2.76,28426251
2006-09-01,2.76,2.78,2.75,2.77,17023123
2006-09-04,2.78,2.88,2.77,2.84,133054908
2006-09-05,2.84,2.88,2.82,2.84,53826784
2006-09-06,2.84,2.87,2.84,2.86,35077200
2006-09-07,2.86,2.87,2.82,2.83,25352656
2006-09-08,2.84,2.88,2.84,2.86,35692270
2006-09-11,2.86,2.88,2.83,2.87,17565647
2006-09-12,2.89,3.02,2.87,3.01,95911829
2006-09-13,3.0,3.04,2.97,2.98,57232231
2006-09-14,2.97,3.01,2.94,2.98,20361461
2006-09-15,2.99,3.28,2.99,3.28,54827899
2006-09-18,3.38,3.47,3.32,3.4,106265996
2006-09-19,3.38,3.48,3.3,3.38,57467587
2006-09-20,3.42,3.47,3.34,3.45,47228847
2006-09-21,3.45,3.48,3.38,3.42,38218042
2006-09-22,3.41,3.41,3.31,3.34,26479444
2006-09-25,3.35,3.53,3.33,3.42,49819707
2006-09-27,3.43,3.44,3.3,3.37,23804657
2006-09-28,3.34,3.46,3.27,3.43,30063690
2006-09-29,3.44,3.64,3.4,3.58,49084469
2006-10-09,3.75,3.75,3.51,3.59,46733781
2006-10-10,3.56,3.63,3.52,3.58,28446143
2006-10-11,3.63,3.67,3.56,3.65,20908788
2006-10-12,3.65,3.75,3.64,3.71,24839020
2006-10-13,3.7,3.76,3.66,3.74,15180826
2006-10-16,3.71,3.71,3.59,3.62,31516794
2006-10-17,3.58,3.58,3.45,3.47,26398976
2006-10-18,3.47,3.53,3.39,3.51,19335947
2006-10-19,3.55,3.7,3.49,3.6,27212868
2006-10-20,3.58,3.59,3.5,3.53,12782011
2006-10-23,3.55,3.63,3.52,3.57,21866149
2006-10-24,3.59,3.78,3.58,3.72,29914470
2006-10-25,3.68,3.78,3.67,3.73,19426985
2006-10-26,3.66,3.98,3.63,3.88,42387362
2006-10-27,3.9,3.96,3.75,3.78,23419996
2006-10-30,3.84,3.86,3.72,3.82,24489951
2006-10-31,3.87,4.2,3.87,4.2,56379651
2006-11-01,4.26,4.48,4.18,4.35,44777852
2006-11-02,4.34,4.46,4.25,4.36,20128693
2006-11-03,4.33,4.42,4.23,4.28,16068022
2006-11-06,4.23,4.35,4.18,4.33,18402256
2006-11-07,4.32,4.35,4.05,4.24,26859622
2006-11-08,4.25,4.26,4.12,4.23,25325481
2006-11-09,4.2,4.35,4.09,4.35,42546591
2006-11-10,4.28,4.34,4.05,4.14,34708924
2006-11-13,4.15,4.3,4.05,4.15,24610231
2006-11-14,4.2,4.3,4.11,4.29,27336358
2006-11-15,4.28,4.62,4.23,4.44,47206317
2006-11-16,4.42,4.51,4.29,4.33,41155213
2006-11-17,4.45,4.67,4.41,4.51,66656090
2006-11-20,4.54,4.8,4.51,4.78,55436140
2006-11-21,4.76,4.77,4.56,4.72,47463207
2006-11-22,4.6,4.66,4.48,4.5,56245824
2006-11-23,4.55,4.6,4.4,4.45,48810496
2006-11-24,4.45,4.47,4.25,4.38,57769266
2006-11-27,4.36,4.45,4.32,4.42,32425951
2006-11-28,4.41,4.41,4.28,4.34,28957527
2006-11-29,4.28,4.44,4.21,4.42,55650143
2006-11-30,4.42,4.56,4.38,4.52,54522941
2006-12-01,4.53,4.68,4.43,4.54,57239041
2006-12-04,4.53,4.67,4.47,4.64,52944847
2006-12-05,4.68,4.95,4.68,4.76,54137289
2006-12-06,4.74,4.74,4.49,4.59,44997993
2006-12-07,4.55,4.93,4.5,4.73,65870656
2006-12-08,4.62,4.75,4.46,4.49,37739201
2006-12-11,4.47,4.69,4.42,4.68,26081576
2006-12-12,4.71,4.84,4.62,4.73,39281943
2006-12-13,4.77,4.86,4.66,4.7,32157748
2006-12-14,4.69,4.8,4.67,4.74,21177293
2006-12-15,4.75,4.79,4.67,4.76,24765841
2006-12-18,4.79,4.8,4.58,4.61,94761108
2006-12-19,4.66,4.8,4.53,4.8,115072370
2006-12-20,4.75,4.75,4.6,4.66,58430628
2006-12-21,4.65,4.68,4.53,4.55,46752329
2006-12-22,4.52,4.6,4.4,4.46,37023382
2006-12-25,4.45,4.68,4.43,4.54,52254383
2006-12-26,4.53,4.62,4.42,4.5,27165257
2006-12-27,4.5,4.69,4.5,4.68,58149716
2006-12-29,4.84,5.15,4.84,5.15,54718476
2007-01-04,5.67,5.67,5.45,5.66,188158234
2007-01-05,5.67,6.09,5.46,5.87,165035762
2007-01-08,5.91,6.04,5.63,5.82,62866180
2007-01-09,5.82,6.4,5.7,6.4,88391168
2007-01-10,6.5,6.59,6.18,6.49,93008728
2007-01-11,6.55,7.1,6.55,6.86,88440282
2007-01-12,6.84,7.25,6.5,6.78,71013088
2007-01-15,7.09,7.25,6.74,7.07,62796040
2007-01-16,7.08,7.7,7.08,7.6,78381883
2007-01-17,7.69,8.07,7.48,7.64,82497419
2007-01-18,7.5,7.66,6.88,7.4,62583447
2007-01-19,7.45,7.61,7.21,7.41,47104990
2007-01-22,7.44,7.87,7.43,7.79,60373695
2007-01-23,7.81,7.95,7.57,7.72,42866839
2007-01-24,7.6,7.6,7.33,7.46,80080079
2007-01-25,7.46,7.46,7.04,7.08,41333897
2007-01-26,7.01,7.35,6.91,7.3,43124581
2007-01-29,7.3,7.4,7.16,7.35,47090578
2007-01-30,7.39,7.82,7.35,7.66,58295471
2007-01-31,7.42,7.48,6.91,7.06,42046616
2007-02-01,6.92,6.92,6.47,6.76,39341987
2007-02-02,6.61,6.8,6.4,6.43,24671541
2007-02-05,6.31,6.32,6.01,6.05,41460841
2007-02-06,6.07,6.35,5.75,6.33,85324520
2007-02-07,6.35,6.66,6.26,6.54,68977619
2007-02-08,6.57,6.75,6.45,6.69,39973656
2007-02-09,6.57,6.6,6.44,6.51,37799201
2007-02-12,6.55,6.69,6.49,6.68,42046784
2007-02-13,6.75,7.11,6.72,7.1,59104320
2007-02-14,7.14,7.42,7.05,7.31,69600719
2007-02-15,7.35,7.45,7.3,7.4,41189337
2007-02-16,7.41,7.98,7.21,7.72,60634917
2007-02-26,7.62,7.63,7.0,7.54,64726401
2007-02-27,7.54,7.54,6.79,6.79,72969139
2007-02-28,6.58,6.98,6.45,6.9,71285927
2007-03-01,6.87,6.87,6.49,6.54,50179396
2007-03-02,6.53,6.95,6.48,6.8,63162686
2007-03-05,6.72,6.85,6.5,6.69,42617312
2007-03-06,6.69,7.11,6.6,7.1,58757616
2007-03-07,7.05,7.21,6.96,7.13,45038086
2007-03-08,7.1,7.4,7.05,7.28,48238171
2007-03-09,7.28,7.29,7.01,7.27,58283552
2007-03-12,7.36,7.4,7.11,7.3,48893481
2007-03-13,7.31,7.41,7.25,7.35,51586952
2007-03-14,7.25,7.25,7.04,7.1,47020283
2007-03-15,7.1,7.24,7.1,7.15,27048515
2007-03-16,7.22,7.35,7.07,7.25,60911292
2007-03-19,7.05,7.6,6.98,7.56,95888156
2007-03-20,7.68,7.7,7.48,7.57,77665102
2007-03-21,7.57,7.65,7.39,7.45,78345638
2007-03-22,7.54,7.7,7.5,7.54,77025680
2007-03-23,7.51,7.56,7.27,7.49,62101853
2007-03-26,7.49,7.8,7.41,7.79,102688651
