date,open,high,low,close,volume
2008-03-10,11.0,12.18,11.0,11.64,1113797750
2008-03-11,11.52,12.54,11.42,12.23,509320605
2008-03-12,12.2,12.3,11.73,12.0,341497475
2008-03-13,11.91,12.26,11.65,11.99,360406767
2008-03-14,12.02,12.18,11.2,11.46,223776920
2008-03-17,11.22,11.74,11.05,11.41,153219836
2008-03-18,11.3,11.65,10.6,11.04,182879364
2008-03-19,11.42,11.67,11.16,11.39,187907778
2008-03-20,11.0,12.19,10.64,11.89,217793640
2008-03-21,11.7,12.08,11.55,11.66,129468196
2008-03-24,11.88,11.98,10.93,10.98,156801775
2008-03-25,10.8,11.38,10.65,11.2,94787646
2008-03-26,11.24,11.24,10.73,10.9,99754296
2008-03-27,10.5,10.6,9.85,9.98,185008881
2008-03-28,9.98,10.43,9.66,10.34,124440075
2008-03-31,9.85,10.04,9.68,9.79,98651931
2008-04-01,9.83,10.28,9.8,10.05,110019826
2008-04-02,10.27,10.65,10.0,10.45,154269565
2008-04-03,10.61,11.1,10.46,10.86,130205353
2008-04-07,10.65,11.9,10.54,11.53,184744075
2008-04-08,11.41,11.79,11.19,11.46,122758311
2008-04-09,11.25,11.67,10.6,10.65,119782489
2008-04-10,10.5,10.96,10.27,10.84,66181916
2008-04-11,10.91,10.98,10.6,10.79,48940859
2008-04-14,10.4,10.58,9.98,10.15,81035472
2008-04-15,10.08,10.58,9.98,10.55,73755410
2008-04-16,10.47,10.65,10.2,10.32,44403289
2008-04-17,10.48,10.65,10.16,10.26,54720272
2008-04-18,10.26,10.49,10.0,10.28,56940011
2008-04-21,11.31,11.31,10.38,10.57,135656840
2008-04-22,10.27,11.23,10.14,11.09,127041755
2008-04-23,10.95,11.49,10.83,11.28,167357072
2008-04-24,12.0,12.41,11.84,12.41,385644000
2008-04-25,12.0,13.0,12.0,12.17,272332870
2008-04-28,12.18,12.35,11.67,11.81,116693443
2008-04-29,11.75,12.3,11.69,11.9,103184875
2008-04-30,11.91,12.44,11.84,12.29,147430914
2008-05-05,12.45,12.52,11.98,12.25,120672593
2008-05-06,12.15,12.95,11.89,12.67,201141027
2008-05-07,12.51,13.03,11.81,11.89,194052735
2008-05-08,11.74,12.16,11.74,12.15,83611038
2008-05-09,12.12,12.25,11.61,11.81,86826133
2008-05-12,11.5,12.12,11.43,11.9,85860213
2008-05-13,11.53,12.17,11.53,11.77,72685262
2008-05-14,11.8,12.18,11.8,12.08,69300616
2008-05-15,12.21,12.42,12.03,12.05,96210489
2008-05-16,12.01,12.16,11.63,11.81,59813659
2008-05-19,11.75,11.97,11.66,11.83,37456801
2008-05-20,11.86,12.04,11.0,11.15,65733091
2008-05-21,11.06,11.51,10.96,11.47,62174207
2008-05-22,11.25,11.56,11.11,11.23,56152013
2008-05-23,11.18,11.29,11.0,11.16,39580203
2008-05-26,11.0,11.0,10.69,10.72,39354651
2008-05-27,10.68,10.92,10.66,10.8,21553794
2008-05-28,10.84,11.16,10.69,11.04,36619470
2008-05-29,10.99,11.04,10.68,10.75,39618002
2008-05-30,10.85,10.93,10.53,10.76,28247361
2008-06-02,11.02,11.23,10.99,11.11,68858252
2008-06-03,10.99,11.06,10.7,10.85,35239599
2008-06-04,10.7,10.82,10.26,10.31,48719800
2008-06-05,10.31,10.45,10.18,10.37,28341258
2008-06-06,10.44,10.45,10.16,10.19,23917062
2008-06-10,9.66,9.68,9.17,9.18,162310127
