date,open,high,low,close,volume
1994-02-02,5.8,6.4,5.8,6.2,5900600
1994-02-03,6.25,6.75,6.2,6.75,4611500
1994-02-04,6.8,7.9,6.5,7.7,6474800
1994-02-14,7.8,7.9,6.9,6.9,3542800
1994-02-15,6.8,7.35,6.75,7.2,3306200
1994-02-16,7.25,7.4,7.05,7.15,2841500
1994-02-17,7.0,7.1,6.9,6.95,1077600
1994-02-18,6.85,7.0,6.8,7.0,679100
1994-02-21,7.0,7.0,6.6,6.6,674900
1994-02-22,6.9,7.6,6.9,7.25,4095700
1994-02-23,7.3,7.35,7.0,7.2,1514600
1994-02-24,7.3,7.6,7.2,7.6,2571300
1994-02-25,7.75,8.0,7.5,7.55,5828800
1994-02-28,7.7,7.85,7.55,7.6,2286500
1994-03-01,7.55,7.75,7.45,7.5,1170900
1994-03-02,7.5,7.55,7.3,7.4,755500
1994-03-03,7.4,7.5,7.0,7.2,1360200
1994-03-04,7.05,7.35,7.0,7.15,1101600
1994-03-07,7.25,7.3,7.05,7.3,906000
1994-03-08,7.25,7.3,7.15,7.25,514600
1994-03-09,7.2,7.35,7.15,7.15,415500
1994-03-10,7.15,7.25,7.05,7.1,562400
1994-03-11,7.0,7.4,6.95,7.15,1012300
1994-03-14,7.45,7.8,7.4,7.65,2666100
1994-03-15,7.8,7.8,7.3,7.3,1643800
1994-03-16,7.3,7.45,7.25,7.3,707900
1994-03-17,7.3,7.5,7.3,7.4,675700
1994-03-18,7.5,7.8,7.4,7.65,2671800
1994-03-21,7.8,7.8,7.3,7.35,1032100
1994-03-22,7.3,7.4,7.2,7.4,391300
1994-03-23,7.3,7.3,7.1,7.2,477500
1994-03-24,7.1,7.2,7.05,7.1,747400
1994-03-25,7.1,7.25,7.05,7.1,348100
1994-03-28,7.05,7.1,6.8,6.8,445300
1994-03-29,6.75,7.1,6.65,7.1,468100
1994-03-30,7.15,7.15,6.75,6.8,650100
1994-03-31,6.85,6.85,6.5,6.6,355000
1994-04-01,6.5,6.6,6.3,6.35,403400
1994-04-04,6.3,6.55,6.3,6.3,412000
1994-04-05,6.2,6.65,6.2,6.5,908300
1994-04-06,6.5,6.75,6.5,6.75,692900
1994-04-07,6.8,6.95,6.65,6.65,1018200
1994-04-08,6.6,6.6,6.25,6.3,898800
1994-04-11,6.2,6.35,6.1,6.1,484900
1994-04-12,6.0,6.3,6.0,6.15,354200
1994-04-13,6.15,6.3,6.0,6.0,497500
1994-04-14,5.95,5.95,5.6,5.6,649900
1994-04-15,5.5,5.9,5.1,5.9,1380000
1994-04-18,5.9,5.9,5.0,5.35,1472100
1994-04-19,5.3,5.4,5.0,5.05,821900
1994-04-20,4.95,5.3,4.7,4.85,1632700
1994-04-21,4.8,5.35,4.8,5.2,2282500
1994-04-22,5.25,5.3,4.9,4.95,1938900
1994-04-25,4.9,5.05,4.8,5.05,336500
1994-04-26,5.15,5.3,5.0,5.3,1172100
1994-04-27,5.35,5.58,5.26,5.55,1708800
1994-04-28,5.65,5.7,5.1,5.16,2052600
1994-04-29,5.1,5.3,4.91,5.18,1201800
1994-05-03,5.25,5.45,4.8,5.28,1657200
1994-05-04,5.12,5.3,4.95,4.98,3150400
1994-05-05,4.75,4.8,4.4,4.55,627500
1994-05-06,4.6,4.62,4.45,4.5,712100
1994-05-09,4.4,4.5,4.26,4.44,1103700
1994-05-10,4.52,4.79,4.35,4.77,1709300
1994-05-11,4.8,5.2,4.7,4.78,3536900
1994-05-12,4.65,4.78,4.53,4.55,1159800
1994-05-13,4.6,4.9,4.45,4.9,1137100
1994-05-16,5.0,5.15,4.8,4.93,1211300
1994-05-17,4.9,5.14,4.8,4.82,1371900
