date,open,high,low,close,volume
2002-03-04,11.0,11.2,10.57,11.03,37259889
2002-03-05,11.03,11.46,10.95,11.29,14460892
2002-03-06,11.3,11.45,11.16,11.18,11533240
2002-03-07,11.18,11.69,11.17,11.62,10703011
2002-03-08,11.65,11.89,11.56,11.77,10272741
2002-03-11,11.83,12.07,11.71,12.05,6625998
2002-03-12,12.0,12.1,11.72,11.78,6099824
2002-03-13,11.7,11.87,11.63,11.67,3567574
2002-03-14,11.68,12.07,11.68,12.05,3606252
2002-03-15,12.12,12.4,11.75,11.78,5903282
2002-03-18,11.99,12.2,11.8,11.95,3536208
2002-03-19,12.02,12.84,11.98,12.71,8171108
2002-03-20,12.76,13.7,12.61,13.26,13575915
2002-03-21,13.26,13.3,12.96,13.11,4797035
2002-03-22,13.0,13.48,12.98,13.44,4415159
2002-03-25,13.41,14.09,13.31,13.82,7221551
2002-03-26,13.83,13.95,13.58,13.85,4630001
2002-03-27,13.73,13.99,13.48,13.79,3461212
2002-03-28,13.8,14.32,13.65,13.99,4846831
2002-03-29,13.9,13.9,12.91,13.18,6832486
2002-04-01,13.1,13.36,12.9,13.31,2964467
2002-04-02,13.3,13.3,12.5,12.61,3834155
2002-04-03,12.6,12.9,12.58,12.67,2563861
2002-04-04,12.65,13.25,12.26,13.19,3361631
2002-04-05,13.17,13.39,13.0,13.02,3315346
2002-04-08,13.0,13.39,12.96,13.17,1727842
2002-04-09,13.11,13.52,13.11,13.48,2246498
2002-04-10,13.51,13.6,13.35,13.48,1662411
2002-04-11,13.45,13.45,13.03,13.06,1738665
2002-04-12,13.0,13.2,12.96,13.1,1125860
2002-04-15,13.13,13.15,12.8,12.99,1276973
2002-04-16,13.0,13.06,12.81,12.91,590295
2002-04-17,13.0,13.28,12.93,13.09,879178
2002-04-18,13.2,13.2,12.76,12.78,1094059
2002-04-19,12.78,12.95,12.52,12.85,1295850
2002-04-22,12.8,12.8,12.56,12.67,578405
2002-04-23,12.53,12.75,12.31,12.47,584435
2002-04-24,12.41,12.55,12.31,12.45,755242
2002-04-25,12.47,12.75,12.4,12.66,450099
2002-04-26,12.76,12.93,12.66,12.85,735694
2002-04-29,12.88,13.07,12.8,13.03,976332
2002-05-08,13.22,13.28,12.8,12.85,955607
2002-05-09,12.76,12.95,12.76,12.8,536470
2002-05-10,12.8,12.88,12.61,12.64,478350
2002-05-13,12.63,12.63,12.47,12.5,578765
2002-05-14,12.51,12.69,12.5,12.58,409764
2002-05-15,12.5,12.63,12.4,12.44,594942
2002-05-16,12.32,12.44,11.95,11.97,1070533
2002-05-17,12.02,12.2,11.8,12.11,857359
2002-05-20,12.1,12.1,11.6,11.74,860995
2002-05-21,12.01,12.4,12.01,12.18,1388466
2002-05-22,12.15,12.19,11.81,11.87,676295
2002-05-23,12.01,12.23,11.95,11.99,536230
2002-05-24,11.91,12.02,11.75,11.85,353018
2002-05-27,11.95,12.14,11.88,12.13,361451
2002-05-28,12.11,12.26,12.03,12.05,333060
2002-05-29,12.02,12.09,11.71,11.76,510810
2002-05-30,11.77,11.84,11.39,11.57,622925
2002-05-31,11.57,11.68,11.45,11.46,518800
2002-06-03,11.22,11.29,11.0,11.24,716902
2002-06-04,11.2,11.3,10.86,11.1,785998
2002-06-05,11.05,11.19,10.86,11.09,750205
2002-06-06,11.0,11.9,10.99,11.61,1444239
2002-06-07,11.6,11.81,11.4,11.65,1516376
2002-06-10,11.6,11.6,11.35,11.45,536799
2002-06-11,11.48,11.77,11.41,11.68,550598
2002-06-12,11.67,11.68,11.42,11.55,322275
2002-06-13,11.58,11.63,11.29,11.3,370545
2002-06-14,11.25,11.36,11.01,11.03,562593
2002-06-17,10.92,11.14,10.9,11.07,257609
2002-06-18,11.16,11.5,11.16,11.42,599282
2002-06-19,11.42,11.42,11.2,11.2,285407
2002-06-20,11.2,11.5,11.2,11.37,593863
2002-06-21,11.37,11.84,11.37,11.8,1494196
2002-06-24,12.98,12.98,12.5,12.98,5899325
2002-06-25,12.98,13.48,12.76,12.78,4689874
2002-06-26,12.76,12.88,12.55,12.8,1520131
2002-06-27,12.78,13.04,12.69,13.0,1833422
2002-06-28,13.0,13.15,12.7,12.89,1853142
2002-07-01,12.83,12.89,12.6,12.61,845636
2002-07-02,12.51,12.8,12.46,12.8,720543
2002-07-03,12.85,12.95,12.65,12.84,872936
2002-07-04,12.86,12.9,12.65,12.66,637588
2002-07-05,12.67,12.8,12.61,12.72,485527
2002-07-08,12.75,12.98,12.65,12.88,849138
2002-07-09,12.94,12.96,12.8,12.81,672870
2002-07-10,12.88,12.88,12.55,12.57,629800
2002-07-11,12.51,12.62,12.41,12.43,690493
2002-07-12,12.43,12.54,12.37,12.4,403700
2002-07-15,12.45,12.45,12.16,12.18,497189
2002-07-16,12.2,12.37,12.16,12.18,331736
2002-07-17,12.25,12.33,12.13,12.3,752580
2002-07-18,12.3,12.4,12.23,12.29,254160
2002-07-19,12.35,12.37,12.26,12.29,250600
2002-07-22,12.3,12.35,12.01,12.07,472341
2002-07-23,12.0,12.1,12.0,12.05,261550
2002-07-24,12.05,12.21,12.05,12.15,203551
2002-07-25,12.15,12.22,12.01,12.07,208738
2002-07-26,12.1,12.13,12.03,12.05,167418
2002-07-29,12.02,12.29,12.0,12.28,259542
2002-07-30,12.28,12.3,12.15,12.17,182788
2002-07-31,12.1,12.19,11.95,12.0,256027
2002-08-01,11.96,11.96,11.8,11.89,459346
2002-08-02,11.88,11.97,11.88,11.96,131452
2002-08-05,11.9,11.98,11.82,11.9,123470
2002-08-06,11.88,12.1,11.8,12.04,197206
2002-08-07,12.03,12.03,11.9,11.94,115250
2002-08-08,11.94,12.02,11.85,11.86,128800
2002-08-09,11.86,11.89,11.8,11.85,192183
2002-08-12,11.8,11.8,11.66,11.67,182070
2002-08-13,11.7,11.73,11.6,11.64,206041
2002-08-14,11.62,11.74,11.6,11.73,216645
2002-08-15,11.78,11.78,11.6,11.61,129000
2002-08-16,11.6,11.8,11.55,11.75,146681
2002-08-19,11.7,11.76,11.56,11.65,93615
2002-08-20,11.7,11.88,11.65,11.75,254473
2002-08-21,11.84,11.94,11.78,11.87,201006
2002-08-22,11.79,12.1,11.79,12.0,404381
2002-08-23,12.05,12.05,11.88,11.92,158523
2002-08-26,11.88,11.9,11.71,11.72,207507
2002-08-27,11.7,12.09,11.68,12.06,467653
2002-08-28,12.08,12.18,12.0,12.02,392200
2002-08-29,12.03,12.05,11.88,11.9,185871
2002-08-30,11.98,11.98,11.82,11.83,203000
2002-09-02,11.82,11.96,11.82,11.89,215300
2002-09-03,11.9,12.03,11.9,11.93,97000
2002-09-04,12.0,12.0,11.82,11.88,145300
2002-09-05,11.88,11.93,11.69,11.72,262957
2002-09-06,11.78,11.78,11.66,11.67,190022
2002-09-09,11.62,11.66,11.5,11.53,250100
2002-09-10,11.5,11.65,11.49,11.58,107461
2002-09-11,11.56,11.65,11.3,11.48,232359
2002-09-12,11.42,11.63,11.41,11.53,164140
2002-09-13,11.55,11.55,11.41,11.49,76300
2002-09-16,11.68,11.68,11.46,11.54,166028
2002-09-17,11.54,11.58,11.38,11.55,112730
2002-09-18,11.55,11.62,11.47,11.55,125533
2002-09-19,11.8,11.8,11.56,11.75,303220
2002-09-20,11.75,11.75,11.6,11.62,139300
2002-09-23,10.92,11.92,10.92,11.78,207799
2002-09-24,11.61,11.78,11.61,11.63,95846
2002-09-25,11.54,11.69,11.53,11.64,124459
2002-09-26,11.6,11.7,11.45,11.47,131020
2002-09-27,11.42,11.5,11.42,11.45,179620
2002-10-08,11.4,11.53,11.36,11.41,147660
2002-10-09,11.33,11.4,11.1,11.18,197939
2002-10-10,11.11,11.21,11.09,11.1,143868
2002-10-11,11.2,11.2,10.89,10.91,253346
2002-10-14,10.91,11.0,10.7,10.93,370731
2002-10-15,11.08,11.08,10.77,10.78,199899
2002-10-16,10.8,11.02,10.75,10.95,284013
2002-10-17,10.8,10.97,10.65,10.66,258860
2002-10-18,10.68,10.78,10.4,10.7,285759
2002-10-21,10.7,10.73,10.5,10.67,149909
2002-10-22,10.7,10.95,10.61,10.89,331593
2002-10-23,10.92,10.92,10.75,10.89,171946
2002-10-24,10.87,10.88,10.61,10.72,155430
2002-10-25,10.92,10.92,10.5,10.56,215372
2002-10-28,10.5,10.55,10.4,10.42,208022
2002-10-29,10.42,10.55,10.29,10.44,205295
2002-10-30,10.3,10.39,10.11,10.22,163100
2002-10-31,10.25,10.4,10.2,10.25,133833
2002-11-01,10.2,10.35,10.1,10.2,185026
2002-11-04,10.4,10.48,10.2,10.47,195195
2002-11-05,10.49,10.91,10.45,10.85,773827
2002-11-06,10.8,10.97,10.72,10.8,377218
2002-11-07,10.77,10.83,10.66,10.71,194221
2002-11-08,10.9,10.96,10.25,10.3,439320
2002-11-11,10.28,10.39,10.21,10.22,168319
2002-11-12,10.18,10.31,9.82,9.84,486400
2002-11-13,9.84,10.0,9.62,9.98,494918
2002-11-14,9.95,9.96,9.63,9.65,311849
2002-11-15,9.63,9.98,9.5,9.87,639927
2002-11-19,9.77,10.18,9.6,10.11,665959
2002-11-20,10.07,10.07,9.7,9.76,507705
2002-11-21,9.7,9.79,9.6,9.62,466980
2002-11-22,9.7,9.9,9.48,9.75,600611
2002-11-25,9.61,9.94,9.6,9.93,398526
2002-11-26,9.88,10.01,9.61,9.67,507347
2002-11-27,9.6,9.69,9.0,9.26,819120
2002-11-28,9.18,9.58,8.92,9.52,842834
2002-11-29,9.48,9.95,9.36,9.69,1202658
2002-12-02,9.6,9.65,9.23,9.26,437406
2002-12-03,9.21,9.42,9.2,9.41,375095
2002-12-04,9.48,10.07,9.45,9.66,1674065
2002-12-05,9.63,9.78,9.53,9.75,606554
2002-12-06,9.9,9.9,9.65,9.68,479589
2002-12-09,9.63,9.78,9.57,9.62,236487
2002-12-10,9.6,9.7,9.4,9.4,302261
2002-12-11,9.4,9.47,9.28,9.44,287753
2002-12-12,9.49,9.7,9.45,9.51,289450
2002-12-13,9.38,9.72,9.31,9.69,385962
2002-12-16,9.7,9.8,9.64,9.75,398227
2002-12-17,9.75,9.84,9.68,9.8,316960
2002-12-18,9.82,9.93,9.67,9.69,481600
2002-12-19,9.61,9.77,9.56,9.7,286380
2002-12-20,9.7,9.9,9.63,9.86,643451
2002-12-23,9.86,9.96,9.79,9.81,316000
2002-12-24,9.83,9.84,9.63,9.8,600479
2002-12-25,9.85,10.05,9.77,9.94,1887110
2002-12-26,9.98,10.15,9.63,9.66,3181942
2002-12-27,9.51,9.65,9.28,9.4,1001861
2002-12-30,9.4,9.4,9.05,9.14,720164
2002-12-31,9.12,9.39,8.96,8.98,436500
2003-01-02,8.89,9.02,8.66,8.7,448449
2003-01-03,8.68,8.75,8.61,8.71,382588
2003-01-06,8.63,8.88,8.62,8.83,314034
