date,open,high,low,close,volume
2000-12-18,18.8,19.68,17.11,18.79,38355617
2000-12-19,18.48,18.97,18.08,18.36,10639625
2000-12-20,18.31,20.2,18.26,20.2,9869968
2000-12-21,20.44,20.97,19.81,20.51,13469947
2000-12-22,20.4,20.57,19.69,19.8,5779541
2000-12-25,19.8,20.3,19.7,19.71,3247070
2000-12-26,19.71,20.18,19.5,20.15,3133769
2000-12-27,20.15,20.3,19.5,19.58,2318862
2000-12-28,19.52,19.68,19.11,19.2,2482379
2000-12-29,19.25,19.6,19.16,19.38,1460595
2001-01-02,19.5,19.96,19.29,19.77,1488685
2001-01-03,19.7,20.28,19.4,20.0,2924473
2001-01-04,20.1,20.32,19.85,19.9,2012707
2001-01-05,19.91,20.68,19.91,20.48,3639514
2001-01-08,20.6,20.7,19.7,20.08,1825391
2001-01-09,20.0,20.26,19.77,19.96,1165229
2001-01-10,19.96,20.26,19.75,20.08,985915
2001-01-11,20.1,20.4,20.0,20.02,1562512
2001-01-12,20.0,20.0,19.52,19.57,1455305
2001-01-15,19.36,19.55,18.7,18.72,1945744
2001-01-16,18.5,18.92,18.41,18.89,1110541
2001-01-17,18.9,18.99,18.49,18.58,660520
2001-01-18,18.5,18.85,18.48,18.6,728434
2001-01-19,18.85,19.09,18.66,19.01,705597
2001-02-05,19.05,19.07,18.0,18.08,1108939
2001-02-06,17.88,18.0,17.17,17.6,1247545
2001-02-07,17.6,17.97,17.5,17.72,547842
2001-02-08,17.75,17.91,17.39,17.42,561132
2001-02-09,17.5,17.95,17.5,17.81,510099
2001-02-12,17.88,17.9,17.51,17.83,263417
2001-02-13,17.9,18.06,17.71,17.8,297575
2001-02-14,17.6,17.85,17.59,17.73,410417
2001-02-15,17.65,17.77,17.62,17.67,163996
2001-02-16,17.5,17.85,17.3,17.8,356510
2001-02-19,17.78,18.08,17.65,17.99,334950
2001-02-20,18.0,18.1,17.51,17.6,431859
2001-02-21,17.3,17.6,17.3,17.44,374877
2001-02-22,17.4,17.75,17.37,17.49,226647
2001-02-23,17.6,17.9,17.49,17.88,266420
2001-02-26,17.85,18.2,17.66,18.13,640866
2001-02-27,18.13,18.2,17.85,18.13,619360
2001-02-28,18.13,18.13,17.8,17.9,358324
2001-03-01,17.85,18.08,17.83,18.01,274262
2001-03-02,18.0,18.25,17.98,18.1,533854
2001-03-05,18.22,18.49,18.18,18.36,692241
2001-03-06,18.36,18.4,18.15,18.36,372375
2001-03-07,18.36,18.5,18.24,18.37,566548
2001-03-08,18.38,18.88,18.38,18.57,812078
2001-03-09,18.6,18.78,18.55,18.7,686630
2001-03-12,18.72,19.05,18.72,19.03,1038464
2001-03-13,19.06,19.08,18.66,18.79,763979
2001-03-14,18.7,18.86,18.61,18.86,506196
2001-03-15,18.86,18.98,18.7,18.75,477540
2001-03-16,18.8,18.84,18.39,18.44,661662
2001-03-19,18.4,18.59,18.33,18.5,410240
2001-03-20,18.51,18.95,18.44,18.95,466681
2001-03-21,18.95,19.1,18.76,19.05,516130
2001-03-22,19.05,19.33,18.98,19.19,850415
2001-03-23,19.17,19.2,18.62,18.65,746300
2001-03-27,19.05,19.28,18.96,19.09,581466
2001-03-28,19.15,19.19,18.85,18.98,537445
2001-03-29,18.89,19.4,18.88,19.21,994475
2001-03-30,19.3,19.55,19.25,19.39,866892
2001-04-02,19.44,19.66,19.36,19.52,889948
2001-04-03,19.53,19.6,19.22,19.37,528800
2001-04-04,19.34,19.35,18.75,18.85,747313
2001-04-05,18.73,20.05,18.7,19.83,1768725
2001-04-06,19.85,20.05,19.73,19.77,1601117
2001-04-09,19.77,19.9,19.6,19.8,597350
2001-04-10,19.82,20.09,19.8,19.95,802440
2001-04-11,19.98,20.19,19.85,20.09,1100144
2001-04-12,20.1,20.15,19.75,19.82,732251
2001-04-13,19.81,20.05,19.66,19.88,728202
2001-04-16,19.95,20.37,19.77,20.18,1231598
2001-04-17,20.32,21.18,20.12,20.9,3241576
2001-04-18,20.9,21.18,20.66,20.87,1468366
2001-04-19,20.86,21.0,20.45,20.91,1487951
2001-04-20,20.91,21.97,20.81,20.81,5285461
2001-04-23,20.68,21.56,20.55,21.3,4901352
2001-04-24,21.35,21.7,21.15,21.5,2299220
2001-04-25,21.58,21.8,20.51,20.7,2788819
2001-04-26,20.49,21.18,20.4,20.94,3017103
2001-04-27,20.8,21.95,20.8,21.8,5112687
2001-04-30,21.95,22.98,21.8,22.68,5588046
2001-05-08,22.8,22.9,22.32,22.63,2443396
2001-05-09,22.76,22.8,22.15,22.4,1566245
2001-05-10,22.48,23.78,22.41,23.66,3136276
2001-05-11,23.71,23.93,23.32,23.7,1356110
2001-05-14,23.69,23.98,23.3,23.8,1655068
2001-05-15,23.9,24.7,23.71,23.93,2207280
2001-05-16,23.98,24.1,23.38,23.49,1816918
2001-05-17,23.49,24.4,23.28,24.27,1611591
2001-05-18,24.3,25.84,24.01,25.45,3543465
2001-05-21,25.38,25.88,25.18,25.39,1615312
2001-05-22,25.4,25.88,24.96,25.53,1136076
2001-05-23,25.53,25.65,24.5,25.48,2047719
2001-05-24,25.5,25.85,25.05,25.15,1315694
2001-05-25,25.12,25.3,24.12,24.54,3420906
2001-05-28,24.19,24.55,23.71,23.77,1669844
2001-05-29,23.75,24.8,23.63,24.65,1540753
2001-05-30,24.6,24.94,24.6,24.87,806110
2001-05-31,24.95,25.29,24.61,25.25,965809
2001-06-01,25.25,25.35,24.93,25.19,595005
2001-06-04,25.02,25.08,24.3,24.6,1170175
2001-06-05,24.32,26.3,24.32,26.06,2768620
2001-06-06,26.4,27.0,25.78,26.41,1767415
2001-06-07,26.49,26.58,25.81,25.9,760021
2001-06-08,25.81,26.98,25.7,26.74,1951121
2001-06-11,26.72,26.74,25.82,26.5,696078
2001-06-12,26.52,26.8,26.11,26.5,322739
2001-06-13,26.51,26.6,25.8,25.94,887615
2001-06-14,25.97,26.49,25.38,25.48,903482
2001-06-15,25.38,25.9,24.84,25.5,1140465
2001-06-18,25.32,25.6,24.4,24.4,717690
2001-06-19,24.35,25.38,24.05,25.08,877033
2001-06-20,25.08,25.2,24.61,24.88,385071
2001-06-21,24.88,25.5,24.85,25.39,659850
2001-06-22,25.37,25.55,25.12,25.4,431600
2001-06-25,25.15,26.07,25.15,25.92,769332
2001-06-26,25.8,26.9,25.8,26.05,784437
2001-06-27,26.08,26.18,25.15,25.89,1190470
2001-06-28,25.95,26.75,25.3,25.74,1234300
2001-06-29,25.4,25.9,24.72,25.45,2731944
2001-07-02,25.65,25.75,24.81,25.47,713010
2001-07-03,25.55,25.76,25.04,25.57,559523
2001-07-04,25.52,25.8,25.06,25.65,247200
2001-07-05,25.3,25.5,25.06,25.48,195700
2001-07-06,25.4,25.4,24.7,25.0,280200
2001-07-09,24.65,25.0,24.55,24.95,254990
2001-07-10,25.0,25.2,24.87,25.0,883520
2001-07-11,25.0,25.02,24.65,24.79,153465
2001-07-12,24.7,24.79,24.1,24.29,347300
2001-07-13,24.3,24.5,23.82,23.85,487500
2001-07-16,23.91,23.99,22.89,23.3,1047782
2001-07-17,23.0,23.85,22.9,23.5,562337
2001-07-18,23.7,24.26,23.5,23.9,336529
2001-07-19,23.55,24.4,23.55,24.38,241199
2001-07-20,24.25,24.78,24.06,24.6,356280
2001-07-23,24.6,24.79,23.95,24.55,359437
2001-07-24,23.1,23.5,22.3,23.25,1238049
2001-07-25,23.0,23.25,21.99,22.49,1834220
2001-07-26,22.2,22.7,21.95,22.4,764580
2001-07-27,22.38,22.6,22.1,22.36,630116
2001-07-30,22.32,22.4,20.91,21.38,499326
2001-07-31,21.0,21.9,20.98,21.48,551792
2001-08-01,21.5,23.0,21.5,22.9,842177
2001-08-02,22.51,23.49,22.08,23.15,846244
2001-08-03,22.81,23.18,22.3,23.0,446735
2001-08-06,22.9,22.9,21.81,22.26,269820
2001-08-07,22.0,23.1,21.85,22.85,1190353
2001-08-08,22.85,22.9,22.4,22.8,112605
2001-08-09,22.83,23.0,22.6,22.8,372500
2001-08-10,22.87,23.09,22.81,23.05,541100
2001-08-13,23.59,23.73,22.92,23.03,487703
2001-08-14,22.78,23.36,22.75,22.95,486531
2001-08-15,22.94,22.99,22.65,22.85,178140
2001-08-16,22.85,22.99,22.2,22.65,212846
2001-08-17,22.5,22.89,22.18,22.45,243700
2001-08-20,22.45,23.05,22.24,22.79,168673
2001-08-21,22.99,23.2,22.75,23.18,205372
2001-08-22,22.85,23.0,22.6,23.0,251951
2001-08-23,22.71,23.0,22.5,22.71,153505
2001-08-24,22.98,23.17,22.8,22.92,329330
2001-08-27,22.8,22.92,22.31,22.55,156030
2001-08-28,22.48,23.0,22.0,23.0,181420
2001-08-29,22.99,23.09,22.7,22.99,163780
2001-08-30,22.81,22.99,22.72,22.98,95350
2001-08-31,23.0,23.05,22.5,22.5,173900
2001-09-03,22.46,22.47,22.0,22.01,101460
2001-09-04,21.7,22.3,21.01,21.83,248969
2001-09-05,21.96,21.96,21.41,21.43,149000
2001-09-06,21.42,21.58,21.06,21.11,125890
2001-09-07,21.09,21.1,20.16,20.17,441767
2001-09-10,19.96,21.89,19.61,21.55,1826618
2001-09-11,21.95,22.99,21.89,22.6,2154097
2001-09-12,22.69,23.47,21.1,21.8,2361577
2001-09-13,21.8,22.74,21.58,22.39,866648
2001-09-14,22.4,22.58,21.62,21.68,288391
2001-09-17,21.05,21.68,20.91,21.0,182200
2001-09-18,20.45,21.48,20.45,20.8,98346
2001-09-19,21.18,21.49,20.85,21.34,663755
2001-09-20,21.4,21.6,21.06,21.2,77160
2001-09-21,20.81,21.33,20.65,20.7,114300
2001-09-24,20.19,20.85,20.19,20.7,21400
2001-09-25,20.65,21.2,20.65,20.85,25200
2001-09-26,20.9,20.9,20.48,20.85,14200
2001-09-27,20.85,21.09,20.6,20.78,588919
2001-09-28,20.81,21.1,20.5,20.75,46902
2001-10-08,20.5,20.57,20.23,20.23,77400
2001-10-09,20.1,20.68,20.1,20.35,40800
2001-10-10,20.15,20.15,19.2,19.2,138450
2001-10-11,19.3,19.4,18.2,18.44,214804
2001-10-12,18.4,19.78,17.65,19.41,327013
2001-10-15,19.5,19.6,19.0,19.24,191354
2001-10-16,19.24,19.24,18.4,18.47,54600
2001-10-17,18.4,18.5,18.01,18.01,67560
2001-10-18,18.0,18.2,18.0,18.08,108448
2001-10-19,18.0,18.06,17.2,17.54,231440
2001-10-22,17.01,17.39,16.45,17.1,212274
2001-10-23,18.68,18.81,18.0,18.81,347220
2001-10-24,20.58,20.58,19.05,20.0,1103075
2001-10-25,19.8,19.8,19.1,19.3,179950
2001-10-26,19.3,20.2,19.3,19.5,891088
2001-10-29,20.2,20.2,18.9,19.39,229300
2001-10-30,19.38,19.5,18.98,19.18,155470
2001-10-31,19.2,19.75,18.85,19.7,234717
2001-11-01,19.8,19.94,19.25,19.6,74630
2001-11-02,19.59,20.6,19.45,20.29,2017330
2001-11-05,20.25,20.25,19.6,19.68,888640
2001-11-06,19.7,19.89,19.6,19.75,57290
2001-11-07,19.61,19.62,18.75,18.75,307145
2001-11-08,18.5,19.25,18.06,19.05,148199
2001-11-09,19.05,19.29,18.6,19.15,96850
2001-11-12,19.0,19.2,18.76,18.97,125069
2001-11-13,18.9,19.1,18.68,18.92,39145
2001-11-14,18.9,18.9,18.5,18.8,35105
2001-11-15,18.7,19.2,18.6,19.18,82670
2001-11-16,20.0,20.54,19.5,19.88,986704
2001-11-19,19.8,20.09,19.65,20.03,100320
2001-11-20,20.05,20.5,20.0,20.36,503515
2001-11-21,20.26,20.75,20.0,20.75,2010317
2001-11-22,21.18,21.78,20.38,21.65,2254277
2001-11-23,21.7,21.74,20.88,21.38,1173400
2001-11-26,21.38,21.49,20.85,21.12,1797384
2001-11-27,21.1,21.88,20.96,21.88,963551
2001-11-28,21.65,22.29,21.51,22.08,812550
2001-11-29,22.35,22.38,21.71,22.1,469750
2001-11-30,22.1,22.25,21.86,22.25,183329
2001-12-03,22.2,22.3,21.84,22.03,844750
2001-12-04,22.01,22.25,21.81,22.15,524005
2001-12-05,22.13,22.4,21.9,22.22,555237
2001-12-06,22.68,22.9,22.37,22.83,603911
2001-12-07,22.86,23.05,22.41,22.77,509928
2001-12-10,22.77,22.84,22.03,22.79,239900
2001-12-11,22.75,22.8,22.38,22.48,155150
2001-12-12,22.5,22.97,22.38,22.88,687967
2001-12-13,22.93,23.01,22.6,22.77,463299
2001-12-14,22.77,22.8,22.36,22.68,379100
2001-12-17,22.68,22.68,22.3,22.68,400100
2001-12-18,22.7,22.96,22.3,22.92,387460
2001-12-19,22.92,22.92,22.53,22.75,128700
2001-12-20,22.78,22.85,22.03,22.71,668737
2001-12-21,22.58,23.15,22.29,23.13,790352
2001-12-25,23.18,23.18,22.4,22.86,288232
2001-12-26,22.86,22.95,22.2,22.85,367183
2001-12-27,22.89,22.89,22.2,22.36,650650
2001-12-28,22.38,22.45,21.19,21.81,995245
2001-12-31,22.05,22.05,20.78,21.39,2733192
2002-01-04,20.88,21.37,20.88,21.15,152700
2002-01-07,21.18,21.18,20.1,20.85,117150
2002-01-08,20.88,21.0,20.4,20.63,232350
2002-01-09,20.65,20.65,19.62,19.95,245345
2002-01-10,19.9,19.94,18.81,19.79,350384
2002-01-11,19.8,19.8,19.2,19.41,238400
2002-01-14,19.4,19.5,18.75,19.11,288870
2002-01-15,19.17,19.38,18.78,19.2,460076
2002-01-16,19.08,19.29,18.6,18.89,632500
2002-01-17,18.95,18.99,18.6,18.79,198988
2002-01-18,19.36,20.2,18.99,19.61,456130
2002-01-21,19.58,19.58,18.9,19.32,436772
2002-01-22,19.25,19.6,19.0,19.2,284700
2002-01-23,19.2,19.65,19.0,19.54,438764
2002-01-24,19.68,20.97,19.45,20.56,876260
2002-01-25,20.49,20.74,20.02,20.28,378250
2002-01-28,20.0,20.28,18.75,18.79,415401
2002-01-29,18.8,19.3,18.6,18.93,414000
2002-01-30,18.93,19.09,18.6,18.84,167150
