date,open,high,low,close,volume
1997-01-23,23.0,23.48,19.1,19.5,12028800
1997-01-24,19.0,19.77,18.88,19.2,2700700
1997-01-27,19.3,20.33,19.3,19.97,2570800
1997-01-28,19.98,20.0,19.5,19.61,768600
1997-01-29,19.8,19.8,19.0,19.44,805600
1997-01-30,19.33,19.64,19.1,19.25,634100
1997-01-31,19.19,19.25,18.97,19.15,1102300
1997-02-17,18.89,19.2,18.6,18.8,1001300
1997-02-18,18.6,18.73,16.94,16.94,1596400
1997-02-19,16.8,17.8,16.7,17.61,1870400
1997-02-20,15.85,17.1,15.85,16.81,1470700
1997-02-21,17.07,17.1,16.79,16.95,445400
1997-02-24,17.0,17.25,16.65,16.7,610800
1997-02-25,16.8,17.7,16.8,17.4,1155300
1997-02-26,17.8,17.8,17.2,17.58,537900
1997-02-27,17.65,17.75,17.35,17.36,798900
1997-02-28,17.41,17.43,16.88,17.25,553600
1997-03-03,17.2,17.98,17.2,17.78,853600
1997-03-04,17.69,19.46,17.4,19.35,2479500
1997-03-05,19.35,19.49,18.35,18.37,1243300
1997-03-06,18.25,18.9,18.1,18.6,700100
1997-03-07,18.45,19.2,18.21,18.68,1103300
1997-03-10,18.9,19.5,18.75,19.23,1241200
1997-03-11,19.41,20.2,19.2,19.88,2202900
1997-03-12,19.9,20.3,19.42,19.72,1375100
1997-03-13,19.8,19.9,19.01,19.28,826800
1997-03-14,19.0,19.55,19.0,19.43,855800
1997-03-17,19.6,19.9,19.18,19.28,844800
1997-03-18,19.28,19.85,19.2,19.3,1229300
1997-03-19,19.0,19.7,19.0,19.56,1175900
1997-03-20,19.8,20.8,19.3,19.38,2475500
1997-03-21,19.2,20.37,19.2,19.88,1263400
1997-03-24,20.48,20.48,19.4,19.56,1513200
1997-03-25,19.66,19.8,19.0,19.39,1445600
1997-03-26,19.4,19.9,19.16,19.8,1119300
1997-03-27,19.89,19.98,19.35,19.39,1151300
1997-03-28,19.3,19.8,19.2,19.36,904400
1997-03-31,19.42,19.6,19.2,19.35,825600
1997-04-01,19.54,19.88,19.23,19.63,1227800
1997-04-02,19.65,19.74,19.3,19.32,772100
1997-04-03,19.3,19.7,19.25,19.69,886100
1997-04-04,20.0,21.66,19.68,21.4,4299700
1997-04-07,21.58,21.68,20.65,20.84,2603900
1997-04-08,20.8,20.8,19.6,19.69,1483500
1997-04-09,19.5,20.5,19.31,19.92,1033900
1997-04-10,19.92,20.28,19.5,19.53,854400
1997-04-11,19.4,19.71,19.09,19.33,877800
1997-04-14,19.5,19.55,19.3,19.39,591600
1997-04-15,19.39,19.65,19.08,19.15,469800
1997-04-16,17.21,18.49,17.21,18.17,1570600
1997-04-17,18.0,18.5,17.7,17.8,933000
1997-04-18,17.8,18.0,17.45,17.6,696000
1997-04-21,17.6,17.79,17.5,17.66,858800
1997-04-22,17.7,18.29,17.61,18.17,754000
1997-04-23,18.17,18.48,17.85,17.94,487900
1997-04-24,17.9,17.95,17.35,17.5,745400
1997-04-25,17.51,18.18,17.3,17.8,1163400
1997-04-28,18.0,19.38,18.0,18.89,2920100
1997-04-29,19.26,19.35,18.0,18.28,868200
1997-04-30,18.3,18.9,18.3,18.47,720500
1997-05-05,18.6,19.2,18.6,19.04,1245900
1997-05-06,19.02,20.2,18.8,19.9,1808200
1997-05-07,19.8,20.25,19.2,19.82,1539200
1997-05-08,19.52,19.82,18.0,18.0,1094200
1997-05-09,18.5,19.15,18.0,19.01,1086600
1997-05-12,19.5,20.29,19.3,20.1,2558500
1997-05-13,20.45,20.5,18.7,19.91,1687600
1997-05-14,19.9,19.9,18.6,18.7,772700
1997-05-15,18.7,19.29,18.6,19.13,439800
1997-05-16,18.38,18.5,17.19,17.19,902800
1997-05-19,17.5,18.0,17.19,17.52,260100
1997-05-21,17.5,18.0,16.8,17.93,458100
1997-05-22,16.14,17.3,16.14,16.14,352000
1997-05-23,16.01,16.99,16.0,16.4,382400
1997-05-26,16.6,17.0,15.65,16.0,311900
1997-05-27,16.1,16.73,16.1,16.45,276100
1997-05-28,16.78,16.78,16.3,16.46,250200
1997-05-29,16.35,16.6,16.1,16.35,262200
1997-05-30,16.2,17.05,16.2,17.0,381400
1997-06-02,17.11,17.95,17.11,17.92,458700
1997-06-03,17.8,17.92,17.2,17.79,384600
1997-06-04,17.8,18.51,17.8,18.1,607600
1997-06-05,18.0,18.08,17.45,17.63,253700
1997-06-06,16.2,16.9,16.2,16.3,591000
1997-06-09,16.6,16.8,16.21,16.7,283900
1997-06-10,16.55,16.55,15.85,15.88,257300
1997-06-11,15.9,16.05,14.6,15.4,185500
1997-06-12,15.7,15.7,15.2,15.2,101700
1997-06-13,14.0,15.98,14.0,15.98,230400
1997-06-16,16.25,16.48,16.0,16.3,238200
1997-06-17,16.0,16.35,15.56,15.83,172600
1997-06-18,15.6,16.3,15.6,16.0,217300
1997-06-19,15.9,16.32,15.8,15.95,116200
1997-06-20,16.39,16.9,16.0,16.78,466400
1997-06-23,16.95,17.0,16.07,16.47,554200
1997-06-24,16.41,16.92,16.34,16.8,797400
1997-06-25,16.98,17.68,16.9,17.0,920400
1997-06-26,16.95,16.95,16.5,16.54,343800
1997-06-27,16.55,16.69,15.4,15.9,440000
1997-07-02,15.91,16.48,14.8,15.79,332500
1997-07-03,15.5,15.5,14.9,14.96,175700
1997-07-04,14.5,15.1,14.5,15.0,180100
1997-07-07,14.97,15.0,13.5,13.5,193500
1997-07-08,13.36,14.49,12.99,13.68,251500
1997-07-09,13.98,13.98,13.58,13.68,147700
1997-07-10,13.25,13.75,13.2,13.47,151800
1997-07-11,13.36,14.05,13.36,14.02,264600
1997-07-14,14.0,14.6,14.0,14.4,300000
1997-07-15,14.3,14.69,14.18,14.52,315500
1997-07-16,14.6,14.6,14.0,14.2,181800
1997-07-17,14.17,14.3,13.94,14.14,219500
1997-07-18,14.15,14.65,14.05,14.55,295700
1997-07-21,14.69,15.3,14.55,14.82,420000
1997-07-22,14.82,14.82,14.28,14.7,202700
1997-07-23,14.8,15.2,14.75,14.81,482300
1997-07-24,14.7,15.13,14.7,14.92,423600
1997-07-25,14.81,14.9,14.51,14.81,256600
1997-07-28,14.75,14.8,14.1,14.15,211200
1997-07-29,13.8,14.49,13.77,14.0,134600
1997-07-30,14.3,14.72,14.04,14.65,395100
1997-07-31,14.79,14.79,14.25,14.41,218200
