date,open,high,low,close,volume
2007-05-15,14.2,14.99,13.45,13.54,901117903
2007-05-16,13.38,13.64,12.95,13.48,171574665
2007-05-17,13.49,13.67,13.3,13.59,115371343
2007-05-18,13.49,13.83,13.35,13.69,121563032
2007-05-21,13.28,13.64,13.21,13.55,123949716
2007-05-22,13.55,13.65,13.4,13.55,104754909
2007-05-23,13.63,13.71,13.5,13.59,110407911
2007-05-24,13.58,13.79,13.35,13.47,106831301
2007-05-25,13.38,13.6,13.33,13.4,76626105
2007-05-28,13.4,13.58,13.37,13.52,94722200
2007-05-29,13.6,13.67,13.46,13.55,102561618
2007-05-30,13.0,13.4,12.58,12.78,136814636
2007-05-31,12.8,13.58,12.52,13.37,122331873
2007-06-01,13.4,13.57,12.94,13.01,94652583
2007-06-04,13.03,13.16,11.75,11.86,89103293
2007-06-05,11.86,12.28,11.02,12.22,70722388
2007-06-06,12.3,12.37,12.0,12.13,44491528
2007-06-07,12.16,12.24,12.1,12.19,46723974
2007-06-08,12.2,12.25,11.94,12.21,61405061
2007-06-11,12.22,12.28,12.04,12.19,44571395
2007-06-12,12.18,12.18,11.82,12.02,60712719
2007-06-13,12.04,12.49,12.01,12.42,90361883
2007-06-14,12.34,12.34,12.05,12.07,41449064
2007-06-15,12.0,12.36,11.93,12.16,40852400
2007-06-18,12.3,12.55,12.18,12.32,70329931
2007-06-19,12.2,12.37,12.09,12.15,45767612
2007-06-20,12.17,12.2,11.86,11.87,51702239
2007-06-21,11.86,12.1,11.76,11.94,45569370
2007-06-22,11.97,12.1,11.52,11.63,45117060
2007-06-25,11.7,11.87,11.22,11.31,42233930
2007-06-26,11.2,11.47,11.15,11.38,26842140
2007-06-27,11.45,11.8,11.28,11.69,39612193
2007-06-28,11.7,11.87,11.2,11.22,43281290
2007-06-29,11.09,11.28,10.91,10.99,46278087
2007-07-02,11.01,11.14,10.8,11.03,22999278
2007-07-03,11.05,11.17,10.92,11.09,22483237
2007-07-04,11.2,11.33,11.01,11.08,21911231
2007-07-05,11.03,11.03,10.43,10.45,27171256
2007-07-06,10.48,10.84,10.37,10.8,28425500
2007-07-09,10.83,10.97,10.67,10.88,23430097
2007-07-10,10.95,11.29,10.82,11.03,42858141
2007-07-11,11.0,11.18,10.88,11.08,18393829
2007-07-12,11.09,11.25,11.02,11.12,20953321
2007-07-13,11.13,11.15,10.91,10.97,12041628
2007-07-16,10.98,11.16,10.9,10.91,13569949
2007-07-17,10.9,11.4,10.88,11.29,35441263
2007-07-18,11.23,11.61,11.23,11.4,43998243
