date,open,high,low,close,volume
2010-11-05,43.8,52.36,43.31,51.87,11664457
2010-11-08,51.0,57.06,50.5,57.06,4109310
2010-11-09,57.06,61.5,54.0,56.29,4804861
2010-11-10,58.1,61.0,57.57,59.09,2456823
2010-11-11,58.5,61.69,58.5,60.52,1599830
2010-11-12,59.48,60.9,55.18,59.05,1943376
2010-11-15,59.0,63.0,57.5,62.25,1739397
2010-11-16,61.95,64.0,57.0,57.98,1864203
2010-11-17,56.66,57.8,55.0,55.27,1325283
2010-11-18,56.5,57.99,54.34,57.02,964948
2010-11-19,57.06,61.5,56.01,60.72,1533073
2010-11-22,60.25,66.4,60.25,64.37,1463874
2010-11-23,63.21,66.77,63.01,66.3,1115786
2010-11-24,65.23,67.3,65.23,66.3,630021
2010-11-25,65.8,66.99,63.5,65.13,683699
2010-11-26,64.11,65.99,63.59,64.65,622488
2010-11-29,65.0,65.0,62.88,64.63,686545
2010-11-30,64.68,66.5,60.1,65.29,993020
2010-12-01,65.29,65.85,63.02,63.02,561225
2010-12-02,63.31,64.0,60.2,60.59,729072
2010-12-03,60.52,62.0,59.55,60.28,465038
2010-12-06,60.43,60.98,57.12,59.3,536881
2010-12-07,59.2,61.1,57.31,60.7,319609
2010-12-08,60.7,61.19,57.8,58.01,444293
2010-12-09,58.3,58.7,57.16,57.79,608224
2010-12-10,57.49,59.29,57.43,58.93,340800
2010-12-13,60.0,63.8,59.23,62.58,659728
2010-12-14,62.58,65.53,62.5,64.45,670979
2010-12-15,64.3,64.3,62.6,63.55,419869
2010-12-16,63.54,65.58,63.17,65.0,410112
2010-12-17,65.0,69.55,64.15,69.55,603930
2010-12-20,69.03,73.8,68.51,70.18,768195
2010-12-21,70.18,71.95,69.32,69.8,389018
2010-12-22,69.0,69.8,67.03,67.4,442013
2010-12-23,67.1,68.5,64.5,65.0,294375
2010-12-24,65.0,67.72,63.1,63.6,361485
2010-12-27,65.6,65.88,59.0,59.35,425967
2010-12-28,59.35,60.46,56.84,59.4,778204
2010-12-29,59.39,62.0,58.6,61.31,462554
2010-12-30,61.89,64.59,61.5,63.49,560236
2010-12-31,63.55,68.95,61.11,67.8,644102
2011-01-04,68.86,73.52,68.01,71.15,1062234
