date,open,high,low,close,volume
2010-08-18,3.37,3.72,3.35,3.66,2093811584
2010-08-19,3.64,3.83,3.6,3.7,795814528
2010-08-20,3.69,3.74,3.64,3.68,333231840
2010-08-23,3.66,3.71,3.53,3.56,361581248
2010-08-24,3.54,3.64,3.52,3.56,282471328
2010-08-25,3.53,3.55,3.44,3.46,219312032
2010-08-26,3.47,3.5,3.44,3.47,123163336
2010-08-27,3.46,3.48,3.44,3.48,94760552
2010-08-30,3.49,3.52,3.45,3.49,185805872
2010-08-31,3.46,3.47,3.38,3.4,203941168
2010-09-01,3.4,3.6,3.38,3.48,314395936
2010-09-02,3.52,3.53,3.44,3.48,166045312
2010-09-03,3.47,3.52,3.45,3.51,138764544
2010-09-06,3.52,3.6,3.51,3.58,179950144
2010-09-07,3.58,3.59,3.52,3.55,101495936
2010-09-08,3.52,3.53,3.47,3.49,92810952
2010-09-09,3.5,3.57,3.44,3.49,143108848
2010-09-10,3.5,3.5,3.45,3.49,69658696
2010-09-13,3.48,3.52,3.46,3.5,144404800
2010-09-14,3.51,3.54,3.46,3.48,98272672
2010-09-15,3.46,3.47,3.42,3.44,104601864
2010-09-16,3.43,3.44,3.33,3.36,126400400
2010-09-17,3.37,3.38,3.34,3.36,67172720
2010-09-20,3.36,3.38,3.32,3.35,39274568
2010-09-21,3.36,3.39,3.34,3.39,45904156
2010-09-27,3.36,3.4,3.36,3.38,38758836
2010-09-28,3.38,3.38,3.32,3.34,42182140
2010-09-29,3.33,3.4,3.32,3.38,61152220
2010-09-30,3.35,3.51,3.35,3.46,120222224
2010-10-08,3.49,3.53,3.45,3.51,109746160
2010-10-11,3.51,3.68,3.48,3.58,228969632
2010-10-12,3.55,3.6,3.52,3.58,95254000
2010-10-13,3.58,3.83,3.56,3.81,211192128
2010-10-14,3.9,4.19,3.9,4.19,443020192
2010-10-15,4.18,4.61,4.14,4.57,432610560
2010-10-18,4.85,4.87,4.47,4.51,285961408
2010-10-19,4.51,4.67,4.37,4.56,200635184
2010-10-20,4.56,4.9,4.56,4.7,269053824
2010-10-21,4.6,4.66,4.39,4.47,201710992
2010-10-25,4.4,4.55,4.27,4.52,209047632
2010-10-26,4.47,4.52,4.34,4.43,148252080
2010-10-27,4.38,4.59,4.34,4.44,143701312
2010-10-28,4.42,4.47,4.29,4.4,104649544
2010-10-29,4.42,4.42,4.27,4.32,94745792
2010-11-01,4.3,4.39,4.28,4.37,112152864
2010-11-02,4.35,4.65,4.26,4.5,197363680
2010-11-03,4.45,4.95,4.36,4.9,345933024
2010-11-04,4.8,4.93,4.73,4.82,204347856
2010-11-05,4.83,5.04,4.81,4.89,182787520
2010-11-08,4.9,5.03,4.84,4.89,135624064
2010-11-09,4.89,4.89,4.67,4.75,149240416
2010-11-10,4.72,4.73,4.6,4.66,96026456
2010-11-11,4.66,4.8,4.63,4.73,172709568
2010-11-12,4.66,4.67,4.26,4.33,200965504
2010-11-15,4.33,4.37,4.07,4.33,154761632
2010-11-16,4.26,4.26,4.0,4.07,115079768
2010-11-17,4.0,4.19,3.95,4.07,117302344
2010-11-18,3.99,4.01,3.8,3.92,537711040
2010-11-19,3.89,3.91,3.73,3.87,274943360
2010-11-22,3.79,3.86,3.76,3.82,151769360
2010-11-23,3.8,3.8,3.65,3.73,150467232
2010-11-24,3.72,3.85,3.72,3.79,155102176
2010-11-25,3.81,4.03,3.77,3.96,291236576
2010-11-26,3.9,3.95,3.85,3.87,144104624
2010-11-29,3.84,3.89,3.78,3.84,103236280
2010-11-30,3.83,3.91,3.72,3.83,152448416
2010-12-01,3.82,3.86,3.77,3.83,101111112
2010-12-02,3.88,3.91,3.82,3.84,145639232
2010-12-06,3.83,3.94,3.79,3.89,148738816
2010-12-07,3.85,3.89,3.8,3.88,93901976
2010-12-08,3.85,3.88,3.77,3.79,129819288
2010-12-09,3.78,3.78,3.7,3.71,109430664
2010-12-10,3.69,3.76,3.67,3.74,120997120
2010-12-13,3.73,3.84,3.71,3.83,166257632
2010-12-14,3.83,3.84,3.78,3.8,143676992
2010-12-15,3.81,3.92,3.78,3.86,219994912
2010-12-16,3.84,3.87,3.82,3.83,107335736
2010-12-17,3.83,3.84,3.8,3.82,54549508
2010-12-20,3.81,3.84,3.69,3.74,123200984
2010-12-21,3.74,3.9,3.7,3.87,219964176
2010-12-22,3.84,3.88,3.82,3.83,120168072
2010-12-23,3.81,4.05,3.79,3.89,248705424
2010-12-24,3.85,4.14,3.83,4.06,335248416
2010-12-27,4.13,4.16,3.88,3.91,260104432
2010-12-28,3.86,4.11,3.85,3.91,239433200
2010-12-29,3.91,3.98,3.81,3.97,158752320
2010-12-30,3.92,4.01,3.88,3.91,145462544
2010-12-31,3.9,3.97,3.89,3.96,122285440
2011-01-04,3.98,4.15,3.93,4.07,213397632
2011-01-05,4.05,4.12,4.01,4.04,154783392
2011-01-06,4.04,4.08,3.98,4.02,112530384
2011-01-07,4.0,4.28,3.94,4.19,407738048
2011-01-10,4.13,4.19,4.08,4.09,179024432
2011-01-11,4.06,4.22,4.05,4.16,202239744
2011-01-12,4.16,4.22,4.08,4.18,235318016
2011-01-13,4.17,4.17,4.08,4.09,173381776
2011-01-14,4.06,4.07,3.97,3.99,177666256
2011-01-17,3.95,3.99,3.76,3.78,196659328
2011-01-18,3.77,3.86,3.76,3.79,119820736
2011-01-19,3.81,3.87,3.74,3.86,125624744
2011-01-20,3.85,3.85,3.71,3.73,134640384
2011-01-21,3.7,3.93,3.7,3.83,145047056
2011-01-24,3.83,3.87,3.78,3.81,78144080
2011-01-25,3.81,3.85,3.77,3.84,71687184
2011-01-26,3.84,3.86,3.82,3.85,71185496
