date,open,high,low,close,volume
2010-07-15,2.74,2.74,2.69,2.7,4039725056
2010-07-16,2.7,2.7,2.68,2.69,1378955136
2010-07-19,2.68,2.71,2.68,2.71,1146738304
2010-07-20,2.7,2.71,2.69,2.71,844226048
2010-07-21,2.7,2.71,2.69,2.71,622094336
2010-07-22,2.7,2.75,2.69,2.73,1065122560
2010-07-23,2.73,2.84,2.73,2.81,1792782976
2010-07-26,2.83,2.84,2.77,2.8,704693888
2010-07-27,2.79,2.8,2.77,2.78,384484000
2010-07-28,2.78,2.85,2.78,2.84,796917120
2010-07-29,2.84,2.88,2.81,2.83,894588416
2010-07-30,2.82,2.82,2.77,2.79,510624544
2010-08-02,2.78,2.81,2.77,2.8,521574624
2010-08-03,2.8,2.81,2.73,2.73,566704192
2010-08-04,2.73,2.75,2.7,2.73,413863456
2010-08-05,2.73,2.73,2.71,2.72,335500224
2010-08-06,2.72,2.73,2.7,2.72,328014912
2010-08-09,2.72,2.73,2.7,2.72,459887584
2010-08-10,2.71,2.72,2.68,2.69,506683552
2010-08-11,2.69,2.7,2.68,2.69,468119360
2010-08-12,2.68,2.69,2.68,2.68,511566720
2010-08-13,2.68,2.69,2.68,2.69,661554112
2010-08-16,2.68,2.72,2.68,2.71,386549152
2010-08-17,2.7,2.7,2.68,2.69,332728096
2010-08-18,2.69,2.71,2.68,2.69,395987072
2010-08-19,2.69,2.7,2.68,2.69,414253728
2010-08-20,2.68,2.69,2.68,2.68,429512128
2010-08-23,2.68,2.69,2.68,2.68,146681520
2010-08-24,2.68,2.7,2.68,2.69,256305248
2010-08-25,2.68,2.69,2.68,2.68,336694528
2010-08-26,2.68,2.69,2.68,2.69,172732096
2010-08-27,2.69,2.69,2.68,2.69,153487808
2010-08-30,2.69,2.71,2.68,2.7,366137376
2010-08-31,2.7,2.7,2.68,2.69,228897712
2010-09-01,2.68,2.7,2.68,2.68,313642944
2010-09-02,2.69,2.69,2.68,2.69,167608896
2010-09-03,2.69,2.7,2.68,2.69,282524064
2010-09-06,2.69,2.7,2.68,2.7,243962032
2010-09-07,2.7,2.7,2.68,2.69,171286144
2010-09-08,2.68,2.7,2.68,2.7,225396512
2010-09-09,2.69,2.7,2.68,2.69,223250224
2010-09-10,2.68,2.7,2.68,2.69,284969600
2010-09-13,2.69,2.7,2.68,2.7,297385024
2010-09-14,2.69,2.7,2.68,2.69,218247120
2010-09-15,2.69,2.69,2.68,2.68,179704432
2010-09-16,2.68,2.69,2.61,2.63,543375104
2010-09-17,2.62,2.63,2.57,2.6,260687408
2010-09-20,2.6,2.62,2.58,2.6,165395856
2010-09-21,2.6,2.61,2.59,2.59,75221896
2010-09-27,2.6,2.6,2.57,2.59,96103712
2010-09-28,2.58,2.59,2.57,2.57,88831032
2010-09-29,2.57,2.58,2.52,2.53,139475520
2010-09-30,2.53,2.64,2.53,2.61,252475760
2010-10-08,2.64,2.69,2.62,2.67,344211808
2010-10-11,2.67,2.73,2.65,2.7,572540480
2010-10-12,2.68,2.69,2.66,2.68,219468576
2010-10-13,2.67,2.72,2.65,2.71,514126400
2010-10-14,2.73,2.82,2.73,2.79,1327941248
2010-10-15,2.81,2.95,2.81,2.95,1663792256
2010-10-18,2.98,3.1,2.94,2.95,1117860224
2010-10-19,2.9,2.96,2.84,2.94,499667296
2010-10-20,2.95,3.02,2.9,2.94,638194240
2010-10-21,2.93,2.93,2.8,2.84,627321280
2010-10-22,2.83,2.84,2.77,2.81,406010400
2010-10-25,2.81,2.84,2.76,2.83,469943328
2010-10-26,2.83,2.84,2.74,2.76,485825152
2010-10-27,2.75,2.81,2.73,2.76,459110496
2010-10-28,2.78,2.81,2.75,2.8,316519424
2010-10-29,2.79,2.8,2.74,2.76,251290864
