date,open,high,low,close,volume
2009-10-30,63.66,91.8,63.58,70.81,29611564
2009-11-02,63.73,67.26,63.73,63.73,8726860
2009-11-03,61.5,63.0,57.7,58.07,9208565
2009-11-04,60.0,60.27,57.8,58.51,4735342
2009-11-05,58.76,59.95,56.21,58.5,6820572
2009-11-06,57.8,58.77,56.9,57.23,4269036
2009-11-09,57.0,57.17,55.2,55.35,3518248
2009-11-10,55.55,56.36,55.08,55.08,3469680
2009-11-11,55.18,55.3,53.38,54.51,3132168
2009-11-12,54.54,55.87,54.03,55.36,2934894
2009-11-13,55.41,59.0,55.25,57.95,5925791
2009-11-16,57.11,57.5,55.71,57.0,3560172
2009-11-17,57.06,57.66,56.0,56.4,2624595
2009-11-18,56.42,57.78,55.9,57.26,3765042
2009-11-19,57.2,62.95,56.8,61.0,8367243
2009-11-20,60.1,61.85,59.52,60.0,3788371
2009-11-23,59.61,61.58,59.61,60.42,3055843
2009-11-24,60.21,60.95,55.5,56.0,4695566
2009-11-25,55.65,58.0,54.51,57.68,3962329
2009-11-26,57.4,58.39,56.0,56.1,3443595
2009-11-30,57.99,59.5,57.0,58.92,4812787
2009-12-01,58.1,58.88,57.51,58.29,2899116
2009-12-02,58.4,64.12,58.4,64.12,8503245
2009-12-03,66.1,70.53,66.1,69.41,12144833
2009-12-04,66.0,67.73,62.47,62.85,8460245
2009-12-07,61.71,64.5,61.71,63.75,3179318
2009-12-08,63.6,64.99,62.01,64.09,3622612
2009-12-09,64.0,67.0,63.02,64.65,4889337
2009-12-10,64.33,65.35,63.04,63.6,2389012
2009-12-11,63.51,64.19,60.85,61.03,3160423
2009-12-14,61.08,61.85,58.41,60.11,2287871
2009-12-15,60.16,61.38,59.5,60.2,1604442
2009-12-16,60.0,60.0,58.02,58.28,2026150
2009-12-17,58.82,59.2,55.35,55.45,2265235
2009-12-18,54.49,57.19,53.01,55.52,3138355
2009-12-21,55.53,56.5,54.41,55.84,1534205
2009-12-22,56.48,56.48,53.2,53.65,1535217
2009-12-23,53.55,55.0,53.5,54.7,1445175
2009-12-24,54.68,55.89,53.8,55.8,1849175
2009-12-25,55.5,55.5,54.0,54.25,1694176
2009-12-28,53.91,55.2,53.91,54.35,1072854
2009-12-29,54.4,54.97,53.51,54.1,1271625
2009-12-30,54.27,57.08,54.18,55.61,2423978
2009-12-31,55.79,55.96,54.61,55.43,1181365
2010-01-04,55.45,56.47,55.24,55.53,1416147
2010-01-05,55.51,55.8,53.86,55.09,1183973
2010-01-06,55.0,55.0,54.25,54.41,1097187
2010-01-07,54.2,54.4,53.33,53.59,1284376
2010-01-08,53.58,53.7,52.0,52.64,1631043
2010-01-11,52.6,53.2,51.01,52.03,1533518
2010-01-12,52.2,52.95,52.07,52.93,1154722
2010-01-13,52.0,54.98,51.73,54.43,2919956
2010-01-14,54.69,56.78,54.69,55.84,3007469
2010-01-15,55.94,56.53,55.01,55.2,1508973
2010-01-18,54.85,55.98,54.1,54.19,1656488
2010-01-19,54.79,54.79,53.13,53.43,1279406
2010-01-20,53.38,53.5,51.5,51.51,1648153
2010-01-21,52.0,52.59,51.15,51.9,921179
2010-01-22,51.5,51.5,48.48,48.9,2281248
2010-01-25,47.78,53.0,47.1,51.16,2957737
2010-01-26,51.13,52.0,48.68,49.38,2232724
2010-01-27,49.85,49.85,47.0,47.3,1495490
2010-01-28,47.19,48.45,46.0,47.31,1809937
2010-01-29,47.0,48.44,46.53,47.48,1612154
2010-02-01,43.28,45.88,43.28,43.63,5703790
2010-02-02,43.85,45.18,42.88,44.38,3238341
2010-02-04,44.52,45.18,43.56,44.23,1986190
2010-02-05,43.61,44.79,43.45,43.96,1787751
2010-02-08,43.96,44.85,43.8,44.45,1325770
2010-02-09,44.16,45.03,43.74,44.67,1113520
2010-02-10,45.02,46.46,44.68,46.2,1984470
2010-02-11,45.9,48.2,45.52,47.29,2314043
2010-02-12,47.18,50.13,47.01,50.01,3194487
2010-02-22,49.3,49.9,48.5,49.01,2343829
2010-02-23,48.98,49.76,48.3,49.73,1296505
2010-02-24,49.73,51.86,49.3,51.16,1627816
2010-02-25,50.88,51.57,50.05,50.5,1645567
2010-02-26,49.81,50.49,49.3,49.55,1707885
2010-03-01,49.56,51.33,49.54,50.8,1250453
2010-03-02,51.71,53.19,51.6,51.86,1709147
2010-03-03,51.18,52.97,51.18,52.5,1856693
2010-03-04,52.52,52.9,49.8,50.2,1644981
2010-03-05,50.2,51.0,49.5,49.92,892173
2010-03-08,50.1,50.8,50.01,50.49,501080
2010-03-09,50.2,50.5,49.08,50.48,878373
2010-03-10,50.5,51.0,49.63,49.95,754595
2010-03-11,49.95,52.22,49.68,50.95,1406687
2010-03-12,51.03,53.16,51.0,52.26,2834332
2010-03-15,52.37,52.65,51.18,52.4,1290607
2010-03-16,55.0,56.96,53.34,53.51,4326459
2010-03-17,53.55,55.38,52.81,54.9,2382325
2010-03-18,54.89,56.3,54.4,55.01,1591129
2010-03-19,54.99,58.8,54.6,57.9,3211113
2010-03-22,58.28,58.58,57.01,58.43,2061417
2010-03-23,58.0,61.64,57.5,59.67,2787415
2010-03-24,59.55,61.7,59.5,60.1,2520458
2010-03-25,61.5,64.6,61.4,64.6,4504484
2010-03-26,63.47,63.58,61.02,62.95,2809179
2010-03-29,62.49,64.68,60.52,61.98,2627231
2010-03-30,61.98,63.5,61.2,62.41,1915306
2010-03-31,62.37,64.5,62.0,64.08,2775076
2010-04-01,64.0,67.0,63.2,63.78,2792079
2010-04-02,63.0,63.0,61.4,61.55,3473280
2010-04-06,61.55,62.85,61.55,62.5,1461675
2010-04-07,62.09,65.18,62.09,64.6,2625987
2010-04-08,64.12,65.16,62.5,62.56,2379449
2010-04-09,63.37,68.1,63.31,68.0,4619332
2010-04-12,67.96,69.33,67.5,69.15,2902283
2010-04-13,68.2,70.36,62.24,63.0,4807204
2010-04-14,62.21,64.0,61.0,62.46,2040474
2010-04-15,62.4,62.6,57.97,59.4,3529541
2010-04-16,58.51,63.4,58.51,62.25,2654746
