date,open,high,low,close,volume
1993-10-18,10.3,10.7,9.55,10.0,9576200
1993-10-19,10.2,11.49,10.2,11.49,14672600
1993-10-20,11.81,11.87,10.89,11.01,10832700
1993-10-21,11.2,11.25,10.71,11.04,4810000
1993-10-22,11.0,11.14,10.3,10.58,3059000
1993-10-25,10.0,10.4,9.8,10.09,2474900
1993-10-26,10.16,10.54,9.8,10.02,2087300
1993-10-27,9.99,10.3,9.8,10.0,1274600
1993-10-28,10.0,10.6,9.98,10.6,1987300
1993-10-29,10.7,10.89,10.2,10.29,3091500
1993-11-01,10.15,10.45,10.15,10.3,759400
1993-11-02,10.39,10.4,10.05,10.15,414900
1993-11-03,10.15,10.2,10.02,10.1,402200
1993-11-04,10.1,10.4,9.9,10.18,625300
1993-11-05,10.25,10.47,10.1,10.34,1480300
1993-11-08,10.5,10.58,10.25,10.41,1161100
1993-11-09,10.45,10.83,10.28,10.69,2487000
1993-11-10,10.7,10.72,8.88,10.31,2038700
1993-11-11,11.12,11.3,10.62,10.8,7432000
1993-11-12,11.0,11.17,10.91,11.0,2464100
1993-11-15,11.12,11.48,11.11,11.39,2879500
1993-11-16,11.39,11.47,11.02,11.17,2272500
1993-11-17,11.2,11.65,11.18,11.35,2305000
1993-11-18,11.41,11.68,11.36,11.68,2212100
1993-11-19,11.77,12.18,11.65,12.04,3736800
1993-11-22,12.51,12.8,12.35,12.67,4365900
1993-11-23,12.8,13.35,12.68,13.2,4835100
1993-11-24,13.18,14.3,12.8,13.7,5543200
1993-11-25,14.0,15.0,14.0,14.47,3626800
1993-11-26,14.67,14.86,13.8,13.85,3522700
1993-11-29,14.0,14.5,13.9,14.5,2674800
1993-11-30,14.8,14.9,14.52,14.64,1856200
1993-12-01,14.64,14.65,14.01,14.25,1256500
1993-12-02,14.2,14.23,14.0,14.15,975300
1993-12-03,14.0,14.4,14.0,14.2,905000
1993-12-06,14.1,14.68,14.05,14.4,1330900
1993-12-07,14.6,15.5,14.5,15.16,3607700
1993-12-08,15.31,16.4,15.31,16.35,4697000
1993-12-09,16.5,16.6,15.26,15.99,4705000
1993-12-10,16.15,16.6,15.63,16.29,5904800
1993-12-13,16.85,16.99,15.6,15.8,5216800
1993-12-14,15.6,16.0,14.85,15.28,2378900
1993-12-15,15.25,15.55,14.81,15.38,1695300
1993-12-16,15.49,15.87,14.82,14.82,3101700
1993-12-17,14.7,15.1,14.21,14.35,1666500
1993-12-20,12.9,13.3,11.01,11.98,2864800
1993-12-21,12.0,13.2,11.7,13.2,3116900
1993-12-22,13.1,13.29,12.5,12.79,2812700
1993-12-24,12.8,12.9,12.32,12.55,719200
1993-12-27,12.55,12.8,12.52,12.77,774300
1993-12-28,13.0,13.1,12.45,12.62,865200
1993-12-29,12.5,12.58,12.15,12.2,504200
1993-12-30,12.0,12.23,11.87,12.08,446900
1993-12-31,12.08,12.35,12.07,12.28,540800
1994-01-03,12.35,12.57,12.21,12.25,176200
1994-01-04,12.28,12.28,12.01,12.06,188800
1994-01-05,12.0,12.39,11.82,12.39,361200
1994-01-06,12.5,12.8,12.4,12.71,813100
1994-01-07,12.88,13.1,12.76,13.0,1137600
1994-01-10,13.21,13.28,13.1,13.23,778600
1994-01-11,13.31,13.35,12.75,12.9,589500
1994-01-12,12.85,13.09,12.5,12.77,416500
1994-01-13,12.8,12.99,12.65,12.92,355900
1994-01-14,12.95,13.1,12.0,12.12,996500
1994-01-17,12.3,12.44,12.2,12.22,374900
1994-01-18,12.28,12.28,11.42,11.85,472000
1994-01-19,11.95,11.95,11.5,11.65,443900
1994-01-20,11.4,12.1,11.05,12.02,593300
1994-01-21,12.0,12.24,11.84,12.09,548200
1994-01-24,12.25,12.4,12.15,12.35,619800
1994-01-25,12.33,12.35,11.83,11.92,247800
1994-01-26,11.8,12.1,11.8,11.89,139500
1994-01-27,11.8,12.09,11.8,11.96,73800
1994-01-28,12.0,12.0,11.57,11.7,242400
1994-01-31,11.5,11.5,11.05,11.25,305200
1994-02-01,11.0,11.11,10.6,10.95,192100
1994-02-02,10.9,11.4,10.8,11.27,168600
1994-02-03,11.3,11.69,11.3,11.44,287000
1994-02-04,11.75,11.77,11.46,11.7,302400
1994-02-14,12.16,12.2,11.41,11.48,214700
1994-02-15,11.3,11.4,11.1,11.31,167700
1994-02-16,11.35,11.54,11.35,11.4,53400
1994-02-17,11.35,11.4,11.0,11.3,98800
1994-02-18,11.25,11.27,11.17,11.19,139700
1994-02-21,11.15,11.2,11.0,11.08,108300
1994-02-22,11.08,11.5,10.99,11.3,126400
1994-02-23,11.4,11.41,11.13,11.15,82800
1994-02-24,11.15,11.35,11.0,11.34,150800
1994-02-25,11.5,11.8,11.3,11.47,248200
1994-02-28,11.3,11.4,11.02,11.05,247500
1994-03-01,11.0,11.5,11.0,11.1,166500
1994-03-02,11.1,11.2,10.8,10.89,273800
1994-03-03,10.85,10.85,10.52,10.64,246900
1994-03-04,10.51,10.58,10.4,10.43,246100
1994-03-07,10.2,10.2,9.95,10.1,37700
1994-03-08,10.2,10.3,9.92,9.96,326400
1994-03-09,10.0,10.2,9.95,10.05,352300
1994-03-10,10.01,10.4,9.8,9.8,481200
1994-03-11,9.81,9.98,9.81,9.95,327800
