date,open,high,low,close,volume
1996-10-28,20.0,23.5,20.0,22.21,10434000
1996-10-29,21.78,21.88,20.5,20.8,2127100
1996-10-30,20.0,20.5,19.7,20.25,942400
1996-10-31,20.0,20.33,19.8,20.1,365300
1996-11-01,19.9,19.9,19.0,19.9,285400
1996-11-04,18.8,20.2,18.8,19.91,566500
1996-11-05,20.0,20.06,19.56,19.93,239100
1996-11-06,19.7,19.89,19.2,19.23,149800
1996-11-07,19.0,19.5,19.0,19.0,105500
1996-11-08,19.3,19.5,19.0,19.0,150400
1996-11-11,19.02,19.98,18.98,19.68,488200
1996-11-12,19.38,19.5,19.0,19.25,220200
1996-11-13,19.2,20.1,19.2,19.88,608800
1996-11-14,20.0,21.3,19.85,20.75,1314500
1996-11-15,20.8,21.1,19.85,20.29,480100
1996-11-18,20.3,20.9,19.6,19.7,392200
1996-11-19,19.7,21.0,19.25,20.7,977300
1996-11-20,20.65,21.6,20.53,21.44,1684000
1996-11-21,21.7,23.15,20.5,20.9,1516600
1996-11-22,20.7,21.3,20.0,21.1,537900
1996-11-25,21.5,21.8,20.6,21.3,702400
1996-11-26,21.5,21.5,20.56,20.56,410700
1996-11-27,20.17,20.48,19.8,20.0,516300
1996-11-28,20.2,20.9,20.08,20.7,342900
1996-11-29,20.88,21.3,20.3,20.48,230800
1996-12-02,20.4,20.85,19.88,19.98,336400
1996-12-03,19.9,20.49,19.8,20.49,245700
1996-12-04,20.66,21.65,20.4,20.95,741600
1996-12-05,21.45,21.9,21.01,21.6,1280600
1996-12-06,21.9,21.98,21.0,21.23,587600
1996-12-09,21.23,21.96,20.7,21.58,893600
1996-12-10,21.7,23.5,21.01,23.0,2096500
1996-12-11,23.01,25.2,23.01,24.7,2683600
1996-12-12,24.7,25.0,23.16,23.62,1238400
1996-12-13,23.62,24.0,22.6,22.61,826000
1996-12-16,20.39,20.39,20.39,20.39,28100
1996-12-17,18.35,18.35,18.35,18.35,91200
1996-12-18,16.52,19.5,16.52,19.31,894800
1996-12-19,19.18,19.25,17.38,17.38,736700
1996-12-20,16.8,17.2,15.8,15.81,646900
1996-12-23,16.75,16.85,16.0,16.3,454300
1996-12-24,16.3,17.0,15.8,15.9,603800
1996-12-25,16.01,17.2,15.9,17.08,760400
1996-12-26,17.4,17.45,16.85,17.15,287900
1996-12-27,17.5,17.63,16.9,17.5,622800
1996-12-30,19.0,19.0,17.6,18.71,814000
1996-12-31,18.4,18.5,17.5,17.62,421500
1997-01-02,17.51,18.5,17.51,18.24,351000
1997-01-03,18.0,18.1,17.68,17.76,230100
1997-01-06,17.6,17.6,17.01,17.09,288700
1997-01-07,16.83,17.74,16.6,17.69,345700
1997-01-08,17.68,17.68,17.08,17.38,143200
1997-01-09,17.8,17.8,17.19,17.56,161200
1997-01-10,17.56,17.65,17.25,17.55,174100
1997-01-13,17.65,17.98,17.65,17.88,235000
1997-01-14,17.85,17.85,17.2,17.39,150400
1997-01-15,17.0,17.7,17.0,17.4,133900
1997-01-16,17.44,17.79,17.4,17.68,100400
1997-01-17,17.8,17.9,17.48,17.68,222500
1997-01-20,17.83,18.02,17.71,18.0,310300
1997-01-21,18.05,18.15,17.76,17.8,235000
1997-01-22,18.0,18.25,17.71,17.9,487600
1997-01-23,18.1,18.72,18.0,18.55,509400
1997-01-24,18.5,18.5,18.02,18.3,248700
1997-01-27,18.28,18.69,18.19,18.45,508500
1997-01-28,18.28,18.5,18.03,18.26,267600
1997-01-29,18.24,18.45,18.16,18.18,354200
1997-01-30,18.2,18.3,18.0,18.16,215700
1997-01-31,18.16,18.48,18.12,18.43,377500
1997-02-17,18.35,18.58,18.1,18.52,283700
1997-02-18,18.23,18.6,16.68,16.68,660300
1997-02-19,17.11,17.8,17.1,17.48,300800
1997-02-20,15.73,17.1,15.73,17.0,619600
1997-02-21,17.28,18.25,17.28,18.02,397700
1997-02-24,18.28,18.4,17.9,17.98,280400
1997-02-25,18.1,18.35,18.01,18.2,177400
1997-02-26,18.25,18.7,18.1,18.65,422000
1997-02-27,18.8,18.83,18.4,18.41,481200
1997-02-28,18.36,18.5,18.1,18.38,440800
1997-03-03,18.55,19.5,18.4,19.4,1046300
1997-03-04,19.34,19.5,18.9,19.0,588900
1997-03-05,19.0,19.29,18.5,18.57,313000
1997-03-06,18.35,18.7,18.3,18.55,347600
1997-03-07,18.8,19.0,18.46,19.0,641700
1997-03-10,19.28,20.89,19.12,20.89,714300
1997-03-11,21.98,22.8,21.0,21.35,1856000
1997-03-12,21.38,21.87,21.1,21.38,670400
1997-03-13,21.41,21.95,21.2,21.68,770300
1997-03-14,21.89,22.35,21.0,22.3,1076500
1997-03-17,22.4,22.88,22.1,22.29,1027800
1997-03-18,22.3,22.7,21.0,22.2,1015500
1997-03-19,22.5,24.4,22.45,24.0,2081800
1997-03-20,23.8,23.9,22.51,22.57,1082800
1997-03-21,22.5,23.8,22.0,23.2,749900
1997-03-24,23.61,23.78,23.0,23.25,993800
1997-03-25,23.41,23.41,22.6,22.88,946700
1997-03-26,23.0,23.85,22.7,23.31,937500
1997-03-27,23.52,23.68,22.71,22.89,488200
1997-03-28,22.5,23.27,22.5,22.81,407700
1997-03-31,22.8,23.4,22.6,22.71,1798500
1997-04-01,22.76,23.1,22.3,22.5,478400
1997-04-02,22.61,22.8,22.0,22.16,579300
1997-04-03,22.2,22.3,21.5,21.8,582300
1997-04-04,22.1,23.2,21.9,22.73,947000
1997-04-07,23.0,23.0,22.35,22.5,720800
1997-04-08,20.25,20.25,20.25,20.25,365500
1997-04-09,19.68,21.44,19.28,21.03,3284500
1997-04-10,21.0,21.0,20.0,20.27,1398500
1997-04-11,20.0,20.0,19.3,19.79,626600
1997-04-14,20.0,20.14,19.7,19.77,365500
1997-04-15,19.55,19.7,19.3,19.55,369400
1997-04-16,19.6,20.3,19.5,20.0,373900
1997-04-17,19.9,20.1,19.7,19.8,245200
1997-04-18,19.8,20.0,19.6,19.7,389300
1997-04-21,20.0,20.55,20.0,20.22,641600
1997-04-22,20.3,20.5,20.0,20.45,451600
1997-04-23,20.5,20.55,20.12,20.23,532300
1997-04-24,20.11,20.15,19.61,19.95,488000
1997-04-25,19.98,21.32,19.7,20.74,1348900
1997-04-28,21.01,22.5,21.01,22.39,1781300
1997-04-29,22.8,22.95,20.7,21.7,903900
1997-04-30,21.5,22.2,21.2,21.91,808700
1997-05-05,22.02,22.58,21.85,22.42,765900
1997-05-06,22.5,24.15,22.2,24.15,1678000
1997-05-07,24.16,26.43,23.81,26.43,2416100
1997-05-08,26.43,27.88,24.18,25.4,2128300
