date,open,high,low,close,volume
2011-02-22,26.01,28.0,26.0,27.64,74701864
2011-02-23,26.6,26.86,25.33,26.14,33336372
2011-02-24,25.97,27.19,25.61,26.62,25955416
2011-02-25,26.62,27.58,26.45,27.18,25060780
2011-02-28,27.2,27.45,26.5,27.02,19724176
2011-03-01,27.35,28.89,27.1,27.83,27713748
2011-03-02,27.35,30.4,27.1,29.58,34318796
2011-03-03,29.33,30.4,28.58,29.23,29729880
2011-03-04,29.94,30.45,29.43,29.69,18250572
2011-03-07,29.9,30.77,29.62,30.53,21089596
2011-03-08,30.81,30.98,29.35,29.63,20249132
2011-03-09,29.76,30.11,29.32,29.77,13436419
2011-03-10,29.48,30.37,29.1,29.82,14498089
2011-03-11,29.59,30.15,29.31,29.41,11550699
2011-03-14,29.18,29.49,28.4,28.84,12472547
2011-03-15,28.7,28.7,27.34,27.61,14018849
2011-03-16,27.61,28.57,27.61,28.35,11501864
2011-03-17,27.8,28.3,27.48,27.49,6637066
2011-03-18,27.92,28.44,27.84,28.0,7091593
2011-03-21,28.05,28.63,27.97,28.14,5475190
2011-03-22,28.24,28.49,27.83,28.24,6293021
2011-03-23,28.26,28.52,28.14,28.5,6265751
2011-03-24,28.5,28.55,27.61,27.8,8823730
2011-03-25,27.81,28.91,27.78,28.69,10406788
2011-03-28,28.75,29.75,28.5,29.19,12075318
2011-03-29,29.2,29.29,27.9,27.97,8188842
2011-03-30,27.68,27.96,27.01,27.05,7035249
2011-03-31,27.2,27.24,26.44,26.72,4943968
2011-04-01,26.76,27.3,26.71,27.29,3505592
2011-04-06,27.02,27.19,26.54,26.7,4778316
2011-04-07,26.67,27.09,26.2,26.91,4683405
2011-04-08,26.8,27.88,26.6,27.69,6759905
2011-04-11,27.81,28.14,27.34,27.47,6070172
2011-04-12,27.44,27.65,26.74,26.87,4844792
2011-04-13,26.76,27.56,26.61,27.36,3171166
2011-04-14,27.37,27.48,26.6,26.83,4409011
2011-04-15,26.91,28.1,26.83,27.9,7718941
2011-04-19,28.5,29.68,28.36,28.51,18220082
2011-04-20,28.6,29.34,28.17,28.91,9360436
2011-04-21,29.17,29.17,28.4,28.51,7445386
2011-04-22,28.38,28.9,28.2,28.34,6747206
2011-04-25,28.33,28.33,27.01,27.21,5478480
2011-04-26,27.02,27.5,26.8,27.31,2440712
2011-04-27,27.31,27.48,26.78,27.0,2260180
2011-04-28,27.33,27.4,26.18,26.23,2960358
2011-04-29,26.59,26.94,26.23,26.74,2448730
2011-05-03,26.78,27.06,26.28,26.96,3536940
2011-05-04,26.8,26.8,25.5,25.64,5596451
2011-05-05,25.64,26.3,25.47,26.14,3476494
2011-05-06,25.58,26.2,25.5,25.87,2535669
2011-05-09,25.9,26.09,25.47,25.82,3620496
2011-05-10,25.96,27.06,25.86,26.84,6758056
2011-05-11,26.94,27.04,26.6,26.74,3378799
2011-05-12,26.39,26.46,26.0,26.03,2923930
2011-05-13,25.7,26.44,25.7,26.39,2321518
2011-05-16,26.4,26.94,26.25,26.55,2950123
2011-05-17,26.51,26.69,25.92,26.24,2948850
2011-05-18,26.36,26.38,25.95,26.21,1438324
2011-05-19,26.31,26.36,25.85,25.89,2241197
2011-05-20,25.71,26.6,25.71,26.23,2863737
2011-05-23,26.03,26.05,24.15,24.49,6779876
2011-05-24,24.39,24.79,24.2,24.56,2703413
2011-05-25,24.5,24.98,24.24,24.3,2163158
2011-05-26,24.42,24.73,23.02,23.1,6068483
2011-05-27,22.8,23.1,21.91,21.95,3919927
2011-05-30,21.98,22.18,21.63,21.89,2010343
2011-05-31,21.89,22.46,21.89,22.45,2594780
2011-06-01,22.45,22.66,22.22,22.54,2301216
2011-06-02,21.99,22.2,21.26,21.72,4405025
2011-06-03,21.62,22.12,21.56,22.07,2261386
2011-06-07,21.94,22.59,21.8,22.39,3148765
2011-06-08,22.26,22.39,21.85,22.35,2213816
2011-06-09,22.1,22.27,21.52,21.56,2558624
2011-06-10,21.56,21.8,20.71,21.38,3644711
2011-06-13,21.15,21.74,20.9,21.65,2548189
2011-06-14,21.64,22.35,21.41,22.31,3525218
2011-06-15,22.25,23.6,22.09,23.21,8031046
2011-06-16,22.9,23.23,22.16,22.51,5559206
2011-06-17,22.4,22.69,21.77,21.9,2746843
2011-06-20,21.81,22.35,21.51,22.0,2892550
2011-06-21,23.0,23.48,22.61,22.91,6756038
2011-06-22,22.57,23.15,22.56,22.79,3772014
2011-06-23,22.7,23.58,22.68,23.45,4800805
2011-06-24,23.35,24.05,23.13,23.62,7372924
2011-06-27,23.55,24.29,23.51,23.73,4829059
2011-06-28,23.73,23.9,23.4,23.7,3029463
2011-06-29,23.8,24.05,23.51,23.55,3483386
2011-06-30,23.72,24.46,23.72,24.19,5573351
2011-07-01,24.28,24.78,24.03,24.3,4787770
2011-07-04,24.33,24.85,24.25,24.74,4714465
2011-07-05,24.85,24.85,24.4,24.54,4365344
2011-07-06,24.49,24.67,24.1,24.43,4250027
2011-07-07,24.46,25.19,24.46,24.75,6273879
2011-07-08,24.75,24.95,24.54,24.94,3366501
2011-07-11,24.77,24.98,24.61,24.81,3222064
2011-07-12,24.57,24.57,23.78,23.82,6422238
2011-07-13,23.79,24.47,23.79,24.41,3335315
2011-07-14,24.41,25.85,24.41,25.79,9964957
2011-07-15,25.55,26.89,25.42,26.73,12652792
2011-07-18,26.5,26.9,26.26,26.77,6083294
2011-07-19,26.4,27.45,26.18,27.25,8513591
2011-07-20,27.0,27.5,26.39,27.18,5550254
2011-07-21,26.9,27.25,26.56,26.88,5561852
2011-07-22,26.89,27.15,26.76,27.02,4636641
2011-07-25,27.0,27.12,25.63,25.89,5678991
2011-07-26,25.81,26.18,25.58,26.13,3007443
2011-07-27,26.04,27.05,25.75,26.91,6152600
2011-07-28,26.67,26.8,26.0,26.56,3863266
2011-07-29,26.5,26.78,25.88,26.0,2703293
2011-08-01,25.81,26.55,25.81,26.46,3672821
2011-08-02,26.21,26.38,25.42,25.98,3600427
2011-08-03,25.65,25.8,25.0,25.32,5109264
2011-08-04,25.42,25.58,25.14,25.27,3810535
2011-08-05,24.24,24.45,23.8,23.94,6984445
2011-08-09,22.6,23.26,21.55,22.9,18838622
2011-08-10,23.25,23.65,22.85,22.97,10079167
2011-08-11,22.15,23.38,22.08,23.28,5972683
2011-08-12,23.67,23.8,23.2,23.29,5643986
2011-08-15,23.35,23.59,23.16,23.59,4245816
2011-08-16,23.69,24.06,23.49,23.82,5001818
2011-08-17,23.55,23.84,23.33,23.48,3193652
2011-08-18,23.31,23.53,22.59,22.74,4071240
2011-08-19,22.01,22.56,21.99,22.48,3126400
2011-08-22,22.55,22.9,22.18,22.53,2279836
2011-08-23,22.53,23.16,22.5,23.15,2795748
2011-08-24,23.31,23.92,23.28,23.8,8469765
2011-08-25,23.99,24.79,23.75,24.76,11432349
2011-08-26,23.98,24.25,23.77,23.92,10997057
2011-08-29,23.8,23.84,23.38,23.44,4087046
2011-08-30,23.58,23.83,22.98,23.22,4883678
2011-08-31,23.25,23.48,22.68,23.25,3395378
2011-09-01,23.24,23.46,22.69,22.74,2626486
2011-09-02,22.8,22.84,22.11,22.31,2403387
2011-09-05,21.95,22.22,21.85,22.02,2511612
2011-09-06,21.8,22.1,21.71,21.98,1352829
2011-09-07,22.11,22.8,22.11,22.76,2728899
2011-09-08,22.87,22.88,22.21,22.41,1875361
2011-09-09,22.29,22.67,22.08,22.29,1291318
2011-09-13,21.78,22.2,21.72,22.16,1360287
2011-09-14,22.13,22.44,21.73,22.42,2169040
2011-09-15,22.49,22.6,22.18,22.21,1766271
2011-09-19,22.05,22.05,21.38,21.39,1895869
2011-09-20,21.3,21.58,21.22,21.43,1353830
2011-09-21,21.5,22.26,21.34,22.16,3017237
2011-09-22,21.81,22.12,21.35,21.4,2348566
2011-09-23,21.09,21.27,20.78,21.2,1825446
2011-09-26,21.09,21.29,20.6,20.69,1610460
2011-09-27,20.9,21.0,20.65,20.92,1516730
2011-09-28,21.06,21.2,20.21,20.28,2224656
2011-09-29,20.05,20.11,19.35,19.44,2558210
2011-09-30,19.64,19.64,18.99,19.37,2558578
2011-10-10,19.41,19.44,18.95,19.07,1278561
2011-10-11,19.59,19.68,18.9,19.18,1930910
2011-10-12,18.9,19.9,18.71,19.74,2558400
2011-10-13,19.79,20.16,19.67,19.96,2438917
2011-10-14,19.96,20.29,19.72,20.1,2368226
2011-10-17,20.12,20.32,19.93,20.19,2025923
2011-10-18,20.19,20.86,20.19,20.36,7263133
2011-10-19,20.37,20.44,19.8,20.13,2318017
2011-10-20,20.2,20.2,19.2,19.54,2165108
2011-10-21,19.34,19.64,18.8,18.86,2013803
2011-10-24,19.1,19.75,18.78,19.74,2949679
2011-10-25,19.6,20.25,19.48,20.16,4690152
2011-10-26,20.0,20.35,19.95,20.18,4340812
2011-10-27,20.21,20.21,19.8,19.87,3134742
2011-10-28,20.08,20.55,20.05,20.4,7241111
2011-10-31,20.42,20.55,20.17,20.48,3654735
2011-11-01,20.29,20.53,19.9,20.28,3601607
2011-11-02,19.85,20.33,19.57,20.29,4729285
2011-11-03,20.35,20.82,20.3,20.39,5595477
2011-11-04,20.51,20.85,20.41,20.74,3722665
2011-11-07,20.69,20.9,20.46,20.58,2549889
2011-11-08,20.52,20.94,20.33,20.58,3978834
2011-11-09,20.63,21.15,20.44,21.1,5727955
2011-11-10,20.7,21.05,20.59,20.7,3555021
2011-11-11,20.86,20.97,20.55,20.71,2872036
2011-11-14,20.87,21.5,20.8,21.38,6042784
2011-11-15,21.48,21.65,21.19,21.37,4229218
2011-11-16,21.37,21.38,20.61,20.7,3862170
2011-11-17,20.7,21.12,20.51,20.78,2898009
2011-11-18,20.78,20.78,19.9,19.98,3388695
2011-11-21,20.0,20.12,19.8,20.1,1532221
2011-11-22,19.92,20.05,19.71,19.94,1101160
2011-11-23,20.0,20.41,19.85,20.22,3483216
2011-11-24,20.01,20.35,19.85,20.07,1700548
2011-11-25,20.03,20.2,19.71,19.91,1457466
2011-11-28,19.93,20.27,19.89,20.08,2284087
2011-11-29,20.2,20.44,20.02,20.27,2366241
2011-11-30,20.26,20.34,19.03,19.17,2845205
2011-12-01,19.76,20.0,19.57,19.67,3045631
2011-12-02,19.58,19.87,19.31,19.71,2085745
2011-12-05,19.74,20.03,19.4,19.4,1570970
2011-12-06,19.6,19.64,19.18,19.3,984827
2011-12-07,19.29,19.66,19.21,19.51,1127045
2011-12-08,19.52,19.85,19.3,19.53,1302757
2011-12-09,19.4,19.68,19.39,19.55,913392
2011-12-12,19.46,19.58,18.99,19.25,1182032
2011-12-13,19.1,19.29,17.33,17.33,4922949
2011-12-14,17.1,17.68,16.55,16.85,2959589
2011-12-15,16.6,16.9,16.56,16.65,1812651
2011-12-16,16.78,17.11,16.6,17.08,1713320
2011-12-19,16.87,16.98,16.56,16.94,1610701
2011-12-20,16.8,17.82,16.8,17.74,5944219
2011-12-21,18.1,18.1,17.6,17.65,4530119
2011-12-22,17.35,17.96,17.12,17.79,7442420
2011-12-23,17.85,18.08,17.52,17.78,6906939
2011-12-26,17.8,18.0,17.41,17.78,3122470
2011-12-27,17.96,17.96,17.32,17.68,3027783
2011-12-28,17.45,17.68,16.85,17.66,5266653
2011-12-29,17.4,17.68,17.4,17.53,2115365
2011-12-30,17.78,17.89,17.13,17.69,10501177
2012-01-04,17.8,17.8,17.31,17.55,8500434
2012-01-05,17.58,17.74,17.3,17.37,7515110
2012-01-06,17.42,17.75,16.3,16.47,9414517
2012-01-09,16.46,16.8,15.62,16.77,8601159
2012-01-10,16.48,17.44,16.3,17.34,7783289
2012-01-11,17.21,17.37,16.94,17.14,5197401
2012-01-12,17.05,17.25,16.6,16.72,3994202
2012-01-13,16.62,16.77,15.45,15.53,6298774
2012-01-16,15.3,15.4,14.75,14.79,3462318
2012-01-17,14.73,15.68,14.73,15.63,2995593
2012-01-18,15.67,16.09,15.32,15.35,4628548
2012-01-19,15.28,15.8,15.22,15.56,2387700
2012-01-20,15.59,15.98,15.41,15.68,2355154
2012-01-30,15.69,15.91,15.59,15.64,1450139
2012-01-31,15.68,15.68,15.26,15.48,1694754
2012-02-01,15.48,15.82,15.41,15.55,1730146
2012-02-02,15.59,15.81,15.45,15.77,2104782
2012-02-03,15.71,16.18,15.65,16.06,3618728
2012-02-06,16.06,16.63,15.8,16.51,5520215
2012-02-07,16.34,16.34,15.78,15.95,3647296
2012-02-08,15.93,16.45,15.82,16.35,3208920
2012-02-09,16.35,16.57,16.2,16.39,5139116
2012-02-10,16.35,16.78,16.31,16.67,5326958
2012-02-13,16.43,16.88,16.43,16.84,3652472
2012-02-14,16.86,16.87,16.58,16.69,2675943
2012-02-15,16.6,16.78,16.41,16.72,5682666
2012-02-16,16.65,16.74,16.35,16.47,4213914
2012-02-17,16.55,16.59,16.35,16.5,2716295
2012-02-20,16.7,16.85,16.53,16.63,4626150
2012-02-21,16.66,16.7,16.36,16.69,3141349
2012-02-22,16.68,17.77,16.68,17.6,9952679
2012-02-23,17.7,18.4,17.55,18.12,8492290
2012-02-24,18.13,18.29,17.82,18.13,4427567
2012-02-27,18.24,18.35,17.96,18.29,5421263
2012-02-28,18.19,18.65,18.03,18.44,5725529
2012-02-29,18.28,18.32,17.71,17.73,3849159
2012-03-01,17.72,18.2,17.65,17.93,2411358
2012-03-02,18.0,18.61,18.0,18.51,3949547
2012-03-05,18.5,18.7,18.17,18.22,3471755
2012-03-06,18.08,18.18,17.83,17.88,2972600
2012-03-07,17.6,18.18,17.52,17.66,2327544
2012-03-08,17.8,18.35,17.75,18.1,2834385
2012-03-09,18.13,18.78,18.13,18.71,4804240
2012-03-12,18.84,19.0,18.5,18.74,3319697
2012-03-13,18.66,20.0,18.58,19.7,5544278
2012-03-14,19.65,19.78,18.4,18.65,6743568
2012-03-15,18.62,18.86,18.05,18.55,3229560
