date,open,high,low,close,volume
1998-02-25,12.66,13.6,12.2,12.52,22850300
1998-02-26,12.22,12.4,11.61,11.84,6458600
1998-02-27,11.85,12.1,11.55,11.58,3094400
1998-03-02,11.0,11.28,10.45,10.5,3545800
1998-03-03,10.47,11.25,10.41,11.22,2493200
1998-03-04,11.1,11.47,10.88,11.08,1800900
1998-03-05,11.01,11.18,10.8,11.1,1131100
1998-03-06,11.01,11.48,10.98,11.17,1228600
1998-03-09,11.01,11.62,11.01,11.51,1296600
1998-03-10,11.5,11.65,11.2,11.4,843100
1998-03-11,11.4,11.4,11.01,11.17,1030900
1998-03-12,11.1,11.23,10.9,11.13,770000
1998-03-13,11.13,11.23,10.88,10.99,625000
1998-03-16,11.08,11.79,10.93,11.76,2364100
1998-03-17,11.8,12.2,11.65,11.97,3325500
1998-03-18,12.07,12.43,11.93,12.22,3617900
1998-03-19,12.14,12.44,11.8,11.89,1998500
1998-03-20,11.85,12.76,11.7,12.72,2757500
1998-03-23,12.66,12.98,12.41,12.75,3507600
1998-03-24,12.76,12.95,12.41,12.68,1518900
1998-03-25,12.2,12.29,11.59,11.72,3569500
1998-03-26,11.66,11.94,11.2,11.39,2850500
1998-03-27,11.29,11.65,11.16,11.3,2293400
1998-03-30,11.32,11.95,10.95,11.55,2452500
1998-03-31,11.5,11.77,11.3,11.47,1110000
1998-04-01,11.51,11.6,11.21,11.32,1245600
1998-04-02,11.3,11.75,11.1,11.48,1604200
1998-04-03,11.48,12.4,11.0,11.99,2857400
1998-04-06,11.98,12.15,11.6,11.88,1389700
1998-04-07,11.88,12.38,11.78,12.07,1948600
1998-04-08,12.15,12.16,11.86,11.92,1705700
1998-04-09,11.92,11.95,11.5,11.6,1340100
1998-04-10,11.6,11.78,11.42,11.73,838600
1998-04-13,11.7,12.0,11.58,12.0,1381600
1998-04-14,12.02,12.2,11.88,11.91,1259700
1998-04-15,11.91,12.08,11.75,11.78,1030000
1998-04-16,11.9,12.38,11.81,11.95,2409000
1998-04-17,11.9,12.18,11.66,11.73,911700
1998-04-20,11.81,11.82,11.35,11.4,795200
1998-04-21,11.4,11.7,11.35,11.4,754000
1998-04-22,11.6,11.7,11.43,11.61,971100
1998-04-23,11.65,12.39,11.6,12.19,3437100
1998-04-24,12.28,12.98,12.28,12.48,3881600
