date,open,high,low,close,volume
2014-12-29,7.0,8.4,7.0,8.4,579501
2014-12-30,9.24,9.24,9.24,9.24,142800
2014-12-31,10.16,10.16,10.16,10.16,125600
2015-01-05,11.18,11.18,11.18,11.18,101801
2015-01-06,12.3,12.3,12.3,12.3,1333350
2015-01-07,13.53,13.53,13.53,13.53,229300
2015-01-08,14.88,14.88,14.88,14.88,428553
2015-01-09,16.37,16.37,16.37,16.37,1058925
2015-01-12,18.01,18.01,18.01,18.01,2796369
2015-01-13,19.81,19.81,19.81,19.81,4879090
2015-01-14,21.79,21.79,21.79,21.79,188753040
2015-01-15,21.67,23.97,21.11,23.97,746977856
2015-01-16,23.74,24.92,23.23,23.68,496708576
2015-01-19,21.6,22.56,21.31,21.31,382508896
2015-01-20,22.0,23.29,21.66,23.18,445866496
2015-01-21,23.2,25.2,22.5,24.11,407593632
2015-01-22,23.71,24.1,23.22,23.85,233886944
2015-01-23,24.14,24.85,23.21,23.6,255417456
2015-01-26,23.14,23.29,22.13,22.93,211700736
2015-01-27,22.8,23.0,21.96,22.21,160641376
2015-01-28,22.02,22.93,21.9,22.3,141858848
2015-01-29,21.9,22.45,21.41,21.85,129986432
2015-01-30,22.02,22.23,21.01,21.09,109974504
2015-02-02,20.1,20.85,20.08,20.4,92786232
2015-02-03,20.75,21.56,20.42,21.39,119859416
2015-02-04,21.35,21.5,20.47,20.5,118096744
2015-02-05,21.29,21.3,20.28,20.29,104716064
2015-02-06,20.02,20.58,19.9,20.14,68931184
2015-02-09,20.0,21.16,19.96,20.78,106778680
2015-02-10,20.6,20.94,20.3,20.6,86859520
2015-02-11,20.6,20.93,20.31,20.84,69971184
2015-02-12,20.8,21.45,20.51,21.26,82523144
2015-02-13,21.4,21.57,21.09,21.16,88899776
2015-02-16,21.09,21.2,20.84,21.04,60127240
2015-02-17,21.12,21.46,21.04,21.14,55028288
2015-02-25,21.07,21.07,20.46,20.47,52569268
2015-02-26,20.47,21.45,20.31,21.21,92157320
2015-02-27,21.09,21.35,21.0,21.07,66958312
2015-03-02,21.4,21.85,21.18,21.39,97337088
2015-03-03,21.23,21.24,20.51,20.54,85621088
2015-03-04,20.49,20.74,20.37,20.56,46186320
2015-03-05,20.46,20.75,20.35,20.69,53316240
2015-03-06,20.65,20.92,20.36,20.39,48507216
2015-03-09,19.99,19.99,19.34,19.79,74872448
2015-03-10,19.7,20.04,19.5,19.73,50785824
2015-03-11,19.71,20.0,19.46,19.49,42817568
2015-03-12,19.57,20.0,19.47,19.85,56571972
2015-03-13,20.08,20.35,19.83,19.93,47160728
2015-03-16,20.12,20.96,19.9,20.71,98700208
2015-03-17,21.1,21.44,20.77,21.24,134899632
2015-03-18,21.35,21.65,21.35,21.65,113325248
2015-03-19,21.77,21.77,21.35,21.5,89237608
2015-03-20,21.55,23.52,21.33,22.61,175145360
2015-03-23,22.81,22.97,22.42,22.74,115971920
2015-03-24,22.76,22.76,21.6,22.09,109051840
2015-03-25,22.09,22.54,21.8,22.14,80163176
2015-03-26,21.99,22.78,21.8,22.08,86913064
2015-03-27,22.01,22.39,21.9,22.08,49047768
2015-03-30,22.2,22.64,21.92,22.41,92245056
2015-03-31,22.71,23.45,22.1,22.18,122459224
2015-04-01,22.36,22.75,22.15,22.58,93239392
2015-04-02,22.88,22.93,22.25,22.56,85862800
2015-04-03,22.41,24.75,22.36,24.53,241535120
2015-04-07,24.6,25.73,24.16,25.4,205766944
2015-04-08,25.45,27.94,25.45,27.94,217369936
2015-04-09,28.99,30.73,28.5,29.0,284158688
2015-04-10,29.21,31.9,29.0,31.5,243933232
2015-04-13,31.0,31.18,29.76,30.53,197386048
2015-04-14,30.01,30.19,28.91,29.83,144297392
2015-04-15,29.3,30.15,28.87,28.88,89131696
2015-04-16,28.1,29.48,28.08,28.88,74988264
2015-04-17,29.39,30.99,29.17,29.55,111652632
2015-04-29,29.4,29.47,27.88,28.7,102371184
2015-04-30,28.82,31.06,28.82,29.2,103291576
