date,open,high,low,close,volume
1997-06-16,13.75,14.75,13.7,13.99,46193700
1997-06-17,13.5,13.6,12.59,12.59,15359100
1997-06-18,12.18,12.59,11.53,11.87,6629400
1997-06-19,11.65,11.98,10.8,10.85,5637600
1997-06-20,11.0,11.94,11.0,11.73,6464300
1997-06-23,11.88,11.98,11.0,11.22,6011800
1997-06-24,11.16,11.7,11.13,11.4,3797700
1997-06-25,11.45,11.5,11.16,11.25,3067900
1997-06-26,11.16,11.2,10.9,10.97,3289100
1997-06-27,10.9,11.0,10.01,10.2,4282700
1997-07-02,10.2,10.48,9.18,9.35,3490500
1997-07-03,9.48,9.9,8.8,9.44,3170800
1997-07-04,9.35,9.59,9.01,9.29,1607200
1997-07-07,9.42,9.47,8.36,8.43,1709100
1997-07-08,8.34,8.79,8.01,8.48,2066900
1997-07-09,8.51,8.8,8.2,8.6,1882100
1997-07-10,8.55,8.75,8.21,8.23,1334600
1997-07-11,8.28,8.85,8.28,8.83,2514100
1997-07-14,9.0,9.48,8.61,9.21,3703600
1997-07-15,9.28,9.32,8.8,9.02,2384600
1997-07-16,9.1,9.14,8.7,8.76,1820100
1997-07-17,8.65,9.14,8.6,8.87,1751200
1997-07-18,8.7,9.15,8.62,8.99,2013600
1997-07-21,9.1,9.51,9.0,9.21,4520800
1997-07-22,9.15,9.38,8.8,9.28,2176000
1997-07-23,9.35,9.5,9.16,9.39,3388700
1997-07-24,9.38,9.9,9.32,9.55,5809500
1997-07-25,9.48,9.73,9.28,9.4,2645500
1997-07-28,9.38,9.38,8.9,8.94,1976100
1997-07-29,8.9,9.15,8.8,8.98,1131100
1997-07-30,8.98,9.33,8.98,9.3,1234000
1997-07-31,9.35,9.39,9.05,9.12,818800
1997-08-01,9.12,9.24,9.03,9.17,825300
1997-08-04,9.17,9.55,9.09,9.43,1829700
1997-08-05,9.56,9.89,9.56,9.82,5129500
1997-08-06,9.88,9.9,9.33,9.34,2157000
1997-08-07,9.3,9.61,9.16,9.61,1849700
1997-08-08,8.64,9.0,8.64,8.64,6044900
1997-08-11,8.3,8.61,8.2,8.36,2910200
1997-08-12,8.36,8.53,8.11,8.14,1415300
1997-08-13,8.1,8.23,7.89,7.92,1134600
1997-08-14,7.91,8.09,7.86,8.05,1609200
1997-08-15,8.06,8.08,7.72,7.82,1335100
1997-08-18,7.77,7.92,7.56,7.85,1615100
1997-08-19,7.82,7.95,7.67,7.8,727800
1997-08-20,7.84,8.09,7.78,8.06,1071500
1997-08-21,8.07,8.19,7.97,8.15,1055000
1997-08-22,8.18,8.3,8.02,8.28,1319900
1997-08-25,8.25,8.3,8.07,8.2,1389300
1997-08-26,8.28,8.5,8.25,8.48,2450900
1997-08-27,8.53,8.74,8.22,8.6,2270400
1997-08-28,8.6,8.73,8.55,8.68,2314300
1997-08-29,8.68,9.11,8.6,8.96,4160200
1997-09-01,9.11,9.25,8.9,9.1,2893700
1997-09-02,9.1,9.15,8.76,8.89,2230000
1997-09-03,8.85,9.0,8.78,8.9,1709000
1997-09-04,8.9,9.16,8.85,9.05,2170900
1997-09-05,9.09,9.09,8.8,8.9,1158600
1997-09-08,8.88,8.9,8.72,8.85,1270700
1997-09-09,8.88,8.88,8.58,8.6,1139100
1997-09-10,8.5,8.79,8.4,8.72,1093800
1997-09-11,8.75,8.95,8.5,8.59,1281700
1997-09-12,8.6,8.7,8.13,8.21,1075200
1997-09-15,8.25,8.3,8.05,8.07,782500
1997-09-16,8.15,8.35,8.06,8.21,661100
1997-09-17,8.25,8.26,8.1,8.14,394500
1997-09-18,8.1,8.39,8.1,8.3,610200
1997-09-19,8.38,8.64,8.3,8.5,1100900
1997-09-22,8.6,8.66,7.87,7.94,833600
1997-09-23,7.8,8.05,7.3,7.53,1225400
1997-09-24,7.7,8.19,7.7,8.15,1631600
1997-09-25,8.2,8.4,8.0,8.35,1476800
1997-09-26,8.17,8.3,7.96,8.2,764400
1997-09-29,8.0,8.06,7.75,7.8,587000
1997-09-30,7.8,8.15,7.8,8.0,648300
1997-10-06,8.12,8.12,7.88,8.12,329800
1997-10-07,8.07,8.15,7.93,8.01,187900
1997-10-08,8.08,8.38,8.08,8.28,759400
1997-10-09,8.24,8.27,8.13,8.13,573700
1997-10-10,8.18,8.21,8.09,8.14,443300
1997-10-13,8.2,8.3,8.14,8.24,738300
1997-10-14,8.24,8.8,8.15,8.6,4368600
1997-10-15,8.65,8.65,8.48,8.57,1309800
1997-10-16,8.7,8.95,8.6,8.72,2305900
1997-10-17,8.85,8.87,8.55,8.7,2223900
1997-10-20,8.72,9.13,8.65,9.03,3297200
1997-10-21,9.1,9.1,8.76,8.85,1812700
1997-10-22,8.88,8.98,8.4,8.41,2753000
1997-10-23,8.38,8.67,8.2,8.47,1691600
1997-10-24,8.4,8.68,8.3,8.54,2102000
1997-10-27,8.68,8.98,8.6,8.67,2599700
1997-10-28,8.8,9.38,8.55,9.16,9310800
1997-10-29,9.03,10.12,8.91,10.12,14418300
1997-10-30,10.35,10.6,9.8,9.85,13583800
1997-10-31,9.71,9.9,9.41,9.74,4076300
1997-11-03,9.8,10.1,9.56,9.8,2865100
1997-11-04,9.73,9.89,9.52,9.68,1751900
1997-11-05,9.72,9.9,9.53,9.86,2427100
1997-11-06,9.86,10.18,9.65,9.69,2671000
1997-11-07,9.78,9.95,9.63,9.81,1769200
1997-11-10,9.91,9.95,9.16,9.3,1735800
1997-11-11,9.25,9.3,8.8,9.1,1500700
1997-11-12,9.35,9.35,8.88,9.15,2850400
1997-11-13,9.08,9.19,8.75,9.15,1490100
1997-11-14,9.15,9.27,8.85,8.89,1067500
1997-11-17,9.0,9.1,8.8,8.82,561700
1997-11-18,8.82,8.82,8.54,8.6,1209400
1997-11-19,8.5,8.75,8.49,8.6,746800
1997-11-20,8.6,8.69,8.38,8.4,639900
1997-11-21,8.35,8.45,8.22,8.36,791500
1997-11-24,8.08,8.3,8.02,8.05,818900
1997-11-25,8.05,8.25,8.05,8.22,631600
1997-11-26,8.24,8.45,8.13,8.44,455200
1997-11-27,8.4,8.4,8.06,8.11,564200
1997-11-28,8.06,8.65,8.01,8.61,3269500
1997-12-01,8.57,8.74,8.43,8.47,1026900
1997-12-02,8.46,8.59,8.0,8.26,492900
1997-12-03,8.26,8.4,8.16,8.29,669400
1997-12-04,8.28,8.53,8.2,8.37,790200
1997-12-05,8.45,8.6,8.3,8.35,838200
1997-12-08,8.45,8.46,8.28,8.28,508500
1997-12-09,8.3,8.35,8.22,8.31,573000
1997-12-10,8.45,8.49,8.31,8.42,452900
1997-12-11,8.46,8.46,8.28,8.32,532800
1997-12-12,8.32,8.68,8.3,8.46,1195000
1997-12-15,8.45,8.65,8.4,8.61,959100
1997-12-16,8.59,8.65,8.45,8.51,990700
1997-12-17,8.54,8.59,8.2,8.24,1205000
1997-12-18,8.12,8.4,8.1,8.13,1077000
1997-12-19,8.15,8.24,8.02,8.16,1330300
1997-12-22,8.15,8.24,8.01,8.11,1458400
1997-12-23,8.13,8.4,7.98,8.3,1914800
1997-12-24,8.33,8.4,8.15,8.27,1104700
1997-12-25,8.27,8.55,8.2,8.49,1725700
1997-12-26,8.54,8.76,8.43,8.62,1945500
1997-12-29,8.75,8.75,8.47,8.48,1333100
1997-12-30,8.48,8.48,8.25,8.28,907000
1997-12-31,8.34,8.38,8.2,8.34,755600
1998-01-05,8.32,8.58,8.29,8.39,1205200
1998-01-06,8.39,8.59,8.21,8.58,1803800
1998-01-07,8.61,8.99,8.6,8.86,2848800
1998-01-08,8.85,8.98,8.71,8.83,2087000
1998-01-09,8.8,8.89,8.55,8.61,1538700
1998-01-12,8.6,9.17,8.6,8.82,2625900
1998-01-13,8.75,8.75,7.94,8.25,2089000
1998-01-14,8.25,8.48,8.25,8.4,1141600
1998-01-15,8.45,8.74,8.3,8.69,1310900
1998-01-16,8.7,8.89,8.4,8.49,924900
1998-01-19,8.55,8.61,8.32,8.34,568400
1998-01-20,8.31,8.5,8.28,8.33,510000
1998-01-21,8.4,8.42,8.25,8.26,399200
