date,open,high,low,close,volume
2015-06-26,23.65,28.38,23.65,28.38,2068078
2015-06-29,31.22,31.22,29.18,31.22,314822944
2015-06-30,30.68,34.34,29.18,34.34,521100320
2015-07-01,36.0,37.3,34.03,34.82,529359008
2015-07-02,35.8,35.88,31.35,31.42,355393472
2015-07-03,30.01,33.3,28.31,29.6,331084320
2015-07-06,32.56,32.56,29.8,31.95,429413056
2015-07-07,30.0,30.9,28.76,28.76,281586304
2015-07-08,25.88,25.88,25.88,25.88,42357000
2015-07-09,23.29,28.47,23.29,28.47,388972320
2015-07-10,28.5,31.32,28.47,31.32,367948224
2015-07-13,31.5,33.98,30.38,32.82,448924416
2015-07-14,31.35,32.25,29.95,30.38,342775712
2015-07-15,29.56,30.38,27.34,27.34,245602816
2015-07-16,26.55,28.75,25.7,27.64,168020736
2015-07-17,27.65,29.88,27.33,29.36,194051408
2015-07-20,29.0,29.26,28.0,28.37,169453856
2015-07-21,27.89,29.58,27.51,28.71,175059552
2015-07-22,28.78,29.5,28.49,28.64,147120768
2015-07-23,28.68,29.98,28.51,29.59,214972720
2015-07-24,29.78,29.86,28.17,28.41,185325664
2015-07-27,27.5,27.97,25.57,25.57,170324336
2015-07-28,24.24,28.13,23.48,27.72,316081344
2015-07-29,27.5,27.77,26.2,27.69,128707392
2015-07-30,27.1,28.11,26.5,26.66,127825536
2015-07-31,26.18,27.13,25.8,26.38,85418696
2015-08-03,25.95,26.45,25.18,26.22,78805344
2015-08-04,26.22,27.27,25.91,27.12,107286064
2015-08-05,26.8,27.0,26.18,26.22,73182272
2015-08-06,25.78,26.55,25.58,25.77,50607688
2015-08-07,25.76,26.49,25.76,26.09,73221536
2015-08-10,26.21,28.08,25.88,27.54,195364512
2015-08-11,27.19,27.64,26.9,26.99,125165672
2015-08-12,26.78,27.73,26.65,26.87,99997312
2015-08-13,26.87,27.3,26.38,27.05,80047104
2015-08-14,27.23,27.46,26.91,27.08,94169968
2015-08-17,26.98,27.06,26.02,26.43,87254808
2015-08-18,26.58,27.5,24.1,24.56,145492640
2015-08-19,24.09,25.1,23.69,25.07,98739104
2015-08-20,24.8,24.9,24.0,24.08,64117804
2015-08-21,23.72,24.04,23.0,23.16,77330904
2015-08-24,22.01,22.49,20.84,20.84,106487440
2015-08-25,19.25,20.17,18.76,18.76,132366488
2015-08-26,19.28,20.25,18.2,18.95,131174680
2015-08-27,19.51,20.29,18.8,20.24,112991328
2015-08-28,20.3,21.27,19.9,21.14,138621920
2015-08-31,21.0,21.0,19.7,19.99,103870160
2015-09-01,19.9,20.89,18.76,19.67,87571760
