date,open,high,low,close,volume
1993-05-18,18.88,20.5,17.6,17.7,7009400
1993-05-19,17.9,18.04,17.31,17.95,1640200
1993-05-20,18.2,18.79,18.1,18.51,2801100
1993-05-21,18.51,18.66,17.75,17.95,1312600
1993-05-24,17.85,17.85,15.4,15.68,2168000
1993-05-25,14.5,16.28,14.5,15.55,2176100
1993-05-26,15.32,15.95,15.01,15.69,2391000
1993-05-27,15.5,15.86,14.52,15.2,1431200
1993-05-28,15.0,15.58,15.0,15.3,965200
1993-05-31,15.3,15.45,14.5,14.55,662100
1993-06-01,14.8,15.19,13.15,14.65,862200
1993-06-02,15.65,19.1,14.25,19.1,5084100
1993-06-03,18.5,23.49,16.6,19.2,12041300
1993-06-04,19.6,20.0,17.9,18.0,5645600
1993-06-07,18.1,19.98,17.12,19.5,2866700
1993-06-08,20.5,21.0,19.11,19.59,6596500
1993-06-09,19.8,19.89,18.52,18.82,1600100
1993-06-10,18.61,19.3,18.2,18.25,1424600
1993-06-11,18.19,18.5,17.62,18.25,1013100
1993-06-14,18.0,18.2,17.0,17.3,1237400
1993-06-15,16.95,17.65,16.5,17.42,932200
1993-06-16,17.55,17.77,17.13,17.28,574700
1993-06-17,17.5,17.8,17.0,17.2,336400
1993-06-18,17.3,17.59,17.1,17.3,365000
1993-06-21,17.35,17.35,16.3,17.0,551700
1993-06-22,17.2,17.26,16.9,17.08,194300
1993-06-23,17.1,17.37,17.08,17.15,217000
1993-06-24,17.13,17.28,16.61,16.95,269000
1993-06-25,16.9,18.83,16.9,17.64,955800
1993-06-28,17.45,17.8,17.25,17.5,360900
1993-06-29,17.5,18.18,17.4,17.75,865300
1993-06-30,18.7,18.7,17.01,17.4,545800
1993-07-01,17.03,17.6,16.9,17.2,452800
1993-07-02,17.1,17.3,17.0,17.0,279500
1993-07-05,17.08,17.08,16.15,16.55,528800
1993-07-06,16.1,16.37,15.03,15.6,693000
1993-07-07,15.2,15.92,15.01,15.64,344800
1993-07-08,16.09,16.41,15.4,15.69,278700
1993-07-09,15.4,15.6,14.8,15.15,299600
1993-07-12,14.11,14.94,14.11,14.78,356500
1993-07-13,16.02,17.8,16.02,17.7,3233800
1993-07-14,17.9,18.3,15.0,15.55,2750500
1993-07-15,15.21,16.2,15.01,15.52,865200
1993-07-16,16.12,16.19,15.56,16.01,846100
1993-07-19,16.39,16.52,15.7,16.27,779400
1993-07-20,16.25,16.25,15.6,15.98,521800
1993-07-21,15.99,16.19,15.8,16.06,227600
1993-07-22,16.19,16.2,15.86,16.17,160400
1993-07-23,16.15,16.29,16.02,16.15,195100
1993-07-26,16.3,16.3,15.8,16.0,261700
1993-07-27,15.61,16.25,15.61,15.86,179700
1993-07-28,15.75,16.5,15.68,15.85,343800
1993-07-29,15.95,16.16,15.72,15.8,203200
1993-07-30,16.0,17.6,15.95,16.88,1396900
1993-08-02,17.11,17.5,16.0,16.0,1223700
1993-08-03,15.95,16.42,15.6,15.73,236500
1993-08-04,16.0,16.5,15.63,16.2,164400
1993-08-05,16.25,16.4,15.8,16.15,287400
1993-08-06,15.99,16.26,15.99,16.16,243400
1993-08-09,16.29,16.5,16.1,16.46,393200
1993-08-10,16.65,16.98,15.8,16.02,855300
1993-08-11,16.02,16.6,16.02,16.58,234000
1993-08-12,16.7,16.96,16.58,16.95,850100
1993-08-13,17.1,18.78,16.98,18.35,2324800
1993-08-16,18.3,19.35,17.38,19.35,3401400
1993-08-17,19.5,19.6,17.02,18.15,2374100
1993-08-18,18.1,18.89,18.02,18.22,1335200
1993-08-19,18.1,19.18,18.1,18.98,1439100
1993-08-20,19.15,19.25,18.36,18.9,1407900
1993-08-23,18.49,18.5,17.41,17.7,914500
1993-08-24,17.3,17.8,17.12,17.53,555300
1993-08-25,17.8,18.16,17.75,17.9,393200
1993-08-26,17.45,17.98,17.45,17.75,181900
1993-08-27,17.75,17.86,17.51,17.65,408900
1993-08-30,17.49,17.98,17.2,17.75,217000
1993-08-31,17.77,17.94,17.5,17.54,124700
1993-09-01,17.6,17.79,17.56,17.64,86900
1993-09-02,17.64,17.8,17.6,17.78,94900
1993-09-03,17.92,18.47,17.84,18.1,401600
1993-09-06,18.48,18.59,18.2,18.4,418700
1993-09-07,18.54,18.54,17.52,17.6,276400
1993-09-08,17.59,18.0,17.5,17.82,202000
1993-09-09,17.79,17.96,17.6,17.71,102000
1993-09-10,17.54,17.88,17.54,17.78,116100
1993-09-13,17.65,17.65,17.11,17.3,282700
1993-09-14,17.05,17.3,16.88,17.2,99200
1993-09-15,17.2,17.39,17.19,17.3,92500
1993-09-16,17.3,17.3,17.1,17.12,102600
1993-09-17,17.15,17.4,17.1,17.3,93500
1993-09-20,17.25,17.25,16.9,17.16,78700
1993-09-21,17.49,17.5,17.25,17.41,119600
1993-09-22,17.4,17.5,17.2,17.22,54000
1993-09-23,17.59,17.59,17.26,17.3,64500
1993-09-24,17.05,19.42,17.01,17.3,209900
1993-09-27,17.3,17.55,17.3,17.31,70500
1993-09-28,17.5,17.6,17.35,17.57,167700
1993-09-29,17.72,17.85,17.43,17.43,166500
1993-09-30,17.41,17.5,17.41,17.45,139000
1993-10-04,17.42,17.58,17.41,17.41,193600
1993-10-05,17.41,17.5,17.15,17.23,116700
1993-10-06,17.3,17.4,17.08,17.18,158900
1993-10-07,17.2,17.8,17.05,17.15,447400
1993-10-08,17.1,17.3,16.8,17.0,291600
1993-10-11,17.0,17.0,16.8,16.95,245800
1993-10-12,16.9,18.48,16.8,18.15,1706900
1993-10-13,18.6,18.75,16.9,17.13,1611200
1993-10-14,17.23,17.65,17.0,17.35,392100
1993-10-15,17.5,17.98,17.0,17.45,581200
1993-10-18,17.21,17.3,16.93,17.09,282400
1993-10-19,17.22,17.5,17.01,17.1,168200
1993-10-20,17.48,17.48,17.08,17.15,95900
1993-10-21,17.2,17.34,16.98,17.0,194100
1993-10-22,17.0,17.48,16.48,16.48,350800
1993-10-25,16.0,16.2,15.52,15.8,401900
