date,open,high,low,close,volume
2010-04-09,60.0,60.97,56.1,60.27,35127976
2010-04-12,63.11,66.3,62.88,66.3,26850070
2010-04-13,68.99,69.95,64.89,68.28,23200400
2010-04-14,66.35,67.68,64.01,65.15,10895915
2010-04-15,65.5,66.97,58.71,60.5,12344214
2010-04-16,58.88,59.57,56.13,57.59,6849723
2010-04-19,57.2,59.19,56.3,58.15,6178815
2010-04-20,57.51,59.5,56.2,58.59,5198089
2010-04-21,58.0,60.18,56.5,59.5,6208339
2010-04-22,59.0,61.8,58.53,59.1,5957060
2010-04-23,58.7,60.5,58.0,58.9,4117275
2010-04-26,59.38,62.85,58.38,61.4,6221610
2010-04-27,60.8,61.5,55.26,55.68,6940088
2010-04-28,54.0,54.0,50.15,50.16,5225849
2010-04-29,50.77,51.78,48.91,49.02,3850645
2010-04-30,48.61,49.3,45.01,47.03,4068445
2010-05-04,46.65,48.9,46.3,47.6,2364610
2010-05-05,47.05,50.98,47.05,50.68,4053814
2010-05-06,50.0,51.4,49.5,49.7,3512563
2010-05-07,48.7,51.49,48.41,50.04,2800776
2010-05-10,49.06,50.3,45.09,45.09,3684748
2010-05-11,46.36,46.5,41.29,41.59,3979956
2010-05-12,40.99,42.2,39.5,40.78,2091452
2010-05-13,40.95,41.58,38.3,41.36,3119711
2010-05-14,40.1,42.16,40.08,41.59,2720910
2010-05-17,41.0,41.1,37.43,37.43,2610643
2010-05-19,37.99,39.79,37.8,38.58,2698752
2010-05-20,38.0,39.16,36.81,37.0,2289523
2010-05-21,35.2,38.31,35.2,38.15,2894515
2010-05-24,38.31,40.3,38.06,40.14,3722610
2010-05-25,39.41,40.55,39.32,39.55,2474183
2010-05-26,39.78,40.19,38.18,38.35,2718260
2010-05-27,38.3,40.5,37.0,40.34,4686850
2010-05-28,40.81,41.36,40.08,40.5,3824996
2010-05-31,40.0,40.95,38.5,38.51,2799433
2010-06-01,38.05,38.31,36.06,37.11,2200350
2010-06-02,37.4,38.18,36.0,38.08,1740588
2010-06-03,38.58,39.98,38.21,38.65,3267452
2010-06-04,38.1,38.85,37.51,38.72,1778643
2010-06-07,37.84,40.1,37.5,40.09,2988682
2010-06-08,39.99,41.6,39.62,41.51,4122034
2010-06-09,42.0,42.48,41.15,41.4,3860084
2010-06-10,41.4,42.79,41.16,42.15,2868910
2010-06-11,42.45,42.7,41.34,41.73,1857506
2010-06-17,42.0,42.3,39.6,39.7,1634716
2010-06-18,39.5,39.5,36.85,37.11,1881826
2010-06-21,37.05,38.7,37.05,38.25,2165357
2010-06-23,38.15,38.71,37.27,37.8,1882845
2010-06-24,38.18,38.38,37.36,37.8,1484958
2010-06-25,37.5,38.17,37.12,37.99,1731691
2010-06-28,38.2,38.87,37.2,37.43,2047101
2010-06-29,37.19,37.4,33.69,33.69,3821301
2010-06-30,33.4,33.4,31.42,32.32,1773284
2010-07-01,32.2,32.99,32.0,32.64,1372146
2010-07-02,32.58,33.79,31.02,33.09,2558552
2010-07-05,32.6,33.0,31.5,32.47,1263576
2010-07-06,32.35,33.18,31.74,33.09,1859549
2010-07-07,33.24,33.6,32.4,33.6,1748418
2010-07-08,34.0,34.0,32.55,32.78,1594001
2010-07-09,32.0,36.06,31.05,36.06,9534162
2010-07-12,35.3,36.28,34.88,35.65,8870981
2010-07-13,35.0,36.8,34.64,36.04,7290971
2010-07-14,36.01,37.26,35.61,35.96,5368260
2010-07-15,35.66,36.4,34.3,34.3,3716009
2010-07-16,34.0,34.13,32.78,33.7,3452592
2010-07-19,32.82,34.43,32.81,34.39,4248041
2010-07-20,34.4,35.6,34.19,35.4,4691084
2010-07-21,35.4,35.92,35.05,35.25,4135304
2010-07-22,35.3,36.15,34.54,36.1,5728365
2010-07-23,35.91,37.85,35.72,37.3,8106225
2010-07-26,37.6,38.13,36.54,37.53,5241644
2010-07-27,37.3,37.48,36.7,36.71,3558071
2010-07-28,36.4,37.53,36.4,37.33,4062157
2010-07-29,37.3,37.49,36.41,37.02,3946763
2010-07-30,36.95,37.61,36.68,37.19,3805591
2010-08-02,37.06,38.2,37.06,37.95,5449400
2010-08-03,38.21,39.73,37.61,37.61,7096541
2010-08-04,37.42,38.5,36.96,38.49,4664375
2010-08-05,38.69,39.68,38.51,39.01,5384917
2010-08-06,39.4,41.05,39.0,40.75,7984383
2010-08-09,41.34,42.2,40.72,41.1,7171886
2010-08-10,41.12,41.2,38.8,39.0,4864655
2010-08-11,38.6,39.64,38.16,39.47,3518611
2010-08-12,38.8,40.3,38.47,39.5,3443190
2010-08-13,39.32,39.99,38.47,39.5,2229738
2010-08-16,39.6,40.28,39.0,40.12,2578874
2010-08-17,39.96,40.48,39.4,39.7,2934420
