date,open,high,low,close,volume
2010-09-28,3.72,3.75,3.54,3.57,326372960
2010-09-29,3.45,3.54,3.43,3.47,115421296
2010-09-30,3.47,3.56,3.45,3.55,76494240
2010-10-08,3.56,3.66,3.52,3.59,128202488
2010-10-11,3.59,3.73,3.57,3.72,183771872
2010-10-12,3.7,3.72,3.64,3.68,105058336
2010-10-13,3.67,3.71,3.6,3.69,92866664
2010-10-14,3.7,3.85,3.67,3.73,269133888
2010-10-15,3.72,3.82,3.67,3.8,232780928
2010-10-18,3.9,4.18,3.85,4.18,405817920
2010-10-19,4.1,4.14,3.98,4.05,266893904
2010-10-20,3.96,4.01,3.86,3.94,166983184
2010-10-21,3.95,3.95,3.82,3.88,99521040
2010-10-22,3.88,3.91,3.83,3.88,65463920
2010-10-25,3.88,3.98,3.88,3.96,103334200
2010-10-26,3.98,3.99,3.88,3.9,74838824
2010-10-27,3.88,3.95,3.86,3.86,58781808
2010-10-28,3.87,3.89,3.83,3.84,54640116
2010-10-29,3.84,3.86,3.76,3.8,58398672
2010-11-01,3.8,3.84,3.79,3.83,51418168
2010-11-02,3.84,3.91,3.77,3.86,88499744
2010-11-03,3.84,3.88,3.79,3.81,49817904
2010-11-04,3.83,3.88,3.81,3.86,49251188
2010-11-05,3.88,3.97,3.86,3.92,98169200
2010-11-08,3.93,3.96,3.9,3.94,77230296
2010-11-09,3.94,3.94,3.85,3.87,65961056
2010-11-10,3.85,3.86,3.78,3.82,48751656
2010-11-11,3.8,3.89,3.79,3.84,47827072
2010-11-12,3.83,3.83,3.64,3.67,80275184
2010-11-15,3.67,3.75,3.66,3.73,40610680
2010-11-16,3.72,3.72,3.62,3.63,35272764
2010-11-17,3.62,3.66,3.6,3.62,22547272
2010-11-18,3.63,3.65,3.61,3.64,19014028
2010-11-19,3.65,3.67,3.6,3.66,23155174
2010-11-22,3.63,3.67,3.62,3.65,21566156
2010-11-23,3.63,3.63,3.54,3.57,28737044
2010-11-24,3.56,3.61,3.55,3.6,18180568
2010-11-25,3.61,3.64,3.58,3.63,23508450
2010-11-26,3.62,3.63,3.58,3.59,16284371
2010-11-29,3.58,3.59,3.56,3.58,14631003
2010-11-30,3.57,3.6,3.49,3.52,31783388
2010-12-01,3.53,3.53,3.5,3.52,14099866
2010-12-02,3.57,3.65,3.54,3.61,33990000
2010-12-03,3.6,3.61,3.55,3.58,14036499
2010-12-06,3.6,3.62,3.56,3.6,21954160
2010-12-07,3.57,3.58,3.51,3.57,16168345
2010-12-08,3.56,3.57,3.53,3.55,10890960
2010-12-09,3.54,3.57,3.49,3.52,17619960
2010-12-10,3.5,3.55,3.5,3.53,12954454
2010-12-13,3.53,3.6,3.53,3.6,25068558
2010-12-14,3.6,3.66,3.57,3.63,27983772
2010-12-15,3.61,3.63,3.58,3.6,14520819
2010-12-16,3.6,3.62,3.57,3.58,12449806
2010-12-17,3.57,3.59,3.51,3.57,17425720
2010-12-20,3.56,3.57,3.5,3.53,18634620
2010-12-21,3.53,3.57,3.52,3.56,14065591
2010-12-22,3.56,3.56,3.52,3.53,12883284
2010-12-23,3.53,3.54,3.51,3.52,14484187
2010-12-24,3.53,3.53,3.5,3.52,12504539
2010-12-27,3.53,3.54,3.45,3.47,22012236
2010-12-28,3.43,3.44,3.12,3.2,295855680
2010-12-29,3.16,3.19,3.1,3.16,96143992
2010-12-30,3.16,3.16,3.06,3.09,102763576
2010-12-31,3.08,3.12,3.08,3.12,79554832
2011-01-04,3.12,3.16,3.1,3.15,99758600
2011-01-05,3.13,3.14,3.1,3.11,50268712
2011-01-06,3.11,3.12,3.07,3.09,93946048
2011-01-07,3.08,3.15,3.07,3.12,80020488
2011-01-10,3.1,3.13,3.08,3.09,45563100
2011-01-11,3.08,3.13,3.05,3.12,102524032
2011-01-12,3.1,3.13,3.09,3.12,46218892
2011-01-13,3.12,3.12,3.09,3.09,35485176
2011-01-14,3.09,3.1,3.07,3.08,32742526
2011-01-17,3.07,3.08,3.0,3.01,62935120
2011-01-18,3.01,3.01,2.97,3.01,30343904
2011-01-19,3.01,3.05,2.99,3.05,43398468
2011-01-20,3.04,3.04,2.96,2.98,46518396
2011-01-21,2.97,3.06,2.96,3.03,61113912
2011-01-24,3.03,3.07,3.01,3.04,39447964
2011-01-25,3.03,3.05,3.01,3.03,27650772
2011-01-26,3.03,3.05,3.02,3.05,25401956
2011-01-27,3.03,3.18,3.01,3.15,136649600
2011-01-28,3.13,3.14,3.1,3.12,52063412
2011-01-31,3.12,3.16,3.11,3.14,51190872
2011-02-01,3.14,3.14,3.1,3.13,30396928
2011-02-09,3.11,3.13,3.1,3.11,29679802
