date,open,high,low,close,volume
2011-03-02,38.47,40.8,38.02,38.13,9432453
2011-03-03,37.45,40.98,37.01,39.71,6382202
2011-03-04,38.0,38.31,36.88,37.65,3801463
2011-03-07,37.03,38.17,37.03,37.35,2753678
2011-03-08,37.1,37.38,36.01,36.31,2791537
2011-03-09,36.4,36.87,36.15,36.51,1510928
2011-03-10,36.55,36.89,36.19,36.6,1522724
2011-03-11,36.55,36.85,36.07,36.22,1436260
2011-03-14,36.0,36.52,35.1,36.5,1905759
2011-03-15,36.15,39.5,36.13,38.04,4263794
2011-03-16,37.55,38.86,37.02,37.73,1899259
2011-03-17,37.53,37.53,36.14,36.27,1301983
2011-03-18,36.41,36.88,36.25,36.37,658886
2011-03-21,36.31,36.98,36.1,36.6,602517
2011-03-22,36.79,37.65,36.21,37.23,1369796
2011-03-23,37.01,37.24,36.63,36.9,906594
2011-03-24,36.9,37.75,36.9,37.45,1321108
2011-03-25,37.25,37.25,36.48,36.68,1264179
2011-03-28,36.68,37.29,36.38,36.63,1058628
2011-03-29,36.35,36.88,35.15,35.19,1259535
2011-03-30,35.2,35.33,34.03,34.1,793933
2011-03-31,34.19,34.58,34.15,34.44,475832
2011-04-01,34.45,34.99,34.3,34.69,481869
2011-04-06,34.58,34.99,34.25,34.38,443989
2011-04-07,34.39,34.6,34.19,34.49,413824
2011-04-08,34.59,34.77,34.3,34.66,433977
2011-04-11,34.67,34.8,33.75,33.8,627671
2011-04-12,33.5,33.77,33.4,33.45,541890
2011-04-13,33.47,35.69,33.47,35.16,1345248
2011-04-14,35.0,35.0,34.35,34.42,586333
2011-04-15,34.4,34.42,33.81,34.0,354951
2011-04-18,34.1,34.95,34.02,34.35,429211
2011-04-19,34.2,34.3,33.8,33.95,344765
2011-04-20,33.96,34.47,33.96,34.31,269735
2011-04-21,34.45,34.54,34.25,34.32,307396
2011-04-25,33.98,33.98,32.01,32.02,950843
2011-04-26,32.07,32.44,31.06,31.23,492435
2011-04-27,31.32,31.35,30.17,30.48,447213
2011-04-28,30.46,30.77,29.7,29.71,372489
2011-04-29,29.83,29.96,29.12,29.94,225108
2011-05-03,29.77,30.3,29.66,30.3,297046
2011-05-04,30.08,30.2,29.13,29.16,305318
2011-05-05,28.99,29.17,28.73,29.16,261189
2011-05-06,29.05,29.07,28.62,28.87,219149
2011-05-09,28.91,29.48,28.91,29.01,270584
2011-05-10,29.2,29.2,28.82,29.02,158974
2011-05-11,29.11,31.9,29.0,30.06,517364
2011-05-12,29.88,30.22,29.4,29.41,299425
2011-05-13,29.31,30.89,29.0,30.82,494440
2011-05-16,30.9,30.95,29.96,30.8,423593
2011-05-17,30.8,30.8,30.2,30.3,298827
2011-05-18,30.3,30.4,30.0,30.12,163765
2011-05-19,30.02,30.34,29.98,30.07,122106
2011-05-20,30.0,30.18,29.51,29.54,108101
2011-05-23,29.5,29.5,28.01,28.03,333406
2011-05-24,28.02,28.03,27.11,27.84,225696
2011-05-25,27.52,27.8,27.5,27.5,90566
2011-05-26,27.99,27.99,27.37,27.37,116491
2011-05-27,28.88,28.88,27.25,27.42,189507
2011-05-30,27.43,27.43,26.76,26.85,164845
2011-05-31,26.9,27.35,26.9,27.22,125896
2011-06-01,27.22,27.5,27.1,27.4,90385
2011-06-02,27.18,27.39,26.77,26.93,199118
2011-06-03,26.94,27.49,26.94,27.4,522116
2011-06-07,27.4,27.4,27.06,27.27,334552
2011-06-08,27.4,27.52,26.83,27.05,256181
2011-06-09,26.9,26.9,26.03,26.03,320353
2011-06-10,26.03,26.28,25.0,25.53,289945
2011-06-13,25.3,25.48,25.05,25.31,110740
2011-06-14,25.2,25.64,25.1,25.63,230738
2011-06-15,25.6,25.79,25.3,25.36,200600
2011-06-16,25.23,25.35,24.7,24.71,245539
2011-06-17,24.71,24.91,24.4,24.43,216982
2011-06-20,24.18,25.15,24.18,24.9,392710
2011-06-21,24.96,25.27,24.89,25.27,287707
