date,open,high,low,close,volume
2010-05-25,33.02,39.57,33.01,39.3,15400727
2010-05-26,36.4,37.59,35.37,35.37,8562056
2010-05-27,33.5,35.3,31.83,34.5,8805360
2010-05-28,33.99,35.6,33.21,34.96,7145138
2010-05-31,34.26,34.26,32.0,32.1,4883509
2010-06-01,31.49,31.56,29.77,30.01,4086006
2010-06-02,30.14,31.25,29.77,31.18,3290072
2010-06-03,30.86,31.34,30.11,30.16,2874657
2010-06-04,29.51,30.17,29.46,30.03,2091344
2010-06-07,29.13,30.97,29.05,30.6,2445510
2010-06-08,30.1,31.66,30.1,30.98,2795920
2010-06-09,31.12,31.64,30.67,31.22,2276631
2010-06-10,31.04,32.37,30.88,32.33,3372691
2010-06-11,32.77,33.5,32.08,33.33,3203539
2010-06-17,33.5,33.68,31.81,31.96,2827525
2010-06-18,31.79,31.79,29.61,30.5,2071663
2010-06-21,30.11,32.73,30.03,32.72,2425168
2010-06-22,32.3,33.89,32.3,33.89,4070612
2010-06-23,33.89,35.39,33.38,34.82,4370143
2010-06-24,34.68,35.76,33.91,35.49,3760457
2010-06-25,34.8,35.95,34.05,35.35,2944754
2010-06-28,34.55,36.86,34.55,35.84,2950091
2010-06-29,35.65,35.98,33.33,34.55,2023190
2010-06-30,34.02,34.75,32.6,33.0,2941477
2010-07-01,32.6,34.16,32.18,33.97,2710796
2010-07-02,33.55,35.6,32.35,35.43,2928254
2010-07-05,35.0,37.5,34.51,36.89,2619755
2010-07-06,36.21,38.55,36.21,37.32,2746402
2010-07-07,37.1,37.62,36.57,37.13,1385440
2010-07-08,37.23,38.1,35.71,37.94,2203075
2010-07-09,37.47,38.64,37.03,38.07,1606582
2010-07-12,37.75,40.85,37.34,40.0,1873699
2010-07-13,39.65,43.79,39.23,42.26,3062161
2010-07-14,41.6,42.6,41.26,41.6,1622693
2010-07-15,41.18,42.66,40.48,40.48,1437892
2010-07-16,40.02,41.3,39.58,39.7,1423554
2010-07-19,39.8,41.3,39.6,40.4,1258355
2010-07-20,40.09,41.85,39.77,41.41,1505930
2010-07-21,41.34,41.8,40.2,40.68,1142620
2010-07-22,40.05,40.35,38.88,39.82,1987454
2010-07-23,39.85,41.0,39.01,40.76,1654028
2010-07-26,40.36,41.78,40.0,40.66,1705644
2010-07-27,40.31,41.28,40.05,40.9,1301708
2010-07-28,40.69,41.47,40.41,40.93,1905413
2010-07-29,40.94,41.15,40.05,40.44,1487826
2010-07-30,40.5,41.98,40.2,41.76,1994915
2010-08-02,41.9,42.35,41.03,41.28,2247212
2010-08-03,41.29,41.7,40.2,40.2,1930429
2010-08-04,39.72,40.1,38.38,39.22,2543978
2010-08-05,39.21,40.08,38.95,39.76,1919406
2010-08-06,39.94,39.96,38.4,39.44,1773791
2010-08-09,39.43,40.47,39.25,40.47,1451448
2010-08-10,40.31,41.2,39.62,39.82,1433000
2010-08-11,39.81,40.58,39.55,39.8,1470168
2010-08-12,39.45,39.68,37.6,38.0,1191708
2010-08-13,38.0,38.69,36.72,37.82,1196445
2010-08-16,38.0,39.68,37.82,39.59,1249066
2010-08-17,39.59,39.86,39.22,39.75,922516
2010-08-18,39.75,39.99,38.88,39.35,706129
2010-08-19,39.21,40.5,39.1,40.19,1174232
2010-08-20,40.09,41.5,40.01,40.46,1880250
2010-08-23,40.51,42.25,40.51,41.89,1967217
2010-08-24,41.91,43.75,41.0,43.15,2753165
2010-08-25,43.9,47.0,43.8,43.98,7657518
2010-08-26,43.5,44.0,42.12,42.62,3596671
2010-08-27,42.21,45.39,42.19,44.55,3599285
2010-08-30,45.45,45.8,44.0,45.06,3215869
2010-08-31,44.8,47.6,44.2,46.65,3784036
2010-09-01,46.54,46.98,43.5,44.28,3233390
2010-09-02,44.3,45.29,44.0,44.54,2024668
2010-09-03,44.65,47.59,44.2,45.72,3401002
2010-09-06,46.9,47.4,44.1,44.5,2542571
2010-09-07,44.12,45.2,44.02,44.88,1327751
2010-09-08,44.89,45.98,44.65,45.8,1523326
2010-09-09,45.8,46.8,45.34,45.95,2113115
2010-09-10,45.9,49.39,45.7,48.68,4107662
2010-09-14,49.97,49.98,47.2,48.3,2056402
2010-09-15,48.0,48.99,46.5,46.8,1349076
2010-09-16,47.0,47.27,44.65,45.1,1311024
2010-09-17,45.88,45.94,44.7,45.27,972449
2010-09-20,45.25,45.53,43.65,44.43,912334
2010-09-21,44.86,45.38,44.33,44.75,532456
2010-09-27,44.88,45.75,44.76,45.64,1030687
2010-09-28,45.64,46.29,43.84,43.88,1441411
2010-09-29,29.5,30.5,28.98,29.2,1453952
2010-09-30,28.99,29.0,28.12,28.9,1324650
2010-10-08,29.0,30.0,28.6,29.48,1760212
2010-10-11,30.0,30.0,29.01,29.7,1822365
2010-10-12,29.72,29.72,29.01,29.41,1779730
2010-10-13,29.41,31.45,29.41,30.98,3342690
2010-10-14,30.8,32.66,30.68,32.21,4037037
2010-10-15,32.22,32.88,31.0,31.59,2512073
2010-10-18,31.56,31.87,29.75,30.22,1863797
2010-10-19,30.2,31.47,30.2,30.88,1246746
2010-10-20,30.8,31.5,30.15,30.61,1651719
2010-10-21,30.99,31.6,30.61,31.23,1344210
2010-10-22,31.26,31.48,30.25,30.97,2237513
2010-10-25,31.18,33.1,30.97,33.0,2902954
2010-10-26,33.3,34.84,32.8,34.64,3851414
