date,open,high,low,close,volume
2015-12-30,23.9,23.9,20.49,23.18,514881280
2015-12-31,21.72,22.34,20.86,20.86,280182976
2016-01-04,20.2,21.17,19.0,19.63,153340800
2016-01-05,19.35,20.34,18.58,19.5,162408320
2016-01-06,19.36,19.6,18.81,19.51,124426112
2016-01-07,19.26,19.26,17.57,17.63,31612344
2016-01-08,18.08,18.28,16.21,17.03,153606256
2016-01-11,16.47,16.5,15.33,15.33,151853024
2016-01-12,15.27,16.8,15.08,16.18,140577296
2016-01-13,16.1,17.12,15.78,16.2,116056752
2016-01-14,15.6,17.49,15.51,17.49,147169504
2016-01-15,17.11,17.42,16.41,16.6,97028264
2016-01-18,16.45,17.06,16.37,16.71,75732280
2016-01-19,16.93,17.35,16.5,17.18,91271248
2016-01-20,17.0,17.14,16.2,16.4,86621240
2016-01-21,16.13,16.65,15.8,15.82,68478416
2016-01-22,16.11,16.18,15.58,15.91,46861136
2016-01-25,16.09,16.19,15.83,15.97,36221464
2016-01-26,15.8,15.83,14.37,14.38,65280128
2016-01-27,14.49,14.59,13.38,14.22,72684472
2016-01-28,13.98,14.57,13.8,13.8,51881304
2016-01-29,13.92,14.56,13.84,14.42,55728912
2016-02-01,14.44,14.45,13.87,14.1,34931572
2016-02-02,14.2,15.5,14.14,15.03,67939960
2016-02-03,15.0,15.62,14.72,15.27,72089176
2016-02-04,15.27,15.54,15.1,15.28,46494112
2016-02-05,15.31,15.43,14.94,14.95,34681268
2016-02-15,14.31,14.85,14.31,14.64,35895688
2016-02-16,14.74,15.56,14.71,15.19,49878276
2016-02-17,15.15,15.58,15.1,15.42,43789504
2016-02-18,15.5,15.98,15.31,15.35,51105444
2016-02-19,15.39,15.47,14.89,15.07,51291484
2016-02-22,15.45,15.61,15.23,15.4,67828256
2016-02-23,15.48,15.62,15.14,15.34,47717688
2016-02-24,15.35,15.44,14.87,15.21,43504796
2016-02-25,15.2,15.2,13.69,13.77,69379120
2016-02-26,13.92,14.25,13.72,14.0,43939520
2016-02-29,14.18,14.49,13.61,13.93,82323848
2016-03-01,14.09,15.32,13.96,14.99,128350424
2016-03-02,14.87,16.49,14.87,16.49,177744992
2016-03-03,16.7,17.2,16.15,16.33,173317104
2016-03-04,16.0,17.85,15.93,16.42,193265296
2016-03-07,16.69,17.07,16.18,16.58,92184200
2016-03-08,16.42,16.42,15.37,16.03,86128592
2016-03-09,15.49,15.74,15.35,15.41,52485776
2016-03-10,15.47,15.58,14.55,14.67,69316472
2016-03-11,14.41,14.65,14.2,14.45,45239896
2016-03-14,14.59,15.11,14.59,14.91,57626712
2016-03-15,14.82,14.89,14.46,14.67,40070448
2016-03-16,14.71,14.94,14.49,14.56,32531696
2016-03-17,14.72,15.26,14.55,15.13,67722184
2016-03-18,15.11,16.21,15.11,15.88,100502072
2016-03-21,16.06,16.17,15.71,16.05,70891680
2016-03-22,15.95,15.95,15.53,15.63,55141904
2016-03-23,15.54,15.72,15.3,15.61,43655416
2016-03-24,15.4,15.7,15.16,15.36,47221544
2016-03-25,15.38,15.59,15.21,15.46,32772024
2016-03-28,15.43,15.48,14.99,15.03,51801632
2016-03-29,15.13,15.19,14.67,14.7,37321016
2016-03-30,14.89,15.16,14.88,15.15,42011200
2016-03-31,15.19,15.33,15.0,15.05,39457912
2016-04-01,15.05,15.08,14.75,14.99,32743442
2016-04-05,15.0,15.78,15.0,15.6,74572272
2016-04-06,15.56,15.56,15.27,15.44,52422096
2016-04-07,15.45,15.55,15.11,15.12,41280712
2016-04-08,15.0,15.01,14.64,14.83,51043576
2016-04-11,15.06,15.35,15.0,15.16,53943324
2016-04-12,15.18,15.21,14.87,14.9,35876480
2016-04-13,15.07,15.5,15.0,15.28,79115480
2016-04-14,15.4,15.46,15.2,15.4,41519232
2016-04-15,15.47,15.56,15.2,15.28,37759992
2016-04-18,15.15,15.15,14.9,14.95,38787832
2016-04-19,15.06,15.07,14.91,15.01,24531740
2016-04-20,15.01,15.05,14.03,14.41,62861604
2016-04-21,14.3,14.52,14.21,14.23,30029532
2016-04-22,14.25,14.45,14.16,14.43,26899962
2016-04-25,14.3,14.33,14.17,14.23,20985268
2016-04-26,14.25,14.32,14.16,14.32,19537562
2016-04-27,14.34,14.4,14.24,14.25,22870128
2016-04-28,14.27,14.3,14.05,14.18,23365602
2016-04-29,14.17,14.31,14.07,14.21,20556000
2016-05-03,14.25,14.54,14.21,14.51,31789888
2016-05-04,14.5,14.6,14.36,14.45,28848840
2016-05-05,14.42,14.57,14.39,14.56,25267682
2016-05-06,14.61,14.66,14.24,14.24,41267032
2016-05-09,14.23,14.23,13.76,13.84,36394800
2016-05-10,13.83,13.95,13.73,13.8,18867468
2016-05-11,13.9,14.28,13.8,14.15,41568541
2016-05-12,13.98,14.04,13.75,13.93,27898795
2016-05-13,13.93,14.04,13.8,13.83,18543740
2016-05-16,13.78,13.87,13.67,13.87,18471040
2016-05-17,13.88,13.93,13.7,13.8,16730570
2016-05-18,13.89,14.24,13.72,13.96,52422519
2016-05-19,13.9,14.06,13.81,13.88,21156935
2016-05-20,13.88,13.92,13.79,13.92,17007653
2016-05-23,13.94,14.11,13.93,14.0,27668811
2016-05-24,14.0,14.0,13.8,13.81,19355514
2016-05-25,13.88,13.93,13.73,13.75,15786631
2016-05-26,13.8,13.86,13.5,13.7,18351289
2016-05-27,13.68,13.78,13.61,13.7,18185706
2016-05-30,13.65,13.76,13.56,13.73,14311061
2016-05-31,13.71,14.22,13.71,14.18,47291951
2016-06-01,14.14,14.25,14.08,14.1,24722259
2016-06-02,14.14,14.44,14.13,14.19,29578771
2016-06-03,14.26,14.29,14.13,14.25,23233896
2016-06-06,14.29,14.96,14.29,14.74,60993667
2016-06-07,14.56,14.77,14.47,14.57,26102858
2016-06-08,14.59,14.62,14.3,14.37,24481691
2016-06-13,14.16,14.21,13.78,13.78,28146447
2016-06-14,13.79,13.92,13.67,13.84,19164820
2016-06-15,13.65,14.08,13.65,13.98,24541918
2016-06-16,13.91,14.26,13.86,14.08,25459000
2016-06-17,14.13,14.45,14.06,14.34,34662407
2016-06-20,14.95,15.15,14.71,14.72,68886433
2016-06-21,14.77,14.82,14.42,14.45,42235444
2016-06-22,14.45,14.63,14.39,14.59,22525414
