date,open,high,low,close,volume
2009-10-30,74.0,108.0,65.01,75.15,11110913
2009-11-02,67.64,74.99,67.64,68.58,4326984
2009-11-03,71.0,71.98,68.18,69.45,2503327
2009-11-04,69.85,73.5,69.51,72.24,2065914
2009-11-05,71.82,75.29,70.21,72.88,2281412
2009-11-06,72.0,72.75,69.6,70.41,1626976
2009-11-09,70.1,70.58,68.55,69.08,980399
2009-11-10,69.29,71.46,68.5,68.65,1082126
2009-11-11,68.01,69.98,67.62,69.38,1011687
2009-11-12,69.22,70.37,68.81,69.71,1010936
2009-11-13,69.89,74.8,69.66,72.7,2160550
2009-11-16,72.01,73.69,71.66,73.0,1118794
2009-11-17,72.82,74.08,71.3,71.93,988927
2009-11-18,71.82,73.9,71.61,73.19,1313077
2009-11-19,73.3,80.2,73.02,76.64,2954669
2009-11-20,75.93,77.5,74.23,75.15,1303910
2009-11-23,75.31,78.88,75.31,77.65,1299536
2009-11-24,77.71,78.4,70.58,71.1,1787271
2009-11-25,71.76,75.1,70.52,74.9,1285436
2009-11-26,74.9,76.77,73.25,74.05,1453026
2009-11-27,73.8,76.98,73.0,76.38,1617788
2009-11-30,76.94,77.97,74.51,77.57,1381966
2009-12-01,77.57,77.88,75.61,76.8,1175977
2009-12-02,77.0,80.88,76.55,79.39,1924244
2009-12-03,79.0,84.33,78.45,83.9,2043902
2009-12-04,80.98,81.94,75.51,76.65,2222206
2009-12-07,76.03,78.16,74.81,77.2,971963
2009-12-08,77.0,79.3,75.5,78.79,1112060
2009-12-09,78.24,81.14,77.51,79.0,1353528
2009-12-10,78.68,80.4,77.81,77.88,939325
2009-12-11,77.35,78.34,73.0,74.66,1265254
2009-12-14,75.0,75.0,72.0,73.67,681634
2009-12-15,73.71,75.28,73.51,74.2,513672
2009-12-16,74.0,74.35,72.0,72.31,714710
2009-12-17,72.0,72.29,68.53,69.2,913289
2009-12-18,68.21,71.24,66.13,69.12,940979
2009-12-21,69.0,70.82,68.35,69.78,402976
2009-12-22,69.61,69.86,66.8,66.88,545308
2009-12-23,66.68,68.69,66.52,68.28,532747
2009-12-24,67.76,69.66,66.9,69.48,635578
2009-12-25,69.2,69.2,66.9,67.09,727413
2009-12-28,67.0,68.29,67.0,67.6,386314
2009-12-29,67.85,68.5,67.51,68.38,451816
2009-12-30,68.89,75.22,68.81,74.5,3035337
2009-12-31,72.99,73.26,71.5,72.28,1436233
2010-01-04,72.9,73.75,72.0,72.65,752808
2010-01-05,72.66,75.22,72.66,73.4,1024539
2010-01-06,73.36,73.37,71.1,71.11,859352
2010-01-07,70.76,71.5,68.8,68.95,730498
2010-01-11,67.89,70.2,67.02,69.28,706094
2010-01-12,68.98,71.47,68.98,70.9,553496
2010-01-13,70.0,71.96,69.01,71.48,623991
2010-01-14,71.4,74.72,71.3,73.87,964211
2010-01-15,73.61,73.86,72.4,73.28,502000
2010-01-18,73.01,74.38,72.63,73.4,443803
2010-01-19,73.29,73.4,71.29,71.46,492747
2010-01-20,71.05,71.4,67.75,67.75,858805
2010-01-21,67.86,68.9,67.6,68.41,300726
2010-01-22,67.55,67.6,65.02,65.7,655622
2010-01-25,64.0,65.1,63.52,63.88,425258
2010-01-26,65.15,65.63,63.8,64.16,471773
2010-01-27,65.56,65.6,64.22,64.46,365233
2010-01-28,64.63,64.63,61.41,62.39,520696
2010-01-29,61.26,63.5,61.25,62.15,451326
2010-02-01,57.0,63.5,57.0,57.97,2768516
2010-02-02,57.97,58.76,57.0,57.11,952728
2010-02-03,57.0,57.2,54.05,56.59,953057
2010-02-04,56.06,58.0,55.5,57.09,637126
2010-02-05,56.6,59.68,56.0,58.78,827017
2010-02-08,59.0,61.89,58.99,60.98,899957
2010-02-09,61.1,61.6,60.11,61.12,528921
2010-02-10,61.9,64.35,61.9,64.0,1029103
2010-02-11,63.99,68.45,63.58,66.75,1201067
