date,open,high,low,close,volume
2016-10-27,17.27,20.72,17.27,20.72,379856
2016-10-28,22.79,22.79,22.79,22.79,263624
2016-10-31,25.07,25.07,25.07,25.07,7957939
2016-11-01,26.5,27.58,26.18,27.58,95521601
2016-11-02,28.21,30.29,27.86,29.06,140100239
2016-11-03,28.0,28.49,27.6,27.76,79948334
2016-11-04,27.8,27.98,26.66,26.93,63667111
2016-11-07,26.67,27.16,26.21,26.76,36354494
2016-11-08,26.86,26.93,26.47,26.72,31665944
2016-11-09,26.5,26.59,25.51,25.75,45996900
2016-11-10,26.09,27.2,25.62,26.73,63473902
2016-11-11,26.5,26.87,26.25,26.57,44095247
2016-11-14,26.45,27.79,26.3,26.99,52252696
2016-11-15,26.78,26.79,26.5,26.67,25997867
2016-11-16,26.77,26.91,26.5,26.53,22179318
2016-11-17,26.4,26.5,25.92,26.05,23211852
2016-11-18,26.01,26.02,25.56,25.59,25491189
2016-11-21,25.52,25.8,25.31,25.45,19088361
2016-11-22,25.38,25.6,25.33,25.53,18114835
2016-11-23,25.54,25.94,25.38,25.45,23190006
2016-11-24,25.36,25.37,24.71,24.75,28386713
2016-11-25,24.75,24.97,24.37,24.63,14842160
2016-11-28,24.64,24.96,24.52,24.76,14752874
2016-11-29,24.62,24.64,23.94,23.95,23490292
2016-11-30,23.92,23.95,23.23,23.29,17481605
2016-12-01,23.3,23.65,23.3,23.46,11214541
2016-12-02,23.4,23.46,23.12,23.16,12129588
2016-12-05,23.1,23.35,22.93,23.33,9585203
2016-12-06,23.27,23.62,23.24,23.45,9643609
2016-12-07,23.39,23.52,23.16,23.5,9155777
2016-12-08,23.5,24.29,23.45,24.01,27902136
2016-12-09,23.88,24.27,23.75,23.97,18767412
2016-12-12,23.85,24.24,22.7,22.75,20128486
2016-12-13,22.58,22.7,21.81,22.32,17034098
2016-12-14,22.3,22.49,22.12,22.15,10606553
2016-12-15,22.09,22.33,21.99,22.24,9640535
2016-12-16,22.14,22.29,22.01,22.16,8575243
2016-12-19,22.14,22.22,21.74,21.77,8366011
2016-12-20,21.7,21.88,21.41,21.54,7994103
2016-12-21,21.63,21.94,21.5,21.83,9958199
2016-12-22,21.75,21.77,21.51,21.61,6310354
2016-12-23,21.53,21.75,21.37,21.38,6986125
2016-12-26,21.21,21.48,20.82,21.45,9294161
2016-12-27,21.36,21.42,21.18,21.21,5229911
2016-12-28,21.29,21.29,20.98,21.03,4926000
2016-12-29,21.03,21.23,20.95,21.01,4879056
2016-12-30,21.01,21.13,20.9,20.95,5957698
2017-01-03,20.95,21.25,20.94,21.13,6194919
2017-01-04,21.15,21.32,21.12,21.31,7954356
2017-01-05,21.33,21.33,21.18,21.2,5993224
2017-01-06,21.17,21.23,20.85,20.88,8366693
2017-01-09,20.82,20.97,20.73,20.94,5252655
2017-01-10,20.88,20.93,20.77,20.78,4956306
2017-01-11,20.81,20.81,20.28,20.29,9644373
2017-01-12,20.27,20.33,19.93,19.96,7198518
