date,open,high,low,close,volume
2017-03-28,72.12,72.12,72.12,72.12,13633
2017-03-29,79.33,79.33,79.33,79.33,6996
2017-03-30,87.26,87.26,87.26,87.26,9696
2017-03-31,95.99,95.99,95.99,95.99,60525
2017-04-05,105.59,105.59,105.59,105.59,175453
2017-04-06,110.0,116.15,105.6,116.15,13385729
2017-04-07,119.6,125.18,112.42,113.99,14809769
2017-04-10,109.0,117.02,108.01,114.99,9094744
2017-04-11,111.2,114.2,106.0,108.76,7565538
2017-04-12,110.11,110.99,101.38,102.21,6564538
2017-04-13,100.1,107.26,100.06,105.93,6081405
2017-04-14,104.4,105.3,102.4,102.94,2960211
2017-04-17,99.62,105.32,99.1,104.06,3959694
2017-04-18,104.36,109.9,104.08,106.2,3908021
2017-04-19,105.48,109.31,104.2,107.62,3153389
2017-04-20,107.68,110.7,105.22,106.56,3898162
2017-04-21,105.8,107.8,103.85,106.02,2580943
2017-04-24,104.97,107.79,102.11,106.59,2602540
2017-04-25,106.11,108.68,106.11,107.39,1681142
2017-04-26,107.0,110.5,106.41,109.42,2448988
2017-04-27,108.93,109.71,105.12,108.47,1995546
2017-04-28,108.11,109.8,104.88,105.58,2116302
2017-05-10,104.0,110.0,101.31,106.64,3756781
2017-05-11,105.0,106.64,104.0,105.15,1718809
2017-05-12,105.05,106.33,102.21,103.86,1594782
2017-05-15,103.6,106.19,103.6,105.19,1385008
2017-05-16,104.85,106.08,103.55,105.69,1666899
2017-05-17,104.68,109.99,104.68,108.93,2494435
2017-05-18,108.0,112.78,107.99,110.97,3040853
2017-05-19,111.0,113.0,109.51,111.16,1546919
2017-05-22,111.0,114.1,109.02,109.37,2291220
2017-05-23,108.77,111.49,106.0,106.62,1408630
2017-05-24,105.3,111.99,104.6,111.66,2096823
2017-05-25,111.6,111.7,107.18,108.91,1656007
2017-05-26,108.8,109.4,106.0,108.02,1085713
2017-05-31,110.0,111.0,107.5,108.04,1649104
2017-06-01,107.0,107.8,103.87,104.17,1245057
2017-06-02,103.95,105.92,103.52,105.09,820655
2017-06-05,105.6,107.19,104.0,105.24,1245494
2017-06-06,105.28,107.1,104.2,107.0,1098264
2017-06-07,107.0,112.25,106.15,110.69,2158985
2017-06-08,109.78,120.0,109.7,116.43,2753984
2017-06-09,115.15,117.55,114.01,117.09,1401443
2017-06-12,116.63,119.9,114.55,116.19,1764950
2017-06-13,114.72,116.22,112.91,114.57,1191955
2017-06-14,114.43,116.89,112.91,115.14,1033293
2017-06-15,115.19,119.5,113.05,114.39,1380890
2017-06-16,113.78,114.97,113.1,114.37,478782
2017-06-19,114.89,115.2,112.02,113.39,782536
2017-06-20,113.39,113.78,109.99,110.15,1430783
2017-06-21,110.3,111.4,107.2,111.08,721901
2017-06-22,110.5,111.29,107.78,107.86,1164126
2017-06-23,107.8,109.6,106.63,108.8,708004
2017-06-26,108.01,112.72,107.51,112.25,1102502
2017-06-27,112.0,112.87,110.22,110.82,647415
2017-06-28,111.5,111.5,108.21,108.58,621161
2017-06-29,108.11,109.34,108.11,108.43,331178
