date,open,high,low,close,volume
2015-04-28,6.56,7.88,6.56,7.88,251785
2015-04-29,8.67,8.67,8.67,8.67,93900
2015-04-30,9.54,9.54,9.54,9.54,90350
2015-05-04,10.49,10.49,10.49,10.49,139050
2015-05-05,11.54,11.54,11.54,11.54,415100
2015-05-06,12.69,12.69,12.69,12.69,619500
2015-05-07,13.96,13.96,13.96,13.96,1513364
2015-05-08,15.36,15.36,15.36,15.36,1127837
2015-05-11,16.9,16.9,16.9,16.9,705300
2015-05-12,18.59,18.59,18.59,18.59,626800
2015-05-13,20.45,20.45,20.45,20.45,1738950
2015-05-14,22.5,22.5,22.5,22.5,982828
2015-05-15,24.75,24.75,24.75,24.75,1680812
2015-05-18,27.23,27.23,27.23,27.23,3448098
2015-05-19,29.95,29.95,29.95,29.95,1898863
2015-05-20,32.95,32.95,32.95,32.95,4172981
2015-05-21,36.25,36.25,36.25,36.25,22557764
2015-05-22,39.88,39.88,39.88,39.88,4638429
2015-05-25,43.87,43.87,43.87,43.87,2008800
2015-05-26,48.26,48.26,46.64,48.26,59564736
2015-05-27,53.09,53.09,53.09,53.09,6557274
2015-05-28,58.4,58.4,57.0,58.36,111217888
2015-05-29,53.52,64.2,52.53,64.2,250497248
2015-06-01,68.24,70.6,58.76,59.2,230191872
2015-06-02,56.0,57.95,53.28,53.28,151204656
2015-06-03,51.18,55.48,49.11,53.58,117017728
2015-06-04,51.12,52.4,48.22,48.8,105645200
2015-06-05,49.66,50.48,46.0,47.05,107992568
2015-06-08,46.05,46.35,42.58,43.03,114348752
2015-06-09,42.99,44.9,42.6,44.08,74626280
2015-06-10,43.1,47.0,42.78,45.92,86471728
2015-06-11,45.0,47.8,44.65,47.26,89435928
2015-06-12,47.26,48.22,44.0,44.33,94039200
2015-06-15,43.15,43.15,39.9,39.9,86288656
2015-06-16,38.7,41.15,37.5,39.59,66793756
2015-06-17,39.3,39.98,37.55,39.24,50681040
2015-06-18,38.89,39.86,35.33,35.51,52257876
2015-06-19,34.3,34.83,31.96,32.14,53213252
2015-06-23,32.61,34.02,31.0,33.82,54508288
2015-06-24,34.4,34.65,33.0,34.11,57878464
2015-06-25,34.1,34.1,31.18,31.74,45045752
2015-06-26,30.91,30.98,28.57,28.57,44876112
2015-06-29,29.27,29.28,25.71,25.71,53405504
2015-06-30,25.15,27.58,23.14,27.29,75482120
2015-07-01,26.5,28.0,24.56,24.57,69272600
2015-07-02,24.57,24.98,22.15,22.18,48772272
2015-07-03,21.35,23.14,20.11,20.6,56839252
2015-07-06,22.66,22.66,21.0,22.66,107511776
2015-07-07,21.01,21.97,20.39,20.39,50061640
2015-07-08,18.35,18.35,18.35,18.35,4854900
2015-07-09,16.52,20.19,16.52,20.19,89984616
