date,open,high,low,close,volume
2017-06-26,12.17,12.17,12.17,12.17,257745
2017-06-27,13.39,13.39,13.39,13.39,123725
2017-06-28,14.73,14.73,14.73,14.73,1149421
2017-06-29,16.19,16.2,15.88,16.2,43571760
2017-06-30,16.79,17.78,16.34,17.01,177872146
2017-07-03,16.56,16.97,16.36,16.86,94022194
2017-07-04,16.85,18.12,16.85,17.2,107768676
2017-07-05,17.07,18.92,16.98,18.92,152242710
2017-07-06,18.95,19.18,18.02,18.71,137207515
2017-07-07,18.36,18.99,18.03,18.56,112203290
2017-07-10,18.11,18.43,17.4,17.59,92958345
2017-07-11,17.48,18.28,17.47,17.7,81305463
2017-07-12,17.4,17.64,16.87,17.37,64878921
2017-07-13,17.1,17.75,17.0,17.35,59017407
2017-07-14,17.23,18.18,17.2,17.76,69873576
2017-07-17,17.62,17.86,15.98,16.04,78372860
2017-07-18,15.87,16.29,15.62,16.1,50292083
2017-07-19,15.96,17.2,15.63,17.17,85713519
2017-07-20,16.92,17.24,16.64,16.7,63440192
2017-07-21,16.57,16.88,16.15,16.24,42310595
2017-07-24,16.18,16.45,16.06,16.35,32951160
2017-07-25,16.3,16.52,16.03,16.13,28809309
2017-07-26,16.1,16.34,15.71,16.01,34795649
2017-07-27,15.9,17.09,15.68,16.52,61560727
2017-07-28,16.32,16.38,15.9,16.06,39382863
2017-07-31,16.06,16.49,15.92,16.34,38643441
2017-08-01,16.39,17.17,16.36,16.68,65911080
2017-08-02,16.5,18.1,16.4,17.45,96941148
2017-08-03,17.32,17.55,17.03,17.19,56975723
2017-08-04,17.11,18.66,17.07,17.89,95710679
2017-08-07,17.95,18.87,17.81,18.12,74740200
2017-08-08,17.81,18.8,17.41,18.76,91991534
2017-08-09,18.49,18.65,17.82,17.88,68851756
2017-08-10,17.7,19.67,17.61,18.66,98037150
2017-08-11,18.12,18.88,17.3,17.54,85596151
2017-08-14,17.5,18.08,17.32,17.9,51827786
2017-08-15,17.77,18.25,17.61,17.85,46256026
2017-08-16,17.75,18.78,17.47,18.38,80472254
2017-08-17,18.1,18.79,18.02,18.69,72058170
2017-08-18,18.48,18.64,18.13,18.25,50445685
2017-08-21,18.15,19.06,18.13,18.96,75018789
2017-08-22,19.2,19.48,18.7,18.75,81782269
2017-08-23,18.7,19.58,18.35,18.94,90859102
2017-08-24,18.58,18.88,18.04,18.19,65556613
2017-08-25,18.07,20.01,18.05,20.01,117330537
2017-08-28,21.0,22.01,20.62,22.01,132532435
2017-08-29,23.1,23.58,22.06,22.21,186098691
2017-08-30,21.92,23.28,21.82,22.22,131648318
2017-08-31,21.85,23.38,21.85,23.04,112937650
2017-09-01,22.95,23.08,22.3,22.82,93219354
2017-09-04,22.6,23.35,22.16,22.92,78160578
2017-09-05,22.8,24.19,22.66,23.25,106995875
2017-09-06,22.81,23.49,22.45,23.0,68245025
2017-09-07,22.97,23.34,22.7,22.8,60064741
2017-09-08,22.9,23.19,22.6,22.94,55020421
2017-09-11,22.59,22.85,22.22,22.44,56938278
2017-09-12,22.45,23.49,22.45,22.75,74809059
2017-09-13,22.5,22.68,22.05,22.41,41550037
2017-09-14,22.55,22.97,22.3,22.41,44795300
2017-09-15,22.48,23.42,22.2,22.88,78620184
2017-09-18,22.79,24.15,22.68,23.59,88860321
2017-09-19,23.2,23.35,22.51,22.78,57611055
2017-09-20,22.8,23.08,22.61,22.99,37816368
2017-09-21,22.9,23.35,22.6,22.62,46127892
2017-09-22,22.3,22.32,21.31,21.34,56144806
2017-09-25,21.02,21.04,20.06,20.27,43029097
2017-09-26,20.26,20.51,20.12,20.49,23499570
2017-09-27,20.49,20.56,20.22,20.34,22223770
2017-09-28,20.33,20.77,20.26,20.58,28800019
2017-09-29,20.65,21.5,20.65,21.3,39623019
2017-10-09,21.99,22.16,21.0,21.07,31639694
2017-10-10,20.82,21.39,20.63,21.18,25242890
2017-10-11,21.16,21.16,20.82,20.96,17170658
2017-10-12,20.94,21.12,20.32,20.59,19338675
2017-10-13,20.63,20.83,20.46,20.69,15350349
2017-10-16,20.58,21.02,20.2,20.25,22307380
2017-10-17,20.18,20.19,19.33,19.35,34836876
2017-10-18,19.35,19.59,18.58,18.66,27449910
2017-10-19,18.6,18.79,18.04,18.18,26255517
2017-10-20,18.2,18.54,18.15,18.5,18188445
2017-10-23,18.51,18.65,18.22,18.64,17218390
2017-10-24,18.6,18.98,18.51,18.74,22856692
2017-10-25,18.57,18.64,18.29,18.61,21342854
2017-10-26,18.51,19.29,18.37,19.04,32685286
2017-10-27,18.86,19.12,18.68,18.74,17262422
2017-10-30,18.5,18.5,17.01,17.26,36765183
2017-10-31,17.2,17.41,17.01,17.25,18995394
2017-11-01,17.3,17.63,17.2,17.26,17779014
2017-11-02,17.11,17.69,16.71,17.41,29897192
2017-11-03,17.32,17.48,17.22,17.38,16033284
2017-11-06,17.31,17.47,17.2,17.44,12865193
2017-11-07,17.43,17.99,17.3,17.77,28895255
2017-11-08,17.65,18.94,17.5,18.2,46504263
2017-11-09,18.0,18.28,17.9,18.12,20421058
2017-11-10,18.15,18.69,18.02,18.38,29163964
2017-11-13,18.38,18.66,18.11,18.2,20889599
2017-11-14,18.29,18.31,17.8,17.84,18542570
2017-11-15,17.85,18.16,17.75,17.86,15371264
2017-11-16,17.74,17.78,17.17,17.19,20074568
2017-11-17,17.11,17.29,16.15,16.19,23367800
2017-11-20,15.85,16.05,15.21,15.9,18667323
2017-11-21,15.85,16.85,15.76,16.53,29986834
2017-11-22,16.49,16.77,16.06,16.19,20978747
2017-11-23,16.19,16.38,15.5,15.53,16331794
2017-11-24,15.6,15.82,15.5,15.67,11400930
2017-11-27,15.78,15.96,15.46,15.68,12506930
2017-11-28,15.8,16.09,15.68,16.08,14374907
2017-11-29,16.09,16.7,15.82,16.47,24373061
2017-11-30,16.25,16.74,16.21,16.3,20907204
2017-12-01,16.35,16.77,16.3,16.49,18197510
2017-12-04,16.2,16.36,15.6,15.74,19883023
2017-12-05,15.74,15.97,15.46,15.55,14470476
2017-12-06,15.49,16.19,15.49,16.11,19050330
2017-12-07,15.92,16.28,15.92,16.02,15056146
2017-12-08,16.0,16.34,16.0,16.25,18565382
2017-12-11,16.24,16.38,16.1,16.35,13208585
2017-12-12,16.36,16.39,15.9,15.91,13481582
2017-12-13,15.85,16.19,15.66,16.09,10828684
2017-12-14,16.1,16.17,15.8,16.03,12006244
2017-12-15,15.9,16.19,15.86,16.0,11560165
2017-12-18,15.98,16.16,15.85,16.06,8127863
2017-12-19,16.06,16.36,16.06,16.31,17496152
2017-12-20,16.3,16.3,15.91,16.08,14328993
2017-12-21,16.08,16.67,15.92,16.37,23562718
2017-12-22,16.26,16.49,16.21,16.32,12450408
2017-12-25,16.26,16.39,15.95,15.96,13650225
2017-12-26,15.96,16.4,15.91,16.39,17602876
2017-12-27,16.5,16.56,16.16,16.29,16774893
2017-12-28,16.21,17.28,16.21,16.61,30995906
2017-12-29,16.48,16.69,16.44,16.62,15848635
2018-01-02,16.77,16.87,16.56,16.65,16097262
2018-01-03,16.76,16.97,16.44,16.85,25623853
2018-01-04,16.73,16.8,16.55,16.61,17243090
2018-01-05,16.56,16.89,16.5,16.57,16656027
2018-01-08,16.5,16.95,16.33,16.68,19759829
2018-01-09,16.6,16.74,16.37,16.41,12456233
2018-01-10,16.31,16.89,16.31,16.46,17969389
2018-01-11,16.3,16.42,16.12,16.31,13417811
2018-01-12,16.28,16.53,16.21,16.3,12124500
2018-01-15,16.27,16.27,15.46,15.49,19458859
2018-01-16,15.35,16.16,15.35,16.04,16278010
2018-01-17,16.2,17.64,16.2,17.49,86013483
2018-01-18,17.0,17.31,16.82,17.2,49085024
2018-01-19,17.16,18.82,17.0,17.92,74884220
2018-01-22,17.7,18.15,17.42,17.81,38179452
2018-01-23,17.81,18.07,17.63,17.95,28673412
2018-01-24,18.05,18.45,17.41,18.0,49432412
2018-01-25,17.78,17.79,17.3,17.31,29442438
2018-01-26,17.18,17.67,17.11,17.34,19864963
2018-01-29,17.4,17.63,17.11,17.32,17072059
2018-01-30,17.22,17.52,17.11,17.25,13584822
2018-01-31,17.09,17.27,15.9,16.13,28066667
2018-02-01,16.01,16.2,14.95,15.07,28672410
2018-02-02,14.98,15.15,14.35,15.02,16150552
2018-02-05,14.6,15.29,14.48,15.11,12362222
2018-02-06,14.86,14.86,13.6,13.6,21426164
2018-02-07,14.02,14.1,13.12,13.58,17973450
2018-02-08,13.51,13.78,13.48,13.71,10808478
2018-02-09,13.24,13.47,12.48,12.68,19428801
2018-02-12,12.82,13.03,12.6,12.88,11680094
2018-02-13,12.95,13.2,12.82,12.84,12212020
2018-02-14,12.84,12.95,12.65,12.88,8129693
2018-02-22,13.06,13.2,12.93,13.13,10096798
2018-02-23,13.13,13.3,13.04,13.17,10013866
2018-02-26,13.3,13.73,13.11,13.66,19137225
2018-02-27,13.6,13.64,13.4,13.42,11960184
2018-02-28,13.26,13.71,13.02,13.47,15924078
2018-03-01,13.26,13.56,13.2,13.51,10658857
2018-03-02,13.35,13.61,13.3,13.41,11998965
2018-03-05,13.36,13.55,13.35,13.38,7713655
2018-03-06,13.49,13.87,13.42,13.76,22029136
2018-03-07,13.7,13.81,13.47,13.53,14233001
2018-03-08,13.55,13.64,13.48,13.57,8439161
2018-03-09,13.58,13.98,13.55,13.93,21406344
2018-03-12,14.24,14.35,13.95,14.05,20715916
2018-03-13,13.98,13.98,13.67,13.71,16017482
2018-03-14,13.63,13.85,13.6,13.67,8972214
2018-03-15,13.58,13.61,13.16,13.33,12729458
2018-03-16,13.36,13.59,13.29,13.3,8220978
2018-03-19,13.3,13.47,13.21,13.32,7449971
2018-03-20,13.2,13.3,13.07,13.21,8355612
2018-03-21,13.17,13.87,13.17,13.28,23069091
2018-03-22,13.28,13.5,13.21,13.24,13523679
2018-03-23,12.6,12.82,12.0,12.22,22087216
2018-03-26,12.03,12.34,11.69,12.32,10831132
2018-03-27,12.39,12.64,12.38,12.55,11666107
2018-03-28,12.28,12.69,12.21,12.36,9395943
2018-03-29,12.48,12.88,12.41,12.7,19093222
2018-03-30,12.68,12.84,12.59,12.74,12977425
2018-04-02,12.71,13.15,12.66,12.77,15659925
2018-04-03,12.51,12.74,12.33,12.59,10755720
2018-04-04,12.66,12.85,12.45,12.47,10023100
2018-04-09,12.39,12.62,12.14,12.56,10434049
2018-04-10,12.59,12.93,12.52,12.85,15028340
2018-04-11,12.9,12.92,12.72,12.83,11214183
2018-04-12,12.85,12.99,12.71,12.74,10465028
2018-04-13,12.85,13.05,12.74,12.79,11826824
2018-04-16,12.6,12.68,12.25,12.26,12356400
2018-04-17,12.37,12.55,12.1,12.19,10628955
2018-04-18,12.43,12.49,12.16,12.42,9114815
2018-04-19,12.35,12.61,12.3,12.44,9506124
2018-04-20,12.37,12.43,11.91,11.96,10445376
2018-04-23,12.0,12.15,11.82,12.04,5689900
2018-04-24,12.05,12.35,12.05,12.34,9128905
2018-04-25,12.25,12.3,12.14,12.21,6564100
2018-04-26,12.21,12.28,11.68,11.74,8817545
2018-04-27,11.84,12.02,11.66,11.86,7200986
2018-05-02,12.01,12.13,11.76,11.9,5730600
2018-05-03,11.96,12.25,11.82,12.23,12541443
2018-05-04,12.13,12.18,12.01,12.04,7127870
2018-05-07,12.14,12.23,12.1,12.18,6878500
2018-05-08,12.14,12.29,12.11,12.24,8610424
2018-05-09,12.21,12.23,12.06,12.11,6882500
2018-05-10,12.15,12.18,12.01,12.15,6503300
2018-05-11,12.17,12.18,11.91,11.92,7130937
2018-05-14,11.95,12.07,11.9,11.92,5806653
2018-05-15,11.93,12.0,11.79,11.98,6305500
2018-05-16,11.9,11.92,11.76,11.79,5583712
2018-05-17,11.79,11.86,11.75,11.77,3656918
2018-05-18,11.74,11.94,11.72,11.9,6025382
2018-05-21,12.0,12.07,11.91,12.01,6463547
2018-05-22,12.04,12.1,11.87,12.09,8773830
2018-05-23,12.04,12.04,11.84,11.86,6082166
2018-05-24,11.87,11.94,11.71,11.72,5924900
2018-05-25,11.78,11.82,11.67,11.68,5078338
2018-05-28,11.69,11.73,11.47,11.55,5475176
2018-05-29,11.51,11.59,11.15,11.21,9901004
2018-05-30,11.0,11.01,10.39,10.41,13987168
2018-05-31,10.55,10.58,10.3,10.48,8057394
2018-06-01,10.42,11.17,10.31,10.88,17680408
2018-06-04,10.7,10.92,10.54,10.58,9597802
2018-06-05,10.62,10.73,10.53,10.72,6243638
2018-06-06,10.65,11.05,10.61,10.8,10868354
2018-06-07,10.81,11.25,10.73,11.02,17494846
2018-06-08,10.97,10.97,10.59,10.67,9754301
2018-06-11,10.61,11.03,10.56,10.79,7907928
2018-06-12,10.72,10.94,10.66,10.84,7143986
2018-06-13,10.81,10.81,10.47,10.51,6281776
2018-06-14,10.5,10.78,10.42,10.6,7867221
2018-06-15,10.5,10.65,9.98,10.01,15450649
2018-06-19,9.8,9.86,9.01,9.01,14841300
2018-06-20,9.0,9.15,8.45,8.76,16119021
2018-06-21,8.78,8.78,8.27,8.34,16522883
2018-06-22,8.28,8.65,8.23,8.56,12049786
2018-06-25,8.58,8.67,8.35,8.39,10602177
2018-06-26,8.17,8.52,8.1,8.45,17446324
2018-06-27,8.44,8.44,8.21,8.31,13746511
2018-06-28,8.3,8.59,8.2,8.27,22932699
2018-06-29,8.26,8.45,8.17,8.4,19732698
2018-07-02,8.41,8.43,7.76,7.9,29791258
2018-07-03,7.9,8.06,7.84,8.05,21773695
2018-07-04,8.06,8.14,7.86,7.88,17266626
2018-07-05,7.9,8.1,7.7,7.76,18225932
2018-07-06,7.76,8.04,7.42,7.71,26238918
2018-07-09,7.7,7.88,7.68,7.86,15686153
2018-07-10,7.87,7.92,7.77,7.86,13325940
2018-07-11,7.72,7.72,7.22,7.42,21899000
2018-07-12,7.42,7.84,7.41,7.78,27136248
2018-07-13,7.8,7.85,7.68,7.71,14690640
2018-07-16,7.79,7.8,7.61,7.63,10260893
2018-07-17,7.7,7.77,7.63,7.69,12144063
2018-07-18,7.71,7.82,7.6,7.63,11158764
2018-07-19,7.68,7.72,7.43,7.48,10845344
2018-07-20,7.55,7.95,7.4,7.81,26246026
2018-07-23,7.76,8.14,7.69,8.06,39264207
2018-07-24,8.02,8.36,8.0,8.11,48141883
2018-07-25,8.03,8.07,7.94,8.02,26014807
2018-07-26,7.99,8.07,7.92,7.97,17262416
2018-07-27,7.97,8.02,7.86,7.91,17381926
2018-07-30,7.89,7.95,7.56,7.64,21446363
2018-07-31,7.66,7.76,7.63,7.7,12248500
2018-08-01,7.73,7.8,7.46,7.47,16492000
2018-08-02,7.44,7.5,6.98,7.13,21334978
2018-08-03,7.14,7.18,6.99,7.01,12240000
2018-08-06,7.06,7.11,6.78,6.87,15769850
2018-08-07,6.89,7.17,6.82,7.16,16746300
2018-08-08,7.11,7.12,6.93,6.95,13238309
2018-08-09,6.92,7.21,6.89,7.13,15242375
2018-08-10,7.11,7.19,7.09,7.14,9894855
2018-08-13,7.06,7.1,6.93,7.1,12629771
2018-08-14,7.09,7.17,7.05,7.11,9318600
2018-08-15,7.04,7.04,6.78,6.81,11880319
2018-08-16,6.7,7.1,6.63,6.91,20704264
2018-08-17,6.89,7.06,6.78,6.8,15266493
2018-08-20,6.76,7.05,6.76,7.03,19763918
2018-08-21,7.02,7.05,6.91,7.04,18273914
2018-08-22,6.97,6.99,6.87,6.88,14257174
2018-08-23,6.9,7.04,6.84,6.97,15481811
2018-08-24,6.93,7.05,6.87,6.95,17252594
2018-08-27,6.93,7.1,6.93,7.07,20657119
2018-08-28,7.1,7.1,7.01,7.05,12680535
2018-08-29,7.05,7.05,6.92,6.95,14299200
2018-08-30,6.95,6.99,6.69,6.72,19043116
2018-08-31,6.72,6.78,6.66,6.69,11559600
2018-09-03,6.64,6.65,6.52,6.65,11779900
2018-09-04,6.65,6.82,6.61,6.75,14235674
2018-09-05,6.73,6.78,6.64,6.64,11589988
2018-09-06,6.59,6.75,6.59,6.66,11177774
2018-09-07,6.68,6.81,6.65,6.71,13195337
2018-09-10,6.71,6.71,6.52,6.53,11851237
2018-09-11,6.53,6.62,6.51,6.57,8894847
2018-09-12,6.56,6.75,6.55,6.69,15457384
2018-09-13,6.74,6.76,6.67,6.75,15483894
2018-09-14,6.76,6.93,6.73,6.76,22043206
2018-09-17,6.75,6.91,6.71,6.87,23985526
2018-09-18,6.84,7.2,6.8,7.17,40872979
2018-09-19,7.08,7.2,7.05,7.13,24265243
2018-09-20,7.16,7.31,7.06,7.09,21288896
2018-09-21,7.11,7.42,7.04,7.39,36052915
2018-09-25,7.3,7.37,7.24,7.33,23892106
2018-09-26,7.28,7.51,7.28,7.36,34115745
2018-09-27,7.35,7.35,7.18,7.26,22802643
2018-09-28,7.24,7.44,7.24,7.43,28853201
2018-10-08,7.28,7.31,6.96,7.0,26023955
2018-10-09,7.05,7.08,6.85,6.92,17310516
2018-10-10,6.97,6.97,6.8,6.88,15461800
2018-10-11,6.41,6.5,6.19,6.19,45262999
2018-10-12,6.09,6.15,5.88,6.06,27373795
2018-10-15,6.07,6.16,5.96,5.97,15136238
2018-10-16,5.99,6.13,5.9,5.95,16761936
2018-10-17,6.07,6.1,5.45,5.9,29014869
2018-10-18,5.83,5.9,5.72,5.75,13907297
2018-10-19,5.65,6.01,5.61,5.99,21778406
2018-10-22,6.06,6.59,6.02,6.59,48065971
2018-10-23,6.93,6.93,6.49,6.64,77627544
2018-10-24,6.4,7.05,6.35,6.8,72167656
2018-10-25,6.48,7.27,6.43,7.23,82914162
2018-10-26,7.2,7.36,6.9,6.97,70526320
2018-10-29,6.9,7.07,6.75,6.86,33550250
2018-10-30,6.87,7.45,6.68,7.13,87534362
2018-10-31,7.12,7.46,6.95,7.3,87577471
2018-11-01,7.3,7.89,7.23,7.31,98784813
2018-11-02,7.46,7.55,7.19,7.5,77374673
2018-11-05,7.46,7.78,7.33,7.76,87079197
2018-11-06,7.69,7.86,7.47,7.58,69398898
2018-11-07,7.46,7.52,7.27,7.33,53804349
2018-11-08,7.38,7.54,7.26,7.27,51107470
2018-11-09,7.22,7.45,7.17,7.27,33094148
2018-11-12,7.21,7.4,7.21,7.39,30739182
2018-11-13,7.3,7.89,7.26,7.59,75854515
2018-11-14,7.51,7.67,7.41,7.44,50487400
2018-11-15,7.4,7.72,7.36,7.69,55541761
2018-11-16,7.77,8.46,7.7,8.37,140207780
2018-11-19,8.25,9.03,8.2,8.78,138432225
2018-11-20,8.58,8.82,8.21,8.29,94179366
