date,open,high,low,close,volume
1999-11-10,29.5,29.8,27.0,27.75,174085100
1999-11-11,27.58,28.38,27.53,27.71,29403500
1999-11-12,27.86,28.3,27.77,28.05,15008000
1999-11-15,28.2,28.25,27.7,27.75,11921100
1999-11-16,27.88,27.97,26.48,26.55,23223100
1999-11-17,26.5,27.18,26.37,27.18,10052600
1999-11-18,27.2,27.58,26.78,27.02,8446500
1999-11-19,27.5,27.53,26.8,26.88,5375000
1999-11-22,26.88,26.95,26.3,26.45,5535400
1999-11-23,26.45,26.55,26.1,26.45,3844000
1999-11-24,26.44,26.55,26.01,26.43,4098000
1999-11-25,26.3,26.66,26.02,26.4,5725300
1999-11-26,26.43,26.66,26.15,26.45,2282700
1999-11-29,26.45,26.83,26.22,26.33,2681200
1999-11-30,26.3,26.5,26.11,26.4,2371400
1999-12-01,26.31,26.9,26.21,26.6,2865100
1999-12-02,26.52,26.72,26.22,26.26,1938500
1999-12-03,26.25,26.65,26.2,26.36,2552600
1999-12-06,26.3,26.35,25.6,25.66,6984000
1999-12-07,25.6,25.85,25.5,25.6,3955800
1999-12-08,25.6,25.76,25.5,25.53,2236500
1999-12-09,25.5,25.55,25.3,25.36,2564600
1999-12-10,25.36,26.1,25.22,25.97,3553913
1999-12-13,25.98,26.45,25.6,25.92,7058400
1999-12-14,25.7,26.0,25.7,26.0,1618500
1999-12-15,26.0,26.9,25.9,26.45,6797900
1999-12-16,26.5,26.5,25.95,26.0,3616200
1999-12-17,26.0,26.13,25.51,25.58,3565300
1999-12-21,25.45,25.55,25.14,25.24,4215300
1999-12-22,25.24,25.35,25.05,25.15,3083500
1999-12-23,25.2,25.3,24.7,24.78,4161561
1999-12-24,24.6,25.07,24.59,24.75,2832500
1999-12-27,24.75,25.0,24.5,24.58,2233700
1999-12-28,24.54,25.08,24.5,24.6,3176700
1999-12-29,24.71,24.97,24.57,24.66,2284200
1999-12-30,24.9,24.99,24.65,24.75,2333200
2000-01-04,24.98,25.78,24.75,25.57,4496100
2000-01-05,25.57,25.98,25.15,25.28,5252800
2000-01-06,25.18,26.3,25.05,25.99,6229700
2000-01-07,26.3,27.5,26.12,26.9,21355300
2000-01-10,27.0,27.85,26.71,27.25,16539700
2000-01-11,27.25,27.3,26.12,26.2,9390800
2000-01-12,26.0,26.0,24.8,25.12,35274900
2000-01-13,25.0,25.25,24.8,24.9,7975600
2000-01-14,24.88,25.0,23.91,24.2,17861900
2000-01-17,24.08,24.44,23.75,24.4,8101500
2000-01-18,24.5,24.57,23.88,24.14,7693300
2000-01-19,24.14,24.29,23.98,24.13,4658400
2000-01-20,24.12,24.65,24.1,24.44,5114400
2000-01-21,24.51,24.63,24.08,24.27,8138700
2000-01-24,24.2,24.25,23.95,24.18,9250300
2000-01-25,24.18,25.16,24.18,24.59,7742300
2000-01-26,24.6,24.8,24.31,24.41,2737700
2000-01-27,24.47,24.78,24.2,24.59,6335000
2000-01-28,24.6,25.1,24.56,25.04,12362700
2000-02-14,26.0,27.48,25.5,27.2,23739100
2000-02-15,27.2,27.48,25.65,25.68,26267700
2000-02-16,25.5,25.55,24.91,25.2,19069100
2000-02-17,25.25,26.4,24.23,24.9,23044800
2000-02-18,24.9,25.0,24.3,24.68,9693500
2000-02-21,24.75,26.3,24.2,25.8,25510600
2000-02-22,25.88,26.0,24.6,24.75,10517500
2000-02-23,24.6,25.25,24.5,24.6,6914600
2000-02-24,24.6,25.0,24.5,24.82,4648100
2000-02-25,24.9,24.97,24.5,24.6,5814800
2000-02-28,24.6,25.25,24.35,25.08,9373400
2000-02-29,25.21,25.6,24.8,25.17,10955900
2000-03-01,25.2,27.1,25.17,25.82,41705100
2000-03-02,25.78,26.0,25.1,25.42,12999900
2000-03-03,25.6,26.7,25.58,26.0,16109800
2000-03-06,26.48,26.9,25.55,25.6,20616200
2000-03-07,25.2,26.3,25.01,25.8,11132900
2000-03-08,26.0,26.18,25.43,25.69,5771400
2000-03-09,25.7,27.49,25.38,26.4,26491000
2000-03-10,26.4,26.5,25.51,25.62,10570000
2000-03-13,25.6,25.98,25.36,25.53,5566400
2000-03-14,25.0,25.42,24.8,25.42,11375200
2000-03-15,25.4,25.42,25.0,25.14,4220000
2000-03-16,25.0,25.08,24.28,24.5,7570200
2000-03-17,24.5,25.2,24.4,24.86,4270400
2000-03-20,24.5,25.2,24.5,25.02,4387600
2000-03-21,25.18,25.2,24.82,25.0,4409900
2000-03-22,25.08,25.71,24.88,25.34,4522000
2000-03-23,25.35,25.68,25.2,25.51,5887200
2000-03-24,26.01,27.05,25.51,25.51,21856400
2000-03-27,25.71,26.26,25.4,25.9,6161100
2000-03-28,26.03,26.3,25.25,25.5,7074200
2000-03-29,25.55,25.7,25.06,25.18,7495200
2000-03-30,25.25,25.72,25.25,25.38,4400800
2000-03-31,25.45,25.58,25.1,25.22,4320400
2000-04-03,25.2,25.5,25.1,25.24,3498400
2000-04-04,25.2,25.2,24.86,24.9,4307100
2000-04-05,24.9,25.49,24.88,25.15,3427000
2000-04-06,25.15,25.39,25.06,25.31,2927600
2000-04-07,25.42,25.9,25.38,25.69,6006300
2000-04-10,25.72,25.9,25.43,25.54,3327800
2000-04-11,25.6,26.08,25.4,25.56,6213900
2000-04-12,25.62,26.0,25.35,25.45,4634400
2000-04-13,25.45,25.88,25.4,25.6,4206500
2000-04-14,25.68,26.2,25.6,25.83,11250500
2000-04-17,26.0,26.2,25.18,25.3,7976900
2000-04-18,25.31,25.45,25.01,25.32,3894500
2000-04-19,25.45,25.78,25.19,25.3,2755600
2000-04-20,25.3,25.5,25.19,25.32,3636700
2000-04-21,25.0,25.49,25.0,25.15,3965500
2000-04-24,25.15,25.2,24.75,24.82,5913800
2000-04-25,24.81,25.09,24.78,24.84,2309500
2000-04-26,24.88,25.57,24.8,25.0,3559400
2000-04-27,25.0,25.2,24.68,24.74,3284200
2000-04-28,24.74,25.0,24.65,25.0,3210800
2000-05-09,24.9,24.9,24.35,24.43,2606100
2000-05-10,24.4,24.51,23.98,24.0,5873800
2000-05-11,24.0,24.27,23.8,23.9,3388300
2000-05-12,23.93,24.1,23.85,23.94,2969300
2000-05-15,23.95,24.0,23.01,23.06,4078300
2000-05-16,23.07,23.45,23.06,23.2,2071300
2000-05-17,23.25,23.35,23.06,23.15,2133600
2000-05-18,23.15,23.3,23.0,23.25,2946700
2000-05-19,23.3,23.69,23.25,23.5,2792100
2000-05-22,23.5,23.88,23.3,23.69,3608200
2000-05-23,23.85,23.96,23.3,23.47,2888000
2000-05-24,23.5,23.8,23.3,23.63,3456500
2000-05-25,23.7,24.5,23.65,24.29,7604300
2000-05-26,24.33,24.45,23.85,23.9,3615000
