date,open,high,low,close,volume
2011-01-07,9.53,12.36,9.5,11.01,393658496
2011-01-10,10.75,12.11,10.62,12.11,179705120
2011-01-11,11.94,12.36,10.9,11.24,206033760
2011-01-12,11.01,11.38,10.78,11.26,114894368
2011-01-13,11.33,11.33,10.23,10.36,106349048
2011-01-14,10.25,10.85,10.25,10.56,84845136
2011-01-17,10.48,10.96,10.09,10.46,86286024
2011-01-18,10.29,10.3,9.56,9.95,76625096
2011-01-19,9.82,10.95,9.67,10.73,104968592
2011-01-20,10.54,11.2,10.37,10.97,115367824
2011-01-21,10.81,11.95,10.81,11.28,134907968
2011-01-24,11.3,11.7,10.87,10.92,77067224
2011-01-25,10.8,10.8,9.91,10.34,65689436
2011-01-26,10.3,10.59,10.08,10.46,55336324
2011-01-27,10.33,11.51,10.27,11.51,76982560
2011-01-28,11.71,12.3,11.45,11.97,129378784
2011-01-31,11.8,13.17,11.76,12.75,123417256
2011-02-01,12.64,14.0,12.43,13.83,116012512
2011-02-09,13.8,15.18,13.6,14.87,131409992
2011-02-10,14.58,16.0,14.41,14.67,139029824
2011-02-11,14.63,15.23,14.48,14.88,96878936
2011-02-14,14.9,15.09,14.4,14.98,84952888
2011-02-15,14.8,15.87,14.6,15.04,112864072
2011-02-16,14.73,15.56,14.73,15.44,79555120
2011-02-17,15.85,16.98,15.56,16.98,130637280
2011-02-18,16.7,16.8,15.28,15.31,151701792
2011-02-21,15.04,15.74,14.67,15.43,82076176
2011-02-23,14.65,15.22,14.6,14.83,62552972
2011-02-24,14.98,15.58,14.85,15.21,54647120
2011-02-25,15.16,15.16,14.71,14.91,37195036
2011-02-28,14.92,15.36,14.53,15.32,50940584
2011-03-01,15.3,15.57,14.88,15.03,52012384
2011-03-02,14.75,14.76,13.91,14.45,65392812
2011-03-03,14.35,15.0,14.28,14.39,53474988
2011-03-04,14.24,14.38,13.92,14.2,42538792
2011-03-07,14.19,14.67,14.15,14.52,41802600
2011-03-08,14.35,14.45,14.01,14.24,41862512
2011-03-09,14.13,14.86,14.01,14.6,64332776
2011-03-10,14.44,14.52,14.2,14.29,37502476
2011-03-11,14.1,14.28,13.8,13.88,45623968
2011-03-14,13.5,13.67,13.1,13.37,46339792
2011-03-15,13.28,13.69,13.19,13.58,42484104
2011-03-16,13.66,13.8,13.32,13.75,37732516
2011-03-17,13.58,13.95,13.35,13.51,31496400
2011-03-18,13.81,14.45,13.7,14.08,58210876
2011-03-21,13.98,14.05,13.42,13.6,37431144
2011-03-22,13.61,13.74,13.3,13.63,25021302
2011-03-23,13.71,13.96,13.61,13.79,32265118
2011-03-24,13.94,14.1,13.6,13.63,28074448
2011-03-25,13.55,13.93,13.38,13.63,29441374
2011-03-28,13.63,13.64,13.22,13.29,43149020
2011-03-29,13.17,13.21,12.64,12.67,38796216
2011-03-30,12.4,12.89,12.4,12.69,21648658
2011-03-31,12.72,12.85,12.2,12.35,20218272
2011-04-01,12.44,12.49,11.99,12.35,23336044
2011-04-06,12.2,13.34,12.14,13.21,59764064
2011-04-07,12.18,13.29,12.11,12.89,234082208
2011-04-08,12.69,12.95,12.4,12.83,94377352
2011-04-11,13.0,13.96,13.0,13.56,154112864
2011-04-12,13.47,13.95,13.32,13.79,116634472
2011-04-13,13.52,13.91,13.39,13.71,81612488
2011-04-14,13.79,13.79,13.1,13.18,84496240
2011-04-15,13.28,13.41,12.7,12.9,71315504
2011-04-18,12.81,13.26,12.53,13.16,64084040
2011-04-19,12.99,13.0,12.55,12.61,51069972
2011-04-20,12.71,12.8,12.5,12.78,38703276
2011-04-21,12.8,12.86,12.57,12.61,39921744
2011-04-22,12.61,12.7,12.44,12.48,31629624
2011-04-25,12.41,12.43,12.04,12.06,39198164
2011-04-26,12.01,12.03,11.52,11.64,33818960
2011-04-27,11.73,11.81,11.3,11.46,32230260
2011-04-28,11.5,11.58,11.24,11.28,25859902
2011-04-29,11.15,11.45,11.03,11.43,21274232
2011-05-03,11.45,11.82,11.24,11.72,27074824
2011-05-04,11.55,11.63,11.17,11.24,29246810
2011-05-05,11.1,11.19,10.86,11.08,25343096
2011-05-06,10.79,11.1,10.69,10.95,26097498
2011-05-09,11.01,11.68,10.97,11.45,44046416
2011-05-10,11.42,11.78,11.2,11.74,50932420
2011-05-11,11.73,11.74,11.38,11.4,34465080
2011-05-12,11.18,11.23,10.91,10.93,32568628
2011-05-13,11.01,11.39,10.98,11.37,32589968
2011-05-16,11.3,11.65,11.24,11.34,28960192
2011-05-17,11.3,11.64,10.99,11.47,43345076
2011-05-18,11.37,11.54,11.22,11.4,22466924
2011-05-19,11.55,11.73,11.43,11.46,33911300
2011-05-20,11.31,11.42,11.17,11.28,22936928
2011-05-23,11.23,11.23,10.69,10.93,28440758
2011-05-24,10.88,11.36,10.8,11.35,42378160
2011-05-25,11.33,11.62,11.15,11.45,50957544
2011-05-26,11.66,12.29,11.51,11.57,92694096
2011-05-27,11.68,11.95,11.38,11.53,53989048
2011-05-31,11.2,11.44,10.61,11.36,48327916
2011-06-01,11.27,11.34,11.03,11.2,30341008
2011-06-02,10.89,11.0,10.72,10.91,31736340
2011-06-03,10.99,11.16,10.9,11.1,23938440
2011-06-07,11.0,11.13,10.95,11.1,21534080
2011-06-08,11.0,11.98,10.92,11.79,69972416
2011-06-09,11.71,11.83,11.2,11.25,55322124
2011-06-10,11.18,11.54,11.0,11.36,43824400
2011-06-13,11.19,11.38,10.98,11.25,29237312
2011-06-14,11.27,11.86,11.22,11.57,54538244
2011-06-15,11.62,11.78,11.45,11.63,51736064
2011-06-16,11.45,11.85,11.37,11.74,67008056
2011-06-17,11.69,11.78,11.4,11.42,50754148
2011-06-20,11.38,11.38,11.03,11.11,30942878
2011-06-21,11.18,11.3,10.91,11.21,33265920
2011-06-22,11.15,11.37,11.09,11.17,28590340
2011-06-23,11.02,11.58,10.95,11.47,46736408
