date,open,high,low,close,volume
1992-11-30,10.5,12.8,10.5,12.7,197000
1992-12-01,12.6,13.2,12.5,13.05,293600
1992-12-02,13.0,13.4,12.45,12.5,123800
1992-12-03,12.5,12.6,11.9,12.35,37000
1992-12-04,12.3,12.75,12.0,12.65,59300
1992-12-07,12.9,13.3,12.8,12.9,91100
1992-12-08,13.0,13.0,12.1,12.1,32400
1992-12-09,11.95,12.35,11.65,11.8,48700
1992-12-10,11.8,11.9,11.3,11.6,49700
1992-12-11,11.45,12.2,11.0,11.7,31000
1992-12-14,11.7,11.9,11.5,11.5,24100
1992-12-15,11.5,11.5,10.8,10.85,20800
1992-12-16,10.7,11.0,10.7,11.0,20100
1992-12-17,11.0,11.1,10.9,11.0,16200
1992-12-18,11.0,11.1,10.85,11.1,23200
1992-12-21,11.0,11.0,10.75,10.95,17400
1992-12-22,11.0,11.0,10.65,10.75,17000
1992-12-23,10.7,10.7,10.5,10.55,5400
1992-12-24,10.5,10.7,10.4,10.65,21700
1992-12-25,10.7,10.7,10.5,10.7,10100
1992-12-28,10.75,10.75,10.4,10.65,15600
1992-12-29,10.65,10.65,10.5,10.55,17000
1992-12-30,10.5,10.85,10.5,10.8,49400
1992-12-31,10.8,11.6,10.8,11.3,75200
1993-01-04,13.1,13.45,12.8,12.85,442200
1993-01-05,13.0,13.2,12.8,13.0,275900
1993-01-06,13.0,13.1,12.95,13.1,166800
1993-01-07,13.1,14.05,13.0,14.0,442600
1993-01-08,14.0,15.0,14.0,14.9,450800
1993-01-11,15.0,15.7,15.0,15.6,495800
1993-01-12,15.6,15.8,14.6,14.75,364600
1993-01-13,14.7,15.35,14.7,15.2,297700
1993-01-14,15.2,16.0,15.2,15.65,428400
1993-01-15,15.7,15.7,15.3,15.45,214700
1993-01-18,15.6,15.6,15.0,15.35,240900
1993-01-19,15.5,17.1,15.45,16.55,417300
1993-02-01,16.5,19.8,16.5,19.35,418400
1993-02-02,19.5,22.6,19.5,22.6,480100
1993-02-03,22.75,24.0,22.7,23.4,571600
1993-02-04,23.55,23.65,22.5,22.95,454300
1993-02-05,23.0,23.0,22.15,22.65,272900
1993-02-08,22.8,23.4,22.65,22.95,423200
1993-02-09,23.0,23.0,21.5,22.0,228700
1993-02-10,22.1,22.9,21.75,21.9,154200
1993-02-11,22.0,22.0,20.5,20.95,254200
1993-02-12,21.0,21.0,18.8,20.1,259300
1993-02-15,20.1,20.5,19.55,19.9,248500
1993-02-16,20.0,20.05,18.7,18.9,190100
1993-02-17,18.75,20.1,18.2,20.0,186900
1993-02-18,20.15,20.5,19.3,19.9,242800
1993-02-19,20.05,22.85,20.05,21.95,495600
1993-02-22,22.1,23.3,22.1,22.45,562500
1993-02-23,22.5,24.2,22.25,24.0,818500
1993-02-24,24.0,25.05,22.5,22.8,697000
1993-02-25,22.8,24.5,22.3,24.2,539100
1993-02-26,24.35,24.6,23.05,23.3,273500
1993-03-01,23.4,23.4,21.05,22.35,222700
1993-03-02,22.5,22.5,21.8,21.8,160700
1993-03-03,21.9,22.35,20.7,20.7,133400
1993-03-04,20.7,21.65,19.5,20.9,231700
1993-03-05,21.0,21.0,19.0,19.1,209800
1993-03-08,19.0,20.8,18.95,20.5,277900
1993-03-09,20.5,20.5,19.0,20.35,210600
1993-03-10,20.5,22.0,19.95,22.0,301300
1993-03-11,22.15,22.15,20.9,21.5,337800
1993-03-12,21.5,21.95,21.0,21.9,181700
1993-03-15,22.0,22.0,19.9,20.65,214800
1993-03-16,20.65,21.0,20.0,20.35,125200
1993-03-17,20.35,20.35,18.1,18.55,380100
1993-03-18,18.55,18.55,17.8,18.05,216800
1993-03-19,18.2,18.2,17.55,17.8,158900
1993-03-22,17.65,17.65,15.7,16.0,123300
1993-03-23,16.0,16.15,15.25,15.85,115800
1993-03-24,15.8,15.85,14.8,14.9,105600
1993-03-25,14.9,16.9,14.8,16.9,121700
1993-03-26,17.0,17.55,16.6,16.8,226900
1993-03-29,16.9,16.9,16.0,16.1,76000
1993-03-30,16.0,16.8,15.65,16.7,42100
1993-03-31,16.8,17.0,16.3,16.75,82700
1993-04-01,16.75,16.8,16.45,16.45,39300
1993-04-02,16.45,16.65,16.0,16.15,55100
1993-04-05,16.2,16.2,15.65,15.8,33800
1993-04-06,15.65,16.3,15.6,15.9,37000
1993-04-07,15.95,16.7,15.95,16.45,50500
1993-04-08,16.5,17.0,16.5,16.7,123500
1993-04-09,16.85,17.0,15.95,16.3,75800
1993-04-12,16.5,16.8,16.0,16.25,87200
1993-04-13,16.4,17.15,16.0,16.85,165000
1993-04-14,17.0,17.15,16.7,16.95,172300
1993-04-15,17.1,18.1,17.1,17.6,189400
1993-04-16,17.5,17.75,17.35,17.5,107800
1993-04-19,17.65,17.75,16.9,17.1,59800
1993-04-20,17.1,17.1,16.7,17.0,41000
1993-04-21,17.0,17.2,16.8,17.05,39200
1993-04-22,17.1,17.1,16.8,16.8,29100
1993-04-23,16.8,16.9,16.6,16.75,29300
1993-04-26,16.75,17.05,16.35,16.9,29700
1993-04-27,16.9,17.2,16.6,16.7,19900
1993-04-28,16.8,17.0,16.75,16.9,17500
1993-04-29,17.0,17.0,16.5,16.55,14600
1993-04-30,16.55,16.85,16.25,16.5,20600
1993-05-03,16.35,16.55,16.0,16.15,16800
1993-05-04,16.0,16.3,15.5,16.0,38700
1993-05-05,16.05,16.05,15.2,15.25,36800
1993-05-06,15.1,15.3,14.35,15.2,89000
1993-05-07,15.2,15.35,14.5,15.0,40500
1993-05-10,15.0,15.2,14.6,14.6,32500
1993-05-11,14.5,14.65,14.0,14.35,41700
1993-05-12,14.5,15.15,14.5,15.05,38500
1993-05-13,15.05,15.95,15.05,15.6,55300
1993-05-14,15.75,15.9,15.4,15.55,38300
1993-05-17,15.7,15.7,14.6,14.6,160800
1993-05-18,14.45,15.3,14.3,14.95,151400
1993-05-19,15.0,15.0,14.5,14.7,128600
1993-05-20,14.8,14.8,14.5,14.55,120900
1993-05-21,14.5,14.55,14.0,14.25,222000
1993-05-24,14.0,14.0,13.2,13.45,179700
1993-05-25,13.5,13.95,13.05,13.6,171100
1993-05-26,13.75,13.75,13.1,13.15,138500
1993-05-27,13.0,13.1,12.9,12.95,165800
1993-05-28,13.0,13.0,12.75,12.9,145700
1993-05-31,12.9,13.55,12.9,13.55,132300
1993-06-01,13.6,13.75,12.9,13.25,181600
1993-06-02,13.2,13.7,13.1,13.7,288200
1993-06-03,13.8,14.5,13.4,14.5,610100
1993-06-04,14.5,14.7,13.8,14.25,622900
1993-06-07,14.2,14.55,13.9,14.0,181000
1993-06-08,14.0,14.3,13.85,14.05,153500
1993-06-09,14.0,14.0,13.0,13.25,358300
1993-06-10,13.25,13.8,13.25,13.5,227800
1993-06-11,13.5,13.6,13.0,13.3,306600
1993-06-14,9.85,10.3,9.7,9.85,169900
1993-06-15,9.85,10.3,9.65,10.2,189200
1993-06-16,10.2,10.35,9.9,9.95,105600
1993-06-17,9.8,9.9,9.7,9.8,99200
1993-06-18,9.8,10.5,9.8,10.5,250600
1993-06-21,10.5,10.8,10.0,10.15,295700
1993-06-22,10.15,10.4,10.1,10.25,92600
1993-06-23,10.3,10.4,10.1,10.3,76400
1993-06-24,10.4,10.6,10.3,10.5,151000
1993-06-25,10.5,10.55,10.15,10.2,147800
1993-06-28,10.15,10.2,9.55,10.2,67700
1993-06-29,10.3,10.3,10.1,10.2,63300
1993-06-30,10.2,10.2,9.95,10.0,110900
1993-07-01,9.9,9.9,9.45,9.75,177800
1993-07-02,9.75,10.2,9.55,10.1,232400
1993-07-05,10.1,11.2,10.1,10.4,373600
1993-07-06,10.4,10.4,10.0,10.05,150600
1993-07-07,10.0,10.5,9.8,10.1,191400
1993-07-08,10.0,10.15,10.0,10.0,115100
1993-07-09,10.0,10.1,9.8,9.85,111300
1993-07-12,9.9,9.9,9.3,9.45,210900
1993-07-13,9.4,9.4,9.2,9.35,131700
1993-07-14,9.4,9.5,9.0,9.2,117300
1993-07-15,9.25,9.25,8.8,8.9,122700
1993-07-16,8.8,8.8,8.6,8.65,200900
1993-07-19,8.5,8.5,7.7,7.8,300000
1993-07-20,7.8,7.8,6.9,7.8,309200
1993-07-21,7.8,7.95,7.0,7.6,454800
1993-07-22,7.5,7.7,7.4,7.7,185600
1993-07-23,7.8,8.0,7.6,7.9,260700
