date,open,high,low,close,volume
2009-10-30,48.86,72.0,42.65,51.9,23975080
2009-11-02,46.71,53.83,46.71,48.49,10095677
2009-11-03,49.31,53.0,47.61,50.7,7044934
2009-11-04,50.28,52.85,50.01,51.7,4652062
2009-11-05,51.44,54.49,50.5,52.5,5298379
2009-11-06,52.0,52.96,49.36,50.05,4175109
2009-11-09,49.81,50.42,47.98,48.33,3145749
2009-11-10,48.55,48.79,46.56,46.66,3149786
2009-11-11,46.13,47.13,45.11,46.8,2602840
2009-11-12,46.7,48.48,46.43,48.3,2673148
2009-11-13,48.34,51.8,48.01,50.28,4210148
2009-11-16,50.2,50.28,48.88,49.7,2996244
2009-11-17,49.5,50.7,49.01,49.3,1929430
2009-11-18,49.42,50.94,49.05,50.54,3066157
2009-11-19,50.61,55.5,50.2,53.05,5842210
2009-11-20,52.69,54.17,51.91,52.6,2845770
2009-11-23,52.5,54.08,52.3,53.85,2511877
2009-11-24,54.5,54.96,49.08,51.2,4057508
2009-11-25,50.75,53.98,50.32,53.58,3564195
2009-11-26,53.55,54.7,52.12,54.7,4178462
2009-11-27,55.8,59.84,55.8,56.9,5992965
2009-11-30,56.8,56.8,54.0,56.3,3168133
2009-12-01,55.96,56.29,54.5,55.57,2543968
2009-12-02,55.9,58.58,55.85,57.14,3949069
2009-12-03,57.14,59.62,56.7,59.6,3906645
2009-12-04,57.5,58.19,53.64,54.23,4202754
2009-12-07,53.94,55.96,53.71,55.27,1544855
2009-12-08,55.04,56.99,54.36,56.0,1884322
2009-12-09,55.5,57.98,55.0,56.28,2556389
2009-12-10,55.92,56.79,54.4,54.59,2040947
2009-12-11,54.95,54.96,51.4,52.3,2395957
2009-12-14,52.5,52.55,50.03,52.05,1553118
2009-12-15,52.48,53.38,51.81,52.39,1164547
2009-12-16,52.01,52.09,50.6,50.8,1575530
2009-12-17,50.89,51.2,48.15,48.27,1486636
2009-12-18,48.2,49.86,46.55,49.0,1947586
2009-12-21,48.51,49.58,48.35,49.15,916997
2009-12-22,49.57,49.57,46.67,46.67,1034290
2009-12-23,46.51,48.19,46.51,47.6,917703
2009-12-24,46.99,48.75,46.6,48.72,1186890
2009-12-25,48.39,48.4,46.9,47.1,1060278
2009-12-28,47.2,48.2,47.1,47.65,755537
2009-12-29,47.8,48.2,46.36,47.14,856216
2009-12-30,47.0,48.96,47.0,48.13,1152064
2009-12-31,48.46,49.06,47.8,48.8,878657
2010-01-04,48.97,49.19,48.55,48.77,740314
2010-01-05,48.95,51.48,48.29,51.0,1850184
2010-01-06,50.89,50.89,49.68,49.74,971079
2010-01-07,49.95,49.95,48.41,48.58,928957
2010-01-08,48.23,48.39,46.71,47.23,1136816
2010-01-11,46.99,48.19,46.5,47.4,921556
2010-01-12,47.4,48.54,47.1,48.44,797391
2010-01-13,47.89,50.1,47.06,49.35,1397010
2010-01-14,49.99,52.5,49.41,51.52,1950890
2010-01-15,51.55,52.15,50.58,51.06,919192
2010-01-18,51.3,51.71,50.69,51.2,520082
2010-01-19,51.01,51.24,49.6,50.08,874495
2010-01-20,50.0,50.3,46.91,47.1,1123272
2010-01-21,47.2,48.28,47.2,47.63,529544
2010-01-22,47.29,47.29,44.11,44.8,1528341
2010-01-25,44.49,44.6,43.01,43.51,796699
2010-01-26,44.1,44.8,43.3,43.6,570776
2010-01-27,43.7,44.5,43.6,43.7,512792
2010-01-28,43.78,44.6,42.25,44.0,1092296
2010-01-29,43.72,44.99,43.18,44.11,991806
2010-02-01,41.0,43.85,39.89,40.8,4700235
2010-02-02,41.0,41.39,40.51,40.82,1210340
2010-02-03,40.88,41.3,39.01,40.35,1297607
2010-02-04,40.6,41.46,40.6,41.1,995702
2010-02-05,40.05,41.67,40.02,41.0,808132
2010-02-08,40.85,43.14,40.85,42.7,1623240
2010-02-09,42.5,43.24,42.31,42.85,472136
2010-02-10,43.28,44.84,43.01,44.6,1126056
2010-02-11,44.59,45.45,44.06,44.62,839876
2010-02-12,44.72,45.88,44.6,45.76,688817
2010-02-22,45.45,46.25,45.03,45.43,631008
2010-02-23,45.03,45.78,44.75,45.5,620402
2010-02-24,46.1,47.77,46.1,47.59,1328743
2010-02-25,48.12,49.0,47.6,47.84,1488689
2010-02-26,47.6,49.88,47.51,49.1,1677641
2010-03-01,49.1,51.5,49.1,50.9,1948301
2010-03-02,50.9,51.78,49.87,50.3,1387809
2010-03-03,50.12,50.62,48.8,49.28,1356079
2010-03-04,49.28,51.8,49.03,50.39,2009270
2010-03-05,50.53,54.0,50.4,53.5,2330128
2010-03-08,53.6,54.56,52.71,54.14,1713200
2010-03-09,54.3,54.3,52.82,53.68,1167193
2010-03-10,53.83,56.6,53.53,56.29,2358595
2010-03-11,56.25,56.75,54.7,56.3,1852220
2010-03-15,57.8,58.3,56.03,56.83,3250682
2010-03-16,56.95,57.0,55.03,55.21,1621286
2010-03-17,55.48,59.7,55.4,58.98,2801812
2010-03-18,59.0,61.66,58.71,59.67,2642148
2010-03-19,59.56,60.89,59.0,59.99,1211922
2010-03-22,60.03,60.57,59.32,60.4,1235021
2010-03-23,60.38,64.48,59.81,63.85,2393232
2010-03-24,63.85,65.69,63.2,64.66,2116251
2010-03-25,64.02,70.5,63.98,69.0,2881276
2010-03-26,67.9,72.99,65.5,71.37,3379556
2010-03-29,71.37,73.59,67.51,69.91,3781885
2010-03-30,69.37,72.0,68.91,69.9,2102166
2010-03-31,69.55,71.48,69.18,70.6,2088911
2010-04-01,70.33,72.47,68.6,68.88,3141391
2010-04-02,67.88,68.5,66.38,66.88,2931319
2010-04-06,66.79,70.34,66.5,70.34,2474055
2010-04-07,70.65,71.8,69.22,71.1,2012027
2010-04-09,69.59,76.75,69.03,75.9,3200437
2010-04-12,77.9,78.79,75.93,77.01,3275805
2010-04-13,76.51,76.51,69.31,69.32,4364932
2010-04-14,69.4,71.8,68.2,70.95,2148324
2010-04-15,71.08,71.89,64.88,67.03,2656186
2010-04-16,66.01,73.73,66.0,73.6,4014811
2010-04-19,36.4,37.38,34.93,35.0,8120215
2010-04-20,35.0,36.3,32.05,35.7,6623990
2010-04-21,35.16,39.08,35.0,38.22,6473300
2010-04-22,38.25,39.99,37.42,38.6,7940638
2010-04-23,37.9,39.7,37.85,38.98,4990243
2010-04-26,38.97,39.49,37.0,37.12,5040502
2010-04-27,36.9,37.93,36.05,37.61,4412523
2010-04-28,37.2,38.16,35.0,35.0,5087265
2010-04-29,35.18,35.88,34.18,34.3,3390927
2010-04-30,34.02,35.2,32.68,35.16,3710857
2010-05-04,34.2,37.4,34.0,37.13,5200148
2010-05-05,36.65,38.08,36.6,37.9,4766484
2010-05-06,38.05,38.05,36.53,36.53,3792643
2010-05-07,35.1,36.45,34.8,34.9,4070125
2010-05-10,34.6,35.24,31.54,32.7,4486287
2010-05-11,33.29,33.8,30.81,31.1,4020716
2010-05-12,30.15,31.5,29.78,31.0,3860864
2010-05-13,31.2,31.5,29.4,31.26,3846367
2010-05-14,30.78,32.48,29.8,31.39,3694546
2010-05-17,30.89,32.1,30.41,30.7,3181371
2010-05-18,30.95,31.05,29.27,30.66,3765849
2010-05-19,30.2,32.3,30.02,31.47,4082754
2010-05-20,31.12,32.76,31.12,31.69,4003818
2010-05-21,30.68,33.27,30.39,33.13,4828155
2010-05-24,33.63,35.1,33.52,35.1,4936647
2010-05-25,34.8,36.37,34.52,35.19,5243112
2010-05-26,35.0,36.0,34.7,35.0,3084460
2010-05-27,35.0,38.33,34.75,37.9,6551652
2010-05-28,38.0,39.08,37.36,38.51,6149687
2010-05-31,38.22,39.55,37.5,37.5,5374025
2010-06-01,37.0,37.56,35.21,36.5,5307884
2010-06-02,36.21,39.25,35.61,39.03,5340774
2010-06-03,39.3,42.73,39.03,40.49,9303230
2010-06-04,40.13,43.52,39.97,43.26,7361037
2010-06-07,42.65,44.77,42.1,43.9,7874502
2010-06-08,43.9,44.1,42.33,42.75,5279898
2010-06-09,42.96,45.88,42.96,45.07,7984378
2010-06-10,44.78,48.35,44.52,48.18,7657773
2010-06-11,48.42,49.57,47.3,48.94,6612029
2010-06-17,48.9,49.49,46.88,48.1,6062969
2010-06-18,47.3,47.6,43.29,43.29,8286861
2010-06-21,41.9,46.48,40.37,45.4,8227231
2010-06-22,44.8,46.26,43.25,43.39,5886771
2010-06-23,42.6,44.3,42.0,43.57,5875701
2010-06-24,43.1,44.0,43.0,43.58,3099530
2010-06-25,43.3,43.55,40.21,41.33,4777405
2010-06-28,41.1,42.0,40.37,41.77,3288679
2010-06-29,41.51,41.8,39.22,39.52,5282393
2010-06-30,38.9,41.18,37.81,40.7,5465686
2010-07-01,40.53,40.75,39.0,39.12,3962334
2010-07-02,39.01,39.56,35.21,37.38,7172161
2010-07-05,36.15,36.9,35.3,35.8,4015133
2010-07-06,35.78,38.79,35.69,38.6,5905010
2010-07-07,38.7,40.6,38.7,40.55,5681385
2010-07-08,40.95,41.22,39.44,40.62,5567642
2010-07-09,40.39,41.7,39.85,41.32,5958909
2010-07-12,41.2,41.44,39.71,40.34,5089956
2010-07-13,40.0,40.82,39.22,40.22,3763889
2010-07-14,40.07,40.48,38.66,38.9,4405582
2010-07-15,38.7,39.3,36.6,36.6,4354647
2010-07-16,36.2,37.6,35.94,37.46,3361758
2010-07-19,37.0,39.1,36.8,38.95,3590514
2010-07-20,39.29,41.39,39.09,40.98,5303120
2010-07-21,41.2,41.5,40.3,40.6,4873865
2010-07-22,40.6,41.13,39.75,40.93,3666709
2010-07-23,41.18,42.88,41.0,41.98,5485401
2010-07-26,41.98,42.2,40.5,41.43,4113538
2010-07-27,41.2,41.8,40.59,40.71,3404092
2010-07-28,40.5,41.98,40.38,41.93,4558600
2010-07-29,42.29,43.98,42.27,42.57,5970954
2010-07-30,42.2,43.28,41.81,42.99,3834989
2010-08-02,42.79,43.43,42.5,43.4,3643712
2010-08-03,43.5,43.51,41.8,41.8,3990797
2010-08-04,41.6,41.99,40.61,41.81,3518739
2010-08-05,41.57,42.3,41.25,41.51,2846902
2010-08-06,41.46,42.49,41.43,42.38,2950543
2010-08-09,42.4,43.97,42.13,43.72,4711175
2010-08-10,43.72,44.0,41.61,41.66,4336771
2010-08-11,41.43,42.48,41.43,41.95,2343774
2010-08-12,41.5,41.95,40.88,40.88,2645633
2010-08-13,40.96,41.4,40.52,41.39,2668948
2010-08-16,40.8,41.99,40.52,41.76,4289635
2010-08-17,41.62,41.93,40.52,41.04,6376601
2010-08-18,40.99,40.99,39.39,39.7,6548966
2010-08-19,39.6,40.11,39.43,39.62,3746360
2010-08-20,39.63,40.3,38.91,38.97,4155081
2010-08-23,38.9,39.59,38.1,39.59,4489354
2010-08-24,39.3,39.72,38.69,39.39,3170345
2010-08-25,39.05,39.15,37.5,37.8,3217097
2010-08-26,37.7,38.19,37.23,37.42,2603734
2010-08-27,37.6,38.0,37.0,37.96,2343137
2010-08-30,38.16,39.48,37.78,39.22,4122914
2010-08-31,39.0,39.09,38.2,38.39,3138080
2010-09-01,38.2,38.88,37.01,37.2,3494177
2010-09-02,37.37,37.65,36.8,37.22,3596127
2010-09-03,37.22,38.68,36.74,37.9,4714155
2010-09-06,37.9,38.0,36.52,36.69,4428008
2010-09-07,36.65,36.95,36.0,36.81,2945140
2010-09-08,36.82,36.87,36.3,36.71,2147339
2010-09-09,36.8,37.99,36.8,37.25,4143833
2010-09-10,37.25,38.5,36.96,38.4,5095512
2010-09-13,38.37,39.28,38.0,38.07,4239068
2010-09-14,38.02,38.35,36.8,37.05,3627899
2010-09-15,37.1,37.29,35.68,35.79,3581814
2010-09-16,35.7,35.88,34.0,34.4,3483666
2010-09-17,35.98,37.84,35.95,36.15,5283708
2010-09-20,35.5,35.5,34.0,34.54,3174755
