date,open,high,low,close,volume
2015-01-26,17.77,21.1,16.37,19.65,1225927808
2015-01-27,18.4,18.99,17.69,17.73,687550464
2015-01-28,17.6,17.6,16.8,17.17,368204160
2015-01-29,16.7,17.98,16.56,17.6,395604736
2015-01-30,17.49,17.73,16.8,16.85,268831040
2015-02-02,16.18,16.35,15.5,15.61,296803040
2015-02-03,15.85,16.08,15.61,15.98,244130656
2015-02-04,16.0,16.16,15.51,15.53,252635072
2015-02-05,15.99,15.99,15.38,15.39,233707168
2015-02-06,15.14,15.46,14.86,14.95,196406080
2015-02-09,14.91,15.77,14.82,15.52,263003776
2015-02-10,15.4,15.64,15.12,15.31,187082272
2015-02-11,15.4,15.98,15.2,15.9,245122224
2015-02-12,15.76,15.94,15.58,15.78,157518608
2015-02-13,15.9,16.07,15.72,15.76,162471568
2015-02-16,15.77,15.82,15.56,15.63,126813936
2015-02-17,15.65,15.94,15.65,15.79,121216448
2015-02-25,15.85,15.85,15.45,15.49,100306160
2015-02-26,15.43,16.1,15.19,15.93,212915104
2015-02-27,15.83,15.96,15.71,15.76,142434080
2015-03-02,16.01,16.27,15.81,15.93,209563376
2015-03-03,15.85,15.86,15.42,15.43,177715680
2015-03-04,15.4,15.7,15.4,15.52,104884496
2015-03-05,15.42,15.67,15.35,15.45,119927984
2015-03-06,15.49,15.63,15.39,15.4,97587016
2015-03-09,15.03,15.34,14.88,15.28,134023792
2015-03-10,15.23,15.6,15.11,15.38,123955504
2015-03-11,15.38,15.58,15.12,15.19,121578232
2015-03-12,15.25,15.53,15.11,15.33,128255696
2015-03-13,15.4,15.59,15.26,15.35,116482680
2015-03-16,15.39,15.67,15.26,15.66,203043120
2015-03-17,15.78,17.1,15.7,16.78,458779072
2015-03-18,16.8,17.6,16.6,17.29,398776512
2015-03-19,17.31,17.46,16.91,17.18,256462064
2015-03-20,17.22,18.57,16.88,17.95,442537696
2015-03-23,17.8,18.18,17.57,17.9,292739936
2015-03-24,17.85,17.86,17.0,17.3,270826720
2015-03-25,17.28,17.66,17.06,17.12,203497120
2015-03-26,17.0,17.42,16.83,17.21,185459264
2015-03-27,17.21,17.36,17.1,17.22,125250648
2015-03-30,17.25,17.59,17.18,17.43,191608976
2015-03-31,17.6,18.25,17.2,17.26,274723680
2015-04-01,17.32,17.67,17.17,17.48,194816256
2015-04-02,17.57,17.68,17.18,17.37,177613664
2015-04-03,17.21,17.88,17.19,17.7,249207392
2015-04-07,17.9,17.97,17.61,17.93,262024624
2015-04-08,18.01,19.63,17.82,19.18,508489664
2015-04-09,19.32,20.59,19.01,19.08,514467072
2015-04-10,18.9,19.21,18.62,19.1,240651392
2015-04-13,19.2,19.46,18.82,19.15,229106224
2015-04-14,19.1,19.44,18.54,19.18,232268240
2015-04-15,19.15,19.15,18.46,18.47,158532688
2015-04-16,18.25,18.81,18.03,18.55,152452224
2015-04-17,18.77,19.17,18.56,18.69,199881952
2015-04-20,18.7,18.75,18.08,18.08,208200320
2015-04-21,17.82,19.0,17.82,18.74,206983584
2015-04-22,18.81,19.97,18.68,19.58,303277568
2015-04-23,19.65,19.73,18.96,19.02,276624864
2015-04-24,18.7,18.8,18.18,18.39,191115088
2015-04-27,18.49,18.8,18.32,18.55,148517568
2015-04-28,18.56,18.79,18.3,18.44,169359136
2015-04-29,18.55,18.6,18.19,18.46,111617456
2015-04-30,18.56,18.58,18.15,18.18,129825800
2015-05-04,18.17,18.36,17.94,18.08,104698432
2015-05-05,18.06,18.47,17.48,17.55,146985456
2015-05-06,17.7,18.08,17.12,17.3,139561872
2015-05-07,17.15,17.7,17.15,17.37,107544848
2015-05-08,17.68,17.8,17.18,17.52,107991152
2015-05-11,17.77,17.89,17.55,17.88,142715712
2015-05-12,17.89,18.47,17.63,18.14,187897344
2015-05-13,18.15,18.15,17.67,17.72,132521776
2015-05-14,17.75,17.93,17.51,17.63,97439696
2015-05-15,17.59,18.2,17.22,17.77,185385152
2015-05-18,17.48,17.77,17.33,17.41,109260248
2015-05-19,17.39,18.88,17.36,18.32,330108704
2015-05-20,18.19,18.27,17.85,17.95,220940768
2015-05-21,17.95,18.1,17.73,17.95,139876320
2015-05-22,18.12,18.77,18.03,18.44,257546176
2015-05-25,18.47,19.18,18.47,18.81,290906752
2015-05-26,18.86,19.24,18.48,19.01,314703776
2015-05-27,19.03,19.8,18.76,19.59,377641664
2015-05-28,19.65,20.58,18.29,18.51,478938464
2015-05-29,18.62,19.18,18.01,18.7,318495936
2015-06-01,18.7,19.91,18.2,19.52,328819712
2015-06-02,19.5,19.98,19.21,19.9,298035712
2015-06-03,20.1,20.1,19.16,19.28,260994064
2015-06-04,19.35,19.76,18.29,19.34,270095040
2015-06-05,19.65,19.75,18.76,19.15,275835488
2015-06-15,19.54,20.27,18.9,18.98,294249792
2015-06-16,18.7,19.19,18.17,18.34,187178704
2015-06-17,18.56,18.65,17.81,18.42,165100320
2015-06-18,18.23,18.4,17.55,17.59,137306768
2015-06-19,17.49,18.1,17.15,17.21,158448496
2015-06-23,17.38,17.87,16.85,17.83,144747808
2015-06-24,17.94,18.0,17.56,17.97,141286416
2015-06-25,18.0,18.2,17.3,17.47,142636288
2015-06-26,17.25,17.95,15.72,16.14,214696608
2015-06-29,16.75,16.75,14.58,15.1,209837920
2015-06-30,15.11,16.29,14.26,16.25,216229248
2015-07-01,15.99,16.39,15.0,15.09,165938512
2015-07-02,15.66,15.7,14.02,14.72,172113536
2015-07-03,14.9,14.95,13.38,13.63,164902624
2015-07-06,14.99,14.99,13.56,14.4,221675744
2015-07-07,14.0,14.4,12.96,14.4,297637280
2015-07-08,13.08,13.48,12.96,12.96,373381920
2015-07-09,12.96,14.26,12.11,14.26,223341376
2015-07-10,14.35,15.69,14.01,15.68,292615904
2015-07-13,15.37,16.56,15.18,15.83,293837472
2015-07-14,15.37,15.56,14.7,14.82,198031472
2015-07-15,14.54,14.95,13.46,13.49,138807824
2015-07-16,13.49,14.05,13.21,13.67,109804496
2015-07-17,13.75,14.49,13.67,14.26,118557808
2015-07-20,14.25,14.46,13.98,14.12,110081856
2015-07-21,13.95,14.47,13.8,14.22,120176688
2015-07-22,14.2,14.34,13.89,14.02,87229064
2015-07-23,14.09,14.4,14.03,14.37,117510952
2015-07-24,14.38,14.44,13.88,13.99,118292456
2015-07-27,13.75,13.88,12.59,12.59,132297856
2015-07-28,12.33,13.85,11.67,13.42,238769584
2015-07-29,13.35,14.0,13.01,13.6,100718256
2015-07-30,13.5,13.73,13.07,13.07,71188408
2015-07-31,12.95,13.29,12.81,13.26,68572808
2015-08-03,13.06,13.58,12.98,13.58,81237216
2015-08-04,13.51,13.85,13.31,13.79,87340768
2015-08-05,13.77,13.77,13.3,13.33,56234928
2015-08-06,13.09,13.33,13.0,13.04,42775136
2015-08-07,13.16,13.44,13.11,13.21,47964736
2015-08-10,13.3,14.2,13.18,13.9,126098768
2015-08-11,13.78,13.91,13.65,13.69,83495880
2015-08-12,13.55,13.97,13.51,13.6,72134840
2015-08-13,13.48,13.72,13.31,13.64,63811992
2015-08-14,13.79,13.94,13.61,13.78,89429328
2015-08-17,13.76,13.77,13.45,13.63,56280680
2015-08-18,13.71,14.18,12.58,12.79,134681872
2015-08-19,12.56,12.94,12.12,12.89,79750272
2015-08-20,13.05,13.39,12.75,12.88,90906232
2015-08-21,12.6,12.93,12.01,12.07,68150232
2015-08-24,11.7,11.86,10.86,10.86,78129264
2015-08-25,9.8,10.15,9.77,9.77,81213152
2015-08-26,9.77,10.23,8.88,9.0,110540640
2015-08-27,9.3,9.52,8.8,9.47,98051976
2015-08-28,9.6,10.07,9.39,9.96,117266544
2015-08-31,9.8,9.8,9.24,9.39,89339224
2015-09-01,9.38,9.69,8.89,9.38,100498336
2015-09-02,9.0,9.55,8.88,9.02,71319968
2015-09-07,9.15,9.38,9.08,9.13,63533228
2015-09-08,9.0,9.37,8.91,9.35,58647092
2015-09-09,9.4,9.84,9.31,9.73,129846296
2015-09-10,9.55,9.67,9.43,9.45,72897424
2015-09-11,9.47,9.65,9.36,9.52,48805644
