date,open,high,low,close,volume
2001-02-06,13.0,14.8,12.9,14.7,53616913
2001-02-07,14.08,14.45,13.85,14.06,14596974
2001-02-08,14.0,14.31,13.9,14.14,6790812
2001-02-09,14.32,14.6,14.17,14.31,7447756
2001-02-12,14.35,14.47,13.98,14.23,4260170
2001-02-13,14.29,14.38,14.01,14.15,3121894
2001-02-14,14.1,14.27,14.0,14.12,1982428
2001-02-15,14.11,14.28,13.7,13.8,3979679
2001-02-16,13.75,13.94,13.42,13.88,3840623
2001-02-19,13.87,14.03,13.7,13.89,1651275
2001-02-20,13.92,14.1,13.65,13.7,2281236
2001-02-21,13.68,13.68,13.38,13.39,2935306
2001-02-22,13.18,13.64,13.18,13.33,1743578
2001-02-23,13.4,13.8,13.4,13.7,1404331
2001-02-26,13.79,13.95,13.65,13.79,1400891
2001-02-27,13.83,13.94,13.76,13.89,1397892
2001-02-28,13.89,13.9,13.65,13.7,1042329
2001-03-01,13.7,13.94,13.65,13.89,953022
2001-03-02,13.95,14.02,13.88,13.93,1457030
2001-03-05,13.98,14.0,13.78,13.8,1189730
2001-03-06,13.78,13.86,13.61,13.81,1118316
2001-03-07,13.83,14.08,13.82,14.0,1873421
2001-03-08,14.0,14.15,13.93,13.98,1384640
2001-03-09,13.99,14.03,13.83,13.98,1406928
2001-03-12,14.0,14.15,13.9,14.15,1132282
2001-03-13,14.15,14.15,13.9,13.91,999642
2001-03-14,13.91,14.3,13.9,14.26,1794393
2001-03-15,14.25,14.32,14.11,14.17,1851445
2001-03-16,14.18,14.39,14.18,14.22,2017875
2001-03-19,14.23,14.4,14.23,14.28,1374157
2001-03-20,14.3,14.35,14.12,14.22,1429839
2001-03-21,14.2,14.2,14.11,14.18,1730369
2001-03-22,14.25,14.3,14.14,14.24,1499266
2001-03-23,14.29,14.3,13.98,14.0,2374660
2001-03-26,13.94,14.16,13.91,14.15,1856227
2001-03-27,14.15,14.21,14.01,14.07,1491356
2001-03-28,14.08,14.28,14.05,14.19,1278156
2001-03-29,14.21,14.4,14.15,14.31,2148126
2001-03-30,14.35,14.5,14.33,14.49,2481119
2001-04-02,14.52,14.74,14.51,14.62,3263159
2001-04-03,14.65,14.67,14.25,14.54,2092600
2001-04-04,14.5,14.6,14.22,14.25,2064747
2001-04-05,14.25,14.54,14.2,14.53,1415447
2001-04-06,14.58,14.68,14.45,14.54,1458180
2001-04-09,14.49,14.64,14.42,14.64,1392485
2001-04-10,14.63,15.1,14.6,14.95,4414280
2001-04-11,15.0,15.08,14.9,15.01,2165931
2001-04-12,15.02,15.05,14.78,14.9,2264980
2001-04-13,14.92,15.38,14.9,15.23,3542937
2001-04-16,15.32,15.61,15.32,15.5,4951053
2001-04-17,15.58,15.64,15.3,15.59,3555726
2001-04-18,15.58,15.75,15.4,15.6,2856135
2001-04-19,15.6,15.74,15.41,15.7,2993406
