date,open,high,low,close,volume
1994-02-04,12.5,13.88,12.5,12.7,3367700
1994-02-14,13.3,13.3,11.8,12.3,965900
1994-02-15,12.09,12.17,11.45,11.81,342200
1994-02-16,11.9,11.95,11.5,11.52,181300
1994-02-17,11.5,11.5,11.22,11.38,191600
1994-02-18,11.38,11.58,11.08,11.09,187700
1994-02-21,11.1,11.17,10.45,10.47,212800
1994-02-22,10.4,11.19,10.38,10.98,371400
1994-02-23,11.02,11.08,10.6,10.77,180200
1994-02-24,10.78,11.0,10.01,11.0,300800
1994-02-25,11.27,11.86,11.05,11.8,1165100
1994-02-28,11.8,12.38,11.2,11.2,1682300
1994-03-01,11.58,11.88,11.25,11.4,939800
1994-03-02,11.4,11.5,10.82,11.1,416000
1994-03-03,11.0,11.39,10.71,11.0,323200
1994-03-04,11.0,11.44,10.72,11.15,467200
1994-03-07,11.3,11.4,11.3,11.39,128300
1994-03-08,11.5,11.8,11.02,11.25,507900
1994-03-09,11.35,13.35,11.31,13.26,2918600
1994-03-10,13.45,13.97,11.5,11.5,3641900
1994-03-11,11.7,12.3,11.36,12.2,1129100
1994-03-14,13.5,13.5,12.56,12.86,1417900
1994-03-15,12.9,12.91,12.2,12.25,801200
1994-03-16,12.25,13.5,12.12,13.4,1751100
1994-03-17,14.0,15.0,12.71,12.71,2985500
1994-03-18,12.6,12.9,12.31,12.58,801200
1994-03-21,12.0,12.56,11.95,12.01,305600
1994-03-22,12.0,12.38,11.91,12.38,214300
1994-03-23,12.37,12.37,11.85,11.95,209700
1994-03-24,11.9,12.28,11.65,11.75,268000
1994-03-25,11.7,12.0,11.5,11.6,243700
1994-03-28,11.28,11.28,10.21,11.0,370700
1994-03-29,11.0,11.7,10.98,11.48,542200
1994-03-30,11.49,11.5,11.15,11.2,196400
1994-03-31,11.15,11.4,11.12,11.16,163300
1994-04-01,11.15,11.35,11.1,11.25,134600
1994-04-04,11.3,11.3,11.01,11.07,69800
1994-04-05,11.07,11.2,10.8,10.87,89400
1994-04-06,10.9,10.9,10.6,10.7,137600
1994-04-07,10.6,10.8,10.6,10.73,136900
1994-04-08,10.77,10.85,10.6,10.75,56700
1994-04-11,10.6,10.65,10.4,10.42,52400
1994-04-12,10.4,10.95,10.12,10.47,129800
1994-04-13,10.65,10.88,10.2,10.25,117100
1994-04-14,10.2,10.2,9.7,9.82,146700
