date,open,high,low,close,volume
2016-05-11,12.77,15.32,12.77,15.32,358353
2016-05-12,16.85,16.85,16.85,16.85,248813
2016-05-13,18.54,18.54,18.54,18.54,218552
2016-05-16,20.39,20.39,20.39,20.39,800134
2016-05-17,22.43,22.43,22.43,22.43,1342512
2016-05-18,24.67,24.67,23.66,24.67,87406112
2016-05-19,24.8,25.94,23.72,23.88,109341677
2016-05-20,22.53,23.36,22.03,23.03,69318913
2016-05-23,22.8,24.83,22.68,23.81,69389298
2016-05-24,23.5,23.5,22.65,22.82,44488034
2016-05-25,23.15,25.1,22.92,24.33,92299663
2016-05-26,23.51,25.48,22.95,25.3,75695407
2016-05-27,24.81,26.18,24.62,24.75,76298719
2016-05-30,24.32,25.59,23.8,25.04,57068324
2016-05-31,25.04,27.54,25.04,27.54,48415570
2016-06-01,30.29,30.29,29.55,29.95,103978709
2016-06-02,30.2,32.95,29.61,32.95,108985264
2016-06-03,33.92,36.25,32.8,35.41,108501605
2016-06-06,34.69,35.69,34.41,35.45,67471787
2016-06-07,35.2,39.0,35.1,39.0,73207945
2016-06-08,39.79,42.9,38.18,40.6,106338487
2016-06-13,38.02,39.39,36.54,36.54,74890379
2016-06-14,35.55,39.39,35.18,38.07,82075301
2016-06-15,36.55,40.0,36.21,38.3,88706784
2016-06-16,37.02,38.8,37.01,37.55,56977864
2016-06-17,38.0,40.59,37.99,38.68,77227557
2016-06-20,38.18,39.79,37.08,38.88,58939774
2016-06-21,39.45,41.5,38.59,39.11,77617966
2016-06-22,38.02,38.88,37.62,38.27,49372657
2016-06-23,38.28,38.32,36.5,36.87,45315072
2016-06-24,36.7,37.99,35.33,37.41,49522755
2016-06-27,37.0,38.25,36.61,37.93,44463070
2016-06-28,37.98,41.72,37.62,41.72,89064058
2016-06-29,42.6,45.28,42.0,42.96,100676599
2016-06-30,41.5,42.17,40.1,40.41,64371136
2016-07-01,40.35,41.48,39.66,40.82,45199082
2016-07-04,40.01,42.05,39.81,41.07,50775277
2016-07-05,41.0,41.78,40.61,41.53,45565020
2016-07-06,41.44,41.47,40.51,40.85,31231099
2016-07-07,40.95,41.88,40.59,41.3,40657769
2016-07-08,41.45,41.78,41.01,41.12,32035409
2016-07-11,40.91,40.94,38.53,39.0,45952991
2016-07-12,38.61,40.95,37.64,40.41,42427188
