date,open,high,low,close,volume
2008-04-25,9.98,22.0,9.61,13.92,971534170
2008-04-28,12.53,12.53,12.53,12.53,9192800
2008-04-29,11.28,11.28,11.28,11.28,7794300
2008-04-30,10.31,11.2,10.15,10.51,592765501
2008-05-05,10.8,11.56,10.51,11.56,370013739
2008-05-06,11.54,12.15,11.36,11.45,391083955
2008-05-07,11.24,11.39,10.76,11.02,196600686
2008-05-08,10.9,11.36,10.6,11.29,154438117
2008-05-09,11.3,11.3,10.31,10.74,154082204
2008-05-12,10.35,11.05,10.03,10.72,129083972
2008-05-13,10.21,10.65,10.21,10.35,106678474
2008-05-14,10.22,10.85,10.22,10.62,116870457
2008-05-15,10.6,10.86,10.36,10.39,88626289
2008-05-16,10.4,10.55,10.22,10.35,58337528
2008-05-19,10.55,10.67,10.35,10.47,54139687
2008-05-20,10.5,10.65,9.87,9.89,64148836
2008-05-21,9.8,10.02,9.32,9.81,83386803
2008-05-22,9.9,10.09,9.7,10.06,71685550
2008-05-23,9.89,9.96,9.42,9.58,52704624
2008-05-26,9.54,9.54,9.05,9.08,49058069
2008-05-27,9.01,9.33,9.01,9.19,37720257
2008-05-28,9.1,9.27,8.92,9.17,63064546
2008-05-29,9.1,9.15,8.74,8.77,56792382
2008-05-30,8.65,8.69,8.42,8.66,61315346
2008-06-02,8.66,9.53,8.57,9.53,98566456
2008-06-03,9.63,9.99,9.32,9.44,178418368
2008-06-04,9.2,9.47,9.0,9.13,54529811
2008-06-05,9.03,9.5,8.95,9.26,52422013
2008-06-06,9.19,9.38,9.1,9.18,28315379
2008-06-10,8.86,8.92,8.26,8.27,54706252
2008-06-11,8.15,8.23,7.9,8.05,38404324
2008-06-12,8.06,8.32,7.86,8.3,50883559
2008-06-13,8.2,8.25,7.8,7.83,31425734
2008-06-16,7.84,7.98,7.47,7.57,29941928
2008-06-17,7.56,8.23,7.43,7.77,55797982
2008-06-18,7.62,8.3,7.51,8.19,71591727
2008-06-19,8.05,8.09,7.37,7.37,56694826
2008-06-23,7.46,7.95,7.39,7.65,53056376
2008-06-24,7.45,7.85,7.39,7.76,41538644
2008-06-25,7.68,8.3,7.65,8.1,62818461
2008-06-26,8.04,8.46,7.96,8.21,66903537
2008-06-27,7.94,8.7,7.9,7.99,86551540
2008-06-30,8.05,8.15,7.6,7.8,35694790
2008-07-01,7.85,7.95,7.56,7.64,21840914
2008-07-02,7.75,8.04,7.65,7.88,36262453
2008-07-03,7.9,8.4,7.8,8.26,75097467
2008-07-04,8.06,8.19,7.87,7.99,47182069
2008-07-07,7.97,8.35,7.85,8.28,58962179
2008-07-08,8.3,8.48,8.18,8.34,58064688
2008-07-09,8.34,9.16,8.2,8.96,120181425
2008-07-10,8.7,9.08,8.61,8.62,89252375
2008-07-11,8.75,9.0,8.61,8.81,60290602
2008-07-14,8.93,9.18,8.92,9.08,65260227
2008-07-15,9.21,9.29,8.62,8.67,61598254
2008-07-16,8.41,8.58,7.97,8.24,46316303
2008-07-17,8.3,8.39,8.03,8.08,30368503
2008-07-18,8.09,8.25,7.89,8.21,29447677
2008-07-21,8.18,8.38,7.86,8.32,53345923
2008-07-22,8.28,8.59,8.18,8.34,41239349
2008-07-23,8.22,8.32,8.04,8.13,42343375
2008-07-24,8.0,8.23,7.95,8.15,41864075
2008-07-25,7.98,8.05,7.56,7.88,209528280
2008-07-28,7.85,7.93,7.78,7.85,77085306
2008-07-29,7.87,7.94,7.66,7.74,66235342
2008-07-30,7.78,7.82,7.6,7.69,58670094
2008-07-31,7.71,7.72,7.48,7.52,41070455
2008-08-01,7.47,7.63,7.36,7.5,53166080
2008-08-04,7.45,7.45,7.19,7.2,41838159
2008-08-05,7.15,7.2,6.59,6.7,65229483
2008-08-06,6.61,6.73,6.37,6.52,50944329
2008-08-07,6.52,6.53,6.27,6.47,39148560
2008-08-08,6.45,6.45,6.0,6.02,42316721
2008-08-11,5.98,5.98,5.42,5.43,53986427
2008-08-12,5.25,5.47,5.18,5.3,35309251
2008-08-13,5.25,5.53,5.11,5.48,55608595
2008-08-14,5.47,5.51,5.34,5.42,31146252
2008-08-15,5.34,5.59,5.15,5.34,42276140
2008-08-18,5.28,5.28,4.87,4.88,38493767
2008-08-19,4.82,5.02,4.74,4.96,26110949
2008-08-20,4.95,5.45,4.87,5.39,65591122
2008-08-21,5.26,5.38,5.08,5.12,45902515
2008-08-22,5.19,5.25,5.01,5.14,29932226
2008-08-25,5.12,5.12,4.9,5.0,26470564
