date,open,high,low,close,volume
1992-04-10,35.7,35.7,35.7,35.7,100
1992-05-07,37.5,37.5,37.5,37.5,100
1992-05-08,39.4,39.4,39.4,39.4,100
1992-05-11,41.4,41.4,41.4,41.4,100
1992-05-12,43.5,43.5,43.5,43.5,100
1992-05-13,45.7,45.7,45.7,45.7,100
1992-05-14,48.0,48.0,48.0,48.0,100
1992-05-15,50.4,50.4,50.4,50.4,100
1992-05-18,52.9,52.9,52.9,52.9,100
1992-05-19,55.5,55.5,55.5,55.5,100
1992-05-20,58.3,58.3,58.3,58.3,100
1992-05-21,227.0,310.0,227.0,250.0,163300
1992-05-22,255.0,267.5,207.5,253.0,220600
1992-05-25,260.5,275.0,230.0,260.0,243200
1992-05-26,265.0,270.0,229.0,239.0,159300
1992-05-27,232.5,240.0,215.0,215.0,109800
1992-05-28,200.0,220.0,190.0,216.5,98300
1992-05-29,210.0,240.0,210.0,222.0,161600
1992-06-01,210.75,217.5,185.0,210.0,130300
1992-06-02,200.0,215.0,197.5,200.0,153800
1992-06-03,195.0,199.0,173.0,180.0,120300
1992-06-04,182.5,208.0,175.0,193.1,146500
1992-06-05,205.0,209.0,185.0,188.5,235400
1992-06-08,185.0,204.0,177.55,188.5,143200
1992-06-09,182.5,200.25,182.0,195.0,170600
1992-06-10,200.0,222.25,200.0,211.0,420600
1992-06-11,206.5,216.5,198.75,206.5,268000
1992-06-12,200.0,211.5,197.5,207.0,225500
1992-06-15,210.0,213.75,203.0,206.25,271900
1992-06-16,208.0,211.5,202.0,205.9,230500
1992-06-17,203.0,209.0,201.5,204.9,243400
1992-06-18,205.0,206.9,201.5,205.0,152200
1992-06-19,203.0,206.5,202.5,205.5,149300
1992-06-22,206.0,208.4,204.75,206.9,151600
1992-06-23,205.0,206.9,202.75,204.5,118000
1992-06-24,204.25,205.65,200.0,203.95,89200
1992-06-25,203.55,205.98,200.0,203.9,57200
1992-06-26,203.95,205.5,203.25,204.0,73200
1992-06-29,205.0,209.0,200.0,206.9,125200
1992-06-30,206.5,217.5,205.02,215.4,247700
1992-07-01,219.0,229.95,217.0,220.0,299600
1992-07-02,222.0,225.0,210.0,219.0,238200
1992-07-03,221.0,222.0,215.0,221.0,233000
1992-07-06,219.5,220.5,203.75,207.28,91300
1992-07-07,205.0,206.0,194.25,197.5,165300
1992-07-08,178.0,195.0,159.5,188.5,297100
1992-07-09,183.0,188.75,180.5,185.0,218600
1992-07-10,185.5,185.5,160.9,184.0,237800
1992-07-13,187.5,188.0,181.5,184.9,140600
1992-07-14,186.0,186.0,181.0,183.25,73800
1992-07-15,182.5,184.5,178.1,180.75,96000
1992-07-16,182.0,183.5,178.0,180.0,92900
1992-07-17,179.3,184.5,178.45,178.45,108500
1992-07-20,176.5,180.5,173.9,175.0,80100
1992-07-21,174.0,176.8,170.0,171.0,73700
1992-07-22,172.0,172.0,162.0,165.0,79000
1992-07-23,163.0,163.0,150.0,159.75,111800
1992-07-24,159.5,166.75,151.05,163.75,98000
1992-07-27,175.0,180.0,170.0,178.0,104100
1992-07-28,184.5,185.0,169.95,174.0,160400
1992-07-29,173.5,173.75,165.5,171.0,63000
1992-07-30,180.0,180.0,169.5,171.5,60800
1992-07-31,171.0,173.5,167.5,173.5,91600
1992-08-03,169.98,171.0,164.75,168.0,48100
1992-08-04,166.0,169.9,164.75,169.7,49600
1992-08-05,168.0,169.0,161.5,163.5,72200
1992-08-06,162.0,167.0,157.4,162.0,117500
1992-08-07,162.0,164.5,159.5,161.0,80000
1992-08-10,162.0,162.0,148.0,148.3,89700
1992-08-11,140.0,151.0,120.0,132.0,164200
1992-08-12,114.98,129.0,86.5,117.25,214700
