date,open,high,low,close,volume
2009-10-30,41.5,63.5,36.0,44.9,16426958
2009-11-02,40.41,47.0,40.41,41.3,7531541
2009-11-03,42.56,43.89,40.7,41.98,4321634
2009-11-04,42.49,43.78,41.99,43.08,2865965
2009-11-05,43.0,44.6,42.0,43.3,3852299
2009-11-06,43.0,43.34,41.05,41.49,2684583
2009-11-09,41.28,41.56,39.15,40.05,1793976
2009-11-10,40.06,40.27,38.0,38.04,2100052
2009-11-11,37.88,38.5,37.01,38.44,1431400
2009-11-12,38.21,39.26,38.0,38.64,1314323
2009-11-13,38.67,41.48,38.4,40.72,2574532
2009-11-16,40.6,40.99,40.0,40.7,1415726
2009-11-17,40.52,41.91,40.5,40.8,1066108
2009-11-18,41.0,42.58,40.8,42.0,2029845
2009-11-19,42.12,46.2,41.67,44.89,3983508
2009-11-20,44.05,45.56,43.5,44.1,1992303
2009-11-23,44.45,46.75,44.2,46.23,2418708
2009-11-24,45.87,46.44,41.61,41.63,4432315
2009-11-25,41.0,43.85,40.51,43.56,2662820
2009-11-26,43.22,44.43,42.06,43.12,2424883
2009-11-27,42.99,44.3,42.03,44.1,2175838
2009-11-30,44.08,46.66,43.5,46.13,3726184
2009-12-01,45.57,45.98,44.57,45.56,2517466
2009-12-02,45.62,47.88,45.21,46.6,3149936
2009-12-03,46.5,48.9,46.03,48.9,3570642
2009-12-04,47.0,47.79,44.1,44.8,3525576
2009-12-07,44.7,46.09,44.2,45.7,1270860
2009-12-08,45.75,48.16,45.0,47.7,2552489
2009-12-09,47.0,49.8,46.9,47.53,3086026
2009-12-10,47.45,48.3,46.0,46.17,1871870
2009-12-11,46.09,46.49,43.54,44.0,1983475
2009-12-14,44.01,45.5,43.8,44.5,1751477
2009-12-15,44.66,45.5,44.0,44.25,1258264
2009-12-16,44.0,44.5,41.08,42.01,1769075
2009-12-17,41.55,42.2,39.11,39.3,1503459
2009-12-18,39.4,43.23,37.51,43.2,3592460
2009-12-21,42.0,44.1,41.7,43.1,2481782
2009-12-22,42.68,43.9,40.11,43.4,2568828
2009-12-23,43.35,47.74,42.77,47.74,6207703
2009-12-24,45.66,48.48,45.0,47.99,5425076
2009-12-25,46.61,47.44,44.15,44.82,3196865
2009-12-28,44.4,45.99,43.8,44.03,2411895
