date,open,high,low,close,volume
2013-09-18,40.5,46.4,39.88,42.24,38889752
2013-09-23,41.9,46.46,40.67,46.2,31851606
2013-09-24,45.49,46.15,44.4,44.61,20004514
2013-09-25,44.01,47.14,44.0,45.05,17165136
2013-09-26,44.65,45.07,42.45,43.0,14680801
2013-09-27,43.0,44.3,42.67,43.0,8561465
2013-09-30,42.99,43.8,42.88,43.24,7668272
2013-10-08,43.0,45.21,42.9,44.99,11112977
2013-10-09,44.65,45.54,44.0,44.68,8305418
2013-10-10,44.5,46.36,44.14,45.71,15625661
2013-10-11,46.0,46.05,45.25,45.53,7969766
2013-10-14,45.52,46.33,44.6,46.0,9646785
2013-10-15,46.0,46.0,44.85,45.15,9241988
2013-10-16,44.76,45.88,43.7,44.67,8918362
2013-10-17,44.68,45.1,44.22,44.61,5552669
2013-10-18,44.52,46.8,44.3,46.01,10420989
2013-10-21,46.2,48.1,45.68,47.85,13565868
2013-10-22,47.4,48.31,46.88,47.42,8214741
2013-10-23,47.47,48.43,45.9,46.09,8729030
2013-10-24,46.0,49.6,45.84,47.5,12218451
2013-10-25,47.43,48.85,47.11,47.7,10233626
2013-10-28,47.97,49.5,47.5,49.47,10446741
2013-10-29,49.1,49.68,48.01,48.93,9652552
2013-10-30,49.01,50.66,48.65,50.17,12128524
2013-10-31,50.68,50.8,47.93,48.4,10073288
2013-11-01,47.79,48.79,47.33,47.76,7205717
2013-11-04,47.6,48.5,47.6,47.99,4962214
2013-11-05,47.52,48.41,47.08,48.19,5475095
2013-11-06,47.98,48.23,46.21,46.75,6025131
2013-11-07,46.52,46.93,45.16,46.22,6205677
2013-11-08,45.8,46.2,45.33,45.66,3341133
2013-11-11,45.69,46.0,44.61,45.78,3580989
2013-11-12,45.88,47.02,45.5,46.35,6472993
2013-11-13,45.86,46.34,45.5,45.5,3048409
2013-11-14,45.55,46.32,44.67,46.0,5436007
2013-11-15,45.87,47.06,45.61,46.2,6421521
2013-11-18,46.35,47.08,46.1,46.89,4983041
2013-11-19,46.88,47.5,46.51,46.97,5316174
2013-11-20,47.48,47.48,46.41,46.68,4172673
2013-11-21,46.7,46.7,45.05,45.71,6602904
2013-11-22,45.85,46.85,45.66,46.58,4428863
2013-11-25,45.83,46.31,45.58,45.96,6320252
2013-11-26,45.91,47.2,45.7,47.19,7858305
2013-11-27,47.2,47.29,46.25,46.59,5417393
2013-11-28,46.6,47.97,46.6,47.67,7237994
2013-11-29,47.52,48.0,47.28,47.91,5125945
2013-12-02,47.02,47.19,46.03,46.13,6513376
2013-12-03,46.0,47.09,46.0,47.02,5606801
2013-12-04,47.0,48.4,46.8,47.94,5726006
2013-12-05,48.06,48.88,47.89,48.54,5473742
2013-12-06,48.59,48.63,47.73,48.4,3844333
2013-12-09,48.45,48.97,47.95,48.49,4707669
2013-12-10,48.8,50.47,48.8,49.68,10813891
2013-12-11,49.45,50.0,47.84,48.38,6295245
2013-12-12,48.2,49.49,47.68,49.31,4568478
2013-12-13,48.51,50.9,48.42,50.15,10987469
2013-12-16,50.14,51.5,49.8,49.91,9577462
2013-12-17,49.96,50.1,48.92,49.0,6405805
2013-12-18,48.98,50.5,48.5,50.49,6406127
2013-12-19,50.75,51.38,49.89,49.89,6346406
2013-12-20,49.6,52.0,49.41,51.78,20368232
2013-12-23,51.2,51.7,50.01,50.35,7054117
2013-12-24,50.8,51.17,49.77,50.81,6575973
