date,open,high,low,close,volume
2010-06-08,15.56,18.68,15.56,18.2,27267732
2010-06-09,17.0,19.31,16.38,18.38,22150872
2010-06-10,17.39,18.2,17.21,17.47,12865527
2010-06-11,17.55,18.98,17.55,18.57,16376643
2010-06-17,18.7,18.7,17.0,17.13,10648671
2010-06-18,16.8,16.82,15.42,15.45,7638135
2010-06-21,15.35,16.12,14.82,16.05,4807892
2010-06-22,15.84,16.11,15.67,15.74,3296319
2010-06-23,15.61,15.95,15.33,15.9,2880534
2010-06-24,15.88,16.0,15.61,15.7,2546205
2010-06-25,15.63,15.63,14.92,15.13,3059053
2010-06-28,15.16,15.25,14.95,14.97,1940258
2010-06-30,13.71,14.2,13.53,14.07,3430086
2010-07-01,13.9,14.06,13.25,13.27,3169803
2010-07-02,13.15,13.29,12.28,12.9,3319472
2010-07-05,12.62,13.06,12.5,12.91,2029802
2010-07-06,12.87,13.4,12.74,13.23,2511170
2010-07-07,13.24,13.35,12.92,13.16,2118311
2010-07-08,13.2,13.55,13.15,13.39,3734233
2010-07-09,13.3,13.77,13.1,13.61,3678432
2010-07-12,13.61,13.75,13.49,13.57,2848432
2010-07-13,13.49,13.55,13.15,13.32,2104258
2010-07-14,13.36,13.58,13.31,13.43,1694040
2010-07-15,13.46,13.46,12.8,12.82,1916908
2010-07-16,12.68,12.95,12.52,12.87,1637109
2010-07-19,12.7,13.33,12.63,13.3,2112592
2010-07-20,13.44,13.78,13.4,13.71,3864904
2010-07-21,13.72,13.89,13.6,13.63,3112519
2010-07-22,13.53,14.7,13.53,14.47,5668595
2010-07-23,14.33,14.45,14.05,14.24,3382770
2010-07-26,14.15,14.38,14.13,14.3,2414077
2010-07-27,14.3,14.68,14.18,14.2,2926035
2010-07-28,14.2,14.47,14.0,14.45,2824926
2010-07-29,14.5,14.92,14.34,14.83,4917767
2010-07-30,14.87,14.87,14.5,14.67,3016343
2010-08-02,14.63,15.14,14.63,15.05,3591261
2010-08-03,15.04,15.11,14.78,14.78,3428260
2010-08-04,14.7,15.02,14.66,14.99,3029528
2010-08-05,15.01,15.09,14.83,14.87,3367340
2010-08-06,14.87,15.13,14.66,15.13,2908770
2010-08-09,15.15,15.49,15.13,15.43,3311394
2010-08-10,15.51,15.55,14.66,14.66,4026292
2010-08-11,14.58,14.97,14.58,14.94,1901461
2010-08-12,14.88,15.1,14.73,14.82,2286570
2010-08-13,14.82,15.14,14.68,15.12,1992602
2010-08-16,15.1,15.53,15.1,15.46,2937468
2010-08-17,15.5,15.72,15.37,15.49,2790753
2010-08-18,15.49,16.25,15.41,16.03,4672940
2010-08-19,16.04,16.05,15.65,15.81,3265679
2010-08-20,15.68,15.84,15.05,15.15,3123116
2010-08-23,15.22,15.38,15.0,15.11,2165164
2010-08-24,15.11,15.3,14.95,15.29,1896592
2010-08-25,15.29,15.29,14.7,14.75,1994792
2010-08-26,14.76,15.01,14.7,14.95,1363918
2010-08-27,14.9,15.49,14.9,15.48,2872655
2010-08-30,15.6,15.85,15.5,15.79,3093045
2010-08-31,15.76,15.76,15.4,15.66,2967611
2010-09-01,15.66,15.77,15.06,15.19,3009448
2010-09-02,15.32,15.75,15.12,15.62,3555700
2010-09-03,15.57,15.97,15.48,15.72,3814518
2010-09-06,15.75,15.86,15.34,15.45,2354141
2010-09-07,15.48,16.17,15.38,16.15,4720192
2010-09-08,15.9,16.1,15.71,15.88,6887643
2010-09-09,15.99,16.0,15.33,15.43,4834489
2010-09-10,15.41,15.47,14.86,15.29,2914358
2010-09-13,15.29,15.47,15.18,15.43,2055974
2010-09-14,15.45,15.48,15.2,15.27,2266168
2010-09-15,15.27,15.27,14.78,14.85,2488477
2010-09-16,14.85,14.99,14.33,14.5,1413456
2010-09-17,14.51,14.64,14.45,14.47,845858
2010-09-20,14.46,14.59,14.08,14.08,1031325
2010-09-21,14.12,14.28,13.85,13.98,1025126
2010-09-27,14.15,14.38,14.02,14.35,942360
2010-09-28,14.35,14.39,13.96,13.99,1515623
2010-09-29,13.98,14.07,13.6,13.62,1239615
2010-09-30,13.62,13.91,13.62,13.86,808185
2010-10-08,14.03,14.43,14.03,14.34,1941299
2010-10-11,14.34,14.64,14.24,14.55,2177852
2010-10-12,14.56,14.65,14.43,14.54,2318260
2010-10-13,14.57,14.85,14.41,14.7,2237188
2010-10-14,14.66,14.75,14.15,14.16,2036961
2010-10-15,14.16,14.25,13.95,14.0,1617062
2010-10-18,13.99,13.99,13.4,13.71,1756595
2010-10-19,13.71,14.33,13.6,14.27,1797249
2010-10-20,14.01,14.45,14.0,14.31,1750573
2010-10-21,14.38,14.45,14.18,14.45,1568957
2010-10-22,14.4,14.56,14.31,14.5,1572937
2010-10-25,14.58,14.84,14.47,14.81,2765747
2010-10-26,14.89,14.97,14.52,14.73,2426036
2010-10-27,14.65,14.95,14.61,14.79,2466264
2010-10-28,15.0,16.19,14.99,15.64,8885472
2010-10-29,15.65,15.69,15.25,15.5,3958184
2010-11-01,15.52,15.88,15.37,15.76,4022158
2010-11-02,15.76,15.88,15.28,15.28,3658694
2010-11-03,15.2,15.25,14.86,14.86,2303445
2010-11-04,14.81,15.1,14.71,15.08,1725408
2010-11-05,15.15,15.47,15.02,15.34,2379885
2010-11-08,15.34,15.65,15.26,15.61,2613975
2010-11-09,15.67,15.74,15.4,15.6,2308117
2010-11-10,15.59,15.94,15.48,15.89,3794144
2010-11-11,15.9,16.63,15.76,16.12,7713240
2010-11-12,16.1,16.48,15.64,16.16,8806784
