date,open,high,low,close,volume
1997-05-26,14.01,15.88,13.5,15.8,124588500
1997-05-27,15.59,16.86,15.2,16.12,73474600
1997-05-28,15.9,16.8,15.8,16.34,39024900
1997-05-29,16.45,17.7,16.3,17.18,38034900
1997-05-30,17.33,17.79,16.9,17.76,26836000
1997-06-02,18.3,19.54,18.3,19.54,29030800
1997-06-03,20.3,21.49,20.0,21.15,45203700
1997-06-04,21.15,21.48,20.05,20.85,25745100
1997-06-05,20.8,22.9,20.5,22.66,28993800
1997-06-06,20.51,22.0,20.39,20.39,44368400
1997-06-09,20.8,21.16,19.63,20.17,13888700
1997-06-10,20.3,20.68,19.38,19.5,10050900
1997-06-11,19.5,19.5,17.72,19.1,15430300
1997-06-12,19.0,19.57,18.53,18.8,8462300
1997-06-13,18.22,19.98,18.18,19.89,13037200
1997-06-16,20.1,20.45,19.7,19.78,11387900
1997-06-17,19.65,19.8,19.3,19.41,5172300
1997-06-18,19.41,19.85,19.18,19.28,3991200
1997-06-19,19.35,19.68,19.01,19.18,3460900
1997-06-20,19.5,20.39,19.45,20.19,7511000
1997-06-23,20.55,21.0,19.6,19.9,9077700
1997-06-24,20.01,20.18,19.7,20.04,4714900
1997-06-25,20.11,21.2,19.88,20.88,13098100
1997-06-26,21.0,21.0,20.35,20.4,5447700
1997-06-27,20.4,20.58,19.4,19.64,8808100
1997-07-02,19.07,19.75,17.68,18.6,6419200
1997-07-03,18.3,18.5,17.8,17.89,4745600
1997-07-04,17.68,18.1,17.3,17.9,3850000
1997-07-07,17.88,17.9,16.11,16.11,4633200
1997-07-08,16.0,16.5,15.01,16.06,4944900
1997-07-09,16.06,17.0,16.06,16.81,4398000
1997-07-10,16.89,17.1,16.5,16.51,2916200
1997-07-11,16.4,17.25,16.18,17.15,3224000
1997-07-14,17.15,17.5,16.8,17.08,3750800
1997-07-15,17.08,17.14,16.28,16.72,4496200
1997-07-16,16.7,17.31,16.35,16.9,3549500
1997-07-17,16.81,17.15,16.48,16.7,2299000
1997-07-18,16.7,16.82,16.48,16.68,2514800
1997-07-21,16.68,16.74,16.02,16.12,3392000
1997-07-22,16.01,16.5,15.61,16.32,2352600
1997-07-23,16.3,16.65,15.99,16.0,2030200
1997-07-24,15.96,16.21,15.75,15.83,1675500
1997-07-25,15.7,16.4,15.7,16.1,1675500
1997-07-28,15.75,15.9,15.0,15.15,1449700
1997-07-29,15.1,15.47,14.88,15.19,1589000
1997-07-30,15.3,15.69,15.25,15.49,1126500
1997-07-31,15.6,15.88,15.52,15.6,1173300
1997-08-01,15.65,16.3,15.65,16.05,1626000
1997-08-04,16.1,16.25,15.78,16.02,1380300
1997-08-05,16.02,16.09,15.75,15.81,1044800
1997-08-06,15.8,15.81,15.38,15.4,982900
1997-08-07,15.3,16.31,15.15,16.31,1058700
1997-08-08,16.16,16.16,15.35,15.63,1294600
1997-08-11,15.65,15.75,15.3,15.3,1126700
1997-08-12,15.3,15.5,15.01,15.04,1096400
1997-08-13,15.05,15.2,14.7,14.7,1539500
1997-08-14,14.73,15.25,14.73,15.18,1188100
1997-08-15,15.21,15.3,14.5,14.68,1194000
1997-08-18,14.58,14.58,13.96,14.15,1470500
1997-08-19,15.28,15.57,14.7,15.08,2395000
1997-08-20,15.08,15.32,14.9,15.24,1231200
1997-08-21,15.35,15.4,15.09,15.25,1404000
1997-08-22,15.28,15.85,15.11,15.6,2044100
1997-08-25,15.8,16.19,15.71,16.01,2382300
1997-08-26,16.05,16.17,15.8,15.88,2260700
1997-08-27,15.92,15.96,15.68,15.81,1298600
1997-08-28,15.9,16.34,15.85,16.0,1924700
1997-08-29,16.0,16.15,15.82,16.05,1519200
1997-09-01,15.9,16.95,15.9,16.79,4863800
1997-09-02,16.79,17.09,16.5,16.61,3149300
1997-09-03,16.61,16.79,16.42,16.66,1671400
1997-09-04,16.88,17.18,16.71,16.96,2949400
1997-09-05,16.93,17.08,16.68,16.72,1420500
1997-09-08,16.7,16.88,16.31,16.88,1503400
1997-09-09,16.8,16.81,16.2,16.25,914000
1997-09-10,16.2,16.38,16.0,16.32,1083000
1997-09-11,16.32,16.7,16.2,16.3,1395900
1997-09-12,16.25,16.3,15.9,15.96,1134700
1997-09-15,15.9,15.9,15.34,15.42,1256100
1997-09-16,15.42,15.85,15.42,15.7,875100
1997-09-17,15.6,15.75,15.3,15.35,470100
1997-09-18,15.38,15.68,15.35,15.48,547100
1997-09-19,15.6,16.1,15.55,15.88,889200
1997-09-22,15.8,15.83,14.9,14.95,1023000
1997-09-23,14.9,15.26,14.1,14.28,1635400
1997-09-24,14.89,15.5,14.51,15.38,2600800
1997-09-25,15.47,15.8,15.28,15.38,1506900
1997-09-26,15.38,15.5,14.95,15.2,821600
1997-09-29,15.38,15.38,14.76,14.86,814200
1997-09-30,14.98,15.18,14.88,14.98,790900
1997-10-06,15.46,16.2,15.22,15.84,2960600
1997-10-07,15.75,16.1,15.55,15.79,1257100
1997-10-08,16.08,16.15,15.8,15.95,1909900
1997-10-09,16.0,16.13,15.8,15.9,900400
1997-10-10,16.01,16.55,15.98,16.22,2130000
1997-10-13,16.3,16.48,15.95,16.0,999600
1997-10-14,16.05,16.05,15.7,15.89,781800
1997-10-15,16.39,16.4,16.03,16.16,1125100
1997-10-16,16.3,17.0,16.2,16.66,3343600
1997-10-17,16.72,17.3,16.72,17.06,5639500
1997-10-20,17.3,17.88,17.01,17.54,5799600
1997-10-21,17.54,17.6,17.25,17.49,2962700
1997-10-22,17.6,18.4,17.45,17.76,7863500
1997-10-23,17.75,18.3,17.5,18.05,5501600
1997-10-24,18.05,18.98,18.05,18.84,7789000
1997-10-27,19.5,20.0,19.02,19.47,8857600
1997-10-28,19.46,19.47,17.95,18.05,7722100
1997-10-29,17.82,18.3,17.6,18.19,5097200
1997-10-30,18.4,18.84,17.95,18.0,4893300
1997-10-31,17.7,18.5,17.62,18.4,3447400
1997-11-03,18.6,18.7,18.1,18.25,2104300
1997-11-04,18.25,18.49,17.9,18.08,2004100
1997-11-05,18.1,18.85,18.08,18.38,3274300
