date,open,high,low,close,volume
2012-05-03,14.46,14.68,13.5,14.5,112448744
2012-05-04,15.02,15.87,14.69,14.77,117091680
2012-05-07,14.64,15.44,14.6,15.26,70889968
2012-05-08,15.19,15.23,14.63,14.86,43629200
2012-05-09,14.6,14.85,14.2,14.53,32286624
2012-05-10,14.46,15.88,14.29,15.23,60859572
2012-05-11,15.1,15.64,14.91,15.24,49059472
2012-05-14,15.45,16.67,14.92,15.69,62747096
2012-05-15,15.49,17.18,15.41,16.92,61722928
2012-05-16,16.75,17.56,16.65,16.67,56771404
2012-05-17,17.0,18.34,16.81,18.34,55780880
2012-05-18,18.0,19.15,17.91,19.12,56066116
2012-05-21,18.5,18.87,17.4,17.58,52033048
2012-05-22,17.6,18.28,17.6,17.91,32736992
2012-05-23,17.84,19.47,17.72,19.26,46364392
2012-05-24,18.99,19.44,18.58,18.95,38591040
2012-05-25,18.95,19.29,18.31,18.57,36076304
2012-05-28,18.21,18.38,16.98,17.92,36678036
2012-05-29,17.71,19.15,17.61,18.47,40507760
2012-05-30,18.49,18.79,18.21,18.36,24043548
2012-05-31,18.08,19.05,18.02,18.51,34921216
2012-06-01,18.78,18.93,18.28,18.4,25280300
2012-06-04,17.75,18.54,17.62,17.78,23970048
2012-06-05,17.98,18.09,16.86,17.23,22605120
2012-06-06,17.31,17.4,16.43,16.66,23236328
2012-06-07,16.98,17.18,16.62,16.68,20562974
2012-06-08,16.95,17.61,16.75,17.02,31785402
2012-06-11,17.05,17.36,16.45,17.31,19380044
2012-06-12,17.03,17.31,16.72,16.8,16090778
2012-06-13,17.0,18.48,16.91,18.41,59866732
2012-06-14,18.15,18.35,17.88,18.03,32541192
2012-06-15,18.28,18.55,17.88,18.39,35787896
2012-06-18,18.6,18.77,18.22,18.31,24843988
2012-06-19,18.18,18.29,17.65,17.81,19288914
2012-06-20,17.97,18.55,17.65,18.14,24731796
2012-06-21,17.91,17.98,17.55,17.62,15910718
2012-06-25,17.31,17.33,16.5,16.6,17229656
2012-06-26,16.4,17.06,16.3,16.8,16531050
2012-06-27,16.71,16.94,16.32,16.33,14347804
2012-06-29,15.91,16.91,15.75,16.8,19004680
2012-07-02,16.8,16.99,16.56,16.83,16261179
2012-07-03,16.89,17.2,16.65,16.79,14971560
2012-07-04,16.78,16.94,16.34,16.62,13422649
2012-07-05,16.39,16.4,15.81,15.87,16825414
2012-07-06,16.03,16.82,15.86,16.63,17968772
2012-07-09,16.5,16.59,15.75,15.85,14841168
2012-07-10,15.95,16.0,15.7,15.8,9570234
2012-07-11,15.82,16.35,15.78,16.11,12431559
2012-07-12,16.02,16.85,15.31,16.55,25155672
2012-07-13,16.2,16.52,15.9,16.02,17671886
2012-07-16,15.93,15.93,15.05,15.16,15551186
2012-07-17,15.01,15.86,14.95,15.32,19214768
2012-07-18,15.09,15.58,14.67,15.39,20727184
2012-07-19,15.19,16.4,15.11,15.77,34822168
2012-07-20,15.55,15.93,15.32,15.36,18451470
2012-07-23,15.11,15.45,14.8,15.2,11292840
2012-07-24,15.01,15.86,14.98,15.47,16800998
2012-07-25,15.33,15.5,15.16,15.2,10781789
2012-07-26,15.19,15.8,15.16,15.33,16737971
2012-07-27,15.45,15.49,15.0,15.08,13854576
2012-07-30,15.0,15.15,14.38,14.47,14723173
2012-07-31,14.18,14.34,13.61,13.66,18448936
2012-08-01,13.55,14.05,13.3,13.77,18412364
2012-08-02,13.5,13.66,13.0,13.1,17995878
2012-08-03,13.21,13.84,12.94,13.82,58596352
2012-08-06,13.56,14.3,13.52,14.12,46470656
2012-08-07,14.02,14.17,13.84,13.98,29289724
2012-08-08,14.15,14.45,14.06,14.07,29914706
2012-08-09,13.95,14.38,13.75,14.3,28346616
2012-08-10,14.21,14.29,13.98,14.07,16113988
2012-08-13,13.92,13.99,13.2,13.3,23277900
2012-08-14,13.26,13.39,12.9,13.35,20313180
2012-08-15,13.2,13.35,13.04,13.04,11937116
2012-08-16,13.01,13.26,13.0,13.09,13048075
2012-08-17,13.0,13.14,12.85,13.11,11428177
2012-08-20,12.93,13.29,12.74,13.17,12373949
2012-08-21,13.21,13.59,13.13,13.31,19628904
2012-08-22,13.31,13.44,13.15,13.18,12653581
2012-08-23,13.4,13.64,13.22,13.35,16850000
2012-08-24,13.24,13.55,13.17,13.21,12870506
2012-08-27,13.0,13.0,12.2,12.23,18024672
2012-08-28,12.27,12.87,12.2,12.52,18655152
2012-08-29,12.4,12.51,12.27,12.29,11698739
2012-08-30,12.25,13.44,12.22,13.01,35696044
2012-08-31,12.82,13.06,12.67,12.93,19108006
2012-09-03,12.8,13.55,12.76,13.29,27935276
2012-09-04,13.21,13.36,13.03,13.06,17207992
2012-09-05,13.01,13.59,13.0,13.25,20980028
2012-09-06,13.27,13.49,13.1,13.41,15865510
2012-09-07,13.65,14.72,13.55,14.5,48362160
2012-09-10,14.31,14.74,14.28,14.42,33734100
2012-09-11,14.25,14.35,14.04,14.3,20249942
2012-09-12,14.5,14.58,14.1,14.28,15344363
2012-09-13,14.26,14.45,13.8,13.8,15232262
2012-09-14,14.0,14.33,13.8,14.02,20136300
2012-09-17,13.95,14.03,13.49,13.5,14330693
2012-09-18,13.4,13.62,13.25,13.31,8753045
2012-09-19,13.39,13.64,13.37,13.53,13668084
2012-09-20,13.4,13.42,13.01,13.02,12993821
2012-09-21,12.94,13.25,12.61,12.85,14392148
2012-09-24,12.63,13.29,12.55,12.99,13290036
2012-09-25,12.9,13.28,12.85,13.01,13224004
2012-09-26,13.18,13.58,12.83,12.87,15259878
2012-09-27,12.78,14.16,12.73,13.99,53136580
2012-09-28,13.6,14.28,13.53,14.15,43552260
2012-10-08,14.06,14.17,13.79,13.87,20459952
2012-10-09,13.96,15.26,13.95,14.76,51392556
2012-10-10,14.6,14.88,14.5,14.79,25212984
2012-10-11,14.67,15.2,14.45,14.47,30267408
2012-10-12,14.6,14.89,14.18,14.6,22812740
2012-10-15,14.66,14.95,14.43,14.81,22811748
2012-10-16,14.81,14.91,14.5,14.55,19369008
2012-10-17,14.71,15.18,14.35,14.76,28624332
2012-10-18,14.8,15.46,14.63,15.2,36973252
2012-10-19,15.17,15.29,14.93,15.11,20495696
2012-10-22,14.97,15.12,14.82,15.0,22537868
2012-10-23,14.93,14.99,14.17,14.23,36688912
2012-10-24,14.14,14.31,13.85,14.01,18254772
2012-10-25,13.95,14.1,13.63,13.87,16989848
2012-10-26,13.88,13.94,13.6,13.75,14775186
2012-10-29,13.75,13.83,13.58,13.7,9214929
2012-10-30,13.76,14.14,13.68,13.84,14981683
2012-10-31,13.83,14.01,13.71,13.98,11585178
2012-11-01,14.2,14.97,14.14,14.53,37098736
2012-11-02,14.53,14.69,14.35,14.62,20570556
2012-11-05,14.48,14.64,14.28,14.53,12768242
2012-11-06,14.51,15.13,14.1,14.82,29624184
2012-11-07,14.58,14.67,14.31,14.34,18322628
2012-11-08,14.08,14.22,13.69,13.73,15903195
2012-11-09,13.5,13.7,13.48,13.57,10921452
2012-11-12,13.61,13.72,13.37,13.65,11095809
2012-11-13,13.63,13.65,13.04,13.07,11213428
2012-11-14,13.1,13.28,12.92,13.2,10029282
2012-11-15,13.08,13.24,12.86,12.88,8965172
2012-11-16,12.88,13.21,12.86,13.07,11280492
2012-11-19,13.12,13.38,13.0,13.33,13853247
2012-11-20,13.35,13.38,13.07,13.07,8828930
2012-11-21,13.11,13.63,13.07,13.5,16038747
2012-11-22,13.38,13.42,13.19,13.28,9154724
2012-11-23,13.33,13.45,13.2,13.27,9028030
2012-11-26,13.18,13.19,12.87,12.87,8918375
2012-11-27,12.86,13.05,12.51,12.54,10417792
2012-11-28,12.41,12.61,12.33,12.52,8149676
2012-11-29,12.52,12.65,11.27,11.27,20419792
2012-11-30,11.27,11.27,10.5,11.02,17807852
2012-12-03,10.91,11.1,10.36,10.42,12617631
2012-12-04,10.39,10.98,10.35,10.89,15784495
2012-12-05,10.81,11.98,10.75,11.68,37297196
2012-12-06,11.6,11.67,11.41,11.48,19833512
2012-12-07,11.5,11.95,11.45,11.83,22573212
2012-12-10,11.83,12.08,11.75,12.0,19800136
2012-12-11,11.59,11.61,11.39,11.44,12475987
2012-12-12,11.41,11.64,11.26,11.57,13953639
2012-12-13,11.45,11.48,11.25,11.26,9224477
2012-12-14,11.23,12.33,11.21,12.21,31537220
2012-12-17,12.23,12.75,12.07,12.43,29426620
2012-12-18,12.3,13.15,12.19,12.61,32766590
2012-12-19,12.45,12.92,12.41,12.56,17255350
2012-12-20,12.45,13.46,12.31,13.18,32835018
2012-12-21,13.05,13.32,12.85,12.98,26721620
2012-12-24,12.92,13.75,12.9,13.33,23620680
2012-12-25,13.21,14.66,13.05,14.45,55034800
2012-12-26,14.3,14.55,14.14,14.45,27161992
2012-12-27,14.45,14.67,14.01,14.09,30144180
2012-12-28,14.34,14.8,14.1,14.71,36547620
2012-12-31,14.87,14.99,14.5,14.65,27963100
2013-01-04,14.81,14.94,14.08,14.3,27354160
2013-01-07,14.17,14.44,14.02,14.29,16697024
2013-01-08,14.21,14.28,13.92,14.17,17778592
2013-01-09,14.1,14.56,13.85,14.19,19492608
2013-01-10,14.18,14.5,13.93,14.09,23798712
2013-01-11,14.01,14.09,13.47,13.55,21461796
2013-01-14,13.42,14.34,13.4,14.25,29383608
2013-01-15,14.23,14.44,14.11,14.36,22629764
