date,open,high,low,close,volume
2017-01-19,22.87,27.45,22.87,27.45,23300
2017-01-20,30.2,30.2,30.2,30.2,8126
2017-01-23,33.22,33.22,33.22,33.22,6958
2017-01-24,36.54,36.54,36.54,36.54,9848
2017-01-25,40.19,40.19,40.19,40.19,47436
2017-01-26,44.21,44.21,44.21,44.21,75977
2017-02-03,48.63,48.63,48.63,48.63,95418
2017-02-06,53.49,53.49,53.49,53.49,174535
2017-02-07,58.84,58.84,58.84,58.84,161433
2017-02-08,64.72,64.72,58.9,64.72,26026191
2017-02-09,63.6,71.08,63.6,68.01,20148940
2017-02-10,68.8,73.44,66.66,72.08,15532378
2017-02-13,71.19,75.58,69.1,74.11,12463777
2017-02-14,73.0,74.25,70.93,71.87,9300844
2017-02-15,71.45,74.92,69.88,69.95,10992578
2017-02-16,68.81,73.95,68.81,71.7,10647846
2017-02-17,71.3,71.77,65.0,66.39,11208094
2017-02-20,66.5,66.9,62.98,65.0,7208507
2017-02-21,65.0,68.5,64.6,66.8,6313310
2017-02-22,66.63,73.48,65.8,73.48,10393177
2017-02-23,76.0,80.1,75.25,78.01,13577298
2017-02-24,76.87,78.88,76.0,76.8,7472218
2017-02-27,77.18,81.04,76.48,79.2,8114115
2017-02-28,82.0,87.12,80.12,87.12,6682813
2017-03-01,90.0,92.2,84.1,84.49,9390437
2017-03-02,84.5,91.88,83.41,88.03,8389706
2017-03-03,86.71,96.0,86.03,93.3,8005944
2017-03-06,93.5,94.4,90.12,93.42,5481669
2017-03-07,92.77,96.7,91.15,93.3,5960077
2017-03-08,93.0,94.34,89.13,89.33,5981340
2017-03-09,88.37,91.73,87.73,90.1,4484682
2017-03-10,89.0,91.59,88.58,90.05,3282592
2017-03-13,89.08,98.95,89.0,97.0,6899547
2017-03-14,96.0,96.8,93.68,94.25,4920649
2017-03-15,93.68,99.31,93.18,95.16,5712481
2017-03-16,94.6,97.79,94.6,95.75,4668830
2017-03-17,95.79,97.37,89.51,90.0,7721850
2017-03-20,90.07,94.35,90.04,93.03,4479624
2017-03-21,92.17,93.44,90.63,93.11,3176294
2017-03-22,91.7,101.6,91.5,98.12,6561879
2017-03-23,98.32,98.5,93.5,95.78,4436598
2017-03-24,96.1,97.75,95.3,95.98,3101367
2017-03-27,96.99,98.98,94.0,97.9,4079564
2017-03-28,97.87,103.59,97.87,99.28,6198470
2017-03-29,97.88,105.0,94.91,101.5,5634483
2017-03-30,100.35,104.43,99.0,101.5,4088826
2017-03-31,96.0,99.97,91.5,95.8,5876404
2017-04-05,97.0,97.98,92.5,95.15,2824762
2017-04-06,94.5,94.98,90.5,91.09,4990979
2017-04-07,91.47,92.75,87.5,87.5,5116434
2017-04-10,86.01,88.97,84.31,87.2,3705279
2017-04-11,86.5,88.28,83.05,86.69,3617574
2017-04-12,86.0,87.32,82.7,82.9,2937620
2017-04-13,82.9,86.95,82.9,85.41,2654499
2017-04-14,84.8,84.95,83.65,84.58,1205822
2017-04-17,83.02,86.6,82.51,84.76,1555754
2017-04-18,84.5,86.2,83.51,83.96,1322652
2017-04-19,83.31,86.65,83.03,86.65,2297355
2017-04-20,87.0,87.56,85.2,87.22,1951534
2017-04-21,86.88,88.36,85.6,86.15,1674540
2017-04-24,85.03,85.36,77.54,80.79,3202729
2017-04-25,78.18,78.98,72.71,74.45,7317054
2017-04-26,73.1,74.33,71.07,72.07,2680426
2017-04-27,72.63,74.48,71.6,74.08,2172048
2017-04-28,73.8,74.77,72.27,72.79,1585018
2017-05-02,72.02,72.75,69.1,69.78,2091733
2017-05-03,69.74,71.49,68.2,71.25,2191242
2017-05-04,70.9,71.36,69.52,69.77,1528760
2017-05-05,69.7,70.39,68.5,68.5,1187362
2017-05-08,67.5,69.48,67.48,67.48,1352530
2017-05-09,67.8,69.06,66.9,68.67,1171878
