date,open,high,low,close,volume
1996-08-19,13.16,13.5,12.8,12.9,8152300
1996-08-20,12.55,13.1,12.35,12.58,1477800
1996-08-21,12.68,12.9,12.58,12.68,839500
1996-08-22,13.01,13.09,12.46,12.69,938600
1996-08-23,12.81,12.81,12.05,12.6,905900
1996-08-26,12.41,12.41,11.6,11.63,621800
1996-08-27,11.52,12.1,11.52,12.0,437000
1996-08-28,11.96,12.9,11.82,12.66,769600
1996-08-29,12.95,12.95,12.45,12.76,462500
1996-08-30,12.8,13.45,12.75,13.39,1555100
1996-09-02,13.5,14.38,13.42,14.19,3451100
1996-09-03,14.2,14.99,14.2,14.8,2816400
1996-09-04,14.9,15.1,14.52,14.7,2111200
1996-09-05,14.85,15.1,14.51,14.56,1394700
1996-09-06,14.65,14.76,14.33,14.48,678700
1996-09-09,14.6,15.42,14.58,15.11,2786400
1996-09-10,15.0,15.1,13.58,13.66,2217000
1996-09-11,13.64,13.98,13.02,13.35,693400
1996-09-12,13.39,13.57,12.75,12.9,740000
1996-09-13,12.5,13.28,12.5,13.25,562700
1996-09-16,13.25,13.49,12.95,13.21,637200
1996-09-17,13.26,13.48,13.13,13.18,481900
1996-09-18,13.22,13.38,12.85,12.96,548200
1996-09-19,12.85,13.0,12.75,12.85,153900
1996-09-20,13.0,13.95,13.0,13.93,951700
1996-09-23,14.05,14.65,14.05,14.41,1439900
1996-09-24,14.8,14.86,14.4,14.5,1199100
1996-09-25,14.8,15.0,14.33,14.48,757200
1996-09-26,14.48,15.06,14.45,14.89,1783800
1996-09-27,15.01,15.32,14.6,14.75,1291300
1996-10-03,15.01,15.1,14.0,14.18,878600
1996-10-04,14.2,14.45,14.18,14.3,376200
1996-10-07,14.3,14.46,14.2,14.38,524800
1996-10-08,14.41,14.65,14.41,14.51,328300
1996-10-09,14.52,14.6,14.02,14.09,339400
1996-10-10,14.04,14.45,14.04,14.18,437600
1996-10-11,14.21,14.49,14.15,14.2,627300
1996-10-14,14.2,14.71,14.0,14.49,698900
1996-10-15,14.3,14.58,14.3,14.44,345500
1996-10-16,14.45,15.35,14.38,15.23,1732000
1996-10-17,15.2,15.75,14.81,14.89,1649400
1996-10-18,15.01,15.49,14.5,14.5,842800
1996-10-21,14.61,14.96,14.52,14.68,482600
1996-10-22,14.62,14.92,14.4,14.5,451400
1996-10-23,14.5,15.5,14.45,14.91,876900
1996-10-24,15.09,15.3,14.8,14.85,604900
1996-10-25,15.05,15.5,15.05,15.22,972400
1996-10-28,15.3,16.58,15.01,16.1,1681000
1996-10-29,16.5,16.5,15.55,15.6,903700
1996-10-30,15.55,15.67,14.5,14.6,643200
1996-10-31,14.8,15.28,14.5,14.99,645200
1996-11-01,14.5,14.8,14.05,14.44,535300
1996-11-04,14.55,14.7,14.2,14.6,288700
1996-11-05,14.6,14.89,14.3,14.44,336400
1996-11-06,14.44,14.44,14.11,14.34,231400
1996-11-07,14.33,14.78,14.33,14.7,264300
1996-11-08,14.6,14.75,14.45,14.53,242000
1996-11-11,14.59,15.0,14.58,14.96,518400
1996-11-12,15.12,15.15,14.5,14.74,255600
1996-11-13,14.74,14.86,14.55,14.6,233400
1996-11-14,14.7,14.85,14.55,14.6,231700
1996-11-15,14.6,14.7,14.3,14.52,372400
1996-11-18,14.52,14.98,14.4,14.98,447900
1996-11-19,15.12,15.35,14.9,15.0,509100
1996-11-20,15.0,15.8,14.85,15.4,788100
1996-11-21,15.59,15.64,14.28,14.3,622900
1996-11-22,14.1,14.48,14.02,14.45,431000
1996-11-25,14.45,14.6,14.11,14.6,319800
1996-11-26,14.52,14.75,14.33,14.52,230000
1996-11-27,14.68,15.05,14.5,14.9,383000
1996-11-28,14.9,15.12,14.16,15.06,617700
