date,open,high,low,close,volume
2010-09-08,24.98,29.9,24.4,27.8,68265456
2010-09-09,26.49,27.65,25.1,25.33,37045752
2010-09-10,25.88,26.63,25.51,25.78,24192748
2010-09-13,24.68,24.96,23.31,23.88,18914520
2010-09-14,23.85,24.36,23.3,23.6,12389120
2010-09-15,23.36,23.45,21.5,21.93,15765395
2010-09-16,22.1,23.04,22.1,22.59,10933820
2010-09-17,22.58,22.58,21.47,21.54,7581458
2010-09-20,21.3,21.68,20.5,20.58,7463056
2010-09-21,20.6,20.69,19.51,19.71,7754931
2010-09-27,19.71,20.39,19.71,19.98,5225986
2010-09-28,19.98,19.98,19.3,19.34,6332488
2010-09-29,19.28,19.28,18.39,19.09,7745947
2010-09-30,19.1,19.7,18.82,19.68,5927218
2010-10-08,20.13,20.23,19.71,19.93,5686328
2010-10-11,19.95,21.75,19.94,21.25,10087619
2010-10-12,21.05,21.05,20.67,20.92,5460107
2010-10-13,20.95,21.08,20.13,20.25,6499320
2010-10-14,20.32,20.55,19.83,19.86,4866302
2010-10-15,19.91,19.96,19.31,19.44,5005452
2010-10-18,19.66,20.57,18.79,20.45,8172003
2010-10-19,20.15,20.98,20.08,20.63,6738333
2010-10-20,20.05,20.6,19.81,20.15,5688742
2010-10-21,20.25,20.64,20.15,20.46,4649626
2010-10-22,20.52,20.99,20.52,20.7,5452772
2010-10-25,20.85,20.97,20.5,20.76,6127224
2010-10-26,20.7,20.79,20.17,20.38,5704303
2010-10-27,20.39,20.79,20.12,20.34,4713320
2010-10-29,20.5,21.48,20.3,21.27,8193508
2010-11-01,21.4,21.47,21.1,21.4,7440503
2010-11-02,21.4,21.98,21.19,21.3,7860519
2010-11-03,21.28,21.29,20.52,20.55,5114231
2010-11-04,20.5,20.93,20.46,20.76,3293479
2010-11-05,20.85,20.94,20.62,20.92,4751199
2010-11-08,20.99,21.58,20.9,21.58,6323006
2010-11-09,21.6,21.95,21.48,21.75,7359181
2010-11-10,21.77,23.7,21.53,22.82,12127170
2010-11-11,22.6,23.15,22.18,22.32,8544087
2010-11-12,22.1,22.18,20.31,20.38,8423775
2010-11-15,20.4,21.12,20.31,21.08,4173446
2010-11-16,21.17,21.73,20.59,21.27,6010095
2010-11-17,20.8,21.23,20.3,20.42,3788246
2010-11-18,20.52,20.87,20.33,20.64,2145099
2010-11-19,20.8,20.99,20.51,20.99,3223443
2010-11-22,20.89,21.91,20.65,21.72,6896556
2010-11-23,21.69,21.69,20.71,21.5,4144795
2010-11-24,21.25,21.88,21.08,21.87,5031344
2010-11-25,21.95,22.17,21.59,21.79,4240873
2010-11-26,21.78,21.78,21.27,21.42,3286225
2010-11-29,21.33,21.43,21.01,21.35,2958219
2010-11-30,21.33,21.56,20.25,20.6,4058443
2010-12-01,20.57,20.57,20.31,20.43,1909752
2010-12-02,20.7,21.42,20.51,21.05,4136417
2010-12-03,21.02,21.98,20.77,21.84,10040233
2010-12-06,21.99,21.99,20.61,20.81,6185977
2010-12-07,20.51,20.76,19.7,20.59,4032651
2010-12-08,20.58,20.58,19.78,19.9,11772725
2010-12-09,19.8,19.8,19.11,19.13,5971159
2010-12-10,19.02,19.43,18.8,19.31,3169080
2010-12-13,19.41,19.9,19.41,19.83,4513175
2010-12-14,19.83,20.0,19.73,20.0,3880809
2010-12-15,20.0,20.4,19.8,19.92,5695888
2010-12-16,19.92,20.14,19.81,19.98,3372664
2010-12-17,19.9,20.17,19.9,20.12,3037420
2010-12-20,20.35,20.67,19.83,20.4,6934102
2010-12-21,20.49,20.49,20.01,20.35,3863061
2010-12-22,20.33,20.65,20.1,20.38,4583292
2010-12-23,20.34,20.64,20.04,20.3,5227948
2010-12-24,20.2,20.3,19.49,19.5,4042671
2010-12-27,19.65,19.75,18.9,18.93,3045794
2010-12-28,18.8,19.12,18.62,18.9,2741019
2010-12-29,18.82,19.26,18.75,19.24,1943043
2010-12-30,19.25,19.28,18.88,18.99,1685690
2010-12-31,19.08,19.24,19.01,19.24,1568646
2011-01-04,19.38,19.44,19.18,19.4,2059943
2011-01-05,19.36,19.36,19.18,19.2,2083633
2011-01-06,19.23,19.25,18.85,18.89,2436360
2011-01-07,18.81,19.18,18.81,19.05,1728275
2011-01-10,19.05,19.17,18.85,18.89,1896694
2011-01-11,18.82,18.94,18.51,18.58,1656615
2011-01-12,18.59,18.82,18.53,18.72,1399507
2011-01-13,18.73,18.86,18.66,18.73,1058136
2011-01-14,18.72,18.72,18.27,18.28,1687621
2011-01-17,18.02,18.12,16.7,16.89,2519438
2011-01-18,16.85,16.85,16.42,16.72,1411819
2011-01-19,16.72,17.08,16.71,16.98,1803624
2011-01-20,17.07,17.64,16.98,17.06,2946241
2011-01-21,17.08,17.39,17.02,17.21,1298086
2011-01-24,17.19,17.23,16.6,16.75,1136765
