date,open,high,low,close,volume
2006-11-20,20.09,21.68,19.79,19.84,13360919
2006-11-21,20.62,21.82,20.62,21.82,4780095
2006-11-22,22.08,24.0,21.87,24.0,6633027
2006-11-23,23.79,24.64,23.22,24.47,3713432
2006-11-24,24.0,24.5,23.5,23.9,1640099
2006-11-27,24.05,24.3,23.6,24.1,1394850
2006-11-28,23.79,23.8,22.3,22.85,2439212
2006-11-29,22.4,23.2,21.88,22.8,1323530
2006-11-30,22.88,23.48,22.56,22.79,1386174
2006-12-01,22.97,23.79,22.58,23.67,1657854
2006-12-04,23.55,25.59,23.48,24.7,1930800
2006-12-05,24.51,25.16,24.33,24.51,1399120
2006-12-06,24.49,24.59,22.8,23.78,1098018
2006-12-07,23.5,24.2,23.18,23.36,624308
2006-12-08,23.1,23.15,22.3,22.5,780490
2006-12-11,22.5,22.98,22.5,22.98,514328
2006-12-12,23.18,23.18,21.98,22.9,742922
2006-12-13,22.83,23.81,22.5,23.81,837213
2006-12-14,23.58,24.25,23.2,23.95,908997
2006-12-15,23.5,24.18,23.5,24.0,737500
2006-12-18,23.8,25.0,23.8,24.75,1030006
2006-12-19,24.73,26.08,24.73,25.68,1368448
2006-12-20,25.65,26.2,24.98,25.69,725792
2006-12-21,25.66,25.96,24.5,24.6,1066299
2006-12-22,24.56,24.56,23.98,24.05,523120
2006-12-25,24.4,24.76,24.01,24.17,415183
2006-12-26,24.09,24.35,23.3,23.51,451725
2006-12-27,23.38,23.75,23.37,23.46,729600
2006-12-28,23.55,23.7,22.99,23.35,642745
2006-12-29,23.55,24.29,23.46,24.0,484940
2007-01-04,23.76,24.26,23.51,23.51,478700
2007-01-05,23.51,25.7,23.51,25.3,818416
2007-01-08,24.92,26.0,24.92,25.64,582858
2007-01-09,25.71,26.65,25.35,25.74,886215
2007-01-10,25.74,26.14,25.18,26.0,492803
2007-01-11,26.0,27.68,26.0,26.9,835501
2007-01-15,26.05,29.1,25.0,29.04,1357576
2007-01-16,29.5,31.94,29.5,31.9,2833464
2007-01-17,32.35,32.47,29.6,29.91,1420938
2007-01-18,30.15,31.43,28.96,30.1,1006210
2007-01-19,30.28,32.3,30.2,31.6,646458
2007-01-22,32.6,34.45,32.5,33.41,924531
2007-01-23,33.4,33.58,32.1,33.2,1148501
2007-01-24,33.0,33.0,31.74,32.8,1168889
2007-01-25,32.59,32.59,30.61,30.75,1082009
2007-01-26,30.0,31.0,29.11,30.5,850429
2007-01-29,30.6,32.12,30.3,32.0,481348
2007-01-30,32.0,33.2,31.82,32.8,814566
2007-01-31,32.2,32.8,30.09,30.2,532759
2007-02-01,29.67,30.85,29.5,30.06,420858
2007-02-02,30.1,30.22,28.7,28.8,814031
2007-02-05,28.86,30.18,28.86,29.4,262717
2007-02-06,29.12,30.69,29.12,30.69,249314
2007-02-07,30.82,30.87,29.66,30.2,927176
2007-02-08,30.26,32.8,29.6,32.8,794329
2007-02-09,32.0,32.3,30.8,32.01,679028
2007-02-12,31.89,33.18,31.89,32.68,756517
2007-02-13,32.68,32.89,31.5,31.9,413331
2007-02-14,32.5,32.68,31.12,32.1,749942
2007-02-15,32.11,33.17,31.81,33.08,831720
2007-02-16,33.5,33.85,32.51,33.0,499653
2007-02-26,32.8,33.0,31.96,31.98,1644580
2007-02-27,31.99,32.24,28.78,29.0,1583850
2007-02-28,28.96,29.8,28.56,29.65,751197
2007-03-01,29.49,29.49,28.01,28.5,440342
2007-03-02,28.5,29.9,28.3,29.5,482023
2007-03-05,29.3,29.96,28.5,29.16,302002
2007-03-06,28.8,29.2,28.31,28.98,358470
2007-03-07,29.1,29.9,28.75,29.8,407227
2007-03-08,29.8,29.9,29.3,29.79,287451
2007-03-09,29.88,30.43,29.65,30.0,433588
2007-03-12,30.15,30.4,29.8,30.19,448003
2007-03-13,29.52,30.18,29.52,29.9,763470
2007-03-14,29.88,31.68,29.58,31.28,736081
2007-03-15,31.0,31.9,30.76,31.78,727576
2007-03-16,31.8,32.0,31.45,31.69,656236
2007-03-19,31.0,32.7,30.22,32.08,475000
2007-03-20,32.4,32.4,31.0,32.0,434567
2007-03-21,31.69,32.0,31.3,31.9,386463
2007-03-22,31.89,32.67,31.5,31.99,471144
2007-03-23,31.6,31.9,30.9,31.6,423291
2007-03-26,31.5,31.81,31.3,31.61,449855
2007-03-27,31.5,33.09,31.5,32.98,836752
2007-03-28,36.0,36.28,34.63,36.28,1736472
2007-03-29,35.8,35.8,32.98,33.51,1807412
2007-03-30,33.44,35.8,33.0,34.87,1237540
2007-04-02,34.87,37.8,34.0,36.0,1777144
2007-04-03,35.98,36.01,35.0,35.36,711351
2007-04-04,35.0,35.6,34.21,34.4,713139
2007-04-05,34.4,35.15,34.2,35.0,253445
2007-04-06,34.41,35.0,34.21,34.78,435060
2007-04-09,34.8,35.0,34.15,34.8,796273
2007-04-10,34.8,35.19,34.14,34.49,620701
2007-04-11,34.53,34.79,33.51,33.9,870741
2007-04-12,33.93,36.5,33.93,36.0,1675437
2007-04-13,36.0,36.2,35.05,35.12,961293
2007-04-16,35.32,35.99,35.31,35.58,660819
2007-04-17,35.58,35.96,34.45,34.73,1136200
2007-04-19,35.0,35.0,33.8,34.6,1207756
2007-04-20,34.6,36.44,34.51,36.19,1231221
2007-04-23,36.38,37.22,35.8,36.69,893114
2007-04-24,37.1,37.2,35.8,36.48,653872
2007-04-25,35.89,36.4,34.4,36.18,858686
2007-04-26,36.0,36.2,35.3,35.5,408449
2007-04-27,36.0,36.0,34.56,34.65,352107
2007-04-30,34.47,35.1,34.01,34.43,512256
2007-05-08,35.21,35.65,34.51,35.0,732964
2007-05-09,34.61,35.01,33.96,34.4,920009
2007-05-10,34.32,35.5,34.0,34.65,780567
2007-05-11,34.1,34.48,33.5,34.21,345225
2007-05-14,34.0,34.59,33.66,34.55,556869
2007-05-15,34.58,34.88,33.51,33.86,438284
2007-05-16,33.68,34.4,33.34,34.29,796557
2007-05-17,34.2,35.38,33.7,35.18,796665
2007-05-18,35.41,35.97,35.36,35.48,885822
2007-05-21,33.52,35.45,33.52,35.01,532577
2007-05-22,35.49,36.3,34.82,35.22,791222
2007-05-23,35.5,35.5,34.88,35.42,511402
2007-05-24,35.5,37.68,35.42,37.13,2184432
2007-05-25,37.13,39.97,36.51,39.21,1516435
2007-05-28,39.1,39.97,38.61,38.79,914406
2007-05-29,38.5,39.38,38.2,38.89,627300
2007-05-30,35.5,37.88,35.01,35.47,1602291
2007-05-31,35.1,36.99,34.12,35.99,1169389
2007-06-01,36.25,38.99,36.0,36.22,1300411
2007-06-04,36.88,37.0,33.0,34.1,1060553
2007-06-05,33.94,35.76,33.03,35.75,1038199
2007-06-06,36.15,38.2,35.3,37.9,1022627
2007-06-07,38.1,41.69,38.1,41.69,1871091
2007-06-08,42.14,43.88,41.5,41.8,1699098
2007-06-11,41.28,45.98,41.28,45.9,1305841
2007-06-12,45.7,47.78,45.01,46.4,1056228
2007-06-13,47.0,47.5,45.6,46.37,851429
2007-06-14,45.68,47.3,45.05,46.4,658560
