date,open,high,low,close,volume
2011-03-01,15.0,16.27,14.55,15.05,102686656
2011-03-02,14.3,14.98,13.87,14.68,66842580
2011-03-03,14.68,16.15,14.58,15.5,83626104
2011-03-04,15.35,15.78,15.21,15.56,49310688
2011-03-07,15.8,16.26,15.34,15.42,50013456
2011-03-08,15.05,15.08,14.66,14.94,44080864
2011-03-09,14.98,15.0,14.65,14.68,27420840
2011-03-10,14.62,15.13,14.36,14.89,28226748
2011-03-11,14.72,15.0,14.53,14.55,19447008
2011-03-14,14.45,14.84,14.4,14.6,18297018
2011-03-15,14.61,14.61,13.8,14.06,25074894
2011-03-16,14.11,14.19,13.9,14.14,13556480
2011-03-17,14.09,14.09,13.53,13.55,16526460
2011-03-18,13.6,13.88,13.6,13.7,10266771
2011-03-21,13.7,14.32,13.42,14.28,20283132
2011-03-22,14.31,15.1,14.3,14.96,45347452
2011-03-23,15.0,15.57,14.71,15.25,39212064
2011-03-24,15.2,15.66,15.1,15.45,28399408
2011-03-25,15.26,17.0,15.25,17.0,61178340
2011-03-28,17.49,17.75,17.02,17.32,49053620
2011-03-29,17.32,17.7,16.36,16.69,40671564
2011-03-30,16.69,17.28,16.52,16.92,29341146
2011-03-31,16.91,16.91,15.8,16.03,25789444
2011-04-01,16.01,16.39,15.63,16.19,13468003
2011-04-06,16.0,16.65,15.95,16.27,20046384
2011-04-07,16.3,17.19,16.3,16.99,26199250
2011-04-08,16.95,17.0,16.55,16.89,14008421
2011-04-11,16.8,16.85,16.13,16.27,17508368
2011-04-12,16.1,16.54,15.91,16.1,12487926
2011-04-13,16.1,16.16,15.67,16.15,13171936
2011-04-14,16.15,16.18,15.71,15.8,11313889
2011-04-15,15.72,16.15,15.55,16.12,11288234
2011-04-18,15.98,16.21,15.6,15.8,8806272
2011-04-19,15.55,15.55,14.91,14.97,15344789
2011-04-20,15.08,15.44,14.95,15.11,8439531
2011-04-21,15.12,15.57,15.12,15.45,9097370
2011-04-22,15.59,15.61,15.08,15.09,6554048
2011-04-25,15.1,15.15,14.0,14.44,10586821
2011-04-26,14.42,14.73,14.2,14.7,7169558
2011-04-27,14.9,15.38,14.68,15.0,10485049
2011-04-28,15.01,15.15,14.23,14.26,6965437
2011-04-29,14.25,14.59,14.25,14.53,4632703
2011-05-03,14.63,14.98,14.57,14.86,4735012
2011-05-04,14.77,14.96,14.38,14.44,6406034
2011-05-05,14.31,14.6,14.28,14.44,4723251
2011-05-06,14.3,14.55,14.01,14.47,4316066
2011-05-09,14.5,14.93,14.45,14.64,5486028
2011-05-10,14.65,14.86,14.6,14.78,5252446
2011-05-11,14.7,15.19,14.7,14.97,8099324
2011-05-12,14.81,14.96,14.5,14.51,6016010
2011-05-13,14.51,14.6,14.02,14.31,9255405
2011-05-16,14.31,14.33,14.08,14.18,4784147
2011-05-17,14.18,14.38,14.1,14.28,3624391
2011-05-18,14.28,14.43,14.21,14.32,4366688
2011-05-19,14.33,14.48,14.09,14.12,4016790
2011-05-20,14.12,14.25,13.73,13.88,5454361
2011-05-23,13.93,14.05,13.65,13.65,5613925
2011-05-25,13.86,13.96,13.4,13.58,3792370
2011-05-26,13.58,13.8,12.96,12.99,10520675
2011-05-27,12.89,12.99,12.38,12.39,6099931
2011-05-30,12.37,12.75,11.93,12.46,6353703
2011-05-31,12.51,12.74,12.36,12.7,4824766
2011-06-01,12.74,12.74,12.5,12.59,3692164
2011-06-02,12.3,12.79,12.15,12.4,3858644
2011-06-03,12.55,12.78,12.4,12.75,4598206
2011-06-07,12.75,13.02,12.48,12.92,6840445
2011-06-08,12.82,12.88,12.6,12.78,4220971
2011-06-09,12.75,12.83,12.25,12.26,4083667
2011-06-10,12.39,12.54,12.05,12.21,4985033
2011-06-13,12.0,12.14,11.9,12.02,3199168
2011-06-14,12.02,13.22,12.02,13.22,10368225
2011-06-15,13.98,14.3,13.58,13.77,39539012
2011-06-16,13.38,13.92,13.3,13.46,20255030
2011-06-17,13.41,14.8,13.32,14.2,42932968
2011-06-20,14.17,14.54,13.9,14.29,22305624
2011-06-21,14.55,15.5,14.55,14.64,37211320
2011-06-22,14.56,15.1,14.42,14.88,24759452
2011-06-23,14.65,15.67,14.64,15.41,37682256
2011-06-24,15.18,16.95,15.16,15.76,61079424
2011-06-27,15.61,16.01,15.46,15.88,22702222
2011-06-28,15.8,16.88,15.02,16.42,47014612
2011-06-29,16.01,16.2,15.6,15.63,24732300
2011-06-30,15.5,15.85,15.31,15.48,27817560
2011-07-01,15.65,16.4,15.57,15.61,26434106
2011-07-04,15.75,16.66,15.45,16.29,29349954
2011-07-05,16.11,16.53,15.92,16.03,21131374
2011-07-06,15.97,16.66,15.6,16.44,24764260
2011-07-07,16.4,16.4,15.89,15.92,18926588
2011-07-08,15.82,16.03,15.48,15.73,13167723
2011-07-11,15.63,15.94,15.53,15.73,12921296
2011-07-12,15.58,15.82,15.29,15.36,16352136
2011-07-13,15.4,15.79,15.32,15.75,17676228
2011-07-14,15.65,16.15,15.55,16.07,33624952
2011-07-15,16.0,16.7,15.6,15.95,38365336
2011-07-18,15.7,15.79,15.35,15.41,22278324
2011-07-19,15.21,15.29,14.55,14.63,28419586
2011-07-20,14.85,14.92,14.61,14.75,12742352
