date,open,high,low,close,volume
2007-12-26,138.0,160.0,129.0,131.0,25421650
2007-12-27,135.0,144.1,134.11,144.1,3306181
2007-12-28,149.02,150.0,137.18,140.45,7270235
2008-01-02,139.0,139.0,126.41,131.0,5340076
2008-01-03,133.0,144.1,131.0,144.1,4908126
2008-01-04,148.0,156.0,146.13,149.01,4372894
2008-01-07,141.2,148.66,138.89,142.57,3949074
2008-01-08,141.38,145.2,137.0,142.02,2893451
2008-01-09,141.89,145.1,139.01,144.1,1594215
2008-01-10,145.1,146.0,136.0,136.0,3417971
2008-01-11,136.01,136.99,132.61,136.68,1755433
2008-01-14,135.54,135.89,132.68,134.0,1256932
2008-01-15,134.0,134.51,127.77,128.98,3329150
2008-01-16,126.8,131.87,125.5,128.0,1825491
2008-01-17,126.51,132.18,126.51,130.97,1953186
2008-01-18,131.0,133.19,128.99,132.3,1301976
2008-01-21,134.0,140.99,132.52,133.49,2636663
2008-01-22,131.0,131.0,120.14,120.4,2992102
2008-01-23,122.0,124.0,114.0,123.0,3076103
2008-01-24,123.35,130.3,121.01,125.9,1758676
2008-01-25,125.99,129.98,125.11,125.22,1088930
2008-01-28,124.95,125.2,114.81,123.9,1625040
2008-01-29,135.0,136.29,130.0,136.29,3637919
2008-01-30,138.6,140.3,134.0,138.0,3087810
2008-01-31,138.0,138.1,128.88,128.88,1996874
2008-02-01,125.9,125.99,116.8,121.99,2013176
2008-02-04,126.1,132.0,126.1,130.78,1545446
2008-02-05,126.5,134.98,126.03,131.95,1263301
2008-02-13,130.1,145.15,130.01,145.15,3399346
2008-02-14,144.01,146.78,141.1,142.75,1593110
2008-02-15,144.2,153.18,142.01,145.8,2448094
2008-02-18,148.05,153.6,145.8,151.05,2156621
2008-02-20,151.77,152.99,143.08,143.55,1856722
2008-02-21,150.0,157.91,149.0,157.91,4148366
2008-02-22,155.0,157.99,151.0,154.87,2125827
2008-02-25,156.06,157.87,147.3,150.5,1793974
2008-02-26,154.0,155.87,137.18,142.0,2698058
2008-02-27,71.88,74.49,67.22,74.18,4263021
2008-02-28,73.0,81.18,71.51,76.81,5941299
2008-02-29,77.3,84.48,76.0,83.6,7799363
2008-03-03,83.5,88.47,82.6,85.19,9380969
2008-03-04,85.2,85.58,82.48,82.98,4137954
2008-03-05,82.18,85.2,78.84,80.22,4382227
2008-03-06,79.7,81.98,77.0,78.2,4484046
2008-03-07,77.0,81.25,76.6,79.44,2969519
2008-03-10,78.8,78.8,72.66,73.3,3617957
2008-03-11,71.8,74.5,68.61,72.9,3238590
2008-03-12,74.35,75.0,69.0,69.0,3352734
2008-03-13,67.0,68.68,64.8,67.59,3148642
2008-03-14,66.09,70.89,66.08,68.61,2607826
2008-03-17,66.99,67.87,61.75,61.75,5001474
2008-03-18,58.8,60.4,55.58,55.58,4418425
2008-03-19,57.5,59.0,54.81,57.0,3729757
2008-03-20,55.5,61.97,52.1,60.18,6051880
2008-03-21,60.2,62.44,59.2,60.01,3715041
2008-03-24,59.89,59.9,55.6,55.72,4114666
2008-03-25,53.0,55.59,52.5,53.61,3329997
2008-03-26,53.0,58.8,50.6,58.8,13893798
2008-03-27,56.1,60.99,56.0,56.83,10532747
2008-03-28,55.31,59.11,52.3,57.99,7121803
2008-03-31,56.0,56.42,52.9,52.9,5700476
2008-04-01,52.0,53.49,47.61,47.61,7307307
2008-04-02,47.6,48.6,42.88,43.69,6515180
2008-04-03,43.69,46.35,42.68,45.45,4515239
2008-04-07,44.51,49.91,43.62,49.7,6166174
2008-04-08,48.99,51.14,48.2,49.9,5954226
2008-04-09,49.08,49.85,44.94,45.01,4598059
2008-04-10,44.1,48.49,44.01,47.9,4065226
2008-04-11,48.88,49.82,47.8,48.48,3240197
2008-04-14,47.0,47.6,44.06,44.08,4198079
2008-04-15,44.52,47.11,42.68,47.05,5300514
2008-04-16,46.9,47.3,43.75,44.79,3829719
2008-04-17,45.0,46.55,44.38,45.3,3179244
2008-04-18,45.18,45.18,41.5,42.55,4147601
2008-04-21,46.3,46.58,42.0,43.64,4762124
2008-04-22,43.64,43.8,41.0,43.2,3014670
2008-04-23,42.68,45.6,42.24,44.99,3885542
2008-04-24,48.99,49.49,47.0,49.49,9622621
2008-04-25,48.3,51.6,47.8,49.18,6519261
2008-04-28,48.01,49.29,46.8,48.0,4504443
2008-04-29,47.78,51.4,47.7,50.3,6131744
2008-04-30,50.58,54.25,50.58,53.3,6040132
2008-05-05,54.7,57.29,52.81,56.7,6553039
2008-05-06,55.95,57.7,54.81,54.88,5208222
2008-05-07,54.9,56.5,52.01,52.1,5036683
2008-05-08,51.45,55.6,51.12,55.5,5043675
2008-05-09,56.0,58.89,55.8,57.71,7338174
2008-05-12,56.6,58.48,55.9,57.58,4547895
2008-05-13,55.6,57.3,55.0,55.6,5348501
2008-05-14,55.49,58.0,55.1,57.8,3187256
2008-05-15,58.01,59.7,56.4,56.4,3915976
2008-05-16,56.12,57.28,54.39,55.2,3072577
2008-05-19,55.2,56.59,54.65,55.58,1719689
2008-05-20,55.5,56.5,51.3,52.0,3011802
2008-05-21,52.0,54.22,50.05,53.62,3506943
2008-05-22,54.0,58.29,53.26,56.04,6294911
2008-05-23,55.3,56.56,54.5,55.05,2596774
2008-05-26,55.1,56.99,54.65,55.65,3251505
2008-05-27,55.76,55.85,53.41,54.51,2381294
2008-05-28,54.51,55.85,53.5,55.48,2355303
2008-05-29,55.46,57.25,55.1,55.28,2951650
2008-05-30,55.28,55.8,52.91,53.7,2398838
2008-06-02,53.7,54.0,52.42,52.9,1820398
2008-06-03,53.5,53.98,52.51,53.28,1270681
2008-06-04,52.88,52.99,50.5,50.9,2891471
2008-06-05,50.4,50.4,48.6,49.2,2047552
2008-06-06,50.0,50.37,49.18,50.0,1223245
2008-06-10,47.55,49.2,45.0,45.0,2642780
2008-06-11,44.01,45.6,43.5,44.4,2132796
2008-06-12,44.25,44.95,41.02,42.62,1933389
2008-06-13,42.62,43.9,41.51,42.03,1475547
2008-06-16,42.1,43.0,41.5,42.18,1525848
2008-06-17,42.21,42.66,37.96,37.96,2900393
