date,open,high,low,close,volume
1996-12-18,11.0,13.16,8.88,12.88,4824100
1996-12-19,11.7,12.98,11.59,11.59,2017400
1996-12-20,10.43,10.9,10.43,10.43,605100
1996-12-23,9.43,10.8,9.43,10.3,2371200
1996-12-24,10.5,10.78,9.45,9.56,1908200
1996-12-25,9.78,10.46,9.0,10.43,2409400
1996-12-26,10.39,10.8,10.01,10.68,1709900
1996-12-27,11.2,11.75,10.7,11.75,4675700
1996-12-30,11.75,12.91,11.45,12.91,4663300
1996-12-31,12.89,13.0,11.96,12.25,2626600
1997-01-02,12.27,12.45,12.0,12.18,1507000
1997-01-03,12.2,12.2,11.2,11.42,1408500
1997-01-06,11.06,11.32,10.4,10.46,779100
1997-01-07,9.98,11.28,9.91,11.22,1297000
1997-01-08,11.05,11.3,10.5,10.9,743700
1997-01-09,10.85,11.33,10.85,11.25,582900
1997-01-10,11.3,11.78,11.25,11.65,1037800
1997-01-13,12.0,12.1,11.68,12.0,1153100
1997-01-14,11.98,12.1,11.11,11.46,1131000
1997-01-15,11.32,12.36,11.32,12.2,2477300
1997-01-16,12.2,12.8,12.2,12.44,2445400
1997-01-17,12.48,12.49,11.9,12.41,1542500
1997-01-20,12.35,12.75,12.3,12.62,1625000
1997-01-21,12.62,12.7,12.3,12.41,1000600
1997-01-22,12.3,12.5,11.9,12.33,1005700
1997-01-23,12.33,12.45,12.11,12.34,781400
1997-01-24,12.2,12.55,12.12,12.3,546000
1997-01-27,12.4,12.45,12.21,12.4,623000
1997-01-28,12.4,12.5,12.1,12.2,366400
1997-01-29,12.15,12.3,12.01,12.07,499300
1997-01-30,12.05,12.3,11.78,12.28,543100
1997-01-31,12.28,12.28,12.0,12.0,555900
1997-02-17,11.9,12.0,11.68,11.88,312100
1997-02-18,11.5,11.8,10.68,10.68,662300
1997-02-19,10.3,11.28,10.3,11.09,658900
1997-02-20,9.98,10.6,9.98,10.56,718900
1997-02-21,10.7,10.98,10.57,10.88,391300
1997-02-24,11.05,11.6,11.05,11.23,786800
1997-02-25,11.3,11.5,11.08,11.25,452200
1997-02-26,11.38,11.49,11.2,11.45,598500
1997-02-27,11.42,11.82,11.42,11.5,549400
1997-02-28,11.69,11.7,11.2,11.43,376700
1997-03-03,11.35,11.9,11.3,11.85,960700
1997-03-04,11.86,12.1,11.6,11.98,1003300
1997-03-05,12.25,12.25,11.6,11.63,552700
1997-03-06,11.5,12.18,11.5,11.9,673900
1997-03-07,12.01,12.1,11.6,11.78,375200
1997-03-10,11.88,11.97,11.62,11.75,416500
1997-03-11,11.9,12.13,11.6,12.08,984500
1997-03-12,12.25,12.7,12.25,12.5,1937700
1997-03-13,12.62,12.67,12.2,12.3,1180500
1997-03-14,12.3,12.35,12.0,12.28,699300
1997-03-17,12.5,12.56,12.08,12.19,733100
1997-03-18,12.15,12.45,11.75,12.2,864900
1997-03-19,12.38,13.0,12.18,12.98,3081100
1997-03-20,13.1,13.55,12.45,12.47,2226100
1997-03-21,12.48,12.9,12.45,12.85,1352700
1997-03-24,13.19,13.35,12.88,13.0,2003700
1997-03-25,13.0,13.0,12.55,12.79,947400
1997-03-26,12.78,12.88,12.65,12.76,735400
1997-03-27,12.88,12.99,12.53,12.65,954400
1997-03-28,12.6,12.61,12.25,12.42,620900
1997-03-31,12.35,12.6,12.0,12.49,986400
1997-04-01,12.57,12.57,12.23,12.4,778200
1997-04-02,12.4,12.4,12.18,12.25,586700
1997-04-03,12.26,12.58,12.15,12.48,560800
1997-04-04,12.55,12.58,12.28,12.37,645500
1997-04-07,12.27,12.27,11.9,11.99,701700
1997-04-08,11.91,12.31,11.8,11.89,483500
1997-04-09,11.86,12.24,11.86,12.16,560500
1997-04-10,12.16,12.39,12.08,12.12,636100
1997-04-11,12.17,13.33,12.17,13.33,5242600
1997-04-14,14.55,14.6,14.0,14.1,6272300
1997-04-15,14.19,14.19,13.2,13.9,3642900
1997-04-16,14.0,14.67,13.78,14.39,2438400
1997-04-17,14.39,14.85,14.28,14.35,1458300
1997-04-18,14.59,14.59,14.02,14.28,938600
1997-04-21,14.3,14.55,14.1,14.22,998400
1997-04-22,14.2,14.2,13.96,14.09,615900
1997-04-23,14.1,14.1,13.76,13.84,686400
1997-04-24,13.76,13.76,13.35,13.55,743400
1997-04-25,13.65,14.93,13.61,13.9,1168400
1997-04-28,14.26,14.3,13.54,13.7,664000
1997-04-29,13.7,13.7,13.01,13.6,471900
1997-04-30,13.6,14.0,13.3,13.71,369800
1997-05-05,13.9,13.98,13.51,13.8,589800
1997-05-06,13.8,13.8,13.55,13.63,692100
1997-05-07,13.6,14.68,13.29,14.25,1260200
1997-05-08,14.2,14.2,13.3,13.38,540100
1997-05-09,13.3,13.65,13.2,13.57,484400
1997-05-12,13.61,14.05,13.4,13.95,827000
1997-05-13,13.9,13.97,13.28,13.48,406100
1997-05-14,13.4,13.8,13.2,13.2,438300
1997-05-15,13.1,13.54,12.8,13.4,353400
1997-05-16,12.09,13.0,12.09,12.09,444400
1997-05-19,12.58,12.58,11.88,12.0,240000
1997-05-20,12.05,12.3,11.99,12.12,304800
1997-05-21,12.05,12.1,11.0,11.43,210300
1997-05-22,10.38,10.7,10.29,10.29,453900
1997-05-23,10.0,10.5,9.9,10.06,230200
1997-05-26,9.9,10.3,9.52,9.95,177600
1997-05-27,10.18,10.6,9.9,10.4,228200
1997-05-28,10.5,10.75,10.28,10.3,197100
1997-05-29,10.31,10.46,10.25,10.28,125800
1997-05-30,10.1,10.45,10.06,10.43,150600
1997-06-02,10.59,10.93,10.35,10.8,221600
1997-06-03,10.9,11.34,10.48,11.27,491300
1997-06-04,11.55,11.68,11.19,11.27,438600
1997-06-05,11.23,11.23,10.85,11.01,209600
1997-06-06,9.93,10.3,9.93,10.03,421900
1997-06-09,10.28,10.48,10.05,10.4,117000
1997-06-10,10.4,10.48,9.85,9.88,110300
1997-06-11,10.15,10.15,9.0,9.7,156300
1997-06-12,9.7,9.9,9.45,9.7,86600
1997-06-13,9.02,10.0,9.02,10.0,156800
1997-06-16,10.12,10.6,10.02,10.35,197800
1997-06-17,10.32,10.55,10.05,10.05,125900
1997-06-18,9.82,10.2,9.82,9.95,69500
1997-06-19,9.95,10.05,9.8,9.91,110600
1997-06-20,9.91,10.45,9.91,10.38,205100
1997-06-23,10.55,10.66,10.02,10.13,217300
1997-06-24,10.28,10.95,10.28,10.81,329000
1997-06-25,11.0,11.0,10.61,10.85,261700
1997-06-26,10.79,10.79,10.2,10.52,143000
1997-06-27,10.6,11.0,10.4,10.45,279900
1997-07-03,9.51,9.99,9.41,9.53,157500
1997-07-04,9.2,10.32,9.02,10.25,385400
1997-07-07,10.19,10.5,9.3,9.5,274800
1997-07-08,9.4,10.2,9.38,10.1,271500
1997-07-09,10.3,10.39,9.8,10.39,413000
1997-07-10,10.3,11.0,10.3,10.7,1389200
1997-07-11,10.7,11.29,10.48,10.96,700700
1997-07-14,11.16,11.5,10.9,11.4,1077900
1997-07-15,11.4,11.4,10.9,11.13,396800
1997-07-16,11.0,11.15,10.54,10.71,288700
1997-07-17,10.73,11.28,10.6,10.9,299500
1997-07-18,11.0,11.05,10.6,10.9,265400
1997-07-21,10.98,11.45,10.95,11.1,522200
1997-07-22,11.1,11.48,10.7,11.4,393700
1997-07-23,11.52,11.6,11.1,11.1,381300
1997-07-24,11.0,11.08,10.7,10.75,252700
1997-07-25,10.7,10.8,10.3,10.5,332200
1997-07-28,8.3,8.55,8.22,8.42,198000
1997-07-29,8.3,8.75,8.3,8.5,244100
1997-07-30,8.65,9.2,8.35,8.76,156000
1997-07-31,8.8,8.81,7.9,8.63,166100
1997-08-01,8.85,8.85,8.45,8.45,146400
1997-08-04,8.45,8.7,8.22,8.6,234100
1997-08-05,8.79,8.84,8.5,8.65,172900
1997-08-06,8.56,8.8,8.3,8.32,97500
1997-08-07,8.3,8.32,7.95,8.22,193000
1997-08-08,8.28,8.3,8.0,8.08,217900
1997-08-11,8.08,8.1,7.8,8.0,161500
1997-08-12,8.1,8.1,7.73,7.75,108600
1997-08-13,7.75,7.95,7.39,7.39,110400
1997-08-14,7.3,7.48,7.1,7.4,127300
1997-08-15,7.5,7.55,7.06,7.11,130300
1997-08-18,6.98,7.26,6.98,7.05,156500
