date,open,high,low,close,volume
1994-01-28,11.0,11.2,10.32,10.38,8629100
1994-01-31,10.1,10.88,9.9,10.64,2874700
1994-02-01,10.5,10.88,10.22,10.39,2121400
1994-02-02,10.4,10.95,10.39,10.93,1561600
1994-02-03,10.99,11.32,10.81,10.82,4443000
1994-02-04,11.0,11.17,10.7,10.87,2481500
1994-02-14,11.32,11.38,10.77,10.81,1901100
1994-02-15,10.78,10.85,10.26,10.51,531500
1994-02-16,10.51,10.6,10.38,10.38,381800
1994-02-17,10.34,10.34,10.1,10.18,310500
1994-02-18,10.1,10.28,10.1,10.2,231200
1994-02-21,10.2,10.2,9.9,9.93,312000
1994-02-22,9.86,10.63,9.71,10.4,572400
1994-02-23,10.3,10.4,10.08,10.22,275500
1994-02-24,10.2,10.65,9.72,10.55,610500
1994-02-25,10.71,12.39,10.61,12.24,4467100
1994-02-28,12.03,12.89,11.35,11.5,6756100
1994-03-01,11.5,11.7,10.9,10.98,1686900
1994-03-02,11.0,11.5,10.9,11.23,2497800
1994-03-03,11.2,11.85,11.1,11.48,2151000
1994-03-04,11.55,11.78,11.2,11.3,2022400
1994-03-07,11.37,11.5,11.26,11.5,165600
1994-03-08,11.65,11.97,11.01,11.32,1076600
1994-03-09,11.35,12.85,11.1,12.66,5685200
1994-03-10,12.51,12.66,11.01,11.25,2658300
1994-03-11,11.14,11.86,11.1,11.6,1872900
1994-03-14,12.8,13.8,12.5,13.0,7155500
1994-03-15,13.0,13.0,12.1,12.4,2368300
1994-03-16,12.4,15.43,12.25,15.01,6578700
1994-03-17,15.1,15.15,13.15,13.6,6219400
1994-03-18,13.28,13.55,12.65,12.94,2508200
1994-03-21,12.7,13.47,12.68,12.8,1644800
1994-03-22,12.9,13.49,12.8,13.4,1218600
1994-03-23,13.58,13.61,12.9,12.98,1251400
1994-03-24,13.39,13.5,12.7,12.8,1050000
1994-03-25,12.88,13.3,12.55,12.7,1261900
1994-03-28,12.49,12.8,12.0,12.05,553400
1994-03-29,12.2,12.88,12.2,12.5,827600
1994-03-30,12.75,12.78,12.27,12.27,734300
1994-03-31,12.3,12.45,12.18,12.25,406700
1994-04-01,12.25,12.55,12.25,12.44,483200
1994-04-04,12.8,12.83,12.2,12.2,428300
1994-04-05,12.5,12.58,12.2,12.45,328100
1994-04-06,12.5,12.95,12.38,12.38,1867400
1994-04-07,12.3,12.58,12.25,12.26,353800
1994-04-11,11.8,12.0,11.7,11.75,386700
1994-04-12,11.68,12.18,11.51,11.85,337700
1994-04-13,12.0,12.05,11.61,11.61,494500
1994-04-14,11.47,11.58,10.81,11.01,594600
1994-04-15,10.95,10.95,9.8,10.65,767800
1994-04-18,10.5,10.62,10.1,10.2,411200
1994-04-19,10.05,10.28,9.8,9.9,370400
1994-04-20,9.65,9.89,9.0,9.1,739900
1994-04-21,8.99,10.49,8.88,10.29,1376700
1994-04-22,10.15,10.88,9.5,10.0,2431100
1994-04-25,10.1,10.25,9.72,9.75,588400
1994-04-26,10.35,10.49,10.0,10.49,825400
1994-04-27,10.69,10.9,10.34,10.85,1535900
1994-04-28,10.98,11.05,10.35,10.4,1443200
1994-04-29,10.4,10.6,10.05,10.2,610900
1994-05-03,10.0,10.38,9.98,10.36,323600
1994-05-04,10.54,10.73,10.37,10.6,704300
1994-05-05,10.4,10.4,9.94,10.01,559200
1994-05-06,10.2,10.2,9.72,9.98,326100
1994-05-09,9.75,9.96,9.74,9.81,151200
1994-05-10,9.86,9.99,9.78,9.93,224800
1994-05-11,10.4,10.4,10.0,10.0,521000
1994-05-12,9.8,10.16,9.75,9.81,344000
1994-05-13,9.83,10.14,9.73,10.0,273000
1994-05-16,10.2,10.2,10.0,10.01,241800
1994-05-17,10.18,10.5,10.1,10.37,1213400
1994-05-18,10.39,10.4,9.95,9.95,609900
1994-05-19,9.9,10.28,9.81,10.28,336200
1994-05-20,9.85,10.38,9.85,10.29,575900
1994-05-23,10.3,10.35,10.0,10.0,184400
1994-05-24,10.0,10.19,10.0,10.19,66900
1994-05-25,10.21,10.25,10.01,10.05,85700
1994-05-26,10.15,10.15,9.85,9.9,186500
1994-05-27,9.87,9.93,9.61,9.72,188700
1994-05-30,9.64,9.64,9.2,9.2,226900
1994-05-31,9.2,9.56,9.2,9.56,111500
1994-06-01,9.48,9.49,9.18,9.23,97200
1994-06-02,9.23,9.35,9.21,9.25,67000
1994-06-03,9.28,9.48,9.22,9.22,75300
1994-06-06,9.25,9.25,9.01,9.1,54800
1994-06-07,9.0,9.05,8.8,8.84,133200
1994-06-08,8.75,9.06,8.75,9.02,136500
1994-06-09,9.01,9.15,8.72,8.78,125400
1994-06-10,8.7,8.84,8.51,8.51,106800
1994-06-13,8.3,8.36,8.2,8.22,133200
1994-06-14,8.2,8.44,8.01,8.15,96600
1994-06-15,8.15,8.28,8.06,8.15,60900
1994-06-16,8.23,8.35,8.11,8.35,111400
1994-06-17,8.4,8.88,8.29,8.8,275300
1994-06-20,8.71,8.89,8.15,8.18,399400
1994-06-21,8.1,8.31,8.0,8.13,120800
1994-06-22,8.18,8.32,8.16,8.22,86600
1994-06-23,8.3,8.3,8.1,8.12,52800
1994-06-24,8.11,8.11,7.9,7.9,175300
