date,open,high,low,close,volume
2000-04-27,18.0,18.55,16.01,17.42,68952800
2000-04-28,17.01,19.16,16.81,19.16,30937800
2000-05-08,21.08,21.08,20.68,21.08,16384200
2000-05-09,21.58,23.1,20.71,21.45,42558600
2000-05-10,21.35,22.49,20.5,21.7,19024100
2000-05-11,21.55,21.65,19.53,19.8,21116200
2000-05-12,19.7,20.95,19.66,20.2,9175300
2000-05-15,20.19,20.19,19.17,19.51,5125200
2000-05-16,19.5,20.2,19.2,19.8,3812400
2000-05-17,19.8,20.2,19.56,19.62,3731000
2000-05-18,19.55,20.39,19.25,20.09,5475700
2000-05-19,20.11,20.95,19.9,20.4,6659800
2000-05-22,20.5,21.24,20.3,21.24,6258000
2000-05-23,21.5,21.6,20.63,20.96,5574200
2000-05-24,20.89,21.31,20.7,20.93,5230600
2000-05-25,20.93,21.3,20.58,20.8,5116300
2000-05-26,20.8,20.8,20.38,20.39,4333700
2000-05-29,20.39,20.8,20.0,20.53,3693500
2000-05-30,20.58,20.7,20.0,20.1,3852400
2000-05-31,20.0,20.45,19.8,20.06,2386200
2000-06-01,20.05,20.39,20.0,20.1,2053500
2000-06-02,20.15,20.31,19.8,20.0,3140800
2000-06-05,20.0,20.1,19.59,19.68,3303100
2000-06-06,19.8,21.65,19.7,21.65,8587800
2000-06-07,22.93,23.33,21.8,21.95,15088200
2000-06-08,21.9,21.95,21.0,21.3,5338700
2000-06-09,21.2,21.69,20.71,20.8,3370400
2000-06-12,20.68,22.66,20.52,22.25,6772600
2000-06-13,22.25,22.45,21.86,22.08,4627100
2000-06-14,22.11,22.6,21.68,21.76,3528400
2000-06-15,21.68,22.5,21.65,22.05,2863800
2000-06-16,22.2,22.88,21.7,21.81,3604600
2000-06-19,21.7,21.99,21.52,21.55,2051200
2000-06-20,21.5,21.71,21.2,21.25,1810000
2000-06-21,21.4,22.4,21.3,21.92,2967800
2000-06-22,21.99,22.38,21.8,21.8,2742600
2000-06-23,22.38,22.99,22.0,22.41,4989700
2000-06-26,22.61,23.1,22.18,22.82,5300900
2000-06-27,22.85,22.92,22.1,22.24,2933800
2000-06-28,22.47,22.65,22.18,22.29,1639800
2000-06-29,22.3,22.35,21.85,22.15,2266400
2000-06-30,22.08,22.16,21.81,21.88,1664700
2000-07-03,21.6,21.8,21.3,21.33,2059800
2000-07-04,21.3,21.7,21.2,21.64,1401500
2000-07-05,21.64,21.68,21.2,21.29,1474800
