date,open,high,low,close,volume
1994-01-03,7.5,7.55,6.72,6.73,1276600
1994-01-04,6.5,6.5,5.86,6.17,989900
1994-01-05,6.05,6.25,6.0,6.23,679200
1994-01-06,6.18,6.5,6.05,6.5,748100
1994-01-07,6.45,6.58,6.3,6.58,634200
1994-01-10,6.4,6.7,6.4,6.7,685400
1994-01-11,6.6,6.6,6.44,6.45,298300
1994-01-12,6.4,6.41,6.3,6.41,295700
1994-01-13,6.41,6.58,6.35,6.5,496800
1994-01-14,6.5,6.59,6.0,6.09,675200
1994-01-17,6.1,6.29,6.05,6.29,191700
1994-01-18,6.24,6.28,5.83,6.08,164500
1994-01-19,6.05,6.08,5.7,5.99,307600
1994-01-20,5.88,5.88,5.35,5.63,270000
1994-01-21,5.48,5.79,5.45,5.64,287700
1994-01-24,5.79,5.8,5.68,5.8,555500
1994-01-25,5.81,6.09,5.75,5.84,613400
1994-01-26,5.78,5.9,5.7,5.7,206700
1994-01-27,5.65,5.69,5.65,5.65,144500
1994-01-28,5.7,5.7,5.32,5.48,229000
1994-01-31,5.38,5.4,5.12,5.15,306900
1994-02-01,5.1,5.13,5.0,5.0,188500
1994-02-02,4.9,5.38,4.89,5.38,577800
1994-02-03,5.25,5.47,5.18,5.4,728300
1994-02-04,5.4,5.85,5.35,5.85,1146600
1994-02-14,6.0,6.0,5.56,5.6,706600
1994-02-15,5.5,5.68,5.32,5.68,418100
1994-02-16,5.68,5.71,5.5,5.7,549900
1994-02-17,5.72,5.72,5.56,5.64,221700
1994-02-18,5.58,5.6,5.46,5.5,251000
1994-02-21,5.44,5.44,5.3,5.32,392400
1994-02-22,5.29,5.58,5.26,5.4,336700
1994-02-23,5.45,5.45,5.3,5.34,191000
1994-02-24,5.44,5.44,5.3,5.35,219100
1994-02-25,5.42,5.45,5.35,5.41,508900
1994-02-28,5.48,5.59,5.48,5.53,1434300
1994-03-01,5.55,5.57,5.3,5.38,585600
1994-03-02,5.3,5.39,5.18,5.18,455400
1994-03-03,5.15,5.32,5.1,5.25,258200
1994-03-04,5.1,5.18,5.06,5.13,168600
1994-03-07,5.1,5.1,5.01,5.08,34900
1994-03-08,5.0,5.15,4.85,4.93,247700
1994-03-09,4.9,5.0,4.9,4.96,237900
1994-03-10,4.98,4.98,3.71,4.64,379700
1994-03-11,4.64,5.2,4.3,5.2,600600
1994-03-14,5.42,6.0,5.28,5.74,4537900
1994-03-15,5.9,5.9,5.3,5.35,2459400
1994-03-16,5.3,5.43,5.1,5.43,847900
1994-03-17,5.51,5.65,5.2,5.2,782000
1994-03-18,5.1,5.26,5.1,5.15,671200
1994-03-21,5.05,5.12,4.95,4.96,468700
1994-03-22,4.95,5.2,4.85,5.2,269800
1994-03-23,5.21,5.22,5.0,5.12,434300
1994-03-24,5.0,5.42,5.0,5.18,1381100
1994-03-25,5.19,5.25,5.05,5.1,303600
1994-03-28,5.01,5.25,4.99,5.2,689400
1994-03-29,5.23,5.3,5.1,5.15,791500
1994-03-30,5.16,5.24,5.02,5.17,821200
1994-03-31,5.21,5.68,5.2,5.39,5204900
1994-04-01,5.4,5.4,5.08,5.29,915600
1994-04-04,5.29,5.29,5.12,5.19,412200
1994-04-05,5.18,5.18,5.01,5.08,987300
1994-04-06,5.02,5.1,5.02,5.08,376500
1994-04-07,5.08,5.25,5.04,5.12,402200
1994-04-08,5.12,5.2,5.1,5.17,258800
1994-04-11,5.19,5.19,5.05,5.1,315500
1994-04-12,5.08,5.18,5.08,5.18,271700
1994-04-13,5.2,5.25,5.07,5.24,445900
1994-04-14,5.25,5.28,5.1,5.2,589500
1994-04-15,5.21,5.4,4.5,5.3,4203600
1994-04-18,5.31,5.38,5.03,5.22,2207000
