date,open,high,low,close,volume
2015-01-22,27.94,30.74,27.94,30.74,46500
2015-01-23,33.81,33.81,33.81,33.81,11329
2015-01-26,37.19,37.19,37.19,37.19,10500
2015-01-27,40.91,40.91,40.91,40.91,12400
2015-01-28,45.0,45.0,45.0,45.0,28700
2015-01-29,49.5,49.5,49.5,49.5,50000
2015-01-30,54.45,54.45,54.45,54.45,72800
2015-02-02,59.9,59.9,59.9,59.9,192950
2015-02-03,65.89,65.89,65.89,65.89,183720
2015-02-04,72.48,72.48,72.48,72.48,253030
2015-02-05,79.73,79.73,79.73,79.73,266278
2015-02-06,87.7,87.7,85.0,87.7,33717888
2015-02-09,86.9,88.88,83.6,86.5,28393734
2015-02-10,84.31,85.77,79.11,82.16,18062502
2015-02-11,86.33,89.99,85.3,86.25,16545528
2015-02-12,86.97,94.88,86.1,94.88,15380071
2015-02-13,95.0,102.2,92.0,98.4,20071626
2015-02-16,99.0,102.67,97.1,100.03,12113440
2015-02-17,103.0,109.59,101.5,106.02,11401951
2015-02-25,105.0,105.0,95.42,96.82,13923471
2015-02-26,95.67,98.6,91.88,94.52,8908699
2015-02-27,94.04,96.6,92.62,94.81,6390809
2015-03-02,94.0,94.86,91.88,94.27,6081995
2015-03-03,92.55,93.82,90.3,90.3,7295838
2015-03-04,90.8,94.79,90.59,93.18,6950994
2015-03-05,93.5,98.5,93.5,98.33,10092526
2015-03-06,96.99,96.99,91.0,91.0,9338257
2015-03-09,89.4,94.66,86.18,93.82,5793158
2015-03-10,92.8,95.59,92.21,92.85,4115353
2015-03-11,92.59,94.3,91.86,93.38,3627263
2015-03-12,93.39,93.39,88.91,89.82,4727031
2015-03-13,90.11,92.0,89.82,90.94,2662451
2015-03-16,91.2,94.87,91.2,94.09,4699064
2015-03-17,93.65,94.14,92.5,93.61,3934492
2015-03-18,93.3,96.5,92.58,94.76,5163130
2015-03-19,93.33,95.75,92.33,94.2,3601053
2015-03-20,94.45,96.5,93.44,95.64,4948932
2015-03-23,95.8,101.88,95.02,100.73,7354792
2015-03-24,101.1,101.36,95.24,98.1,8226301
2015-03-25,97.05,103.78,95.9,102.3,7077559
2015-03-26,99.01,105.23,98.5,99.61,6006863
2015-03-27,98.61,99.61,96.22,97.82,3501666
2015-03-30,97.4,98.4,94.99,95.6,3400187
2015-03-31,98.3,100.38,95.88,97.88,5059512
2015-04-01,97.11,98.72,97.01,97.99,2835090
2015-04-02,98.46,100.19,97.6,99.1,3129772
2015-04-03,98.48,100.45,97.48,99.58,3882072
2015-04-07,100.01,107.5,100.01,105.92,5675067
2015-04-08,107.1,116.51,104.01,116.51,9949012
2015-04-09,114.8,127.65,113.08,123.79,9060296
2015-04-10,117.0,122.22,116.66,120.0,7417131
2015-04-13,124.0,132.0,121.3,132.0,6502366
2015-04-14,132.8,134.0,126.2,129.6,5402457
2015-04-15,126.8,128.0,117.6,118.0,4900853
2015-04-16,115.6,124.8,115.55,120.5,4016706
2015-04-17,120.5,126.76,120.3,122.0,3965530
2015-04-20,122.0,134.2,121.81,133.87,6682244
2015-04-21,135.1,147.26,132.0,147.26,6150301
2015-04-22,150.1,153.2,144.0,147.28,5793519
2015-04-23,145.44,162.01,142.5,161.96,6864467
2015-04-24,158.0,167.95,156.6,163.01,5077030
2015-04-27,161.56,172.0,160.0,162.96,3825668
2015-04-28,162.97,163.4,149.8,150.43,5031513
2015-04-29,149.0,165.47,148.1,165.47,4636601
2015-04-30,172.0,175.25,167.2,169.2,4432667
2015-05-04,169.22,175.5,162.88,167.8,3492206
2015-05-05,167.81,172.0,162.01,163.95,3374294
2015-05-06,167.6,180.35,167.6,176.99,7293138
2015-05-07,176.0,181.0,172.31,179.87,4199659
2015-05-08,182.8,197.17,180.0,193.05,5194727
2015-05-11,192.0,212.1,187.1,208.8,5910737
2015-05-12,208.9,229.68,208.89,229.68,6540914
2015-05-13,229.68,248.66,218.0,244.89,3867734
2015-07-03,219.68,219.68,219.68,219.68,520200
2015-07-06,197.71,197.71,197.71,197.71,538500
2015-07-07,177.94,177.94,177.94,177.94,51200
2015-07-14,177.94,195.6,170.0,178.0,12772369
2015-07-15,163.99,166.0,160.2,160.2,6196128
2015-07-16,144.18,157.0,144.18,144.3,9945221
2015-07-17,148.08,158.73,146.15,158.73,6338700
2015-07-20,170.0,174.6,166.9,174.6,7719177
2015-07-21,178.0,192.06,170.5,192.06,8144166
2015-07-22,196.0,211.27,193.1,211.27,8346613
