date,open,high,low,close,volume
2011-03-02,37.0,38.8,36.86,36.88,8827250
2011-03-03,36.4,36.4,35.02,35.1,3510580
2011-03-04,34.78,35.54,34.75,35.35,1484295
2011-03-07,35.15,35.35,35.01,35.2,1694556
2011-03-08,35.28,35.3,34.45,34.62,1652825
2011-03-09,34.62,35.07,34.5,35.0,1011529
2011-03-10,35.0,35.05,34.6,34.74,856096
2011-03-11,34.52,34.85,34.5,34.65,777340
2011-03-14,34.6,35.18,34.58,35.06,769314
2011-03-15,34.98,35.16,34.51,34.8,775341
2011-03-16,34.84,35.15,34.73,35.05,788711
2011-03-17,34.88,34.91,34.23,34.36,800279
2011-03-18,34.33,34.62,34.33,34.52,474050
2011-03-21,34.51,35.08,34.51,35.0,860066
2011-03-22,35.0,36.92,34.5,35.97,2473784
2011-03-23,35.79,35.79,35.24,35.45,1020254
2011-03-24,35.42,35.74,35.1,35.3,721821
2011-03-25,35.22,35.4,35.02,35.2,717147
2011-03-28,35.03,35.2,34.5,34.67,780138
2011-03-29,34.56,34.88,34.2,34.22,552822
2011-03-30,34.2,34.43,33.84,33.86,477805
2011-03-31,33.86,34.11,33.86,33.9,299786
2011-04-01,34.0,34.18,33.9,34.1,258676
2011-04-06,34.09,34.09,33.04,33.33,567290
2011-04-07,34.07,35.43,34.07,34.87,1217622
2011-04-08,34.37,34.9,34.37,34.79,534902
2011-04-11,34.97,35.26,34.6,34.62,508050
2011-04-12,34.78,34.78,34.36,34.5,272130
2011-04-13,34.5,34.86,34.38,34.79,281335
2011-04-14,34.8,34.9,34.51,34.58,323010
2011-04-15,34.75,34.96,34.42,34.88,341726
2011-04-18,34.81,34.95,34.11,34.2,499508
2011-04-19,34.25,34.55,34.11,34.2,327917
2011-04-20,34.33,34.39,34.1,34.33,272758
2011-04-21,34.31,34.64,34.3,34.54,396963
2011-04-22,34.5,34.99,34.4,34.71,311917
2011-04-25,34.58,34.75,33.9,33.93,300144
2011-04-26,33.93,34.12,33.25,33.4,268447
2011-04-27,33.66,33.7,33.06,33.15,187246
2011-04-28,33.18,33.3,31.85,31.97,334311
2011-04-29,32.02,32.65,32.02,32.39,123932
2011-05-03,32.41,32.5,32.02,32.3,132325
2011-05-04,32.16,32.33,32.05,32.12,159951
2011-05-05,32.05,32.39,32.05,32.38,93853
2011-05-06,32.26,32.5,32.02,32.46,103735
2011-05-09,32.46,32.68,32.46,32.57,88801
2011-05-10,32.55,32.78,32.32,32.75,92800
2011-05-11,32.85,32.85,32.4,32.65,127504
2011-05-12,32.4,32.65,32.12,32.15,135940
2011-05-13,32.01,32.42,32.01,32.25,90910
2011-05-16,32.11,32.33,32.11,32.19,112710
2011-05-17,32.32,32.75,32.15,32.58,118683
2011-05-18,32.51,32.75,32.36,32.46,102198
2011-05-19,32.52,32.7,32.41,32.41,94196
2011-05-23,32.8,32.8,31.5,31.62,166350
2011-05-24,31.63,31.63,30.63,31.2,114137
2011-05-25,31.25,31.28,30.65,30.74,83917
2011-05-26,30.72,30.94,30.36,30.43,79832
2011-05-27,30.58,30.58,29.29,29.3,202633
2011-05-30,29.13,29.45,29.13,29.25,94330
2011-05-31,29.3,29.77,29.18,29.69,103362
2011-06-01,29.43,29.98,29.43,29.94,79150
2011-06-02,29.9,29.9,28.83,28.99,284442
2011-06-03,28.96,29.29,28.87,29.0,620790
2011-06-07,29.14,29.14,28.94,29.08,175834
